...1,year,state,state_po,special,district,dem,rep,totalvotes,dem_cand,rep_cand,dem_inc,rep_inc,dem_funds,rep_funds,2party_votes,dem_pct_2p,rep_pct_2p,dem_tot_funds,rep_tot_funds,tot_funds,dem_funds_2p_pct,rep_funds_2p_pct,prev_lean,prev2_lean,generic_ballot_avg,pres_approval_avg,incumbent_pres,ics,pres_approval_avg_x_incpres,ics_x_incpres,cvap_white_pct,cvap_asn_pct,cvap_hisp_pct,cvap_black_pct,cvap_natam_pct,no_dem_cand_flag,no_rep_cand_flag,dem_inc_any,rep_inc_any,dem_inc_dummy,rep_inc_dummy,pvi,dem_funds_2p_pct_sqrd,y_pred,y_act,fund_chances,abs_err,err,district_id
11,2018,Arizona,AZ,FALSE,AZ-04,84521,188842,277035,David Brill,Paul Gosar,False,True,358758.47,362289.22,273363,30.918961234695256,69.08103876530474,358758.47,362289.22,721047.69,49.755165292880974,50.24483470711903,-22.19637159118748,-20.383025015545112,-7.92178462627323,-10.073703722185003,-1,97.5,10.073703722185003,-97.5,79.8,1.2,14.2,1.7,1.5,FALSE,FALSE,FALSE,TRUE,0,1,-21.74303494727689,2475.5764733219075,29.52816661075902,30.918961234695256,0.02,1.3907946239362374,-1.3907946239362374,AZ04
12,2018,Arizona,AZ,FALSE,AZ-05,127027,186037,313064,Joan Greene,Andy Biggs,False,True,46899.11,330436.59,313064,40.57540950093272,59.424590499067286,46899.11,330436.59,377335.7,12.429014800348869,87.57098519965115,-12.329999514252997,-16.81644954837595,-7.92178462627323,-10.073703722185003,-1,97.5,10.073703722185003,-97.5,76.6,3.7,14.1,3,1,FALSE,FALSE,FALSE,TRUE,0,1,-13.451612022783737,154.48040890729123,37.52833473368968,40.57540950093272,0.13999999999999999,3.047074767243039,-3.047074767243039,AZ05
13,2018,Arizona,AZ,FALSE,AZ-06,140559,173140,313699,Anita Malik,David Schweikert,False,True,359141.69,470426.25,313699,44.80696463807663,55.19303536192337,359141.69,470426.25,829567.94,43.29261928805976,56.707380711940246,-6.37360123692379,-12.488914328921354,-7.92178462627323,-10.073703722185003,-1,97.5,10.073703722185003,-97.5,80.2,3.1,11.2,2.6,1.4,FALSE,FALSE,FALSE,TRUE,0,1,-7.902429509923181,1874.250884820884,42.082093159820715,44.80696463807663,1.1900000000000002,2.7248714782559134,-2.7248714782559134,AZ06
15,2018,Arizona,AZ,FALSE,AZ-08,135569,168835,304417,Hiral Tipirneni,Debbie Lesko,False,True,4279324.0,1450890.6,304404,44.535879949015126,55.46412005098488,4279324,1450890.6,5730214.6,74.67999540540768,25.320004594592326,-12.228488750738263,-14.55056795802949,-7.92178462627323,-10.073703722185003,-1,97.5,10.073703722185003,-97.5,74.8,3.2,15.3,4.4,0.6,FALSE,FALSE,FALSE,TRUE,0,1,-12.80900855256107,5577.101713751712,39.63706480376124,44.535879949015126,0.4,4.898815145253884,-4.898815145253884,AZ08
16,2018,Arizona,AZ,FALSE,AZ-09,159583,101662,261245,Greg Stanton,Stephen L Ferrara,False,False,2017183.95,1193601.1,261245,61.08557101571323,38.91442898428678,2017183.95,1193601.1,3210785.05,62.82525670785717,37.17474329214284,7.59619075189768,0.3534831196822949,-7.92178462627323,-10.073703722185003,-1,97.5,10.073703722185003,-97.5,66.7,3.7,19.1,5.8,2.6,FALSE,FALSE,FALSE,FALSE,0,0,5.785513843843834,3947.0128804081523,56.366905567256474,61.08557101571323,97.39999999999999,4.718665448456754,-4.718665448456754,AZ09
17,2018,Arkansas,AR,FALSE,AR-01,57907,138757,201245,Chintan Desai,Rick Crawford,False,True,120235.13,517326.61,196664,29.444636537444573,70.55536346255542,120235.13,517326.61,637561.74,18.85858615041737,81.14141384958263,-19.40036888202793,-14.626906832057202,-7.92178462627323,-10.073703722185003,-1,97.5,10.073703722185003,-97.5,79.3,0.3,1.8,16.5,0.4,FALSE,FALSE,FALSE,TRUE,0,1,-18.207003369535247,355.64627159271384,31.542968796486047,29.444636537444573,0.015,2.0983322590414737,2.0983322590414737,AR01
18,2018,Arkansas,AR,FALSE,AR-02,116135,132125,253453,Clarke Tucker,French Hill,False,True,2046047.43,1665334.48,248260,46.7795859179892,53.22041408201079,2046047.43,1665334.48,3711381.91,55.12899183150892,44.87100816849107,-6.81176294037806,-8.022139896959999,-7.92178462627323,-10.073703722185003,-1,97.5,10.073703722185003,-97.5,73.1,1,2.4,21.7,0.3,FALSE,FALSE,FALSE,TRUE,0,1,-7.1143571795235445,3039.2057403585773,42.637326866564244,46.7795859179892,1.7049999999999998,4.142259051424958,-4.142259051424958,AR02
19,2018,Arkansas,AR,FALSE,AR-03,74952,148717,229708,Josh Mahony,Steve Womack,False,True,127828.21,530109.31,223669,33.510231636927784,66.48976836307222,127828.21,530109.31,657937.52,19.428624468779347,80.57137553122065,-18.120570358257854,-19.413765496904137,-7.92178462627323,-10.073703722185003,-1,97.5,10.073703722185003,-97.5,85,2,6.8,3,1.1,FALSE,FALSE,FALSE,TRUE,0,1,-18.443869142919425,377.47144874885157,31.049893237777468,33.510231636927784,0.01,2.4603383991503165,-2.4603383991503165,AR03
20,2018,Arkansas,AR,FALSE,AR-04,63984,136740,204892,Hayden Catherine Shamel,Bruce Westerman,False,True,131411.62,909437.85,200724,31.876606683804624,68.12339331619538,131411.62,909437.85,1040849.47,12.625420273308109,87.37457972669189,-18.301665133951417,-15.240663607237202,-7.92178462627323,-10.073703722185003,-1,97.5,10.073703722185003,-97.5,76.1,0.5,2.5,19.1,0.7,FALSE,FALSE,FALSE,TRUE,0,1,-17.53641475227286,159.4012370776594,31.43635905165923,31.876606683804624,0.025,0.4402476321453932,-0.4402476321453932,AR04
21,2018,California,CA,FALSE,CA-01,131548,160046,291594,Audrey Denney,Doug La Malfa,False,True,1051203.75,577725.18,291594,45.11341111271151,54.88658888728849,1051203.75,577725.18,1628928.9300000002,64.53343240702343,35.466567592976574,-11.699715575850895,-10.3780989849283,-7.92178462627323,-10.073703722185003,-1,97.5,10.073703722185003,-97.5,81.9,2.3,9.8,1.6,1.5,FALSE,FALSE,FALSE,TRUE,0,1,-11.369311428120248,4164.5638982318615,39.59132381604353,45.11341111271151,0.365,5.5220872966679835,-5.5220872966679835,CA01
