,,,,2020,,,,,,2016,,,,,,2012,,,,,,2008,,,,
District,Incumbent,Party,,Biden,Trump,Total,Biden%,Trump%,,Clinton,Trump,Total,Clinton%,Trump%,,Obama,Romney,Total,Obama%,Romney%,,Obama,McCain,Total,Obama%,McCain%
CA-07,"Bera, Ami",(D),,"218,137","164,052","391,993",55.6%,41.9%,,"159,066","124,249","304,118",52.3%,40.9%,,"145,147","133,888","285,997",50.8%,46.8%,,,,,,
CA-08,"Cook, Paul",(R),,"127,769","158,451","293,165",43.6%,54.0%,,"92,234","127,464","232,835",39.6%,54.7%,,"88,579","118,278","212,633",41.7%,55.6%,,,,,,
CA-09,"McNerney, Jerry",(D),,"180,100","124,102","310,973",57.9%,39.9%,,"134,719","90,484","238,191",56.6%,38.0%,,"127,418","88,403","220,312",57.8%,40.1%,,,,,,
CA-10,"Harder, Josh",(D),,"154,990","146,084","307,948",50.3%,47.4%,,"116,335","109,145","239,680",48.5%,45.5%,,"108,923","101,160","215,113",50.6%,47.0%,,,,,,
CA-11,"DeSaulnier, Mark",(D),,"285,019","90,516","383,481",74.3%,23.6%,,"223,559","70,869","312,568",71.5%,22.7%,,"203,699","90,226","301,134",67.6%,30.0%,,,,,,
CA-12,"Pelosi, Nancy",(D),,"337,517","46,574","392,046",86.1%,11.9%,,"309,221","31,158","358,774",86.2%,8.7%,,"269,461","40,003","320,387",84.1%,12.5%,,,,,,
CA-13,"Lee, Barbara",(D),,"335,474","33,907","377,198",88.9%,9.0%,,"291,926","22,743","334,194",87.4%,6.8%,,"268,093","27,474","306,314",87.5%,9.0%,,,,,,
CA-14,"Speier, Jackie",(D),,"279,708","73,798","360,155",77.7%,20.5%,,"229,008","54,229","297,743",76.9%,18.2%,,"200,343","63,589","269,882",74.2%,23.6%,,,,,,
CA-15,"Swalwell, Eric",(D),,"255,430","94,394","357,230",71.5%,26.4%,,"198,964","68,808","284,536",69.9%,24.2%,,"177,243","77,748","260,611",68.0%,29.8%,,,,,,
CA-16,"Costa, Jim",(D),,"129,458","85,647","220,032",58.8%,38.9%,,"98,504","61,813","169,964",58.0%,36.4%,,"88,973","59,808","151,953",58.6%,39.4%,,,,,,
CA-17,"Khanna, Ro",(D),,"224,903","79,260","310,238",72.5%,25.5%,,"183,801","50,926","248,695",73.9%,20.5%,,"163,862","58,193","227,806",71.9%,25.5%,,,,,,
CA-18,"Eshoo, Anna",(D),,"294,545","82,172","385,683",76.4%,21.3%,,"246,015","67,808","335,138",73.4%,20.2%,,"218,082","92,457","319,615",68.2%,28.9%,,,,,,
CA-19,"Lofgren, Zoe",(D),,"228,232","91,063","325,914",70.0%,27.9%,,"187,828","55,371","257,624",72.9%,21.5%,,"165,530","61,643","232,442",71.2%,26.5%,,,,,,
CA-20,"Panetta, Jimmy",(D),,"226,505","77,969","311,479",72.7%,25.0%,,"180,486","59,573","256,538",70.4%,23.2%,,"168,956","62,427","238,341",70.9%,26.2%,,,,,,
CA-21,"Cox, TJ",(D),,"93,560","74,859","172,064",54.4%,43.5%,,"73,773","52,972","133,544",55.2%,39.7%,,"65,146","51,917","119,232",54.6%,43.5%,,,,,,
