,,,,2020,,,,,,2016,,,,,,2012,,,,,,2008,,,,
District,Incumbent,Party,,Biden,Trump,Total,Biden%,Trump%,,Clinton,Trump,Total,Clinton%,Trump%,,Obama,Romney,Total,Obama%,Romney%,,Obama,McCain,Total,Obama%,McCain%
IA-03,"Axne, Cindy",(D),,"224,159","224,726","457,240",49.0%,49.1%,,"181,524","195,740","403,191",45.0%,48.5%,,"203,622","186,645","395,798",51.4%,47.2%,,"197,112","173,967","375,933",52.4%,46.3%
IA-04,"King, Steve",(R),,"142,206","249,487","398,052",35.7%,62.7%,,"127,401","231,229","379,900",33.5%,60.9%,,"173,391","204,685","383,129",45.3%,53.4%,,"184,953","191,473","381,114",48.5%,50.2%
ID-01,"Fulcher, Russ",(R),,"140,452","313,559","467,141",30.1%,67.1%,,"91,284","229,034","359,661",25.4%,63.7%,,"105,645","213,080","328,258",32.2%,64.9%,,"115,925","206,273","329,856",35.1%,62.5%
ID-02,"Simpson, Mike",(R),,"146,569","240,560","400,220",36.6%,60.1%,,"98,481","180,021","330,594",29.8%,54.5%,,"107,142","207,831","324,016",33.1%,64.1%,,"120,515","196,739","325,176",37.1%,60.5%
IL-01,"Rush, Bobby",(D),,"246,996","82,547","334,163",73.9%,24.7%,,"245,908","69,956","326,175",75.4%,21.4%,,"262,668","67,367","332,726",78.9%,20.2%,,"288,077","66,262","356,028",80.9%,18.6%
IL-02,"Kelly, Robin",(D),,"236,646","64,866","305,536",77.5%,21.2%,,"236,726","58,024","303,622",78.0%,19.1%,,"251,147","57,674","311,173",80.7%,18.5%,,"269,943","60,734","332,652",81.1%,18.3%
IL-03,"Lipinski, Dan",(D),,"175,910","135,879","316,987",55.5%,42.9%,,"157,383","113,779","284,970",55.2%,39.9%,,"143,676","109,396","256,893",55.9%,42.6%,,"159,475","110,701","273,174",58.4%,40.5%
IL-04,"Garcia, Chuy",(D),,"184,635","39,582","228,702",80.7%,17.3%,,"172,374","27,807","209,931",82.1%,13.2%,,"137,065","28,899","169,434",80.9%,17.1%,,"144,949","32,767","180,051",80.5%,18.2%
IL-05,"Quigley, Mike",(D),,"267,640","96,630","371,134",72.1%,26.0%,,"229,937","78,069","326,036",70.5%,23.9%,,"188,324","90,747","285,239",66.0%,31.8%,,"214,869","88,466","307,613",69.9%,28.8%
IL-06,"Casten, Sean",(D),,"226,804","174,833","410,398",55.3%,42.6%,,"177,578","152,909","353,766",50.2%,43.2%,,"151,937","179,606","336,936",45.1%,53.3%,,"179,195","165,272","349,055",51.3%,47.3%
IL-07,"Davis, Danny",(D),,"274,302","38,441","317,704",86.3%,12.1%,,"271,100","28,580","310,159",87.4%,9.2%,,"264,185","35,713","302,887",87.2%,11.8%,,"284,117","31,528","317,655",89.4%,9.9%
IL-08,"Krishnamoorthi, Raja",(D),,"171,850","113,157","290,456",59.2%,39.0%,,"148,233","92,926","255,064",58.1%,36.4%,,"133,206","95,031","232,123",57.4%,40.9%,,"150,851","91,057","245,234",61.5%,37.1%
IL-09,"Schakowsky, Jan",(D),,"269,573","104,091","379,942",71.0%,27.4%,,"238,096","84,456","339,587",70.1%,24.9%,,"200,656","102,689","308,492",65.0%,33.3%,,"222,256","98,111","324,117",68.6%,30.3%
IL-10,"Schneider, Brad",(D),,"207,380","109,734","322,791",64.2%,34.0%,,"178,857","94,108","288,303",62.0%,32.6%,,"157,397","112,555","273,616",57.5%,41.1%,,"180,786","103,178","287,009",63.0%,35.9%
IL-11,"Foster, Bill",(D),,"195,556","114,240","316,000",61.9%,36.2%,,"164,632","99,104","279,620",58.9%,35.4%,,"152,265","107,028","263,345",57.8%,40.6%,,"168,654","102,909","273,024",61.8%,37.7%
IL-12,"Bost, Mike",(R),,"137,911","184,811","329,203",41.9%,56.1%,,"126,817","173,693","315,846",40.2%,55.0%,,"154,346","149,339","310,294",49.7%,48.1%,,"179,180","142,724","327,336",54.7%,43.6%
IL-13,"Davis, Rodney",(R),,"158,853","170,549","337,716",47.0%,50.5%,,"141,541","159,013","319,979",44.2%,49.7%,,"146,442","147,377","301,088",48.6%,48.9%,,"175,215","139,650","320,653",54.6%,43.6%
IL-14,"Underwood, Lauren",(D),,"203,738","193,886","406,028",50.2%,47.8%,,"153,989","167,348","343,417",44.8%,48.7%,,"139,858","171,582","316,591",44.2%,54.2%,,"163,089","155,194","326,086",50.0%,47.6%
IL-15,"Shimkus, John",(R),,"88,678","246,921","341,922",25.9%,72.2%,,"78,574","226,605","320,442",24.5%,70.7%,,"105,065","197,243","308,463",34.1%,63.9%,,"139,536","180,694","325,930",42.8%,55.4%
IL-16,"Kinzinger, Adam",(R),,"140,938","196,244","344,643",40.9%,56.9%,,"119,542","173,093","311,988",38.3%,55.5%,,"137,165","160,606","303,685",45.2%,52.9%,,"161,286","155,210","322,096",50.1%,48.2%
IL-17,"Bustos, Cheri",(D),,"145,977","150,775","303,222",48.1%,49.7%,,"133,999","136,017","287,103",46.7%,47.4%,,"169,702","119,753","294,701",57.6%,40.6%,,"185,705","119,094","309,647",60.0%,38.5%
IL-18,"LaHood, Darin",(R),,"138,526","229,704","376,890",36.8%,60.9%,,"115,442","210,529","347,134",33.3%,60.6%,,"125,036","202,785","334,302",37.4%,60.7%,,"152,164","187,626","345,204",44.1%,54.4%
IN-01,"Visclosky, Pete",(D),,"177,630","148,554","331,492",53.6%,44.8%,,"162,358","124,638","300,283",54.1%,41.5%,,"182,021","111,217","297,470",61.2%,37.4%,,"194,518","109,940","307,118",63.3%,35.8%
IN-02,"Walorski, Jackie",(R),,"116,794","178,385","300,581",38.9%,59.3%,,"99,496","163,539","275,940",36.1%,59.3%,,"116,324","154,841","276,012",42.1%,56.1%,,"145,652","144,955","293,830",49.6%,49.3%
IN-03,"Banks, Jim",(R),,"112,346","211,169","330,719",34.0%,63.9%,,"87,699","189,587","291,189",30.1%,65.1%,,"102,534","179,628","287,231",35.7%,62.5%,,"126,595","164,895","294,424",43.0%,56.0%
IN-04,"Baird, Jim",(R),,"117,232","220,013","345,009",34.0%,63.8%,,"91,269","194,408","302,381",30.2%,64.3%,,"103,103","170,245","279,662",36.9%,60.9%,,"134,036","162,956","300,714",44.6%,54.2%
IN-05,"Brooks, Susan",(R),,"200,376","209,669","418,387",47.9%,50.1%,,"150,095","193,022","363,624",41.3%,53.1%,,"139,300","196,744","342,165",40.7%,57.5%,,"159,614","180,400","342,865",46.6%,52.6%
IN-06,"Pence, Greg",(R),,"96,502","228,217","331,541",29.1%,68.8%,,"82,498","204,129","301,524",27.4%,67.7%,,"106,371","172,456","285,361",37.3%,60.4%,,"133,163","167,842","305,271",43.6%,55.0%
IN-07,"Carson, Andre",(D),,"177,925","99,811","283,006",62.9%,35.3%,,"156,039","95,662","264,389",59.0%,36.2%,,"164,902","92,674","262,188",62.9%,35.3%,,"185,588","91,870","279,737",66.3%,32.8%
IN-08,"Bucshon, Larry",(R),,"108,025","212,185","326,153",33.1%,65.1%,,"92,891","194,319","300,787",30.9%,64.6%,,"116,465","171,648","294,054",39.6%,58.4%,,"149,097","156,720","309,712",48.1%,50.6%
IN-09,"Hollingsworth, Trey",(R),,"135,586","221,516","364,279",37.2%,60.8%,,"110,858","198,117","324,509",34.2%,61.1%,,"123,436","173,433","303,390",40.7%,57.2%,,"145,776","166,069","315,274",46.2%,52.7%
KS-01,"Marshall, Roger",(R),,"83,890","207,727","298,130",28.1%,69.7%,,"64,389","183,448","264,764",24.3%,69.3%,,"72,699","184,288","263,027",27.6%,70.1%,,"87,634","189,890","282,699",31.0%,67.2%
KS-02,"Watkins, Steve",(R),,"140,303","191,030","339,357",41.3%,56.3%,,"110,596","165,000","295,657",37.4%,55.8%,,"124,370","163,082","294,487",42.2%,55.4%,,"145,750","170,059","322,079",45.3%,52.8%
KS-03,"Davids, Sharice",(D),,"223,114","179,583","411,239",54.3%,43.7%,,"161,479","157,304","341,967",47.2%,46.0%,,"146,406","177,886","330,486",44.3%,53.8%,,"168,907","172,831","346,297",48.8%,49.9%
KS-04,"Estes, Ron",(R),,"123,016","193,066","323,577",38.0%,59.7%,,"90,541","165,266","274,547",33.0%,60.2%,,"96,433","164,553","267,116",36.1%,61.6%,,"112,474","166,876","284,727",39.5%,58.6%
KY-01,"Comer, James",(R),,"85,228","244,122","334,095",25.5%,73.1%,,"74,179","224,657","310,299",23.9%,72.4%,,"95,273","197,074","296,791",32.1%,66.4%,,"111,030","185,529","301,253",36.9%,61.6%
KY-02,"Guthrie, Brett",(R),,"111,859","246,865","365,139",30.6%,67.6%,,"89,563","219,152","324,512",27.6%,67.5%,,"103,432","186,207","294,280",35.1%,63.3%,,"111,139","183,813","299,109",37.2%,61.5%
KY-03,"Yarmuth, John",(D),,"221,843","141,027","369,797",60.0%,38.1%,,"186,549","135,714","340,043",54.9%,39.9%,,"183,015","140,539","328,389",55.7%,42.8%,,"193,236","147,121","343,778",56.2%,42.8%
KY-04,"Massie, Thomas",(R),,"129,335","250,481","386,856",33.4%,64.7%,,"98,664","219,749","337,149",29.3%,65.2%,,"108,328","197,131","311,035",34.8%,63.4%,,"115,487","191,855","312,017",37.0%,61.5%
KY-05,"Rogers, Hal",(R),,"56,153","241,712","301,591",18.6%,80.1%,,"48,628","221,558","278,383",17.5%,79.6%,,"60,785","196,167","261,483",23.2%,75.0%,,"82,637","174,307","261,555",31.6%,66.6%
KY-06,"Barr, Andy",(R),,"168,056","202,439","377,958",44.5%,53.6%,,"131,271","182,141","333,012",39.4%,54.7%,,"128,537","170,076","304,861",42.2%,55.8%,,"138,456","165,837","308,776",44.8%,53.7%
LA-01,"Scalise, Steve",(R),,"118,270","266,928","392,488",30.1%,68.0%,,"95,169","244,907","356,482",26.7%,68.7%,,"89,418","235,877","332,923",26.9%,70.9%,,"81,515","233,789","321,682",25.3%,72.7%
LA-02,"Richmond, Cedric",(D),,"260,587","79,570","345,901",75.3%,23.0%,,"247,490","73,779","331,702",74.6%,22.2%,,"248,982","74,893","328,306",75.8%,22.8%,,"235,554","81,703","321,114",73.4%,25.4%
LA-03,"Higgins, Clay",(R),,"107,448","242,738","356,316",30.2%,68.1%,,"100,241","231,017","343,025",29.2%,67.3%,,"107,611","220,490","333,573",32.3%,66.1%,,"111,831","210,951","328,353",34.1%,64.2%
LA-04,"Johnson, Mike",(R),,"121,500","201,823","328,304",37.0%,61.5%,,"116,599","192,977","318,462",36.6%,60.6%,,"128,612","191,416","324,250",39.7%,59.0%,,"126,899","187,020","317,749",39.9%,58.9%
LA-05,"Abraham, Ralph",(R),,"113,682","215,064","333,589",34.1%,64.5%,,"110,259","205,258","323,409",34.1%,63.5%,,"124,102","201,058","329,531",37.7%,61.0%,,"124,119","209,705","338,332",36.7%,62.0%
LA-06,"Graves, Garret",(R),,"134,547","249,652","391,463",34.4%,63.8%,,"110,395","230,700","355,951",31.0%,64.8%,,"110,416","228,528","345,482",32.0%,66.1%,,"103,071","225,094","333,531",30.9%,67.5%
MA-01,"Neal, Richard",(D),,"224,939","135,655","367,953",61.1%,36.9%,,"194,036","123,953","339,326",57.2%,36.5%,,"213,423","114,339","333,678",64.0%,34.3%,,"213,130","112,067","332,362",64.1%,33.7%
MA-02,"McGovern, Jim",(D),,"240,547","140,377","389,490",61.8%,36.0%,,"197,492","129,437","351,423",56.2%,36.8%,,"199,549","133,195","339,921",58.7%,39.2%,,"200,553","124,192","333,290",60.2%,37.3%
MA-03,"Trahan, Lori",(D),,"243,303","132,757","383,965",63.4%,34.6%,,"202,952","123,347","348,563",58.2%,35.4%,,"189,461","137,869","332,925",56.9%,41.4%,,"188,491","126,175","320,411",58.8%,39.4%
MA-04,"Kennedy, Joe",(D),,"276,820","144,654","429,320",64.5%,33.7%,,"225,976","133,705","381,767",59.2%,35.0%,,"211,895","152,845","370,160",57.2%,41.3%,,"219,573","137,933","362,027",60.7%,38.1%
MA-05,"Clark, Katherine",(D),,"304,072","97,562","408,381",74.5%,23.9%,,"258,908","95,922","373,498",69.3%,25.7%,,"235,984","119,934","362,013",65.2%,33.1%,,"230,731","111,908","348,496",66.2%,32.1%
MA-06,"Moulton, Seth",(D),,"279,782","159,252","446,903",62.6%,35.6%,,"224,858","153,244","401,046",56.1%,38.2%,,"212,003","169,966","387,259",54.7%,43.9%,,"212,823","154,833","373,809",56.9%,41.4%
MA-07,"Pressley, Ayanna",(D),,"276,091","43,074","323,587",85.3%,13.3%,,"254,037","36,018","301,939",84.1%,11.9%,,"233,382","44,275","283,031",82.5%,15.6%,,"214,011","43,558","261,402",81.9%,16.7%
MA-08,"Lynch, Stephen",(D),,"283,426","137,738","428,337",66.2%,32.2%,,"231,356","131,624","382,917",60.4%,34.4%,,"213,364","150,825","369,239",57.8%,40.8%,,"205,644","144,128","355,472",57.9%,40.5%
MA-09,"Keating, Bill",(D),,"253,222","176,133","437,139",57.9%,40.3%,,"205,581","163,643","391,289",52.5%,41.8%,,"212,701","165,212","382,989",55.5%,43.1%,,"219,141","154,059","379,234",57.8%,40.6%
MD-01,"Harris, Andy",(R),,"157,430","236,906","402,745",39.1%,58.8%,,"122,338","226,963","366,231",33.4%,62.0%,,"134,072","214,704","355,614",37.7%,60.4%,,"134,591","208,958","350,766",38.4%,59.6%
MD-02,"Ruppersberger, Dutch",(D),,"225,433","110,901","342,575",65.8%,32.4%,,"189,471","112,551","315,467",60.1%,35.7%,,"195,114","108,261","309,437",63.1%,35.0%,,"185,327","114,710","306,022",60.6%,37.5%
MD-03,"Sarbanes, John",(D),,"263,027","112,328","382,649",68.7%,29.4%,,"215,542","110,772","343,410",62.8%,32.3%,,"203,772","124,541","335,690",60.7%,37.1%,,"196,967","124,481","327,633",60.1%,38.0%
MD-04,"Brown, Anthony",(D),,"286,724","69,533","362,454",79.1%,19.2%,,"250,929","64,074","325,081",77.2%,19.7%,,"255,707","68,196","327,230",78.1%,20.8%,,"247,508","69,754","320,353",77.3%,21.8%
MD-05,"Hoyer, Steny",(D),,"276,896","119,771","403,689",68.6%,29.7%,,"233,109","116,816","363,617",64.1%,32.1%,,"234,908","115,052","355,303",66.1%,32.4%,,"221,879","114,618","340,744",65.1%,33.6%
MD-06,"Trone, David",(D),,"227,214","140,735","375,037",60.6%,37.5%,,"186,289","135,683","337,138",55.3%,40.2%,,"178,613","138,675","323,675",55.2%,42.8%,,"176,020","131,361","312,668",56.3%,42.0%
MD-07,VACANT ,(D),,"261,237","66,703","333,295",78.4%,20.0%,,"243,433","64,926","321,292",75.8%,20.2%,,"256,965","75,289","337,313",76.2%,22.3%,,"251,740","74,017","330,338",76.2%,22.4%
MD-08,"Raskin, Jamie",(D),,"287,062","119,537","414,164",69.3%,28.9%,,"236,817","111,385","364,411",65.0%,30.6%,,"218,691","127,151","352,756",62.0%,36.0%,,"215,436","121,963","343,072",62.8%,35.6%
ME-01,"Pingree, Chellie",(D),,"266,376","164,045","443,067",60.1%,37.0%,,"212,773","154,425","393,343",54.1%,39.3%,,"223,103","142,993","374,522",59.6%,38.2%,,"226,309","139,825","372,846",60.7%,37.5%
ME-02,"Golden, Jared",(D),,"168,696","196,692","376,307",44.8%,52.3%,,"144,962","181,168","352,341",41.1%,51.4%,,"178,203","149,283","336,531",53.0%,44.4%,,"195,614","155,448","358,317",54.6%,43.4%
MI-01,"Bergman, Jack",(R),,"171,402","244,455","422,411",40.6%,57.9%,,"133,237","210,822","364,131",36.6%,57.9%,,"160,199","189,406","353,694",45.3%,53.6%,,"183,104","178,360","368,276",49.7%,48.4%
MI-02,"Huizenga, Bill",(R),,"177,044","225,408","409,870",43.2%,55.0%,,"132,462","193,198","346,505",38.2%,55.8%,,"142,080","184,755","329,985",43.1%,56.0%,,"168,237","176,331","350,282",48.0%,50.3%
MI-03,"Amash, Justin",(I),,"194,575","207,762","410,219",47.4%,50.6%,,"147,330","180,344","349,490",42.2%,51.6%,,"153,069","177,742","334,438",45.8%,53.1%,,"174,381","170,654","351,117",49.7%,48.6%
MI-04,"Moolenaar, John",(R),,"141,708","234,124","382,259",37.1%,61.2%,,"113,817","195,302","328,240",34.7%,59.5%,,"146,088","171,864","321,415",45.5%,53.5%,,"170,685","167,074","343,947",49.6%,48.6%
MI-05,"Kildee, Dan",(D),,"189,227","173,212","367,855",51.4%,47.1%,,"162,962","148,972","327,573",49.7%,45.5%,,"205,800","129,903","338,966",60.7%,38.3%,,"230,768","129,429","366,156",63.0%,35.3%
MI-06,"Upton, Fred",(R),,"180,142","197,508","384,755",46.8%,51.3%,,"142,305","170,314","331,986",42.9%,51.3%,,"158,950","163,309","325,500",48.8%,50.2%,,"184,125","156,672","346,680",53.1%,45.2%
MI-07,"Walberg, Tim",(R),,"163,293","224,274","394,301",41.4%,56.9%,,"131,566","189,655","340,358",38.7%,55.7%,,"159,012","169,268","331,820",47.9%,51.0%,,"177,650","165,756","349,608",50.8%,47.4%
MI-08,"Slotkin, Elissa",(D),,"212,085","215,649","434,738",48.8%,49.6%,,"164,436","189,891","374,968",43.9%,50.6%,,"172,131","183,512","358,795",48.0%,51.1%,,"195,947","174,675","376,482",52.0%,46.4%
MI-09,"Levin, Andy",(D),,"229,258","175,081","410,103",55.9%,42.7%,,"183,085","155,597","355,751",51.5%,43.7%,,"199,625","146,185","349,021",57.2%,41.9%,,"214,229","147,770","368,821",58.1%,40.1%
MI-10,"Mitchell, Paul",(R),,"146,887","273,877","426,468",34.4%,64.2%,,"113,065","228,171","357,785",31.6%,63.8%,,"148,429","187,653","339,318",43.7%,55.3%,,"170,032","177,205","354,087",48.0%,50.0%
MI-11,"Stevens, Haley",(D),,"237,696","216,799","460,743",51.6%,47.1%,,"177,143","194,245","390,926",45.3%,49.7%,,"178,768","199,308","380,884",46.9%,52.3%,,"193,613","186,390","386,552",50.1%,48.2%
MI-12,"Dingell, Debbie",(D),,"251,770","134,892","392,079",64.2%,34.4%,,"205,939","116,741","338,523",60.8%,34.5%,,"217,492","107,675","328,498",66.2%,32.8%,,"234,529","110,055","350,474",66.9%,31.4%
MI-13,"Tlaib, Rashida",(D),,"229,535","58,162","291,132",78.8%,20.0%,,"209,105","48,111","265,343",78.8%,18.1%,,"249,656","41,881","293,164",85.2%,14.3%,,"281,005","46,980","331,253",84.8%,14.2%
MI-14,"Lawrence, Brenda",(D),,"276,847","68,031","348,045",79.5%,19.5%,,"252,387","58,179","318,751",79.2%,18.3%,,"273,270","62,794","337,491",81.0%,18.6%,,"294,273","61,286","357,861",82.2%,17.1%
MN-01,"Hagedorn, Jim",(R),,"164,139","202,121","374,203",43.9%,54.0%,,"130,831","181,647","340,831",38.4%,53.3%,,"170,377","165,720","343,764",49.6%,48.2%,,"176,959","162,554","348,046",50.8%,46.7%
MN-02,"Craig, Angie",(D),,"226,589","197,005","432,792",52.4%,45.5%,,"171,287","175,807","377,887",45.3%,46.5%,,"184,802","184,576","376,586",49.1%,49.0%,,"185,192","174,635","367,039",50.5%,47.6%
MN-03,"Philips, Dean",(D),,"265,552","178,221","452,512",58.7%,39.4%,,"201,833","164,259","397,008",50.8%,41.4%,,"199,093","195,802","401,332",49.6%,48.8%,,"199,740","185,406","391,314",51.0%,47.4%
MN-04,"McCollum, Betty",(D),,"273,197","123,295","404,458",67.5%,30.5%,,"223,803","111,163","363,650",61.5%,30.6%,,"231,511","131,521","370,514",62.5%,35.5%,,"229,802","130,366","367,119",62.6%,35.5%
MN-05,"Omar, Ilhan",(D),,"328,766","72,323","409,330",80.3%,17.7%,,"273,402","68,535","370,869",73.7%,18.5%,,"274,635","89,643","373,638",73.5%,24.0%,,"269,829","90,035","367,392",73.4%,24.5%
MN-06,"Emmer, Tom",(R),,"165,370","251,056","425,737",38.8%,59.0%,,"123,329","218,546","370,947",33.2%,58.9%,,"151,238","205,652","364,072",41.5%,56.5%,,"153,766","194,584","356,012",43.2%,54.7%
MN-07,"Peterson, Collin",(D),,"126,528","234,753","368,161",34.4%,63.8%,,"104,566","208,215","337,005",31.0%,61.8%,,"147,750","180,334","334,777",44.1%,53.9%,,"162,296","173,440","344,442",47.1%,50.4%
MN-08,"Stauber, Pete",(R),,"166,936","225,291","400,013",41.7%,56.3%,,"138,665","194,779","359,353",38.6%,54.2%,,"186,761","166,977","361,237",51.7%,46.2%,,"195,770","164,390","369,006",53.1%,44.5%
MO-01,"Clay, Lacy",(D),,"257,909","58,280","321,328",80.3%,18.1%,,"246,107","60,136","319,606",77.0%,18.8%,,"280,194","66,286","350,829",79.9%,18.9%,,"309,062","71,725","384,801",80.3%,18.6%
MO-02,"Wagner, Ann",(R),,"222,349","222,464","452,325",49.2%,49.2%,,"177,647","220,842","420,072",42.3%,52.6%,,"170,727","235,428","411,992",41.4%,57.1%,,"199,128","225,911","429,449",46.4%,52.6%
MO-03,"Luetkemeyer, Blaine",(R),,"130,857","279,373","417,914",31.3%,66.8%,,"106,365","254,183","378,846",28.1%,67.1%,,"127,443","219,156","353,496",36.1%,62.0%,,"158,404","206,620","370,056",42.8%,55.8%
MO-04,"Hartzler, Vicki",(R),,"117,975","243,844","369,447",31.9%,66.0%,,"99,844","222,162","340,290",29.3%,65.3%,,"119,908","201,672","329,292",36.4%,61.2%,,"146,703","197,817","350,083",41.9%,56.5%
MO-05,"Cleaver, Emanuel",(D),,"208,696","141,661","357,416",58.4%,39.6%,,"177,772","133,458","328,803",54.1%,40.6%,,"199,298","133,185","338,346",58.9%,39.4%,,"229,496","136,071","370,231",62.0%,36.8%
MO-06,"Graves, Sam",(R),,"137,268","248,374","392,499",35.0%,63.3%,,"112,056","223,375","354,014",31.7%,63.1%,,"129,610","205,283","341,953",37.9%,60.0%,,"154,736","198,560","359,371",43.1%,55.3%
MO-07,"Long, Billy",(R),,"105,855","263,623","376,465",28.1%,70.0%,,"84,419","240,690","342,069",24.7%,70.4%,,"98,916","220,216","325,978",30.3%,67.6%,,"121,064","216,172","342,504",35.3%,63.1%
MO-08,"Smith, Jason",(R),,"72,104","261,118","337,764",21.3%,77.3%,,"66,858","239,666","317,749",21.0%,75.4%,,"97,700","201,214","305,437",32.0%,65.9%,,"123,319","192,937","321,648",38.3%,60.0%
MS-01,"Kelly, Trent",(R),,"115,883","222,359","343,231",33.8%,64.8%,,"100,770","203,144","310,622",32.4%,65.4%,,"118,438","197,984","319,986",37.0%,61.9%,,"118,704","202,760","324,760",36.6%,62.4%
MS-02,"Thompson, Bennie",(D),,"191,329","105,700","300,527",63.7%,35.2%,,"185,208","102,392","291,427",63.6%,35.1%,,"219,416","109,228","330,543",66.4%,33.0%,,"215,143","118,035","335,114",64.2%,35.2%
MS-03,"Guest, Michael ",(R),,"135,455","210,649","350,527",38.6%,60.1%,,"119,108","198,527","323,853",36.8%,61.3%,,"132,968","204,180","340,146",39.1%,60.0%,,"131,202","207,867","341,622",38.4%,60.8%
MS-04,"Palazzo, Steven",(R),,"96,731","218,056","319,474",30.3%,68.3%,,"80,045","196,652","283,455",28.2%,69.4%,,"92,127","199,354","294,909",31.2%,67.6%,,"89,613","195,935","288,369",31.1%,67.9%
MT-AL,"Gianforte, Greg",(R),,"244,786","343,602","603,640",40.6%,56.9%,,"177,709","279,240","494,526",35.9%,56.5%,,"201,839","267,928","483,932",41.7%,55.4%,,"232,159","243,882","491,767",47.2%,49.6%
NC-01,"Butterfield, G.K.",(D),,"262,000","122,261","388,325",67.5%,31.5%,,"239,585","108,100","354,704",67.5%,30.5%,,"244,167","111,993","358,529",68.1%,31.2%,,"231,077","110,445","342,771",67.4%,32.2%
NC-02,"Holding, George",(R),,"237,832","256,687","501,878",47.4%,51.1%,,"173,131","211,450","397,167",43.6%,53.2%,,"158,037","205,651","367,350",43.0%,56.0%,,"152,326","184,727","339,148",44.9%,54.5%
NC-03,"Murphy, Greg",(R),,"146,126","230,331","381,975",38.3%,60.3%,,"121,094","198,864","328,451",36.9%,60.5%,,"129,535","186,723","319,093",40.6%,58.5%,,"131,905","176,453","309,920",42.6%,56.9%
NC-04,"Price, David",(D),,"338,278","128,650","474,096",71.4%,27.1%,,"281,517","116,383","412,533",68.2%,28.2%,,"253,331","134,265","392,923",64.5%,34.2%,,"239,012","120,780","362,150",66.0%,33.4%
NC-05,"Foxx, Virginia",(R),,"169,544","234,158","408,625",41.5%,57.3%,,"142,367","205,348","358,023",39.8%,57.4%,,"146,282","195,415","345,768",42.3%,56.5%,,"151,995","184,844","339,462",44.8%,54.5%
NC-06,"Walker, Mark",(R),,"180,634","235,935","421,278",42.9%,56.0%,,"148,725","201,387","358,853",41.4%,56.1%,,"149,442","193,609","346,117",43.2%,55.9%,,"149,396","177,614","329,330",45.4%,53.9%
NC-07,"Rouzer, David",(R),,"176,537","246,292","427,753",41.3%,57.6%,,"142,809","206,150","357,908",39.9%,57.6%,,"145,865","188,514","337,348",43.2%,55.9%,,"144,777","177,102","323,557",44.7%,54.7%
NC-08,"Hudson, Richard",(R),,"173,114","217,954","396,493",43.7%,55.0%,,"136,233","185,873","331,234",41.1%,56.1%,,"141,264","174,101","318,307",44.4%,54.7%,,"141,129","167,955","310,845",45.4%,54.0%
NC-09,"Bishop, Dan",(R),,"182,632","220,903","408,122",44.7%,54.1%,,"147,072","186,974","343,888",42.8%,54.4%,,"146,474","185,251","334,522",43.8%,55.4%,,"142,113","169,781","313,481",45.3%,54.2%
NC-10,"McHenry, Patrick",(R),,"160,601","255,169","420,736",38.2%,60.6%,,"129,233","216,790","355,111",36.4%,61.0%,,"137,613","199,068","340,408",40.4%,58.5%,,"138,138","190,381","330,688",41.8%,57.6%
NC-11,"Meadows, Mark",(R),,"158,847","266,766","431,377",36.8%,61.8%,,"123,806","230,001","364,055",34.0%,63.2%,,"132,399","202,151","339,041",39.1%,59.6%,,"140,918","193,562","337,287",41.8%,57.4%
NC-12,"Adams, Alma",(D),,"309,281","119,798","435,307",71.0%,27.5%,,"243,736","101,161","356,321",68.4%,28.4%,,"231,080","106,731","340,787",67.8%,31.3%,,"206,698","94,989","303,082",68.2%,31.3%
NC-13,"Budd, Ted",(R),,"189,012","223,940","418,241",45.2%,53.5%,,"160,004","194,170","363,851",44.0%,53.4%,,"162,903","186,922","353,107",46.1%,52.9%,,"164,582","175,774","342,427",48.1%,51.3%
ND-AL,"Armstrong, Kelly",(R),,"114,902","235,595","359,890",31.9%,65.5%,,"93,758","216,794","337,963",27.7%,64.1%,,"124,827","188,163","320,767",38.9%,58.7%,,"141,403","168,887","316,615",44.7%,53.3%
NE-01,"Fortenberry, Jeff",(R),,"132,261","180,290","320,046",41.3%,56.3%,,"100,030","158,629","276,046",36.2%,57.5%,,"107,994","152,122","264,718",40.8%,57.5%,,"117,514","144,470","267,008",44.0%,54.1%
NE-02,"Bacon, Don",(R),,"176,468","154,377","337,754",52.2%,45.7%,,"131,102","137,506","285,211",46.0%,48.2%,,"121,971","140,880","266,720",45.7%,52.8%,,"133,016","129,890","267,039",49.8%,48.6%
NE-03,"Smith, Adrian",(R),,"65,854","222,179","293,912",22.4%,75.6%,,"53,362","199,826","266,918",20.0%,74.9%,,"72,116","182,062","259,224",27.8%,70.2%,,"82,789","178,619","266,981",31.0%,66.9%
NH-01,"Pappas, Chris",(D),,"213,662","188,999","409,239",52.2%,46.2%,,"173,344","179,259","371,973",46.6%,48.2%,,"179,148","173,419","356,812",50.2%,48.6%,,"186,598","163,977","353,603",52.8%,46.4%
NH-02,"Kuster, Annie",(D),,"211,275","176,661","394,594",53.5%,44.8%,,"175,182","166,531","360,294",48.6%,46.2%,,"190,413","156,499","351,587",54.2%,44.5%,,"198,228","152,557","354,008",56.0%,43.1%
NJ-01,"Norcross, Donald",(D),,"242,214","142,822","390,213",62.1%,36.6%,,"199,386","118,880","329,188",60.6%,36.1%,,"212,236","110,377","326,134",65.1%,33.8%,,"219,874","116,242","340,075",64.7%,34.2%
