,,,,2012,,,,,,2008,,,,
CD,Incumbent,Party,,Obama,Romney,Total,Obama%,Romney%,,Obama,McCain,Total,Obama%,McCain%
MN-04,"McCollum, Betty",(D),,"231,511","131,521","370,514",62.5%,35.5%,,"229,802","130,366","367,119",62.6%,35.5%
MN-05,"Ellison, Keith",(D),,"274,635","89,643","373,638",73.5%,24.0%,,"269,829","90,035","367,392",73.4%,24.5%
MN-06,"Emmer, Tom",(R),,"151,238","205,652","364,072",41.5%,56.5%,,"153,766","194,584","356,012",43.2%,54.7%
MN-07,"Peterson, Collin",(D),,"147,750","180,334","334,777",44.1%,53.9%,,"162,296","173,440","344,442",47.1%,50.4%
MN-08,"Nolan, Rick",(D),,"186,761","166,977","361,237",51.7%,46.2%,,"195,770","164,390","369,006",53.1%,44.5%
MO-01,"Clay, Lacy",(D),,"280,194","66,286","350,829",79.9%,18.9%,,"309,062","71,725","384,801",80.3%,18.6%
MO-02,"Wagner, Ann",(R),,"170,727","235,428","411,992",41.4%,57.1%,,"199,128","225,911","429,449",46.4%,52.6%
MO-03,"Luetkemeyer, Blaine",(R),,"127,443","219,156","353,496",36.1%,62.0%,,"158,404","206,620","370,056",42.8%,55.8%
MO-04,"Hartzler, Vicki",(R),,"119,908","201,672","329,292",36.4%,61.2%,,"146,703","197,817","350,083",41.9%,56.5%
MO-05,"Cleaver, Emanuel",(D),,"199,298","133,185","338,346",58.9%,39.4%,,"229,496","136,071","370,231",62.0%,36.8%
MO-06,"Graves, Sam",(R),,"129,610","205,283","341,953",37.9%,60.0%,,"154,736","198,560","359,371",43.1%,55.3%
MO-07,"Long, Billy",(R),,"98,916","220,216","325,978",30.3%,67.6%,,"121,064","216,172","342,504",35.3%,63.1%
MO-08,"Smith, Jason",(R),,"97,700","201,214","305,437",32.0%,65.9%,,"123,319","192,937","321,648",38.3%,60.0%
MS-01,"Kelly, Trent",(R),,"118,438","197,984","319,986",37.0%,61.9%,,"118,704","202,760","324,760",36.6%,62.4%
MS-02,"Thompson, Bennie",(D),,"219,416","109,228","330,543",66.4%,33.0%,,"215,143","118,035","335,114",64.2%,35.2%
MS-03,"Harper, Gregg",(R),,"132,968","204,180","340,146",39.1%,60.0%,,"131,202","207,867","341,622",38.4%,60.8%
MS-04,"Palazzo, Steven",(R),,"92,127","199,354","294,909",31.2%,67.6%,,"89,613","195,935","288,369",31.1%,67.9%
MT-AL,"Zinke, Ryan",(R),,"201,839","267,928","483,932",41.7%,55.4%,,"232,159","243,882","491,767",47.2%,49.6%
NC-01,"Butterfield, G.K.",(D),,"247,611","96,402","345,809",71.6%,27.9%,,"234,808","96,237","332,078",70.7%,29.0%
NC-02,"Ellmers, Renee",(R),,"134,016","183,972","321,292",41.7%,57.3%,,"131,886","169,517","303,340",43.5%,55.9%
NC-03,"Jones, Walter",(R),,"130,053","183,925","317,158",41.0%,58.0%,,"132,741","173,567","307,961",43.1%,56.4%
NC-04,"Price, David",(D),,"258,202","99,068","361,482",71.4%,27.4%,,"246,527","92,456","340,847",72.3%,27.1%
NC-05,"Foxx, Virginia",(R),,"140,633","208,869","353,629",39.8%,59.1%,,"145,811","197,347","345,798",42.2%,57.1%
NC-06,"Walker, Mark",(R),,"154,073","214,871","372,713",41.3%,57.7%,,"156,417","201,389","360,440",43.4%,55.9%
NC-07,"Rouzer, David",(R),,"136,091","202,259","341,443",39.9%,59.2%,,"135,112","187,346","324,209",41.7%,57.8%
NC-08,"Hudson, Richard",(R),,"126,223","178,731","307,829",41.0%,58.1%,,"123,473","170,247","295,575",41.8%,57.6%
NC-09,"Pittenger, Robert",(R),,"164,739","216,215","384,790",42.8%,56.2%,,"157,700","189,404","349,057",45.2%,54.3%
NC-10,"McHenry, Patrick",(R),,"139,439","197,769","340,976",40.9%,58.0%,,"140,050","190,074","332,317",42.1%,57.2%
NC-11,"Meadows, Mark",(R),,"127,563","205,553","337,550",37.8%,60.9%,,"136,841","196,872","336,486",40.7%,58.5%
NC-12,"Adams, Alma",(D),,"249,654","66,088","317,870",78.5%,20.8%,,"228,644","62,552","292,322",78.2%,21.4%
NC-13,"Holding, George",(R),,"170,093","216,674","390,759",43.5%,55.4%,,"164,056","197,399","363,718",45.1%,54.3%
ND-AL,"Cramer, Kevin",(R),,"124,827","188,163","320,767",38.9%,58.7%,,"141,403","168,887","316,615",44.7%,53.3%
NE-01,"Fortenberry, Jeff",(R),,"107,994","152,122","264,718",40.8%,57.5%,,"117,514","144,470","267,008",44.0%,54.1%
NE-02,"Ashford, Brad",(D),,"121,971","140,880","266,720",45.7%,52.8%,,"133,016","129,890","267,039",49.8%,48.6%
NE-03,"Smith, Adrian",(R),,"72,116","182,062","259,224",27.8%,70.2%,,"82,789","178,619","266,981",31.0%,66.9%
NH-01,"Guinta, Frank",(R),,"179,148","173,419","356,812",50.2%,48.6%,,"186,598","163,977","353,603",52.8%,46.4%
NH-02,"Kuster, Annie",(D),,"190,413","156,499","351,587",54.2%,44.5%,,"198,228","152,557","354,008",56.0%,43.1%
NJ-01,"Norcross, Donald",(D),,"212,236","110,377","326,134",65.1%,33.8%,,"219,874","116,242","340,075",64.7%,34.2%
NJ-02,"LoBiondo, Frank",(R),,"166,906","141,479","311,778",53.5%,45.4%,,"174,840","149,736","328,805",53.2%,45.5%
NJ-03,"MacArthur, Tom",(R),,"179,028","163,203","345,812",51.8%,47.2%,,"188,210","175,525","367,978",51.1%,47.7%
NJ-04,"Smith, Chris",(R),,"148,622","180,439","332,612",44.7%,54.2%,,"160,660","190,307","355,041",45.3%,53.6%
NJ-05,"Garrett, Scott",(R),,"162,305","172,486","338,580",47.9%,50.9%,,"176,486","183,854","363,746",48.5%,50.5%
NJ-06,"Pallone, Frank",(D),,"163,391","99,466","265,918",61.4%,37.4%,,"170,603","118,187","292,048",58.4%,40.5%
NJ-07,"Lance, Leonard",(R),,"157,635","178,521","340,175",46.3%,52.5%,,"172,330","188,352","364,851",47.2%,51.6%
NJ-08,"Sires, Albio",(D),,"162,232","43,032","207,307",78.3%,20.8%,,"159,013","56,502","217,359",73.2%,26.0%
NJ-09,"Pascrell, Bill",(D),,"173,082","77,951","253,218",68.4%,30.8%,,"170,663","93,912","266,738",64.0%,35.2%
NJ-10,"Payne, Donald",(D),,"239,483","31,379","272,407",87.9%,11.5%,,"242,306","41,562","285,386",84.9%,14.6%
NJ-11,"Frelinghuysen, Rodney",(R),,"163,493","183,775","350,909",46.6%,52.4%,,"176,436","195,675","375,701",47.0%,52.1%
NJ-12,"Watson Coleman, Bonnie",(D),,"198,197","96,642","298,083",66.5%,32.4%,,"204,001","103,354","310,510",65.7%,33.3%
NM-01,"Lujan Grisham, Michelle",(D),,"155,915","111,749","282,195",55.3%,39.6%,,"178,068","116,302","298,305",59.7%,39.0%
NM-02,"Pearce, Steve",(R),,"103,438","119,168","230,391",44.9%,51.7%,,"118,400","122,705","244,530",48.4%,50.2%
NM-03,"Lujan, Ben",(D),,"155,982","104,871","271,171",57.5%,38.7%,,"175,953","107,825","287,324",61.2%,37.5%
NV-01,"Titus, Dina",(D),,"123,205","60,813","187,686",65.6%,32.4%,,"122,041","62,527","189,190",64.5%,33.0%
NV-02,"Amodei, Mark",(R),,"131,542","155,187","293,476",44.8%,52.9%,,"141,357","137,916","285,982",49.4%,48.2%
NV-03,"Heck, Joe",(R),,"140,501","138,238","283,656",49.5%,48.7%,,"140,378","116,908","262,257",53.5%,44.6%
NV-04,"Hardy, Cresent",(R),,"136,124","109,330","250,100",54.4%,43.7%,,"129,961","95,477","230,420",56.4%,41.4%
NY-01,"Zeldin, Lee",(R),,"146,708","145,115","295,673",49.6%,49.1%,,"168,611","156,394","328,315",51.4%,47.6%
NY-02,"King, Peter",(R),,"140,817","128,791","272,663",51.6%,47.2%,,"156,151","145,890","304,670",51.3%,47.9%
NY-03,"Israel, Steve",(D),,"155,451","147,617","306,221",50.8%,48.2%,,"182,847","155,946","341,582",53.5%,45.7%
NY-04,"Rice, Kathleen",(D),,"173,508","131,750","308,119",56.3%,42.8%,,"185,400","147,199","334,969",55.3%,43.9%
NY-05,"Meeks, Gregory",(D),,"192,374","19,325","212,347",90.6%,9.1%,,"206,652","32,558","240,009",86.1%,13.6%
NY-06,"Meng, Grace",(D),,"125,496","57,455","185,058",67.8%,31.0%,,"126,794","71,419","199,891",63.4%,35.7%
NY-07,"Velazquez, Nydia",(D),,"159,552","18,671","180,591",88.3%,10.3%,,"158,908","28,083","188,388",84.4%,14.9%
NY-08,"Jeffries, Hakeem",(D),,"210,018","23,869","235,295",89.3%,10.1%,,"208,300","32,971","242,177",86.0%,13.6%
NY-09,"Clarke, Yvette",(D),,"204,281","33,156","239,547",85.3%,13.8%,,"208,748","38,289","248,224",84.1%,15.4%
NY-10,"Nadler, Jerrold",(D),,"173,650","58,992","235,821",73.6%,25.0%,,"195,974","60,682","259,039",75.7%,23.4%
NY-11,"Donovan, Dan",(R),,"110,407","101,262","213,991",51.6%,47.3%,,"112,035","118,106","231,976",48.3%,50.9%
NY-12,"Maloney, Carolyn",(D),,"205,919","57,575","267,692",76.9%,21.5%,,"243,155","57,238","303,389",80.1%,18.9%
NY-13,"Rangel, Charlie",(D),,"219,361","10,558","231,787",94.6%,4.6%,,"225,863","14,845","242,035",93.3%,6.1%
NY-14,"Crowley, Joe",(D),,"136,783","30,978","169,552",80.7%,18.3%,,"135,243","41,288","177,831",76.1%,23.2%
NY-15,"Serrano, Jose",(D),,"171,366","5,315","177,129",96.7%,3.0%,,"170,498","9,382","180,295",94.6%,5.2%
NY-16,"Engel, Eliot",(D),,"197,365","68,373","267,814",73.7%,25.5%,,"205,897","74,591","282,279",72.9%,26.4%
NY-17,"Lowey, Nita",(D),,"168,020","123,190","294,401",57.1%,41.8%,,"181,604","128,934","313,081",58.0%,41.2%
NY-18,"Maloney, Sean",(D),,"149,610","137,144","290,894",51.4%,47.1%,,"162,618","146,308","312,234",52.1%,46.9%
NY-19,"Gibson, Chris",(R),,"157,967","138,981","303,112",52.1%,45.9%,,"175,763","150,323","331,779",53.0%,45.3%
NY-20,"Tonko, Paul",(D),,"186,460","122,230","315,032",59.2%,38.8%,,"198,366","135,529","340,274",58.3%,39.8%
NY-21,"Stefanik, Elise",(R),,"138,889","122,471","265,850",52.2%,46.1%,,"150,137","135,821","290,642",51.7%,46.7%
NY-22,"Hanna, Richard",(R),,"135,172","136,500","277,217",48.8%,49.2%,,"148,425","148,580","302,473",49.1%,49.1%
NY-23,"Reed, Tom",(R),,"133,949","137,312","276,891",48.4%,49.6%,,"150,412","147,913","303,285",49.6%,48.8%
NY-24,"Katko, John",(R),,"171,502","123,534","300,621",57.0%,41.1%,,"181,776","135,928","323,571",56.2%,42.0%
NY-25,"Slaughter, Louise",(D),,"187,753","125,897","319,454",58.8%,39.4%,,"201,012","136,481","342,056",58.8%,39.9%
NY-26,"Higgins, Brian",(D),,"193,362","103,743","302,388",63.9%,34.3%,,"208,504","115,099","328,709",63.4%,35.0%
NY-27,"Collins, Chris",(R),,"140,176","180,703","326,828",42.9%,55.3%,,"153,862","186,554","345,902",44.5%,53.9%
OH-01,"Chabot, Steve",(R),,"168,195","190,504","363,593",46.3%,52.4%,,"171,529","188,091","363,285",47.2%,51.8%
OH-02,"Wenstrup, Brad",(R),,"155,027","194,409","355,117",43.7%,54.7%,,"160,301","196,040","361,562",44.3%,54.2%
OH-03,"Beatty, Joyce",(D),,"217,969","90,434","312,938",69.7%,28.9%,,"209,277","97,330","310,574",67.4%,31.3%
OH-04,"Jordan, Jim",(R),,"139,228","185,512","331,390",42.0%,56.0%,,"150,312","187,369","344,253",43.7%,54.4%
OH-05,"Latta, Bob",(R),,"159,592","195,075","362,052",44.1%,53.9%,,"171,746","194,685","373,037",46.0%,52.2%
OH-06,"Johnson, Bill",(R),,"136,522","176,593","319,939",42.7%,55.2%,,"149,059","177,089","333,655",44.7%,53.1%
OH-07,"Gibbs, Bob",(R),,"147,660","179,312","333,866",44.2%,53.7%,,"159,267","173,085","339,811",46.9%,50.9%
OH-08,,(R),,"124,478","211,436","341,543",36.4%,61.9%,,"133,182","210,494","349,366",38.1%,60.3%
OH-09,"Kaptur, Marcy",(D),,"217,146","99,223","321,454",67.6%,30.9%,,"227,380","107,587","340,297",66.8%,31.6%
OH-10,"Turner, Michael",(R),,"172,942","179,813","358,592",48.2%,50.1%,,"183,239","183,226","371,572",49.3%,49.3%
OH-11,"Fudge, Marcia",(D),,"298,788","59,753","361,124",82.7%,16.5%,,"303,165","63,609","369,582",82.0%,17.2%
OH-12,"Tiberi, Patrick",(R),,"167,441","207,387","381,462",43.9%,54.4%,,"167,870","201,574","375,123",44.8%,53.7%
OH-13,"Ryan, Tim",(D),,"212,616","119,625","337,776",62.9%,35.4%,,"222,155","127,685","356,854",62.3%,35.8%
OH-14,"Joyce, David",(R),,"179,769","192,270","377,833",47.6%,50.9%,,"189,099","190,379","385,186",49.1%,49.4%
OH-15,"Stivers, Steve",(R),,"161,227","180,443","347,923",46.3%,51.9%,,"161,592","183,103","350,655",46.1%,52.2%
OH-16,"Renacci, Jim",(R),,"169,108","199,650","374,209",45.2%,53.4%,,"180,871","196,473","383,030",47.2%,51.3%
OK-01,"Bridenstine, Jim",(R),,"98,321","188,961","287,282",34.2%,65.8%,,"113,915","204,018","317,933",35.8%,64.2%
OK-02,"Mullin, Markwayne",(R),,"81,179","170,983","252,162",32.2%,67.8%,,"93,714","179,570","273,285",34.3%,65.7%
OK-03,"Lucas, Frank",(R),,"70,346","199,390","269,736",26.1%,73.9%,,"80,196","216,033","296,229",27.1%,72.9%
OK-04,"Cole, Tom",(R),,"86,285","176,067","262,386",32.9%,67.1%,,"97,697","190,538","288,234",33.9%,66.1%
OK-05,"Russell, Steve",(R),,"107,416","155,924","263,306",40.8%,59.2%,,"116,973","170,007","286,981",40.8%,59.2%
OR-01,"Bonamici, Suzanne",(D),,"201,028","140,410","350,979",57.3%,40.0%,,"210,580","133,368","353,487",59.6%,37.7%
OR-02,"Walden, Greg",(R),,"139,940","196,568","345,883",40.5%,56.8%,,"153,867","191,430","355,690",43.3%,53.8%
OR-03,"Blumenauer, Earl",(D),,"267,966","91,827","372,036",72.0%,24.7%,,"275,349","91,804","377,498",72.9%,24.3%
OR-04,"DeFazio, Peter",(D),,"188,563","163,931","364,440",51.7%,45.0%,,"210,312","165,632","388,034",54.2%,42.7%
OR-05,"Schrader, Kurt",(D),,"172,991","161,439","342,657",50.5%,47.1%,,"187,183","156,240","353,154",53.0%,44.2%
PA-01,"Brady, Bob",(D),,"244,605","50,211","297,369",82.3%,16.9%,,"245,500","64,135","311,981",78.7%,20.6%
PA-02,"Fattah, Chaka",(D),,"338,543","33,525","374,459",90.4%,9.0%,,"347,855","33,390","382,621",90.9%,8.7%
PA-03,"Kelly, Mike",(R),,"132,484","171,121","307,771",43.0%,55.6%,,"149,873","169,166","323,368",46.3%,52.3%
PA-04,"Perry, Scott",(R),,"129,239","177,711","311,373",41.5%,57.1%,,"144,854","172,940","321,232",45.1%,53.8%
PA-05,"Thompson, Glenn",(R),,"119,958","165,210","290,085",41.4%,57.0%,,"146,536","160,134","311,074",47.1%,51.5%
PA-06,"Costello, Ryan",(R),,"165,916","174,379","344,797",48.1%,50.6%,,"186,460","161,570","351,615",53.0%,46.0%
PA-07,"Meehan, Pat",(R),,"177,252","183,955","365,247",48.5%,50.4%,,"192,275","179,384","375,376",51.2%,47.8%
PA-08,"Fitzpatrick, Michael",(R),,"177,940","178,195","360,589",49.3%,49.4%,,"198,505","170,472","373,060",53.2%,45.7%
PA-09,"Schuster, Bill",(R),,"100,907","176,724","281,321",35.9%,62.8%,,"120,433","170,305","294,304",40.9%,57.9%
PA-10,"Marino, Tom",(R),,"108,944","170,277","283,294",38.5%,60.1%,,"126,925","169,324","299,936",42.3%,56.5%
PA-11,"Barletta, Lou",(R),,"130,502","157,841","292,821",44.6%,53.9%,,"145,211","159,469","308,440",47.1%,51.7%
PA-12,"Rothfus, Keith",(R),,"141,918","200,396","346,617",40.9%,57.8%,,"161,241","195,077","360,576",44.7%,54.1%
PA-13,"Boyle, Brendan",(D),,"210,561","104,711","318,212",66.2%,32.9%,,"217,661","112,243","332,609",65.4%,33.7%
PA-14,"Doyle, Michael",(D),,"230,750","103,977","339,399",68.0%,30.6%,,"245,432","116,994","366,056",67.0%,32.0%
PA-15,"Dent, Charlie",(R),,"147,234","156,165","307,543",47.9%,50.8%,,"165,836","148,385","318,325",52.1%,46.6%
PA-16,"Pitts, Joe",(R),,"135,331","153,189","292,597",46.3%,52.4%,,"152,095","148,489","303,292",50.1%,49.0%
PA-17,"Cartwright, Matt",(D),,"156,019","121,870","281,710",55.4%,43.3%,,"174,446","128,440","306,601",56.9%,41.9%
PA-18,"Murphy, Tim",(R),,"142,178","200,985","346,855",41.0%,57.9%,,"155,226","195,970","354,760",43.8%,55.2%
RI-01,"Cicilline, David",(D),,"141,332","68,685","213,460",66.2%,32.2%,,"150,363","71,764","225,615",66.6%,31.8%
RI-02,"Langevin, Jim",(D),,"138,345","88,519","231,208",59.8%,38.3%,,"146,208","93,627","244,152",59.9%,38.3%
SC-01,"Sanford, Mark",(R),,"119,756","173,550","297,933",40.2%,58.3%,,"118,886","156,066","278,253",42.7%,56.1%
SC-02,"Wilson, Joe",(R),,"113,338","170,005","287,443",39.4%,59.1%,,"112,547","169,885","285,473",39.4%,59.5%
SC-03,"Duncan, Jeff",(R),,"89,494","170,173","263,638",33.9%,64.5%,,"93,525","169,190","266,523",35.1%,63.5%
SC-04,"Gowdy, Trey",(R),,"99,387","170,679","274,554",36.2%,62.2%,,"102,178","164,088","270,855",37.7%,60.6%
SC-05,"Mulvaney, Mick",(R),,"124,832","157,710","286,200",43.6%,55.1%,,"120,264","150,734","274,280",43.8%,55.0%
SC-06,"Clyburn, Jim",(D),,"195,131","77,299","275,266",70.9%,28.1%,,"191,945","79,266","273,907",70.1%,28.9%
SC-07,"Rice, Tom",(R),,"124,002","152,230","279,085",44.4%,54.5%,,"123,103","145,666","271,678",45.3%,53.6%
SD-AL,"Noem, Kristi",(R),,"145,039","210,610","363,809",39.9%,57.9%,,"170,924","203,054","381,975",44.7%,53.2%
TN-01,"Roe, Phil",(R),,"65,767","186,310","256,324",25.7%,72.7%,,"77,079","188,237","269,243",28.6%,69.9%
TN-02,"Duncan, John",(R),,"85,525","186,368","276,952",30.9%,67.3%,,"101,603","188,283","294,421",34.5%,64.0%
TN-03,"Fleischmann, Chuck",(R),,"95,226","171,838","271,565",35.1%,63.3%,,"106,560","175,163","285,533",37.3%,61.3%
TN-04,"DesJarlais, Scott",(R),,"86,133","169,977","260,182",33.1%,65.3%,,"97,643","170,600","272,380",35.8%,62.6%
TN-05,"Cooper, Jim",(D),,"152,939","116,229","273,794",55.9%,42.5%,,"170,190","122,232","296,073",57.5%,41.3%
TN-06,"Black, Diane",(R),,"82,297","192,662","278,928",29.5%,69.1%,,"97,072","188,258","289,881",33.5%,64.9%
TN-07,"Blackburn, Marsha",(R),,"92,042","183,757","279,796",32.9%,65.7%,,"103,884","178,286","285,870",36.3%,62.4%
TN-08,"Fincher, Steve",(R),,"100,213","201,645","305,053",32.9%,66.1%,,"110,590","203,070","316,873",34.9%,64.1%
TN-09,"Cohen, Steve",(D),,"200,568","53,544","255,982",78.4%,20.9%,,"222,816","65,047","289,475",77.0%,22.5%
TX-01,"Gohmert, Louie",(R),,"69,858","181,835","254,055",27.5%,71.6%,,"78,918","178,520","258,800",30.5%,69.0%
TX-02,"Poe, Ted",(R),,"88,751","157,094","249,569",35.6%,62.9%,,"91,087","150,665","243,439",37.4%,61.9%
TX-03,"Johnson, Sam",(R),,"93,290","175,383","272,664",34.2%,64.3%,,"100,440","165,158","267,545",37.5%,61.7%
TX-04,"Ratcliffe, John",(R),,"63,559","189,554","256,123",24.8%,74.0%,,"75,910","180,772","258,577",29.4%,69.9%
TX-05,"Hensarling, Jeb",(R),,"73,085","137,239","212,669",34.4%,64.5%,,"83,216","137,698","222,316",37.4%,61.9%
TX-06,"Barton, Joe",(R),,"103,444","146,985","253,795",40.8%,57.9%,,"109,854","148,503","259,993",42.3%,57.1%
TX-07,"Culberson, John",(R),,"92,499","143,631","239,767",38.6%,59.9%,,"96,866","140,692","239,081",40.5%,58.8%
TX-08,"Brady, Kevin",(R),,"55,273","195,742","254,167",21.7%,77.0%,,"61,357","171,408","234,270",26.2%,73.2%
TX-09,"Green, Al",(D),,"145,332","39,392","186,267",78.0%,21.1%,,"144,707","44,520","189,937",76.2%,23.4%
TX-10,"McCaul, Michael",(R),,"104,839","159,714","270,136",38.8%,59.1%,,"112,866","148,867","264,035",42.7%,56.4%
TX-11,"Conaway, Michael",(R),,"45,070","182,355","230,331",19.6%,79.2%,,"56,145","184,238","242,210",23.2%,76.1%
TX-12,"Granger, Kay",(R),,"79,147","166,992","249,826",31.7%,66.8%,,"89,718","161,030","252,637",35.5%,63.7%
TX-13,"Thornberry, Mac",(R),,"42,521","184,104","229,545",18.5%,80.2%,,"54,855","189,600","246,252",22.3%,77.0%
TX-14,"Weber, Randy",(R),,"97,958","147,213","248,073",39.5%,59.3%,,"102,902","139,304","243,755",42.2%,57.1%
TX-15,"Hinojosa, Ruben",(D),,"86,941","62,885","151,351",57.4%,41.5%,,"83,924","61,282","146,097",57.4%,41.9%
TX-16,"O'Rourke, Beto",(D),,"100,993","54,315","157,414",64.2%,34.5%,,"109,387","58,764","169,232",64.6%,34.7%
TX-17,"Flores, Bill",(R),,"84,531","135,309","224,079",37.7%,60.4%,,"95,884","135,738","233,690",41.0%,58.1%
TX-18,"Jackson-Lee, Sheila",(D),,"150,129","44,991","197,206",76.1%,22.8%,,"150,733","45,069","196,624",76.7%,22.9%
TX-19,"Neugebauer, Randy",(R),,"54,461","160,141","217,619",25.0%,73.6%,,"66,122","168,553","236,363",28.0%,71.3%
TX-20,"Castro, Joaquin",(D),,"110,663","74,540","187,835",58.9%,39.7%,,"115,579","80,667","197,670",58.5%,40.8%
TX-21,"Smith, Lamar",(R),,"119,220","188,241","314,591",37.9%,59.8%,,"133,581","178,531","314,971",42.4%,56.7%
TX-22,"Olson, Pete",(R),,"93,582","158,452","255,043",36.7%,62.1%,,"91,137","142,073","234,671",38.8%,60.5%
TX-23,"Hurd, Will",(R),,"94,420","99,666","196,410",48.1%,50.7%,,"96,871","95,679","193,782",50.0%,49.4%
TX-24,"Marchant, Kenny",(R),,"94,634","150,547","249,080",38.0%,60.4%,,"105,822","152,453","260,216",40.7%,58.6%
TX-25,"Williams, Roger",(R),,"102,433","162,279","270,807",37.8%,59.9%,,"117,402","153,998","274,061",42.8%,56.2%
TX-26,"Burgess, Michael",(R),,"80,828","177,941","263,196",30.7%,67.6%,,"90,791","166,877","259,505",35.0%,64.3%
TX-27,"Farenthold, Blake",(R),,"83,158","131,821","217,772",38.2%,60.5%,,"91,083","133,839","226,488",40.2%,59.1%
TX-28,"Cuellar, Henry",(D),,"101,843","65,372","168,874",60.3%,38.7%,,"92,557","65,066","158,418",58.4%,41.1%
TX-29,"Green, Gene",(D),,"75,720","37,909","114,901",65.9%,33.0%,,"70,286","41,843","112,823",62.3%,37.1%
TX-30,"Johnson, E.B.",(D),,"175,637","43,333","220,565",79.6%,19.6%,,"175,237","47,144","223,182",78.5%,21.1%
TX-31,"Carter, John",(R),,"92,842","144,634","242,714",38.3%,59.6%,,"103,359","135,601","241,425",42.8%,56.2%
TX-32,"Sessions, Pete",(R),,"106,563","146,420","256,873",41.5%,57.0%,,"117,231","147,226","266,302",44.0%,55.3%
TX-33,"Veasey, Mark",(D),,"86,686","32,641","120,480",72.0%,27.1%,,"90,180","40,290","131,182",68.7%,30.7%
TX-34,"Vela, Filemon",(D),,"90,885","57,303","149,511",60.8%,38.3%,,"90,178","58,707","149,742",60.2%,39.2%
TX-35,"Doggett, Lloyd",(D),,"105,545","57,989","167,467",63.0%,34.6%,,"111,790","62,764","176,150",63.5%,35.6%
TX-36,"Babin, Brian",(R),,"61,786","175,883","240,433",25.7%,73.2%,,"70,543","165,899","238,206",29.6%,69.6%
UT-01,"Bishop, Rob",(R),,"51,098","193,672","250,278",20.4%,77.4%,,"69,594","160,433","237,027",29.4%,67.7%
UT-02,"Stewart, Chris",(R),,"74,556","173,513","255,201",29.2%,68.0%,,"94,123","143,331","244,925",38.4%,58.5%
UT-03,"Chaffetz, Jason",(R),,"51,791","208,121","265,856",19.5%,78.3%,,"73,625","168,358","249,389",29.5%,67.5%
UT-04,"Love, Mia",(R),,"74,368","165,294","246,066",30.2%,67.2%,,"90,328","123,909","220,996",40.9%,56.1%
VA-01,"Wittman, Rob",(R),,"166,510","193,647","365,040",45.6%,53.0%,,"162,652","181,417","346,877",46.9%,52.3%
VA-02,"Rigell, Scott",(R),,"159,695","154,935","318,849",50.1%,48.6%,,"163,790","158,308","324,962",50.4%,48.7%
VA-03,"Scott, Bobby",(D),,"262,265","66,391","332,166",79.0%,20.0%,,"258,333","68,627","328,963",78.5%,20.9%
VA-04,"Forbes, Randy",(R),,"176,311","181,265","361,496",48.8%,50.1%,,"170,511","175,785","348,829",48.9%,50.4%
VA-05,"Hurt, Robert",(R),,"164,555","188,485","358,689",45.9%,52.5%,,"167,885","178,909","350,173",47.9%,51.1%
VA-06,"Goodlatte, Bob",(R),,"132,153","197,045","334,864",39.5%,58.8%,,"137,661","186,825","327,937",42.0%,57.0%
VA-07,"Brat, Dave",(R),,"163,331","222,915","391,482",41.7%,56.9%,,"161,442","205,672","370,105",43.6%,55.6%
VA-08,"Beyer, Don",(D),,"243,746","111,518","359,743",67.8%,31.0%,,"236,784","105,894","345,506",68.5%,30.6%
VA-09,"Griffith, Morgan",(R),,"108,641","196,354","311,291",34.9%,63.1%,,"123,424","179,007","306,770",40.2%,58.4%
VA-10,"Comstock, Barbara",(R),,"182,432","186,650","373,913",48.8%,49.9%,,"172,360","162,984","337,972",51.0%,48.2%
VA-11,"Connolly, Gerry",(D),,"212,181","123,317","339,710",62.5%,36.3%,,"204,691","121,578","328,810",62.3%,37.0%
VT-AL,"Welch, Peter",(D),,"199,239","92,698","297,247",67.0%,31.2%,,"219,262","98,974","323,582",67.8%,30.6%
WA-01,"DelBene, Suzan",(D),,"183,802","147,074","339,489",54.1%,43.3%,,"185,907","138,307","330,145",56.3%,41.9%
WA-02,"Larsen, Rick",(D),,"185,771","119,266","313,668",59.2%,38.0%,,"185,116","115,000","306,003",60.5%,37.6%
WA-03,"Herrera Beutler, Jaime",(R),,"145,442","150,409","303,483",47.9%,49.6%,,"151,296","139,890","297,159",50.9%,47.1%
WA-04,"Newhouse, Dan",(R),,"90,612","142,741","238,940",37.9%,59.7%,,"89,933","135,281","229,537",39.2%,58.9%
WA-05,"McMorris Rodgers, Cathy",(R),,"137,771","168,671","315,425",43.7%,53.5%,,"144,112","159,511","311,361",46.3%,51.2%
WA-06,"Kilmer, Derek",(D),,"184,820","135,573","329,190",56.1%,41.2%,,"186,336","133,689","326,650",57.0%,40.9%
WA-07,"McDermott, Jim",(D),,"310,828","70,973","392,419",79.2%,18.1%,,"302,597","67,921","376,324",80.4%,18.0%
WA-08,"Reichert, David",(R),,"155,982","151,069","313,967",49.7%,48.1%,,"154,691","140,555","300,545",51.5%,46.8%
WA-09,"Smith, Adam",(D),,"195,863","84,828","286,875",68.3%,29.6%,,"187,240","81,733","272,928",68.6%,29.9%
WA-10,"Heck, Denny",(D),,"164,505","120,066","292,060",56.3%,41.1%,,"163,623","117,330","286,226",57.2%,41.0%
WI-01,"Ryan, Paul",(R),,"179,872","195,835","379,184",47.4%,51.6%,,"185,716","175,988","365,858",50.8%,48.1%
