,,,,2016,,,,,,2012,,,,,,2008,,,,
CD,Incumbent,Party,,Clinton,Trump,Total,Clinton%,Trump%,,Obama,Romney,Total,Obama%,Romney%,,Obama,McCain,Total,Obama%,McCain%
CA-15,"Swalwell, Eric",(D),,"198,964","68,808","284,536",69.9%,24.2%,,"177,243","77,748","260,611",68.0%,29.8%,,,,,,
CA-16,"Costa, Jim",(D),,"98,504","61,813","169,964",58.0%,36.4%,,"88,973","59,808","151,953",58.6%,39.4%,,,,,,
CA-17,"Khanna, Ro",(D),,"183,801","50,926","248,695",73.9%,20.5%,,"163,862","58,193","227,806",71.9%,25.5%,,,,,,
CA-18,"Eshoo, Anna",(D),,"246,015","67,808","335,138",73.4%,20.2%,,"218,082","92,457","319,615",68.2%,28.9%,,,,,,
CA-19,"Lofgren, Zoe",(D),,"187,828","55,371","257,624",72.9%,21.5%,,"165,530","61,643","232,442",71.2%,26.5%,,,,,,
CA-20,"Panetta, Jimmy",(D),,"180,486","59,573","256,538",70.4%,23.2%,,"168,956","62,427","238,341",70.9%,26.2%,,,,,,
CA-21,"Valadao, David",(R),,"73,773","52,972","133,544",55.2%,39.7%,,"65,146","51,917","119,232",54.6%,43.5%,,,,,,
CA-22,"Nunes, Devin",(R),,"102,292","125,089","240,137",42.6%,52.1%,,"92,005","125,213","221,278",41.6%,56.6%,,,,,,
CA-23,"McCarthy, Kevin",(R),,"88,314","142,351","244,864",36.1%,58.1%,,"82,119","139,816","227,297",36.1%,61.5%,,,,,,
CA-24,"Carbajal, Salud",(D),,"176,979","113,887","312,160",56.7%,36.5%,,"158,119","126,049","292,406",54.1%,43.1%,,,,,,
CA-25,"Knight, Steve",(R),,"137,491","119,249","273,218",50.3%,43.6%,,"120,701","125,258","252,249",47.8%,49.7%,,,,,,
CA-26,"Brownley, Julia",(D),,"169,083","105,259","292,232",57.9%,36.0%,,"147,753","119,677","273,647",54.0%,43.7%,,,,,,
CA-27,"Chu, Judy",(D),,"174,544","74,984","264,466",66.0%,28.4%,,"161,528","90,278","257,970",62.6%,35.0%,,,,,,
CA-28,"Schiff, Adam",(D),,"208,645","64,607","289,254",72.1%,22.3%,,"187,441","70,757","266,628",70.3%,26.5%,,,,,,
CA-29,"Cardenas, Tony",(D),,"152,517","32,963","196,196",77.7%,16.8%,,"129,323","34,454","167,889",77.0%,20.5%,,,,,,
CA-30,"Sherman, Brad",(D),,"209,149","77,701","302,805",69.1%,25.7%,,"186,301","91,680","285,226",65.3%,32.1%,,,,,,
CA-31,"Aguilar, Pete",(D),,"131,960","83,701","228,825",57.7%,36.6%,,"118,043","83,822","206,242",57.2%,40.6%,,,,,,
CA-32,"Napolitano, Grace",(D),,"146,459","60,921","220,046",66.6%,27.7%,,"133,061","66,269","204,169",65.2%,32.5%,,,,,,
CA-33,"Lieu, Ted",(D),,"239,982","93,706","353,897",67.8%,26.5%,,"210,010","127,421","346,504",60.6%,36.8%,,,,,,
CA-34,"Gomez, Jimmy",(D),,"154,259","19,784","184,601",83.6%,10.7%,,"127,510","21,739","153,699",83.0%,14.1%,,,,,,
CA-35,"Torres, Norma",(D),,"127,757","50,822","188,611",67.7%,26.9%,,"108,983","49,433","161,732",67.4%,30.6%,,,,,,
CA-36,"Ruiz, Raul",(D),,"123,795","103,051","237,370",52.2%,43.4%,,"107,914","101,156","212,939",50.7%,47.5%,,,,,,
CA-37,"Bass, Karen",(D),,"236,621","26,608","276,134",85.7%,9.6%,,"222,329","33,307","261,858",84.9%,12.7%,,,,,,
CA-38,"Sanchez, Linda",(D),,"166,224","68,033","248,224",67.0%,27.4%,,"149,141","75,780","229,875",64.9%,33.0%,,,,,,
CA-39,"Royce, Ed",(R),,"140,230","116,782","272,471",51.5%,42.9%,,"124,108","133,742","263,530",47.1%,50.8%,,,,,,
CA-40,"Roybal-Allard, Lucille",(D),,"135,472","21,077","164,714",82.2%,12.8%,,"115,637","23,446","141,918",81.5%,16.5%,,,,,,
CA-41,"Takano, Mark",(D),,"126,197","68,526","206,961",61.0%,33.1%,,"114,040","67,314","185,429",61.5%,36.3%,,,,,,
CA-42,"Calvert, Ken",(R),,"111,103","143,175","268,305",41.4%,53.4%,,"96,212","131,438","232,520",41.4%,56.5%,,,,,,
CA-43,"Waters, Maxine",(D),,"183,434","39,039","234,060",78.4%,16.7%,,"173,342","44,485","222,219",78.0%,20.0%,,,,,,
CA-44,"Barragan, Nanette",(D),,"164,251","24,261","197,802",83.0%,12.3%,,"155,459","24,995","183,586",84.7%,13.6%,,,,,,
CA-45,"Walters, Mimi",(R),,"162,449","144,713","325,967",49.8%,44.4%,,"133,114","169,489","309,399",43.0%,54.8%,,,,,,
CA-46,"Correa, Lou",(D),,"119,762","50,403","180,750",66.3%,27.9%,,"95,479","56,252","155,493",61.4%,36.2%,,,,,,
CA-47,"Lowenthal, Alan",(D),,"161,743","80,162","258,320",62.6%,31.0%,,"147,456","92,010","245,624",60.0%,37.5%,,,,,,
CA-48,"Rohrabacher, Dana",(R),,"152,035","146,595","317,328",47.9%,46.2%,,"133,103","169,249","309,496",43.0%,54.7%,,,,,,
CA-49,"Issa, Darrell",(R),,"159,081","135,576","314,011",50.7%,43.2%,,"134,447","153,856","294,468",45.7%,52.2%,,,,,,
CA-50,"Hunter, Duncan",(R),,"115,864","159,822","292,878",39.6%,54.6%,,"102,649","165,104","273,289",37.6%,60.4%,,,,,,
CA-51,"Vargas, Juan",(D),,"147,603","46,825","205,437",71.8%,22.8%,,"115,610","48,108","166,684",69.4%,28.9%,,,,,,
CA-52,"Peters, Scott",(D),,"191,325","117,057","329,258",58.1%,35.6%,,"163,911","143,726","314,748",52.1%,45.7%,,,,,,
CA-53,"Davis, Susan",(D),,"200,237","91,822","310,373",64.5%,29.6%,,"174,616","103,513","284,333",61.4%,36.4%,,,,,,
CO-01,"DeGette, Diana",(D),,"277,790","93,486","402,453",69.0%,23.2%,,"254,400","106,334","368,798",69.0%,28.8%,,"238,267","92,818","336,293",70.9%,27.6%
CO-02,"Polis, Jared",(D),,"264,966","164,769","471,464",56.2%,34.9%,,"255,209","174,095","440,652",57.9%,39.5%,,"255,063","154,884","416,822",61.2%,37.2%
CO-03,"Tipton, Scott",(R),,"151,057","195,966","377,176",40.0%,52.0%,,"163,886","185,459","358,045",45.8%,51.8%,,"166,259","171,205","343,167",48.4%,49.9%
CO-04,"Buck, Ken",(R),,"137,784","230,945","402,201",34.3%,57.4%,,"140,404","209,415","357,971",39.2%,58.5%,,"138,609","186,271","330,465",41.9%,56.4%
CO-05,"Lamborn, Doug",(R),,"123,537","212,558","371,829",33.2%,57.2%,,"129,903","200,491","339,143",38.3%,59.1%,,"127,252","188,389","320,557",39.7%,58.8%
CO-06,"Coffman, Mike",(R),,"191,099","157,115","380,526",50.2%,41.3%,,"183,024","165,070","354,989",51.6%,46.5%,,"175,007","146,589","326,232",53.6%,44.9%
CO-07,"Perlmutter, Ed",(D),,"192,637","147,645","374,571",51.4%,39.4%,,"196,276","144,379","349,920",56.1%,41.3%,,"187,678","133,184","327,142",57.4%,40.7%
CT-01,"Larson, John",(D),,"195,305","119,395","328,774",59.4%,36.3%,,"200,960","112,982","317,496",63.3%,35.6%,,"220,181","110,296","334,807",65.8%,32.9%
CT-02,"Courtney, Joe",(D),,"165,799","155,975","340,758",48.7%,45.8%,,"177,544","135,235","317,687",55.9%,42.6%,,"199,414","136,155","340,366",58.6%,40.0%
CT-03,"DeLauro, Rosa",(D),,"179,832","129,968","321,837",55.9%,40.4%,,"191,296","110,912","305,600",62.6%,36.3%,,"203,090","117,258","324,233",62.6%,36.2%
CT-04,"Himes, Jim",(D),,"195,494","119,976","328,198",59.6%,36.6%,,"170,884","136,600","310,284",55.1%,44.0%,,"192,941","128,653","323,755",59.6%,39.7%
CT-05,"Esty, Elizabeth",(D),,"161,142","147,901","322,737",49.9%,45.8%,,"164,621","139,347","307,553",53.5%,45.3%,,"182,147","137,066","323,202",56.4%,42.4%
DE-AL,"Blunt Rochester, Lisa",(D),,"235,603","185,127","441,590",53.4%,41.9%,,"242,584","165,484","413,890",58.6%,40.0%,,"255,459","152,374","412,412",61.9%,36.9%
FL-01,"Gaetz, Matt",(R),,"107,063","256,609","380,100",28.2%,67.5%,,,,,,,,,,,,
FL-02,"Dunn, Neal",(R),,"108,636","234,991","354,948",30.6%,66.2%,,,,,,,,,,,,
FL-03,"Yoho, Ted",(R),,"141,362","197,478","351,688",40.2%,56.2%,,,,,,,,,,,,
FL-04,"Rutherford, John",(R),,"143,675","261,826","421,618",34.1%,62.1%,,,,,,,,,,,,
FL-05,"Lawson, Al",(D),,"191,194","111,892","312,071",61.3%,35.9%,,,,,,,,,,,,
FL-06,,(R),,"151,453","215,941","379,804",39.9%,56.9%,,,,,,,,,,,,
FL-07,"Murphy, Stephanie",(D),,"186,658","160,178","363,186",51.4%,44.1%,,,,,,,,,,,,
FL-08,"Posey, Bill",(R),,"151,412","234,648","401,911",37.7%,58.4%,,,,,,,,,,,,
FL-09,"Soto, Darren",(D),,"195,368","149,352","356,530",54.8%,41.9%,,,,,,,,,,,,
FL-10,"Demings, Val",(D),,"194,934","110,062","315,611",61.8%,34.9%,,,,,,,,,,,,
FL-11,"Webster, Dan",(R),,"133,448","266,256","410,998",32.5%,64.8%,,,,,,,,,,,,
FL-12,"Bilirakis, Gus",(R),,"147,759","218,487","380,357",38.8%,57.4%,,,,,,,,,,,,
FL-13,"Crist, Charlie",(D),,"178,892","167,348","360,760",49.6%,46.4%,,,,,,,,,,,,
FL-14,"Castor, Kathy",(D),,"188,870","128,797","330,433",57.2%,39.0%,,,,,,,,,,,,
FL-15,"Ross, Dennis",(R),,"144,225","177,635","334,518",43.1%,53.1%,,,,,,,,,,,,
FL-16,"Buchanan, Vern",(R),,"170,442","213,271","396,807",43.0%,53.7%,,,,,,,,,,,,
FL-17,"Rooney, Tom",(R),,"123,919","220,156","353,861",35.0%,62.2%,,,,,,,,,,,,
FL-18,"Mast, Brian",(R),,"168,558","203,771","382,474",44.1%,53.3%,,,,,,,,,,,,
FL-19,"Rooney, Francis",(R),,"143,001","227,097","381,158",37.5%,59.6%,,,,,,,,,,,,
FL-20,"Hastings, Alcee",(D),,"231,596","52,251","288,811",80.2%,18.1%,,,,,,,,,,,,
FL-21,"Frankel, Lois",(D),,"206,239","137,490","351,661",58.6%,39.1%,,,,,,,,,,,,
FL-22,"Deutch, Ted",(D),,"202,355","146,228","356,482",56.8%,41.0%,,,,,,,,,,,,
FL-23,"Wasserman Schultz, Debbie",(D),,"209,079","120,967","337,782",61.9%,35.8%,,,,,,,,,,,,
FL-24,"Wilson, Frederica",(D),,"219,783","40,817","265,174",82.9%,15.4%,,,,,,,,,,,,
FL-25,"Diaz-Balart, Mario",(R),,"126,668","131,319","264,353",47.9%,49.7%,,,,,,,,,,,,
FL-26,"Curbelo, Carlos",(R),,"164,252","117,205","289,225",56.8%,40.5%,,,,,,,,,,,,
FL-27,"Ros-Lehtinen, Ileana",(R),,"174,132","115,814","297,564",58.5%,38.9%,,,,,,,,,,,,
GA-01,"Carter, Buddy",(R),,"110,190","151,996","269,568",40.9%,56.4%,,"111,949","145,460","260,148",43.0%,55.9%,,"116,029","143,603","261,140",44.4%,55.0%
GA-02,"Bishop, Sanford",(D),,"136,455","107,361","248,103",55.0%,43.3%,,"153,998","107,242","262,837",58.6%,40.8%,,"155,809","112,005","269,039",57.9%,41.6%
GA-03,"Ferguson, Drew",(R),,"102,155","200,624","311,865",32.8%,64.3%,,"97,746","195,071","296,218",33.0%,65.9%,,"100,498","193,264","296,017",34.0%,65.3%
GA-04,"Johnson, Hank",(D),,"224,907","66,433","298,663",75.3%,22.2%,,"218,499","75,951","296,933",73.6%,25.6%,,"225,977","81,136","308,702",73.2%,26.3%
GA-05,"Lewis, John",(D),,"259,805","36,385","305,754",85.0%,11.9%,,"241,217","45,887","290,359",83.1%,15.8%,,"262,388","46,724","311,008",84.4%,15.0%
GA-06,"Handel, Karen",(R),,"155,077","160,022","331,246",46.8%,48.3%,,"115,017","186,807","307,096",37.5%,60.8%,,"120,560","177,477","300,950",40.1%,59.0%
GA-07,"Woodall, Rob",(R),,"132,012","150,845","294,972",44.8%,51.1%,,"101,065","158,854","263,742",38.3%,60.2%,,"99,165","152,310","253,576",39.1%,60.1%
GA-08,"Scott, Austin",(R),,"91,360","168,193","265,514",34.4%,63.3%,,"99,677","163,908","265,963",37.5%,61.6%,,"100,004","162,850","264,482",37.8%,61.6%
GA-09,"Collins, Doug",(R),,"57,468","231,194","297,215",19.3%,77.8%,,"54,388","207,498","265,551",20.5%,78.1%,,"64,381","198,004","265,060",24.3%,74.7%
GA-10,"Hice, Jodi",(R),,"112,691","193,030","315,073",35.8%,61.3%,,"107,039","184,160","294,851",36.3%,62.5%,,"113,346","176,532","292,252",38.8%,60.4%
GA-11,"Loudermilk, Barry",(R),,"116,457","198,813","329,615",35.3%,60.3%,,"94,447","201,014","300,276",31.5%,66.9%,,"102,718","190,544","296,160",34.7%,64.3%
GA-12,"Allen, Rick",(R),,"108,937","152,204","267,674",40.7%,56.9%,,"117,085","148,688","268,283",43.6%,55.4%,,"116,658","147,742","265,819",43.9%,55.6%
GA-13,"Scott, David",(D),,"213,936","80,157","301,238",71.0%,26.6%,,"202,794","87,785","292,880",69.2%,30.0%,,"199,839","96,244","297,602",67.1%,32.3%
GA-14,"Graves, Tom",(R),,"56,513","191,849","255,872",22.1%,75.0%,,"58,906","170,364","232,702",25.3%,73.2%,,"66,752","170,324","239,806",27.8%,71.0%
HI-01,"Hanabusa, Colleen",(D),,"132,009","63,916","209,300",63.1%,30.5%,,"151,023","62,875","216,671",69.7%,29.0%,,"156,408","63,007","222,577",70.3%,28.3%
HI-02,"Gabbard, Tulsi",(D),,"134,882","64,931","219,637",61.4%,29.6%,,"155,635","58,140","218,026",71.4%,26.7%,,"169,463","57,559","230,991",73.4%,24.9%
IA-01,"Blum, Rod",(R),,"176,535","190,410","390,934",45.2%,48.7%,,"225,585","170,753","401,501",56.2%,42.5%,,"227,310","156,980","388,667",58.5%,40.4%
IA-02,"Loebsack, David",(D),,"170,796","186,384","379,959",45.0%,49.1%,,"219,946","168,534","394,310",55.8%,42.7%,,"219,565","159,959","384,369",57.1%,41.6%
IA-03,"Young, David",(R),,"181,524","195,740","403,191",45.0%,48.5%,,"203,622","186,645","395,798",51.4%,47.2%,,"197,112","173,967","375,933",52.4%,46.3%
IA-04,"King, Steve",(R),,"127,401","231,229","379,900",33.5%,60.9%,,"173,391","204,685","383,129",45.3%,53.4%,,"184,953","191,473","381,114",48.5%,50.2%
ID-01,"Labrador, Raul",(R),,"91,284","229,034","359,661",25.4%,63.7%,,"105,645","213,080","328,258",32.2%,64.9%,,"115,925","206,273","329,856",35.1%,62.5%
ID-02,"Simpson, Mike",(R),,"98,481","180,021","330,594",29.8%,54.5%,,"107,142","207,831","324,016",33.1%,64.1%,,"120,515","196,739","325,176",37.1%,60.5%
IL-01,"Rush, Bobby",(D),,"245,908","69,956","326,175",75.4%,21.4%,,"262,668","67,367","332,726",78.9%,20.2%,,"288,077","66,262","356,028",80.9%,18.6%
IL-02,"Kelly, Robin",(D),,"236,726","58,024","303,622",78.0%,19.1%,,"251,147","57,674","311,173",80.7%,18.5%,,"269,943","60,734","332,652",81.1%,18.3%
IL-03,"Lipinski, Dan",(D),,"157,383","113,779","284,970",55.2%,39.9%,,"143,676","109,396","256,893",55.9%,42.6%,,"159,475","110,701","273,174",58.4%,40.5%
IL-04,"Gutierrez, Luis",(D),,"172,374","27,807","209,931",82.1%,13.2%,,"137,065","28,899","169,434",80.9%,17.1%,,"144,949","32,767","180,051",80.5%,18.2%
IL-05,"Quigley, Mike",(D),,"229,937","78,069","326,036",70.5%,23.9%,,"188,324","90,747","285,239",66.0%,31.8%,,"214,869","88,466","307,613",69.9%,28.8%
IL-06,"Roskam, Peter",(R),,"177,578","152,909","353,766",50.2%,43.2%,,"151,937","179,606","336,936",45.1%,53.3%,,"179,195","165,272","349,055",51.3%,47.3%
IL-07,"Davis, Danny",(D),,"271,100","28,580","310,159",87.4%,9.2%,,"264,185","35,713","302,887",87.2%,11.8%,,"284,117","31,528","317,655",89.4%,9.9%
IL-08,"Krishnamoorthi, Raja",(D),,"148,233","92,926","255,064",58.1%,36.4%,,"133,206","95,031","232,123",57.4%,40.9%,,"150,851","91,057","245,234",61.5%,37.1%
IL-09,"Schakowsky, Jan",(D),,"238,096","84,456","339,587",70.1%,24.9%,,"200,656","102,689","308,492",65.0%,33.3%,,"222,256","98,111","324,117",68.6%,30.3%
IL-10,"Schneider, Brad",(D),,"178,857","94,108","288,303",62.0%,32.6%,,"157,397","112,555","273,616",57.5%,41.1%,,"180,786","103,178","287,009",63.0%,35.9%
IL-11,"Foster, Bill",(D),,"164,632","99,104","279,620",58.9%,35.4%,,"152,265","107,028","263,345",57.8%,40.6%,,"168,654","102,909","273,024",61.8%,37.7%
IL-12,"Bost, Mike",(R),,"126,817","173,693","315,846",40.2%,55.0%,,"154,346","149,339","310,294",49.7%,48.1%,,"179,180","142,724","327,336",54.7%,43.6%
IL-13,"Davis, Rodney",(R),,"141,541","159,013","319,979",44.2%,49.7%,,"146,442","147,377","301,088",48.6%,48.9%,,"175,215","139,650","320,653",54.6%,43.6%
IL-14,"Hultgren, Randy",(R),,"153,989","167,348","343,417",44.8%,48.7%,,"139,858","171,582","316,591",44.2%,54.2%,,"163,089","155,194","326,086",50.0%,47.6%
IL-15,"Shimkus, John",(R),,"78,574","226,605","320,442",24.5%,70.7%,,"105,065","197,243","308,463",34.1%,63.9%,,"139,536","180,694","325,930",42.8%,55.4%
IL-16,"Kinzinger, Adam",(R),,"119,542","173,093","311,988",38.3%,55.5%,,"137,165","160,606","303,685",45.2%,52.9%,,"161,286","155,210","322,096",50.1%,48.2%
IL-17,"Bustos, Cheri",(D),,"133,999","136,017","287,103",46.7%,47.4%,,"169,702","119,753","294,701",57.6%,40.6%,,"185,705","119,094","309,647",60.0%,38.5%
IL-18,"LaHood, Darin",(R),,"115,442","210,529","347,134",33.3%,60.6%,,"125,036","202,785","334,302",37.4%,60.7%,,"152,164","187,626","345,204",44.1%,54.4%
IN-01,"Visclosky, Pete",(D),,"162,358","124,638","300,283",54.1%,41.5%,,"182,021","111,217","297,470",61.2%,37.4%,,"194,518","109,940","307,118",63.3%,35.8%
IN-02,"Walorski, Jackie",(R),,"99,496","163,539","275,940",36.1%,59.3%,,"116,324","154,841","276,012",42.1%,56.1%,,"145,652","144,955","293,830",49.6%,49.3%
IN-03,"Banks, Jim",(R),,"87,699","189,587","291,189",30.1%,65.1%,,"102,534","179,628","287,231",35.7%,62.5%,,"126,595","164,895","294,424",43.0%,56.0%
IN-04,"Rokita, Todd",(R),,"91,269","194,408","302,381",30.2%,64.3%,,"103,103","170,245","279,662",36.9%,60.9%,,"134,036","162,956","300,714",44.6%,54.2%
IN-05,"Brooks, Susan",(R),,"150,095","193,022","363,624",41.3%,53.1%,,"139,300","196,744","342,165",40.7%,57.5%,,"159,614","180,400","342,865",46.6%,52.6%
IN-06,"Messer, Luke",(R),,"82,498","204,129","301,524",27.4%,67.7%,,"106,371","172,456","285,361",37.3%,60.4%,,"133,163","167,842","305,271",43.6%,55.0%
IN-07,"Carson, Andre",(D),,"156,039","95,662","264,389",59.0%,36.2%,,"164,902","92,674","262,188",62.9%,35.3%,,"185,588","91,870","279,737",66.3%,32.8%
IN-08,"Bucshon, Larry",(R),,"92,891","194,319","300,787",30.9%,64.6%,,"116,465","171,648","294,054",39.6%,58.4%,,"149,097","156,720","309,712",48.1%,50.6%
IN-09,"Hollingsworth, Trey",(R),,"110,858","198,117","324,509",34.2%,61.1%,,"123,436","173,433","303,390",40.7%,57.2%,,"145,776","166,069","315,274",46.2%,52.7%
KS-01,"Marshall, Roger",(R),,"64,389","183,448","264,764",24.3%,69.3%,,"72,699","184,288","263,027",27.6%,70.1%,,"87,634","189,890","282,699",31.0%,67.2%
KS-02,"Jenkins, Lynn",(R),,"110,596","165,000","295,657",37.4%,55.8%,,"124,370","163,082","294,487",42.2%,55.4%,,"145,750","170,059","322,079",45.3%,52.8%
KS-03,"Yoder, Kevin",(R),,"161,479","157,304","341,967",47.2%,46.0%,,"146,406","177,886","330,486",44.3%,53.8%,,"168,907","172,831","346,297",48.8%,49.9%
KS-04,"Estes, Ron",(R),,"90,541","165,266","274,547",33.0%,60.2%,,"96,433","164,553","267,116",36.1%,61.6%,,"112,474","166,876","284,727",39.5%,58.6%
KY-01,"Comer, James",(R),,"74,179","224,657","310,299",23.9%,72.4%,,"95,273","197,074","296,791",32.1%,66.4%,,"111,030","185,529","301,253",36.9%,61.6%
KY-02,"Guthrie, Brett",(R),,"89,563","219,152","324,512",27.6%,67.5%,,"103,432","186,207","294,280",35.1%,63.3%,,"111,139","183,813","299,109",37.2%,61.5%
KY-03,"Yarmuth, John",(D),,"186,549","135,714","340,043",54.9%,39.9%,,"183,015","140,539","328,389",55.7%,42.8%,,"193,236","147,121","343,778",56.2%,42.8%
KY-04,"Massie, Thomas",(R),,"98,664","219,749","337,149",29.3%,65.2%,,"108,328","197,131","311,035",34.8%,63.4%,,"115,487","191,855","312,017",37.0%,61.5%
KY-05,"Rogers, Hal",(R),,"48,628","221,558","278,383",17.5%,79.6%,,"60,785","196,167","261,483",23.2%,75.0%,,"82,637","174,307","261,555",31.6%,66.6%
KY-06,"Barr, Andy",(R),,"131,271","182,141","333,012",39.4%,54.7%,,"128,537","170,076","304,861",42.2%,55.8%,,"138,456","165,837","308,776",44.8%,53.7%
LA-01,"Scalise, Steve",(R),,"95,169","244,907","356,482",26.7%,68.7%,,"89,418","235,877","332,923",26.9%,70.9%,,"81,515","233,789","321,682",25.3%,72.7%
