...1,year,state,state_po,special,geography,dem,rep,totalvotes,dem_cand,rep_cand,dem_inc,rep_inc,dem_funds,rep_funds,2party_votes,dem_pct_2p,rep_pct_2p,dem_tot_funds,rep_tot_funds,tot_funds,dem_funds_2p_pct,rep_funds_2p_pct,dem_poll_avg,dem_effn,rep_poll_avg,rep_effn,prev_lean,prev2_lean,dem_2p_prev,dem_2p_prev2,cvap_white_pct,cvap_aapi_pct,cvap_hisp_pct,cvap_black_pct,cvap_natam_pct,college,urban,rural,urban_pct,rural_pct,demo_cluster,no_dem_cand_flag,no_rep_cand_flag,dem_inc_any,rep_inc_any,dem_inc_dummy,rep_inc_dummy,pvi,census_region,dem_scandal_score,rep_scandal_score,net_scandal_score,dem_stand,rep_stand,inc_dummy,chamber,generic_ballot_avg,polarization,dem_funds_2p_pct_sqrd,effn,sqrt_effn,poll_margin,dem_pct_2p_offset,baseline,funds_pct_margin,y_pred,y_act,y_pred_sd,fund_chances,abs_err,err,z,in_95_ci,in_68_ci,index
169,2024,Arizona,AZ,FALSE,Arizona,1676335,1595761,3347964,Ruben Gallego,Kari Lake,False,False,59385707.27,23239868.42,3272096,51.23122915709074,48.768770842909255,59385707.27,23239868.42,82625575.69,71.8732750411412,28.126724958858805,49.457732121770206,24.28094091344547,45.18576531847148,24.28094091344547,-2.1130032450771594,-3.003312331752334,47.20584103913332,50.15683167912931,61.913244434560674,2.9262930053259626,24.34606886261511,4.451431112967655,3.3286702673950264,33.33559325364658,6385230,766272,89.28515995660771,10.714840043392284,0,FALSE,FALSE,FALSE,FALSE,0,0,-2.335580516745953,Mountain,0,0,0,Ruben Gallego,Kari Lake,0,Senate,-0.8352436655714882,0.9828210320037504,5165.76766513953,24.28094091344547,4.927569473223637,-4.271966803298724,1.2312291570907377,-3.8359173679204175,43.7465500822824,54.372840511111065,51.23122915709074,3.6690813318934814,88.425,3.141611354020327,3.141611354020327,0.8562392244379751,TRUE,TRUE,1
170,2024,California,CA,FALSE,California,9036252,6312594,15348846,Adam Schiff,Steve Garvey,False,False,45110628.66,20239043.43,15348846,58.872517191194696,41.1274828088053,45110628.66,20239043.43,65349672.09,69.0296174675113,30.97038253248869,57.80244213134141,5.60654449926256,34.79319895095883,5.60654449926256,12.639076436461089,15.014931612017016,60.40014257179834,64.90891136066756,42.658592059086544,15.153477507010638,32.366808025489206,6.278721821748288,0.31790715624782,37.082883331437294,37259490,2278733,94.23663273890683,5.763367261093146,6,FALSE,FALSE,FALSE,FALSE,0,0,13.23304023035007,Pacific,0,0,0,Adam Schiff,Steve Garvey,0,Senate,-0.8352436655714882,0.9828210320037504,4765.088087710941,5.60654449926256,2.3678142873254564,-23.009243180382576,8.872517191194696,27.30132412627163,38.05923493502261,63.613441871755384,58.872517191194696,3.6105718750647244,99.9875,4.740924680560688,4.740924680560688,1.3130675263113827,TRUE,FALSE,2
171,2024,Connecticut,CT,FALSE,Connecticut,953646,678256,1708259,Chris Murphy,Matthew Corey,True,False,12056273.92,238005.52,1631902,58.43770030308193,41.56229969691808,12056273.92,238005.52,12294279.44,98.06409540988928,1.935904590110732,51,0.2503516823133727,35,0.2503516823133727,7.925214163871374,6.028258586550756,57.37823248625917,60.195049088077845,70.70244754837782,3.528852099923443,13.726425915544992,9.853234205377497,0.0951430130147682,42.47513489476173,3110153,495791,86.25072935131548,13.749270648684506,0,FALSE,FALSE,TRUE,FALSE,1,0,7.450975269541219,New England,0,0,0,Chris Murphy,Matthew Corey,1,Senate,-0.8352436655714882,0.9828210320037504,9616.566808559866,0.2503516823133727,0.5003515587198392,-16,8.437700303081932,15.737194204653926,96.12819081977855,58.55747563670229,58.43770030308193,3.3875762780070082,99.425,0.11977533362036041,0.11977533362036041,0.0353572359087445,TRUE,TRUE,3
172,2024,Delaware,DE,FALSE,Delaware,283298,197753,500606,Lisa Blunt Rochester,Eric Hansen,False,False,6039846.28,131912.56,481051,58.891468887914165,41.10853111208583,6039846.28,131912.56,6171758.84,97.86264234524108,2.1373576547589144,52.1,0.1461178763730557,31.6,0.1461178763730557,7.356909240777995,4.88533251296834,57.47923564149817,59.626744164984466,66.18528125384432,3.0071429132302248,6.8483236794509725,21.10784516446499,0.148276304321083,35.76462843201797,817817,172131,82.61211700008485,17.387882999915146,2,FALSE,FALSE,FALSE,FALSE,0,0,6.739015058825581,South Atlantic,0,0,0,Lisa Blunt Rochester,Eric Hansen,0,Senate,-0.8352436655714882,0.9828210320037504,9577.096766792574,0.1461178763730557,0.38225368065337934,-20.5,8.891468887914165,14.31327378322265,95.72528469048218,58.47292430015118,58.891468887914165,3.650690018989319,98.97500000000001,0.4185445877629874,-0.4185445877629874,-0.1146480762776074,TRUE,TRUE,4
173,2024,Florida,FL,FALSE,Florida,4603077,5977706,10757428,Debbie Mucarsel-Powell,Rick Scott,False,True,34482940.4,5556639.68,10580783,43.50412441120851,56.49587558879149,34482940.4,5556639.68,40039580.08,86.12213297717481,13.87786702282518,44.87874747854771,12.999979275986872,49.507597154683815,12.999979275986872,-3.9645895863480263,-1.7321244034883565,43.3889305665077,48.305245337858445,59.123536680874665,2.558972426577137,21.89372462367998,14.26608157177248,0.1124025839123292,34.14672426117178,19714806,1823381,91.53419459121604,8.465805408783943,0,FALSE,FALSE,FALSE,TRUE,0,1,-3.4064732906331088,South Atlantic,0,0,0,Debbie Mucarsel-Powell,Rick Scott,-1,Senate,-0.8352436655714882,0.9828210320037504,7417.021788538182,12.999979275986872,3.605548401559307,4.628849676136106,-6.495875588791492,-5.97770291569473,72.24426595434964,47.29746803288014,43.50412441120851,3.618507070441385,22.6,3.7933436216716316,3.7933436216716316,1.0483173164586135,TRUE,FALSE,5
174,2024,Hawaii,HI,FALSE,Hawaii,324194,160075,501763,Mazie Hirono,Bob McDermott,True,False,2064894.06,18912.6,484269,66.94502435629785,33.05497564370216,2064894.06,18912.6,2083806.66,99.0924014034968,0.90759859650319,0,0,0,0,12.762829722308418,16.32804851982258,61.7803258306115,65.03266464651489,24.67912884251212,46.13432636259413,8.214396458777243,1.9809378588612596,0.12498210138722546,36.13862203054367,1252450,202821,86.06300819572436,13.93699180427563,6,FALSE,FALSE,TRUE,FALSE,1,0,13.654134421686958,Pacific,0,0,0,Mazie Hirono,Bob McDermott,1,Senate,-0.8352436655714882,0.9828210320037504,9819.304015911734,0,0,0,16.94502435629785,28.143512508945406,98.18480280699362,67.35104956235239,66.94502435629785,3.6457544151148467,100,0.4060252060545366,0.4060252060545366,0.11136932437665202,TRUE,TRUE,6
175,2024,Indiana,IN,FALSE,Indiana,1097061,1659416,2829897,Valerie McCray,Jim Banks,False,False,120540.01,4534595.55,2756477,39.79938885758887,60.200611142411134,120540.01,4534595.55,4655135.56,2.58939849218913,97.41060150781088,33.73719448536067,0.405769683402469,47.21721574404015,0.405769683402469,-10.464882931649434,-11.23059845522095,40.34754416685449,41.80495199255704,82.07508147093931,1.6355409083997308,5.290090211859226,8.624798372469531,0.07447919720688102,29.47427809027146,4829686,1955842,71.17627397602662,28.82372602397337,2,FALSE,FALSE,FALSE,FALSE,0,0,-10.656311812542311,East North Central,0,0,0,Valerie McCray,Jim Banks,0,Senate,-0.8352436655714882,0.9828210320037504,6.70498455135134,0.405769683402469,0.6370005364224343,13.480021258679486,-10.200611142411127,-20.477379959513133,-94.82120301562175,38.58223192870255,39.79938885758887,3.738861263247488,0.08750000000000001,1.2171569288863253,-1.2171569288863253,-0.32554214858165964,TRUE,TRUE,7
176,2024,Maine,ME,FALSE,Maine,516445,284434,842447,Angus King (Ind),Demitroula Kouzounas,"[True, False]",False,"[3734651.41, 26517.81]",364262.81,800879,64.48477235637343,35.51522764362657,3761169.22,364262.81,4125432.03,91.17031119768563,8.82968880231436,14.903292523498871,2.3341355315240424,31.801970581684103,2.3341355315240424,2.4005696577975044,0.4835021984496563,53.54430581997446,54.670404582003975,94.24977046290654,0.8978647440897004,1.6894648083511112,0.9300852002200684,0.34230868991984376,36.18962241169306,526309,836050,38.6321813853764,61.3678186146236,3,FALSE,FALSE,TRUE,FALSE,1,0,1.9213027929605424,New England,0,0,0,Angus King (Ind),Demitroula Kouzounas,1,Senate,-0.8352436655714882,0.9828210320037504,8312.025643882842,2.3341355315240424,1.5277877900821313,16.898678058185233,14.484772356373426,4.677849251492573,82.34062239537127,53.996203893036885,64.48477235637343,3.8700222521736394,85.225,10.488568463336541,-10.488568463336541,-2.7102088256586963,FALSE,FALSE,8
177,2024,Maryland,MD,FALSE,Maryland,1650912,1294344,3021378,Angela Alsobrooks,Larry Hogan,False,False,23764486.41,6056832.99,2945256,56.05325988640716,43.94674011359284,23764486.41,6056832.99,29821319.4,79.6895874768036,20.31041252319641,51.49354235387519,6.003408832596603,40.203433834752445,6.003408832596603,14.759212122885865,12.902960754056515,64.75475702718091,67.02904704709233,53.98673197997507,5.521317848318344,7.096428417037982,30.40346124623243,0.133015171243736,43.44641837941011,5288760,888464,85.61709920184212,14.382900798157875,0,FALSE,FALSE,FALSE,FALSE,0,0,14.295149280678526,South Atlantic,0,0,0,Angela Alsobrooks,Larry Hogan,0,Senate,-0.8352436655714882,0.9828210320037504,6350.430352223132,6.003408832596603,2.4501854690199685,-11.290108519122747,6.053259886407162,29.425542226928542,59.3791749536072,58.82893849669604,56.05325988640716,4.020906860342645,98.3375,2.775678610288878,2.775678610288878,0.690311590567991,TRUE,TRUE,9
178,2024,Massachusetts,MA,FALSE,Massachusetts,2041668,1365440,3512930,Elizabeth Warren,John Deaton,True,False,8695846.64,1147559.95,3407108,59.92378286805115,40.07621713194885,8695846.64,1147559.95,9843406.59,88.34184141935359,11.658158580646418,57.16027307133216,4.358472364099868,35.18323448761461,4.358472364099868,14.84571461594168,13.537989758916616,62.95531942041925,67.11554954014815,76.55451178720264,5.408368009944034,9.635047908424262,6.371987247180157,0.08872505165605872,47.27900977322007,6416895,613022,91.27981169621206,8.720188303787939,0,FALSE,FALSE,TRUE,FALSE,1,0,14.518783401685416,New England,0,0,0,Elizabeth Warren,John Deaton,1,Senate,-0.8352436655714882,0.9828210320037504,7804.280945362217,4.358472364099868,2.0876954672796195,-21.97703858371755,9.923782868051148,29.872810468942323,76.68368283870717,62.335466465451766,59.92378286805115,3.716276814265571,99.95,2.411683597400618,2.411683597400618,0.6489515496108776,TRUE,TRUE,10
