...1,Unnamed: 0,year,state,state_po,special,district,dem,rep,totalvotes,dem_cand,rep_cand,dem_inc,rep_inc,dem_funds,rep_funds,2party_votes,dem_pct_2p,rep_pct_2p,dem_tot_funds,rep_tot_funds,tot_funds,dem_funds_2p_pct,rep_funds_2p_pct,dem_poll_avg,dem_effn,rep_poll_avg,rep_effn,seat_number,prev_lean,prev2_lean,dem_2p_prev,dem_2p_prev2,generic_ballot_avg,ics,cvap_white_pct,cvap_aapi_pct,cvap_hisp_pct,cvap_black_pct,cvap_natam_pct,college,urban,rural,urban_pct,rural_pct,dem_2p_12,demo_cluster,district_id,no_dem_cand_flag,no_rep_cand_flag,dem_inc_any,rep_inc_any,dem_inc_dummy,rep_inc_dummy,pvi,census_region,dem_scandal_score,rep_scandal_score,net_scandal_score,Year,Geography,dem_stand,rep_stand,inc_dummy,polarization,shave,dem_over_under,rep_over_under,dem_funds_2p_pct_sqrd,effn,sqrt_effn,poll_margin,dem_pct_2p_offset,baseline,funds_pct_margin,y_pred,y_act,y_pred_sd,fund_chances,abs_err,err,z,in_95_ci,in_68_ci,index
1943,1943,2024,Arizona,AZ,FALSE,AZ-06,204774,215596,431220,Kirsten Engel,Juan Ciscomani,False,True,6839057.76,3626926.69,420370,48.71280062801818,51.28719937198183,6839057.76,3626926.69,10465984.45,65.34557539878631,34.6544246012137,43.866638374064365,0.0217033213875214,43.18670627630989,0.0217033213875214,6,-2.2330459068923503,-3.951884216093056,49.62110684120943,50.03678901731412,-0.8352436655714882,71.8,68.78801247912268,2.793149087700501,21.19922478177292,3.3941007783695207,0.7504805722749188,38,659098,135513,82.94599495853946,17.054005041460538,NA,0,AZ06,FALSE,FALSE,FALSE,TRUE,0,1,-2.6627554841925267,Mountain,0,0,0,2024,AZ-06,Kirsten Engel,Juan Ciscomani,-1,0.9828210320037504,2.15,0,5.417100452017667,4270.0442241984665,0.0217033213875214,0.14732047171904317,-0.6799320977544738,-1.2871993719818207,-4.490267302813566,30.691150797572607,49.036994327553394,48.71280062801818,3.803680178088976,40.150000000000006,0.3241936995352148,0.3241936995352148,0.08523158739862678,TRUE,TRUE,11
1944,1944,2024,Arizona,AZ,FALSE,AZ-07,171954,99057,271011,Raul Grijalva,Daniel Butierez,True,False,474597.04,31011.47,271011,63.449085092487024,36.550914907512976,474597.04,31011.47,505608.51,93.86650553013833,6.133494469861672,0,0,0,0,7,14.362636693903234,16.896250020002547,61.194051296788565,66.6324716181097,-0.8352436655714882,71.8,37.2926915580427,1.850076001635548,51.72053401004432,3.891393754480796,2.830121217566371,20.91,676072,118539,85.0821345287191,14.917865471280916,NA,5,AZ07,FALSE,FALSE,TRUE,FALSE,1,0,14.996040025428062,Mountain,0.1737739434504451,0,0.1737739434504451,2024,AZ-07,Raul Grijalva,Daniel Butierez,1,0.9828210320037504,2.15,0.6867682198651046,0,8810.92086043949,0,0,0,13.449085092487024,30.827323716427614,87.73301106027664,66.44879250232779,63.449085092487024,3.8083433630109034,100,2.9997074098407666,2.9997074098407666,0.7876672673414554,TRUE,TRUE,12
1945,1945,2024,Arizona,AZ,FALSE,AZ-08,160344,208269,368613,Greg Whitten,Abraham Hamadeh,False,False,466676.08,1337550.08,368613,43.49927973240227,56.50072026759773,466676.08,1337550.08,1804226.16,25.86571962796505,74.13428037203495,0,0,0,0,8,-9.132718304933723,-11.24405923888397,41.76002719063571,43.137116619272746,-0.8352436655714882,71.8,71.74240375530427,3.33012823723053,16.980999789665567,3.8401057681713926,1.0099391365604644,31.480000000000004,780311,14299,98.2005008746429,1.799499125357093,NA,0,AZ08,FALSE,FALSE,FALSE,FALSE,0,0,-9.660553538421285,Mountain,0,0,0,2024,AZ-08,Greg Whitten,Abraham Hamadeh,0,0.9828210320037504,2.15,0,0,669.0354518724964,0,0,0,-6.500720267597728,-18.48586341127108,-48.26856074406991,40.52030636915359,43.49927973240227,3.8910407046500413,1.0250000000000001,2.9789733632486843,-2.9789733632486843,-0.7655980981357048,TRUE,TRUE,13
1946,1946,2024,Arizona,AZ,FALSE,AZ-09,132640,249583,382223,Quacy Smith,Paul Gosar,False,True,145521.92,432326.32,382223,34.70225496634164,65.29774503365836,145521.92,432326.32,577848.24,25.18341493953499,74.81658506046502,0,0,0,0,9,-15.340271154940446,-16.615050304333273,34.3286947719722,36.929563769266025,-0.8352436655714882,71.8,64.47480152153669,2.0190349921871302,24.744069321464085,4.538725002762126,1.1446249033255993,21.77,667130,127482,83.95669836347803,16.043301636521974,NA,6,AZ09,FALSE,FALSE,FALSE,TRUE,0,1,-15.658965942288653,Mountain,0,0,0,2024,AZ-09,Quacy Smith,Paul Gosar,-1,0.9828210320037504,2.15,0,0,634.2043880167942,0,0,0,-15.297745033658359,-30.482688219005816,-49.633170120930025,34.502214749928285,34.70225496634164,3.8726335671004786,0.05,0.20004021641335612,-0.20004021641335612,-0.05165482686324242,TRUE,TRUE,14
1947,1947,2024,Arkansas,AR,FALSE,AR-01,64113,194711,267177,Rodney Govens,Rick Crawford,False,True,61360.46,325357.92,258824,24.770886780205853,75.22911321979414,61360.46,325357.92,386718.38,15.86696241332,84.13303758667999,0,0,0,0,1,-23.343454996921203,-19.45226211970673,26.91206406728855,28.926379927285268,-0.8352436655714882,71.8,78.3957679768715,0.4583520066081424,2.443255213138956,15.943725340292971,0.2400724083691421,17.57,306321,446188,40.70662277793355,59.29337722206645,NA,2,AR01,FALSE,FALSE,FALSE,TRUE,0,1,-22.370656777617587,West South Central,0,0,0,2024,AR-01,Rodney Govens,Rick Crawford,-1,0.9828210320037504,2.15,0,-1.2643326928211849,251.76049622570963,0,0,0,-25.229113219794147,-43.906069889663684,-68.26607517336,27.732770759724925,24.770886780205853,3.851532815076679,0,2.9618839795190723,2.9618839795190723,0.769014343568589,TRUE,TRUE,15
1948,1948,2024,Arkansas,AR,FALSE,AR-02,125777,180509,306286,Marcus Jones,French Hill,False,True,454577.07,1757301.56,306286,41.06521355856944,58.93478644143055,454577.07,1757301.56,2211878.63,20.55162809724329,79.4483719027567,0,0,0,0,2,-9.010669794571475,-9.108116624796011,42.04279038739701,43.259165129634994,-0.8352436655714882,71.8,72.7542733091185,1.0554177761228634,3.4469252548529195,20.171494411151,0.211821241138987,32.53,520045,232665,69.08968925615443,30.91031074384557,NA,1,AR02,FALSE,FALSE,FALSE,TRUE,0,1,-9.035031502127609,West South Central,0,0,0,2024,AR-02,Marcus Jones,French Hill,-1,0.9828210320037504,2.15,0,-6.350104668676128,422.36941744739994,0,0,0,-8.93478644143056,-17.234819338683728,-58.89674380551342,39.01215957845427,41.06521355856944,3.839284471343791,0.42500000000000004,2.053053980115166,-2.053053980115166,-0.5347491167791938,TRUE,TRUE,16
1949,1949,2024,Arkansas,AR,FALSE,AR-03,95652,192101,301084,Caitlin Draper,Steve Womack,False,True,250700.58,1075585.74,287753,33.2410087818372,66.7589912181628,250700.58,1075585.74,1326286.32,18.902447851531782,81.09755214846821,0,0,0,0,3,-14.340126369002247,-16.62672378858688,37.20463161528912,37.92970855520422,-0.8352436655714882,71.8,80.42773542844415,2.733817717259445,9.752721208026758,2.6732543862394222,0.7309938829194839,31.07,541074,212145,71.834884674975,28.165115325024992,NA,2,AR03,FALSE,FALSE,FALSE,TRUE,0,1,-14.911775723898405,West South Central,0,0,0,2024,AR-03,Caitlin Draper,Steve Womack,-1,0.9828210320037504,2.15,0,-0.4746407519605249,357.3025347798785,0,0,0,-16.758991218162798,-28.98830778222532,-62.19510429693642,34.66034182700195,33.2410087818372,3.8054984967000776,0.05,1.4193330451647483,1.4193330451647483,0.37296902006281624,TRUE,TRUE,17
1950,1950,2024,Arkansas,AR,FALSE,AR-04,73207,197046,270253,Risie Howard,Bruce Westerman,False,True,5733.21,1095592.31,270253,27.088320943708304,72.9116790562917,5733.21,1095592.31,1101325.52,0.520573608427779,99.47942639157222,0,0,0,0,4,-20.391524406217897,-17.041989496907895,29.66951017661289,31.878310517988577,-0.8352436655714882,71.8,72.99945602001563,0.5709131953242529,4.195910758931815,19.51647798652985,0.3221353783673158,18.06,303237,449849,40.26591916461068,59.734080835389314,NA,1,AR04,FALSE,FALSE,FALSE,TRUE,0,1,-19.55414067889039,West South Central,0,0,0,2024,AR-04,Risie Howard,Bruce Westerman,-1,0.9828210320037504,2.15,0,-5.411550309637704,0.2709968817915186,0,0,0,-22.911679056291696,-38.27303769220929,-98.95885278314445,28.84030645124256,27.088320943708304,3.786253811311673,0,1.7519855075342576,1.7519855075342576,0.46272267915586907,TRUE,TRUE,18
1951,1951,2024,California,CA,FALSE,CA-01,110636,208592,319228,Rose Penelope Yee,Doug LaMalfa,False,True,60194.56,627954.84,319228,34.65736088313055,65.34263911686945,60194.56,627954.84,688149.3999999999,8.747309813828219,91.2526901861718,0,0,0,0,1,-12.063962010686636,-12.831906322739512,37.16572406912592,40.20587291351983,-0.8352436655714882,71.8,70.49343602629231,5.287959068480181,17.213634129021685,1.996504069481619,1.1909834125380092,22.66,509450,255128,66.63152745697627,33.368472543023735,NA,1,CA01,FALSE,FALSE,FALSE,TRUE,0,1,-12.255948088699856,Pacific,0,0,0,2024,CA-01,Rose Penelope Yee,Doug LaMalfa,-1,0.9828210320037504,2.15,0,1.9560945731759352,76.51542897909546,0,0,0,-15.34263911686945,-23.676652511828223,-82.50538037234358,37.01745597854437,34.65736088313055,3.847783701447005,0.15,2.3600950954138185,2.3600950954138185,0.6133648038808097,TRUE,TRUE,19
1952,1952,2024,California,CA,FALSE,CA-02,272883,106734,379617,Jared Huffman,Chris Coulombe,True,False,532702.44,104968.33,379617,71.8837670599578,28.1162329400422,532702.44,104968.33,637670.7699999999,83.53878914663126,16.46121085336874,0,0,0,0,2,23.086942265345208,23.508905949860583,73.37287358515067,75.35677718955168,-0.8352436655714882,71.8,75.25723077580588,3.9929980518486072,13.875681585873586,1.688516591340521,1.3683359510504705,42.29,581153,184585,75.89449655103965,24.10550344896035,NA,0,CA02,FALSE,FALSE,TRUE,FALSE,1,0,23.192433186474048,Pacific,0,0,0,2024,CA-02,Jared Huffman,Chris Coulombe,1,0.9828210320037504,2.15,4.0120933257068145,0,6978.729292085317,0,0,0,21.883767059957805,47.220110038519586,67.07757829326252,74.23097881667061,71.8837670599578,3.8729073118549304,100,2.3472117567128095,2.3472117567128095,0.6060593677333868,TRUE,TRUE,20
