year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,runoff,special,candidate,party_detailed,writein,mode,candidatevotes,totalvotes,unofficial,version,party_simplified
2022,ALASKA,AK,2,94,81,US SENATE,statewide,GEN,,FALSE,LISA MURKOWSKI,REPUBLICAN,FALSE,TOTAL,136330,253864,FALSE,20230920,REPUBLICAN
2022,ALASKA,AK,2,94,81,US SENATE,statewide,GEN,,FALSE,KELLY C. TSHIBAKA,REPUBLICAN,FALSE,TOTAL,117534,253864,FALSE,20230920,REPUBLICAN
