,district,incumbent,party,dem_16,rep_16,tot_16,dem_pct_16,rep_pct_16,dem_12,rep_12,tot_12,dem_pct_12,rep_pct_12,2p_tot_12,dem_2p_12,rep_2p_12,2p_tot_16,dem_2p_16,rep_2p_16,lean_16,lean_12
82,CT-01,"Larson, John",(D),195305,119395,328774,59.4,36.3,200960,112982,317496,63.3,35.6,313942,64.01182384007237,35.98817615992763,314700,62.06069272322847,37.93930727677153,10.947403792515594,12.047961588062606
83,CT-02,"Courtney, Joe",(D),165799,155975,340758,48.7,45.8,177544,135235,317687,55.9,42.6,312779,56.76340163502025,43.23659836497974,321774,51.526537259070025,48.47346274092997,0.41324832835714886,4.79953938301049
84,CT-03,"DeLauro, Rosa",(D),179832,129968,321837,55.9,40.4,191296,110912,305600,62.6,36.3,302208,63.29944938585346,36.70055061414655,309800,58.04777275661718,41.95222724338283,6.934483825904302,11.335587133843696
85,CT-04,"Himes, Jim",(D),195494,119976,328198,59.6,36.6,170884,136600,310284,55.1,44.0,307484,55.57492422369944,44.42507577630055,315470,61.969125431895264,38.030874568104736,10.855836501182388,3.6110619716896792
86,CT-05,"Hayes, Jahana",(D),161142,147901,322737,49.9,45.8,164621,139347,307553,53.5,45.3,303968,54.15734551005369,45.84265448994631,309043,52.142258520658935,47.857741479341065,1.0289695899460582,2.1934832580439263
87,DE-AL,"Blunt Rochester, Lisa",(D),235603,185127,441590,53.4,41.9,242584,165484,413890,58.6,40.0,408068,59.44695491927816,40.55304508072184,420730,55.998621443681216,44.001378556318784,4.88533251296834,7.4830926672684015
88,FL-01,"Gaetz, Matt",(R),107063,256609,380100,28.2,67.5,106528,242747,349275,,,349275,30.49974948106793,69.50025051893208,363672,29.43943993488638,70.56056006511362,-21.673848995826496,-21.46411277094183
89,FL-02,"Dunn, Neal",(R),108636,234991,354948,30.6,66.2,110727,214342,325069,,,325069,34.06261439878918,65.93738560121082,343627,31.614512247291394,68.38548775270861,-19.498776683421482,-17.901247853220582
90,FL-03,"Yoho, Ted",(R),141362,197478,351688,40.2,56.2,137649,186258,323907,,,323907,42.496457316451945,57.50354268354806,338840,41.71939558493684,58.28060441506315,-9.393893345776036,-9.467404935557816
91,FL-04,"Rutherford, John",(R),143675,261826,421618,34.1,62.1,123377,248340,371717,,,371717,33.19111044154558,66.80888955845442,405501,35.43147859068165,64.56852140931835,-15.681810340031227,-18.77275181046418
92,FL-05,"Lawson, Al",(D),191194,111892,312071,61.3,35.9,199964,110989,310953,,,310953,64.30682450402473,35.693175495975275,303086,63.08242545020225,36.91757454979775,11.969136519489375,12.34296225201497
93,FL-06,"Waltz, Michael",(R),151453,215941,379804,39.9,56.9,158711,178245,336956,,,336956,47.1014019634611,52.89859803653889,367394,41.223591022172386,58.77640897782762,-9.88969790854049,-4.862460288548661
94,FL-07,"Murphy, Stephanie",(D),186658,160178,363186,51.4,44.1,164738,164364,329102,,,329102,50.05682128944826,49.94317871055174,346836,53.81736613269672,46.18263386730328,2.704077201983843,-1.9070409625615028
95,FL-08,"Posey, Bill",(R),151412,234648,401911,37.7,58.4,153020,205877,358897,,,358897,42.636188098535236,57.363811901464764,386060,39.21981039216702,60.78018960783298,-11.893478538545857,-9.327674153474526
96,FL-09,"Soto, Darren",(D),195368,149352,356530,54.8,41.9,153222,115093,268315,,,268315,57.10526806179305,42.89473193820696,344720,56.674402413553025,43.325597586446975,5.561113482840149,5.141405809783286
