,district,incumbent,party,dem_12,rep_12,tot_12,dem_pct_12,rep_pct_12,dem_08,rep_08,tot_08,dem_pct_08,rep_pct_08,2p_tot_12,dem_2p_12,rep_2p_12,2p_tot_08,dem_2p_08,rep_2p_08,lean_08,lean_12
1,AK-AL,"Young, Don",(R),122640,164676,297625,41.2,55.3,123594,193841,324467,38.1,59.7,287316,42.684709518439625,57.315290481560375,317435,38.9352150834029,61.064784916597105,-14.75363242874068,-9.279152733570136
2,AL-01,"Byrne, Bradley",(R),111735,184786,298837,37.4,61.8,115975,183753,301556,38.5,60.9,296521,37.681985424303846,62.318014575696154,299728,38.69341536326269,61.306584636737306,-14.995432148880894,-14.281876827705915
3,AL-02,"Roby, Martha",(R),105572,182287,289864,36.4,62.9,101076,186164,288807,35.0,64.5,287859,36.67489986416961,63.32510013583039,287240,35.18869238267651,64.8113076173235,-18.500155129467075,-15.28896238784015
4,AL-03,"Rogers, Mike D.",(R),103089,174465,280128,36.8,62.3,103221,176434,281951,36.6,62.6,277554,37.14196156423615,62.85803843576385,279655,36.91012139958163,63.08987860041837,-16.778726112561955,-14.821900687773613
5,AL-04,"Aderholt, Rob",(R),65818,205423,274505,24.0,74.8,71095,204123,278483,25.5,73.3,271241,24.265505583595402,75.7344944164046,275218,25.832249344156267,74.16775065584373,-27.856598167987315,-27.69835666841436
6,AL-05,"Brooks, Mo",(R),103598,189860,297263,34.9,63.9,107005,184225,294444,36.3,62.6,293458,35.30249643901342,64.69750356098658,291230,36.742437248909795,63.257562751090205,-16.946410263233787,-16.661365812996344
7,AL-06,"Palmer, Gary",(R),77517,233566,314343,24.7,74.3,78559,232644,313838,25.0,74.1,311083,24.918430129579566,75.08156987042044,311203,25.24365125014862,74.75634874985138,-28.445196261994962,-27.045432122430196
8,AL-07,"Sewell, Terri",(D),228276,85488,315244,72.4,27.1,225642,88803,315625,71.5,28.1,313764,72.75404444104487,27.24595555895514,314445,71.75881314697324,28.24118685302676,18.069965634829657,20.790182189035107
9,AR-01,"Crawford, Rick",(R),92086,154549,253460,36.3,61.0,102670,151918,262118,39.2,58.0,246635,37.33695541995256,62.66304458004743,254588,40.32790233632378,59.67209766367622,-13.3609451758198,-14.626906832057202
10,AR-02,"Hill, French",(R),125527,160140,292515,42.9,54.7,129888,157732,293250,44.3,53.8,285667,43.94172235504976,56.05827764495024,287620,45.15958556428621,54.84041443571379,-8.529261947857371,-8.022139896959999
11,AR-03,"Womack, Steve",(R),81413,168703,257668,31.6,65.5,85866,161902,253566,33.9,63.9,250116,32.55009675510563,67.44990324489437,247768,34.65580704530044,65.34419295469955,-19.03304046684314,-19.413765496904134
12,AR-04,"Westerman, Bruce",(R),95383,164352,265825,35.9,61.8,103886,166465,277684,37.4,59.9,259735,36.72319864477256,63.27680135522744,270351,38.42634205162918,61.57365794837082,-15.262505460514404,-15.240663607237202
13,AZ-01,"Kirkpatrick, Ann",(D),124550,131115,260056,47.9,50.4,123079,131208,257294,47.8,51.0,255665,48.71609332524984,51.283906674750156,254287,48.401609205346716,51.598390794653284,-5.287238306796866,-3.2477689267599246
14,AZ-02,"McSally, Martha",(R),144966,149651,299691,48.4,49.9,150877,153747,308531,48.9,49.8,294617,49.20489992091427,50.79510007908573,304624,49.52892746467777,50.471072535322236,-4.1599200474658105,-2.758962331095489
15,AZ-03,"Grijalva, Raul",(D),108902,65482,177248,61.4,36.9,102818,71980,176761,58.2,40.7,174384,62.44953665473897,37.55046334526103,174798,58.82103914232428,41.17896085767572,5.132191630180699,10.48567440272921
16,AZ-04,"Gosar, Paul",(R),80035,173394,258046,31.0,67.2,86346,161163,251086,34.4,64.2,253429,31.58083723646465,68.41916276353534,247509,34.88600414530381,65.1139958546962,-18.802843366839774,-20.383025015545112
17,AZ-05,"Salmon, Matt",(R),101511,187304,293748,34.6,63.8,104014,179566,286711,36.3,62.6,288815,35.14741270363381,64.85258729636618,283580,36.678891318146555,63.321108681853445,-17.009956193997027,-16.81644954837595
18,AZ-06,"Schweikert, David",(R),121661,186537,313417,38.8,59.5,130426,182747,316599,41.2,57.7,308198,39.47494792308841,60.5250520769116,313173,41.646629818023904,58.353370181976096,-12.042217694119678,-12.488914328921354
