,district,incumbent,party,dem_16,rep_16,tot_16,dem_pct_16,rep_pct_16,dem_12,rep_12,tot_12,dem_pct_12,rep_pct_12,dem_08,rep_08,tot_08,dem_pct_08,rep_pct_08,2p_tot_16,dem_2p_16,rep_2p_16,2p_tot_12,dem_2p_12,rep_2p_12,2p_tot_08,dem_2p_08,rep_2p_08,lean_08,lean_12
44,CA-23,"McCarthy, Kevin",(R),88314,142351,"244,864",36.1%,58.1%,82119,139816,227297,36.1,61.5,85838,143457,229286,,,230665,38.28669282292502,61.71330717707498,221935,37.00137427625206,62.99862572374795,229295,37.435617872173395,62.564382127826605,-16.253229639970186,-14.962487975757703
45,CA-24,"Carbajal, Salud",(D),176979,113887,"312,160",56.7%,36.5%,158119,126049,292406,54.1,43.1,175517,127931,303447,,,290866,60.84554399620444,39.15445600379556,284168,55.6427887728386,44.3572112271614,303448,57.84088212807467,42.15911787192534,4.152034615931086,3.6789265208288384
46,CA-25,"Knight, Steve",(R),137491,119249,"273,218",50.3%,43.6%,120701,125258,252249,47.8,49.7,122912,119189,242096,,,256740,53.55262132897094,46.44737867102906,245959,49.073626092153575,50.92637390784643,242101,50.76889397400258,49.23110602599741,-2.9199535381410016,-2.8902361598561868
47,CA-26,"Brownley, Julia",(D),169083,105259,"292,232",57.9%,36.0%,147753,119677,273647,54.0,43.7,160847,117779,278630,,,274342,61.63219630971562,38.36780369028439,267430,55.24922409602513,44.75077590397487,278626,57.72863982542907,42.27136017457093,4.0397923132854885,3.2853618440153696
48,CA-27,"Chu, Judy",(D),174544,74984,"264,466",66.0%,28.4%,161528,90278,257970,62.6,35.0,165358,96636,261989,,,249528,69.94966496745856,30.050335032541437,251806,64.14779631938873,35.85220368061127,261994,63.11518584395063,36.88481415604937,9.426338331807045,12.18393406737897
49,CA-28,"Schiff, Adam",(D),208645,64607,"289,254",72.1%,22.3%,187441,70757,266628,70.3,26.5,191735,74156,265890,,,273252,76.35625722776047,23.643742772239545,258198,72.59583730315494,27.40416269684506,265891,72.11037605635391,27.88962394364608,18.421528544210332,20.631975051145176
50,CA-29,"Cardenas, Tony",(D),152517,32963,"196,196",77.7%,16.8%,129323,34454,167889,77.0,20.5,109870,34755,144624,,,185480,82.22827259003667,17.77172740996334,163777,78.96285803256868,21.037141967431324,144625,75.96888504753674,24.031114952463266,22.280037535393163,26.998995780558914
51,CA-30,"Sherman, Brad",(D),209149,77701,"302,805",69.1%,25.7%,186301,91680,285226,65.3,32.1,181666,88041,269706,,,286850,72.91232351403173,27.087676485968277,277981,67.01932865915296,32.98067134084703,269707,67.35679830334401,32.643201696656,13.667950791200425,15.0554664071432
52,CA-31,"Aguilar, Pete",(D),131960,83701,"228,825",57.7%,36.6%,118043,83822,206242,57.2,40.6,121021,87728,208740,,,215661,61.18862473975359,38.81137526024641,201865,58.47620934783148,41.52379065216853,208749,57.9744094582489,42.02559054175109,4.285561946105318,6.512347095821717
53,CA-32,"Napolitano, Grace",(D),146459,60921,"220,046",66.6%,27.7%,133061,66269,204169,65.2,32.5,133497,74167,207672,,,207380,70.62349310444594,29.376506895554055,199330,66.75412632318266,33.24587367681734,207664,64.28509515370983,35.71490484629016,10.59624764156625,14.7902640711729
54,CA-33,"Lieu, Ted",(D),239982,93706,"353,897",67.8%,26.5%,210010,127421,346504,60.6,36.8,229560,120682,350244,,,333688,71.91807916376975,28.08192083623025,337431,62.23790937999176,37.76209062000824,350242,65.54325295081686,34.456747049183136,11.854405438673282,10.274047127982001
