,district,incumbent,party,dem_20,rep_20,tot_20,dem_pct_20,rep_pct_20,dem_16,rep_16,tot_16,2p_tot_16,dem_2p_16,rep_2p_16,lean_16,2p_tot_20,dem_2p_20,rep_2p_20,lean_20
376,TX-17,Pete Sessions,(R),114751,182847,302045,38.0,60.5,82072,150765,243987,232837,35.248693291873714,64.7513067081263,-15.864595638839162,297598,38.55906289692807,61.440937103071924,-13.710772027278402
377,TX-18,Sheila Jackson Lee,(D),177368,60370,240982,73.6,25.1,143856,43009,194728,186865,76.98391887191288,23.01608112808712,25.8706299412,237738,74.60649959198781,25.39350040801218,22.336664667781342
378,TX-19,Jodey Arrington,(R),73174,202461,279621,26.2,72.4,55576,170518,237096,226094,24.58092651728927,75.41907348271073,-26.532362413423606,275635,26.547426850726502,73.45257314927349,-25.72240807347997
379,TX-20,Joaquin Castro,(D),172367,85595,262144,65.8,32.7,128309,63311,203649,191620,66.960129422816,33.03987057718401,15.84684049210312,257962,66.81875625092067,33.18124374907932,14.5489213267142
380,TX-21,Chip Roy,(R),164213,246263,416581,39.4,59.1,107571,197602,323150,305173,35.24918652698633,64.75081347301366,-15.864102403726548,410476,40.005505803018934,59.994494196981066,-12.264329121187536
381,TX-22,Troy Nehls,(R),138254,191937,334585,41.3,57.4,90105,152025,253071,242130,37.21348036178912,62.78651963821088,-13.89980856892376,330191,41.870917135839555,58.129082864160445,-10.398917788366916
382,TX-23,Tony Gonzales,(R),134552,155681,294019,45.8,52.9,104396,113506,229264,217902,47.90961074244385,52.09038925755615,-3.2036781882690235,290233,46.359993522445755,53.64000647755424,-5.9098414017607155
383,TX-24,Beth Van Duyne,(R),168124,216345,390681,43.0,55.4,114421,191663,323088,306084,37.382221873734004,62.61777812626599,-13.731067056978873,384469,43.72888321295085,56.271116787049145,-8.540951711255623
384,TX-25,Roger Williams,(R),112309,215979,332712,33.8,64.9,81368,182900,275901,264268,30.78995565108148,69.21004434891852,-20.323333279631395,328288,34.21051028365338,65.78948971634662,-18.059324640553093
385,TX-26,Michael Burgess,(R),144823,211963,361989,40.0,58.6,82916,162028,258292,244944,33.85100267816317,66.14899732183683,-17.262286252549707,356786,40.59099852572691,59.40900147427309,-11.678836398479561
386,TX-27,Michael Cloud,(R),109720,174253,287748,38.1,60.6,90067,142437,242061,232504,38.737828166397136,61.262171833602864,-12.37546076431574,283973,38.637476098079745,61.362523901920255,-13.632358826126726
387,TX-28,Henry Cuellar,(D),131726,114184,249012,52.9,45.9,111658,74375,194341,186033,60.02053399128112,39.97946600871888,8.907245060568243,245910,53.56675206376317,46.43324793623683,1.2969171395566974
388,TX-29,Sylvia Garcia,(D),118450,54253,174765,67.8,31.0,105469,33970,144641,139439,75.63809264266095,24.361907357339053,24.524803711948074,172703,68.58595392089309,31.414046079106907,16.31611899668662
389,TX-30,Jasmine Crockett,(D),217199,58708,279332,77.8,21.0,175732,46836,229166,222568,78.9565436181302,21.04345638186981,27.84325468741732,275907,78.72181568427042,21.278184315729575,26.451980760063954
390,TX-31,John Carter,(R),133165,202406,341869,39.0,59.2,78251,151813,245933,230064,34.01270950691981,65.98729049308018,-17.100579423793064,335571,39.68310730069046,60.316892699309534,-12.586727623516012
391,TX-32,Colin Allred,(D),172823,86040,263239,65.7,32.7,127410,72553,210872,199963,63.71678760570706,36.283212394292946,12.603498674994185,258863,66.76234147019852,33.23765852980148,14.49250654599205
392,TX-33,Marc Veasey,(D),139290,45685,187606,74.2,24.4,109941,33341,148764,143282,76.73050348264262,23.26949651735738,25.61721455192974,184975,75.30206784700636,24.697932152993648,23.032232922799885
393,TX-34,Vicente Gonzalez,(D),116856,85153,203935,57.3,41.8,109913,49810,166368,159723,68.81476055420947,31.185239445790526,17.701471623496595,202009,57.84692761213609,42.15307238786391,5.577092687929621
394,TX-35,Greg Casar,(D),187900,69342,262092,71.7,26.5,124558,47337,183164,171895,72.46167718665464,27.538322813345356,21.348388255941764,257242,73.04405967921257,26.95594032078743,20.774224755006095
395,TX-36,Brian Babin,(R),102316,198540,304672,33.6,65.2,79809,163619,252166,243428,32.78546428512743,67.21453571487257,-18.327824645585444,300856,34.00829632781131,65.99170367218868,-18.261538596395162
