ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_18-24_COMP_Total,E_18-24_COMP_Dem,E_18-24_COMP_Rep,X_22_2022_Education_NoHS,X_22_2022_Education_HS,X_22_2022_Education_SomeCol,X_22_2022_Education_Assoc,X_22_2022_Education_Bach,X_22_2022_Education_Master,X_22_2022_Education_Prof,X_22_2022_Education_Doc
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,817904,509693,193681,28127,49153,23097,24184,815425,517016,192260,29351,49312,19172,22436,617587,408065,128944,17456,36685,16374,14673,559552,409553,89606,13099,27503,7378,8872,9462,21481,3408,8872,308470,163276,132401,355994,214978,127378,328461,184527,130306,52091,126480,114377,44657,118533,46767,12783,9314
2,2,817904,647137,108723,16538,24757,18168,9345,820977,658210,108159,15287,24768,12455,7484,571033,462555,67782,9664,16386,12179,5219,575512,485327,58663,8385,13334,5275,2460,6073,8699,1638,2460,314857,82090,217723,366928,119335,230690,347011,100798,227530,28378,119026,125935,47832,110105,41203,6728,5919
3,3,817904,644717,106083,10180,19528,30353,12520,821965,661497,100684,10276,18655,25258,11275,588889,475740,67958,6071,13319,20338,7441,591946,507347,49771,4599,9619,13855,3218,2634,5389,9028,3218,314055,70798,229005,377057,104465,257824,354222,87547,248425,29144,101069,121366,51466,112663,39673,8794,8038
4,4,817904,663808,84425,12283,31650,15616,13198,825442,684508,79740,11977,30486,12318,12603,546542,451640,51926,6688,19891,9883,7164,564154,487989,43919,5761,14060,5389,3175,3829,9777,2285,3175,317413,78882,224976,387697,121504,249247,367704,101746,248052,22850,95798,120335,50978,127240,45908,8265,6204
