ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_18-24_COMP_Total,E_18-24_COMP_Dem,E_18-24_COMP_Rep,X_22_2022_Education_NoHS,X_22_2022_Education_HS,X_22_2022_Education_SomeCol,X_22_2022_Education_Assoc,X_22_2022_Education_Bach,X_22_2022_Education_Master,X_22_2022_Education_Prof,X_22_2022_Education_Doc
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,769364,318770,34678,373011,31648,14081,887,767926,330198,28731,371842,29098,9115,728,609962,275838,24149,274562,25535,10938,665,571573,275636,16148,260110,14057,5101,152,250766,11421,592,152,345270,266749,69832,356554,280382,70459,319684,248434,64662,47293,136399,114545,41074,107539,58074,14854,11153
2,2,769364,648395,22242,31657,44611,16409,833,762786,646337,19536,29965,42720,6207,811,603006,518559,14600,21318,31414,12109,540,579080,522013,12607,19459,20203,3696,171,16884,17620,410,171,405453,172451,222281,429923,187579,235264,408787,178008,222837,33036,118596,101477,44662,141556,73418,17178,11120
3,3,769364,634019,28760,56762,25692,19241,1212,771139,653325,26072,55306,25983,8353,1000,594774,501879,18809,37578,18178,14093,800,599983,524853,16945,38338,13498,5334,304,33321,10676,568,304,368074,146075,210327,397528,158177,231359,385828,153188,224254,32800,140997,106423,43816,119139,54437,9811,8431
4,4,769364,613869,42681,66422,18319,25444,2411,770894,630926,41413,64287,18521,14819,2729,599570,489976,28651,45836,13340,18658,1447,597462,507634,26514,43583,9407,8731,701,38648,6771,1200,701,360734,141746,208305,392866,155951,229889,376619,148262,220740,37730,160137,116359,43160,108266,48100,11474,6058
5,5,769364,515400,65069,150123,13549,25018,3887,769534,530473,58428,154623,11888,12447,3519,588634,411612,41398,105776,9492,18585,2536,569676,420308,30200,102903,6281,7871,831,97113,4243,996,831,321200,137338,173277,343089,143602,192560,321515,132174,182081,55182,184511,113943,43421,75998,31479,5464,3862
6,6,769364,628405,44018,52169,19406,21880,3556,768431,642018,43388,52413,18661,11755,2866,588867,493931,28485,33395,13386,16041,2084,583402,506753,26079,32013,10407,6748,777,27022,8069,1121,777,343644,126291,206371,374135,137236,230188,358394,130695,220328,41203,173227,111986,42153,97615,40106,7978,5297
7,7,769365,636951,47001,25660,16582,37210,4168,771991,661025,43622,25243,15990,19034,3578,594947,505834,29527,15694,11381,27157,2661,592270,531022,24577,14247,8575,12286,515,10069,6018,2296,515,337712,94228,232969,364372,103422,254241,356981,101210,248648,49848,166617,122482,41527,89084,35201,8537,4607
8,8,769364,668098,18619,42819,9529,24152,916,771721,679835,18888,39921,9082,12889,711,595852,526013,11554,28048,6779,18170,593,591790,539941,11201,24016,4744,11119,190,20641,3195,1104,190,340782,87594,244127,366690,86665,274776,350122,82605,261483,67871,199949,111331,45516,65400,29219,5211,4172
