ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,X_22_2022_Education_NoHS,X_22_2022_Education_HS,X_22_2022_Education_SomeCol,X_22_2022_Education_Assoc,X_22_2022_Education_Bach,X_22_2022_Education_Master,X_22_2022_Education_Prof,X_22_2022_Education_Doc
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,776249,526737,88687,114057,24753,25947,1047,772193,552535,67255,110552,24020,20584,1354,603226,425760,62646,80468,18083,18076,720,570325,428437,42721,73873,12003,11143,878,68079,9709,5514,878,310715,87241,216373,377164,111184,258965,360811,107889,246297,57408,146840,114038,37350,114645,43183,15934,7329
2,2,776248,208848,70892,469617,25547,12115,906,768994,210804,60579,471708,23261,10567,618,598884,177836,49421,348884,20119,9278,677,553064,167412,31626,333718,15504,5550,165,325853,13806,1108,165,284485,208746,69604,354516,266935,81691,313897,228663,78875,80480,156515,119483,33288,83248,38485,10776,6277
3,3,776355,474885,40638,232118,16556,13628,895,772411,486675,32720,229627,14819,10209,1190,586663,375309,27158,163083,11798,9811,610,563869,375304,18190,156142,7175,6004,433,150498,6376,1546,433,302054,92863,202577,352107,116088,230069,338601,105807,228229,76059,187763,96719,37457,80422,26781,7566,4183
4,4,776337,457016,37411,249039,12866,21399,1632,771704,462125,33926,250389,11726,13247,1084,590468,360980,25470,179130,9106,15664,1042,568193,357166,18526,176718,6414,8322,437,171591,4804,2848,437,291589,97243,189401,349637,119767,224410,319566,103232,212403,68666,188870,111392,40451,69475,28481,6111,3591
5,5,776285,447649,29210,275043,10123,15750,870,775194,454513,21853,279848,8371,11242,588,597119,358395,21375,198366,7702,11670,583,579522,353623,15008,197876,3768,8967,318,193543,3025,1781,318,297877,100193,192401,348684,121180,222382,320890,103973,212971,82766,194470,103230,31961,65607,26506,6181,3664
6,6,776283,481567,55711,203245,21991,14289,750,780050,502514,39251,205781,22251,9791,911,594188,383830,37592,145838,16139,10406,528,579176,390683,22936,147749,11382,6005,87,141793,9522,1524,87,308959,101195,201438,365954,120880,238259,353210,117306,229730,48975,151000,105036,35360,106084,43281,9764,7995
