ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,X_22_2022_Education_NoHS,X_22_2022_Education_HS,X_22_2022_Education_SomeCol,X_22_2022_Education_Assoc,X_22_2022_Education_Bach,X_22_2022_Education_Master,X_22_2022_Education_Prof,X_22_2022_Education_Doc
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,717754,462966,27476,189894,14686,22041,1003,718536,473549,25438,193317,14762,12769,1168,557393,373897,18188,137268,10410,16424,651,556196,384643,14890,138333,8387,8722,250,135632,6975,2611,250,266466,100364,163528,324766,111504,209022,328069,103121,220876,55261,162171,104385,45544,81862,34923,7698,4831
2,2,717755,357837,33329,298801,16883,14464,1412,714347,358810,30584,303164,15580,8671,958,559067,293496,20932,223228,12339,10647,930,537719,287646,14474,222679,6721,5740,171,217908,5379,985,171,259850,122409,135586,310336,139947,166756,293174,123962,165887,67085,150412,105239,44494,69801,33660,7281,4769
3,3,717754,502129,27470,156204,15755,16548,909,718048,517015,24462,156828,13507,7432,974,564595,405145,17599,116843,11992,12748,591,557974,418066,11423,113958,5701,7821,280,110213,4484,919,280,258909,82568,173978,322821,93356,225352,316410,82862,230048,67539,156663,108680,45654,65873,31660,6246,6094
4,4,717754,575711,57537,56723,6614,23226,836,719980,591922,52464,56988,6430,11685,1380,555217,459881,33850,40112,4593,17274,538,541786,471338,19756,39066,3379,7484,253,36504,2399,943,253,263025,57740,203153,326492,60120,262489,323861,52911,267661,76993,164584,104424,48893,61350,26078,5467,5182
5,5,717754,486765,47408,138438,19813,27316,1583,720626,505066,40977,142516,18196,17251,1912,560406,393794,29677,102735,14045,20338,1004,563240,412016,21360,107115,9521,12662,258,101207,7176,3017,258,278897,105895,168699,346248,122869,216421,353600,122382,224861,54806,125428,102350,40990,106941,53994,6859,7569
6,6,717754,497253,40423,147195,17137,15645,809,715954,509720,33175,150172,16009,7271,863,552230,395669,25834,106353,12068,11720,553,537708,399092,14916,109825,9067,4165,189,106266,7144,750,189,294733,102990,187719,356423,116892,233531,349473,112016,231535,40892,123174,98996,39030,116464,48702,14700,8260
7,7,717754,288690,30404,377481,11889,11790,927,720601,291180,25307,386704,11956,7473,765,568258,242662,20776,287833,9462,8963,623,551133,242014,9828,286731,5476,6516,185,282256,4384,2039,185,293641,186924,104707,336196,204936,127599,300503,175158,121748,58604,159293,102675,41416,69961,32022,8323,6275
