ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_23_ACS_Total,T_23_ACS_White,T_23_ACS_Hispanic,T_23_ACS_Black,T_23_ACS_Asian,T_23_ACS_Native,T_23_ACS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,X_22_2022_Education_NoHS,X_22_2022_Education_HS,X_22_2022_Education_SomeCol,X_22_2022_Education_Assoc,X_22_2022_Education_Bach,X_22_2022_Education_Master,X_22_2022_Education_Prof,X_22_2022_Education_Doc
23,23,766987,233629,458207,42885,31647,17816,2560,764088,231313,462109,43885,30264,19420,2027,563720,188414,320538,29422,21520,12813,1627,512643,182374,281691,27475,14900,3879,487,23740,12255,951,487,242633,108621,128685,302861,138493,160217,319049,133969,181141,70191,106864,96811,41155,99141,43278,10675,6206
24,24,766987,459976,136164,66748,86658,21006,4105,761028,454653,138108,72399,85765,13006,3437,585881,371161,93052,45573,61257,15413,2702,527757,359837,75118,45939,39375,5216,813,40883,36149,904,813,326960,128188,191255,381542,164122,211300,373064,153071,213069,29588,83175,98741,36285,167126,71306,19786,9123
25,25,766987,358143,209569,159881,27639,22153,2198,799305,369593,232290,165346,29660,14229,2835,576023,292948,137054,114359,20222,16448,1435,546791,300309,111378,111171,15375,5856,595,107124,13699,955,595,251142,101512,144879,300697,124453,172083,309215,115592,189981,72450,146152,115277,38845,88329,35032,5788,4444
26,26,766987,426299,155807,89220,78429,24694,1796,800387,450669,163654,96390,82466,16363,2009,573937,338130,103298,61517,56278,17710,1161,570908,363361,88423,65656,45687,6481,476,60393,41778,987,476,286044,105579,173751,356628,142670,208544,387418,144950,237089,39095,101400,112740,43660,157832,60011,9688,5684
27,27,766987,337561,341748,61457,18461,20604,1365,790377,347691,354431,65423,18349,16227,1140,575420,277142,232963,43358,12877,15392,879,557513,291174,207909,41749,9842,5952,324,38626,8351,869,324,254486,99382,149708,306351,124288,177080,324199,125739,194368,80849,152705,112401,37260,88531,29970,5846,5003
28,28,766987,56903,696384,5667,5991,11025,515,768738,56505,698033,6650,6339,6667,480,542258,46612,485321,3875,4475,8148,341,418622,47244,362291,3678,3319,1999,148,3341,2576,1191,148,164526,99714,61601,207339,112597,92662,199009,88409,109042,141413,114562,81381,27072,57355,18136,3842,1815
29,29,766987,82842,448422,209561,28485,23753,2070,777190,88834,451995,209213,31765,19632,2256,548260,70287,305260,149743,22489,16959,1438,423602,73539,187065,141538,17868,2881,477,137522,17015,848,477,161214,115754,42486,197198,139870,54929,179752,116000,61311,135951,137370,92389,31309,55925,19258,3855,2665
30,30,766987,102175,273333,354132,38669,19694,1358,777952,113097,282317,354438,34713,13572,1597,555763,85725,179834,259120,29095,14107,902,483369,84871,124537,248274,20755,5104,328,241226,19764,851,328,228690,176107,48429,268096,208565,56392,244001,177406,62648,90789,134038,108115,34595,72743,31297,3772,3558
31,31,766987,405121,178913,131696,41502,24700,8515,805464,429452,187842,143522,45682,20221,6283,571338,325173,117572,88338,28301,17568,5187,587581,349149,116350,87234,22720,6981,2281,79811,19030,795,2281,250916,94476,149878,317572,127209,183712,351392,134712,211328,39508,118641,128824,48409,107338,43770,8046,5930
32,32,766987,377166,188003,110252,78038,22519,1445,778929,376019,193630,127952,77501,14101,1992,592618,310358,128490,80392,61086,16915,990,530351,309316,88719,80670,44967,5927,385,75182,41101,723,385,272323,114748,151688,321397,142066,174362,324173,129764,187174,60663,109324,110450,39506,124736,53067,11678,7137
33,33,766987,172344,421489,121120,48270,24507,1221,760401,171840,412119,129555,49308,16840,1014,580868,155666,291892,91076,37015,18361,890,438036,148191,172475,90760,21837,3958,52,87398,19789,953,52,192508,136594,51474,227300,163018,60823,209202,136366,68170,123368,112737,75137,24227,93092,40016,12517,5777
34,34,766987,143236,587438,19500,14939,13790,1075,769982,143254,593105,17778,15199,8863,889,565686,120249,416963,13680,11262,10478,750,498916,117853,359503,11111,7332,2441,288,9759,6455,708,288,198613,102616,91925,243276,123605,116464,240502,106947,131303,104362,128379,97640,38923,68067,24866,5765,3668
35,35,766987,240028,437906,67349,20432,22882,3023,779425,243537,444756,73443,22725,21823,3187,571449,197441,307033,46975,14605,17020,2001,554890,204611,287656,44443,11355,4088,745,40822,8813,747,745,236320,110403,120398,293178,141507,147047,301836,133334,164829,78766,152372,111467,43921,76762,29258,4334,3321
36,36,766987,346310,203502,150939,58121,18229,1210,765876,352166,207417,140491,60279,14552,1085,577079,279608,137635,108022,43173,13633,846,528634,279416,108187,100289,33777,6028,282,95651,31841,855,282,267235,105333,157322,318964,128113,186757,311842,114917,192668,65973,137953,113522,43510,91512,33980,7805,6730
37,37,766987,334409,288854,76073,61435,22622,1934,769534,343937,282047,81756,62064,19621,2358,621812,293610,211575,58785,50386,17812,1430,558485,299322,159091,55970,37205,4793,360,51452,30078,711,360,305085,240271,55323,350843,280916,62202,328410,252342,67678,57655,83015,87540,29230,175297,73275,16842,12423
38,38,766986,375292,203896,87870,91553,19601,1497,778768,371365,213582,96152,93485,13789,1264,570722,295890,139018,61182,66534,13824,976,514324,287165,107465,60842,53935,3850,145,56625,50133,505,145,292540,109550,176952,352229,142235,205122,354315,136854,210920,37580,82083,96441,36169,158155,66457,17304,9218
