"GEO_ID","NAME","P2_001N","P2_002N","P2_003N","P2_004N",
"Geography","Geographic Area Name","!!Total:","!!Total:!!Urban","!!Total:!!Rural","!!Total:!!Not defined for this file",
"5001900US0901","Congressional District 1 (119th Congress), Connecticut","721189","682164","39025","0",
"5001900US0902","Congressional District 2 (119th Congress), Connecticut","721188","452175","269013","0",
"5001900US0903","Congressional District 3 (119th Congress), Connecticut","721189","691800","29389","0",
"5001900US0904","Congressional District 4 (119th Congress), Connecticut","721189","679025","42164","0",
"5001900US0905","Congressional District 5 (119th Congress), Connecticut","721189","604989","116200","0",
"5001900US09ZZ","Congressional Districts not defined (119th Congress), Connecticut","0","0","0","0",
"5001900US1000","Congressional District (at Large) (119th Congress), Delaware","989948","817817","172131","0",
"5001900US1198","Delegate District (at Large) (119th Congress), District of Columbia","689545","689545","0","0",
"5001900US1201","Congressional District 1 (119th Congress), Florida","769221","659984","109237","0",
"5001900US1202","Congressional District 2 (119th Congress), Florida","769221","444131","325090","0",
"5001900US1203","Congressional District 3 (119th Congress), Florida","769221","415824","353397","0",
"5001900US1204","Congressional District 4 (119th Congress), Florida","769221","674237","94984","0",
"5001900US1205","Congressional District 5 (119th Congress), Florida","769221","740335","28886","0",
"5001900US1206","Congressional District 6 (119th Congress), Florida","769221","581201","188020","0",
"5001900US1207","Congressional District 7 (119th Congress), Florida","769221","729903","39318","0",
"5001900US1208","Congressional District 8 (119th Congress), Florida","769221","731288","37933","0",
"5001900US1209","Congressional District 9 (119th Congress), Florida","769221","737436","31785","0",
"5001900US1210","Congressional District 10 (119th Congress), Florida","769221","752549","16672","0",
"5001900US1211","Congressional District 11 (119th Congress), Florida","769221","687865","81356","0",
"5001900US1212","Congressional District 12 (119th Congress), Florida","769221","661644","107577","0",
"5001900US1213","Congressional District 13 (119th Congress), Florida","769221","767477","1744","0",
"5001900US1214","Congressional District 14 (119th Congress), Florida","769221","763658","5563","0",
"5001900US1215","Congressional District 15 (119th Congress), Florida","769221","726140","43081","0",
"5001900US1216","Congressional District 16 (119th Congress), Florida","769221","729477","39744","0",
"5001900US1217","Congressional District 17 (119th Congress), Florida","769221","729840","39381","0",
"5001900US1218","Congressional District 18 (119th Congress), Florida","769221","616604","152617","0",
"5001900US1219","Congressional District 19 (119th Congress), Florida","769221","754580","14641","0",
"5001900US1220","Congressional District 20 (119th Congress), Florida","769221","762202","7019","0",
"5001900US1221","Congressional District 21 (119th Congress), Florida","769221","741959","27262","0",
"5001900US1222","Congressional District 22 (119th Congress), Florida","769220","767603","1617","0",
"5001900US1223","Congressional District 23 (119th Congress), Florida","769221","769202","19","0",
"5001900US1224","Congressional District 24 (119th Congress), Florida","769221","769221","0","0",
"5001900US1225","Congressional District 25 (119th Congress), Florida","769221","769072","149","0",
"5001900US1226","Congressional District 26 (119th Congress), Florida","769221","725433","43788","0",
"5001900US1227","Congressional District 27 (119th Congress), Florida","769221","769107","114","0",
"5001900US1228","Congressional District 28 (119th Congress), Florida","769221","736834","32387","0",
"5001900US1301","Congressional District 1 (119th Congress), Georgia","765137","530430","234707","0",
"5001900US1302","Congressional District 2 (119th Congress), Georgia","765137","489788","275349","0",
"5001900US1303","Congressional District 3 (119th Congress), Georgia","765136","399770","365366","0",
"5001900US1304","Congressional District 4 (119th Congress), Georgia","765137","763930","1207","0",
"5001900US1305","Congressional District 5 (119th Congress), Georgia","765137","765137","0","0",
