"GEO_ID","NAME","P002001","P002002","P002003","P002004","P002005","P002006",
"Geography","Label for GEO_ID","Total","Total!!Urban","Total!!Urban!!Inside urbanized areas","Total!!Urban!!Inside urban clusters","Total!!Rural","Total!!Not defined for this file",
"5001600US0651","Congressional District 51 (116th Congress), California","702906","659736","624290","35446","43170","0",
"5001600US0652","Congressional District 52 (116th Congress), California","702904","699624","699624","0","3280","0",
"5001600US0653","Congressional District 53 (116th Congress), California","702904","700808","700808","0","2096","0",
"5001600US0801","Congressional District 1 (116th Congress), Colorado","718457","718457","718457","0","0","0",
"5001600US0802","Congressional District 2 (116th Congress), Colorado","718482","582232","517214","65018","136250","0",
"5001600US0803","Congressional District 3 (116th Congress), Colorado","718457","465187","264674","200513","253270","0",
"5001600US0804","Congressional District 4 (116th Congress), Colorado","718450","523713","383596","140117","194737","0",
"5001600US0805","Congressional District 5 (116th Congress), Colorado","718457","620999","559360","61639","97458","0",
"5001600US0806","Congressional District 6 (116th Congress), Colorado","718456","707768","707768","0","10688","0",
"5001600US0807","Congressional District 7 (116th Congress), Colorado","718437","714405","714402","3","4032","0",
"5001600US0901","Congressional District 1 (116th Congress), Connecticut","714820","671499","650514","20985","43321","0",
"5001600US0902","Congressional District 2 (116th Congress), Connecticut","714819","484414","417626","66788","230405","0",
"5001600US0903","Congressional District 3 (116th Congress), Connecticut","714819","691245","691245","0","23574","0",
"5001600US0904","Congressional District 4 (116th Congress), Connecticut","714819","684527","684527","0","30292","0",
"5001600US0905","Congressional District 5 (116th Congress), Connecticut","714820","613257","588068","25189","101563","0",
"5001600US09ZZ","Congressional Districts not defined (116th Congress), Connecticut","0","0","0","0","0","0",
"5001600US1000","Congressional District (at Large) (116th Congress), Delaware","897934","747949","616982","130967","149985","0",
"5001600US1198","Delegate District (at Large) (116th Congress), District of Columbia","601723","601723","601723","0","0","0",
"5001600US1201","Congressional District 1 (116th Congress), Florida","696345","571751","526225","45526","124594","0",
"5001600US1202","Congressional District 2 (116th Congress), Florida","696345","357498","259055","98443","338847","0",
"5001600US1203","Congressional District 3 (116th Congress), Florida","696345","496278","438519","57759","200067","0",
"5001600US1204","Congressional District 4 (116th Congress), Florida","696345","608608","563970","44638","87737","0",
"5001600US1205","Congressional District 5 (116th Congress), Florida","696345","580527","533921","46606","115818","0",
"5001600US1206","Congressional District 6 (116th Congress), Florida","696345","599917","599917","0","96428","0",
"5001600US1207","Congressional District 7 (116th Congress), Florida","696345","681537","681537","0","14808","0",
"5001600US1208","Congressional District 8 (116th Congress), Florida","696344","655347","645548","9799","40997","0",
"5001600US1209","Congressional District 9 (116th Congress), Florida","696344","626035","558237","67798","70309","0",
"5001600US1210","Congressional District 10 (116th Congress), Florida","696345","687081","685590","1491","9264","0",
"5001600US1211","Congressional District 11 (116th Congress), Florida","696344","523562","483573","39989","172782","0",
"5001600US1212","Congressional District 12 (116th Congress), Florida","696345","648198","648182","16","48147","0",
"5001600US1213","Congressional District 13 (116th Congress), Florida","696345","696249","696249","0","96","0",
"5001600US1214","Congressional District 14 (116th Congress), Florida","696345","691479","691479","0","4866","0",
"5001600US1215","Congressional District 15 (116th Congress), Florida","696345","641045","617773","23272","55300","0",
"5001600US1216","Congressional District 16 (116th Congress), Florida","696345","656388","656388","0","39957","0",
"5001600US1217","Congressional District 17 (116th Congress), Florida","696345","571588","484122","87466","124757","0",
"5001600US1218","Congressional District 18 (116th Congress), Florida","696344","671041","653576","17465","25303","0",
"5001600US1219","Congressional District 19 (116th Congress), Florida","696345","670565","668741","1824","25780","0",
