,year,state,state_po,special,district,dem,rep,dem_2p_pct
84,2012,CONNECTICUT,CT,False,4,175929.0,117503.0,59.95562856130211
85,2012,CONNECTICUT,CT,False,5,146098.0,138637.0,51.310165592568524
86,2012,DELAWARE,DE,False,0,249933.0,129757.0,65.82554188943612
87,2012,FLORIDA,FL,False,1,92961.0,238440.0,28.050911131831224
88,2012,FLORIDA,FL,False,2,157634.0,175856.0,47.26798404749768
89,2012,FLORIDA,FL,False,3,102468.0,204331.0,33.399065837893865
90,2012,FLORIDA,FL,False,4,0.0,239988.0,0.0
91,2012,FLORIDA,FL,False,5,190472.0,70700.0,72.92971681497251
92,2012,FLORIDA,FL,False,6,146489.0,195962.0,42.77663081725561
93,2012,FLORIDA,FL,False,7,130479.0,185518.0,41.29121479001383
94,2012,FLORIDA,FL,False,8,130870.0,205432.0,38.914428103311906
95,2012,FLORIDA,FL,False,9,164891.0,98856.0,62.51862580427455
96,2012,FLORIDA,FL,False,10,153574.0,164649.0,48.259868079931366
97,2012,FLORIDA,FL,False,11,120303.0,218360.0,35.52292396866502
98,2012,FLORIDA,FL,False,12,108770.0,209604.0,34.164221952797654
99,2012,FLORIDA,FL,False,13,139742.0,189605.0,42.43002061655336
100,2012,FLORIDA,FL,False,14,197121.0,83480.0,70.24957145555433
101,2012,FLORIDA,FL,False,15,0.0,1.0,0.0
102,2012,FLORIDA,FL,False,16,161929.0,187147.0,46.387892607913464
103,2012,FLORIDA,FL,False,17,116766.0,165488.0,41.369121429634305
104,2012,FLORIDA,FL,False,18,166257.0,164353.0,50.28795257251747
105,2012,FLORIDA,FL,False,19,109746.0,189833.0,36.633408883800264
106,2012,FLORIDA,FL,False,20,214727.0,0.0,100.0
107,2012,FLORIDA,FL,False,21,221263.0,0.0,100.0
108,2012,FLORIDA,FL,False,22,171021.0,142050.0,54.6269057178723
109,2012,FLORIDA,FL,False,23,174205.0,98096.0,63.97515984149893
110,2012,FLORIDA,FL,False,24,1.0,0.0,100.0
111,2012,FLORIDA,FL,False,25,0.0,151466.0,0.0
112,2012,FLORIDA,FL,False,26,135694.0,108820.0,55.495390856965244
113,2012,FLORIDA,FL,False,27,85020.0,138488.0,38.03890688476475
114,2012,GEORGIA,GA,False,1,92399.0,157181.0,37.021796618318774
115,2012,GEORGIA,GA,False,2,162751.0,92410.0,63.78365032273741
116,2012,GEORGIA,GA,False,3,0.0,232380.0,0.0
117,2012,GEORGIA,GA,False,4,208861.0,75041.0,73.56799177180858
118,2012,GEORGIA,GA,False,5,234330.0,43335.0,84.39306358381504
119,2012,GEORGIA,GA,False,6,104365.0,189669.0,35.49419454892971
120,2012,GEORGIA,GA,False,7,95377.0,156689.0,37.83810589290106
121,2012,GEORGIA,GA,False,8,0.0,197789.0,0.0
122,2012,GEORGIA,GA,False,9,60052.0,192101.0,23.815699198502497
123,2012,GEORGIA,GA,False,10,0.0,211065.0,0.0
124,2012,GEORGIA,GA,False,11,90353.0,196968.0,31.44670942952308
125,2012,GEORGIA,GA,False,12,139148.0,119973.0,53.700008876162094
126,2012,GEORGIA,GA,False,13,201988.0,79550.0,71.74448919861617
127,2012,GEORGIA,GA,False,14,59245.0,159947.0,27.028814920252564
128,2012,HAWAII,HI,False,1,116505.0,96824.0,54.61282807307023
129,2012,HAWAII,HI,False,2,168503.0,40707.0,80.5425170880933
130,2012,IDAHO,ID,False,1,97450.0,199402.0,32.827806449004896
131,2012,IDAHO,ID,False,2,110847.0,207412.0,34.829180007478186
132,2012,ILLINOIS,IL,False,1,236854.0,83989.0,73.8223991173253
133,2012,ILLINOIS,IL,False,2,188303.0,69115.0,73.15067322409466
134,2012,ILLINOIS,IL,False,3,168738.0,77653.0,68.48383260752219
135,2012,ILLINOIS,IL,False,4,133226.0,27279.0,83.00426777981994
136,2012,ILLINOIS,IL,False,5,177729.0,77289.0,69.69272757217138
137,2012,ILLINOIS,IL,False,6,132991.0,193138.0,40.778648939530065
138,2012,ILLINOIS,IL,False,7,242439.0,31466.0,88.51207535459375
139,2012,ILLINOIS,IL,False,8,123206.0,101860.0,54.7421645206295
140,2012,ILLINOIS,IL,False,9,194869.0,98924.0,66.32867358990853
141,2012,ILLINOIS,IL,False,10,133890.0,130564.0,50.62884282332655
142,2012,ILLINOIS,IL,False,11,148928.0,105348.0,58.56942849502116
143,2012,ILLINOIS,IL,False,12,157000.0,129902.0,54.72251849063443
144,2012,ILLINOIS,IL,False,13,136032.0,137034.0,49.8165278723825
145,2012,ILLINOIS,IL,False,14,124351.0,177603.0,41.182100584857295
146,2012,ILLINOIS,IL,False,15,94162.0,205775.0,31.393926057805473
147,2012,ILLINOIS,IL,False,16,112301.0,181789.0,38.18592947737087
148,2012,ILLINOIS,IL,False,17,153519.0,134623.0,53.278938856536016
149,2012,ILLINOIS,IL,False,18,85164.0,244467.0,25.836162254156918
150,2012,INDIANA,IN,False,1,187743.0,91291.0,67.28319846326971
151,2012,INDIANA,IN,False,2,130113.0,134033.0,49.257986113740124
152,2012,INDIANA,IN,False,3,92363.0,187872.0,32.95912359269899
153,2012,INDIANA,IN,False,4,93015.0,168688.0,35.5421985991754
154,2012,INDIANA,IN,False,5,125347.0,194570.0,39.18110009783788
155,2012,INDIANA,IN,False,6,96678.0,162613.0,37.28552090122681
156,2012,INDIANA,IN,False,7,162122.0,95828.0,62.85016476061253
157,2012,INDIANA,IN,False,8,122325.0,151533.0,44.667309335495034
158,2012,INDIANA,IN,False,9,132848.0,165332.0,44.552954591186534
159,2012,IOWA,IA,False,1,222422.0,162465.0,57.788909472130776
160,2012,IOWA,IA,False,2,211863.0,161977.0,56.672105713674306
161,2012,IOWA,IA,False,3,168632.0,202000.0,45.49849985969911
162,2012,IOWA,IA,False,4,169470.0,200063.0,45.86058619933808
163,2012,KANSAS,KS,False,1,0.0,211337.0,0.0
164,2012,KANSAS,KS,False,2,113735.0,167463.0,40.44658923605431
165,2012,KANSAS,KS,False,3,0.0,201087.0,0.0
166,2012,KANSAS,KS,False,4,81770.0,161094.0,33.669049344489096
167,2012,KENTUCKY,KY,False,1,87199.0,199956.0,30.366526788668143
168,2012,KENTUCKY,KY,False,2,89541.0,181508.0,33.034986293991125
169,2012,KENTUCKY,KY,False,3,206385.0,111452.0,64.93422729260597
170,2012,KENTUCKY,KY,False,4,104734.0,186036.0,36.01953433985624
171,2012,KENTUCKY,KY,False,5,55447.0,195408.0,22.103207031950728
172,2012,KENTUCKY,KY,False,6,141438.0,153222.0,48.00040724903278
173,2012,LOUISIANA,LA,False,1,61703.0,218340.0,22.033402013262247
174,2012,LOUISIANA,LA,False,2,230417.0,50146.0,82.12665248090447
175,2012,LOUISIANA,LA,False,3,67070.0,240558.0,21.80230668209656
176,2012,LOUISIANA,LA,False,4,0.0,187894.0,0.0
