,year,state,state_po,special,district,dem,rep,dem_2p_pct,dem_2p_12
56,2012,CALIFORNIA,CA,False,CA-36,110189.0,97953.0,52.93933948938705,51.61620509877075
57,2012,CALIFORNIA,CA,False,CA-37,207039.0,32541.0,86.41748059103432,86.97092741241453
58,2012,CALIFORNIA,CA,False,CA-38,145280.0,69807.0,67.54476095719406,66.30817042428231
59,2012,CALIFORNIA,CA,False,CA-39,106360.0,145607.0,42.21187695214056,48.1318596082994
60,2012,CALIFORNIA,CA,False,CA-40,125553.0,0.0,100.0,83.14244012568035
61,2012,CALIFORNIA,CA,False,CA-41,103578.0,72074.0,58.96773165121946,62.882539122379434
62,2012,CALIFORNIA,CA,False,CA-42,84702.0,130245.0,39.40599310527711,42.263123215462336
63,2012,CALIFORNIA,CA,False,CA-43,200894.0,0.0,100.0,79.57783011288775
64,2012,CALIFORNIA,CA,False,CA-44,165898.0,0.0,100.0,86.14882463120796
65,2012,CALIFORNIA,CA,False,CA-45,121814.0,171417.0,41.541992490562045,43.989649805190304
66,2012,CALIFORNIA,CA,False,CA-46,95694.0,54121.0,63.87477889396923,62.9264949153436
67,2012,CALIFORNIA,CA,False,CA-47,130093.0,99919.0,56.55922299706102,61.57700884467941
68,2012,CALIFORNIA,CA,False,CA-48,113358.0,177144.0,39.02141809694942,44.02253003122188
69,2012,CALIFORNIA,CA,False,CA-49,114893.0,159725.0,41.83738866352533,46.63392333759968
70,2012,CALIFORNIA,CA,False,CA-50,83455.0,174838.0,32.31020585149423,38.337198836240866
71,2012,CALIFORNIA,CA,False,CA-51,113934.0,45464.0,71.47768478901868,70.61532635385235
72,2012,CALIFORNIA,CA,False,CA-52,151451.0,144459.0,51.18144030279477,53.28065219723245
73,2012,CALIFORNIA,CA,False,CA-53,164825.0,103482.0,61.43149451933792,62.78237796130573
74,2012,COLORADO,CO,False,CO-01,237579.0,93217.0,71.8203968609052,70.52287835357909
75,2012,COLORADO,CO,False,CO-02,234758.0,162639.0,59.07392355755077,59.44715166874756
76,2012,COLORADO,CO,False,CO-03,142619.0,185291.0,43.49333658625842,46.912364567977214
77,2012,COLORADO,CO,False,CO-04,125800.0,200006.0,38.61193470961247,40.13618471266569
78,2012,COLORADO,CO,False,CO-05,0.0,199639.0,0.0,39.317602619902296
79,2012,COLORADO,CO,False,CO-06,156937.0,163938.0,48.909076743280096,52.578901101426624
80,2012,COLORADO,CO,False,CO-07,182460.0,139066.0,56.748132343885096,57.61723738092792
81,2012,CONNECTICUT,CT,False,CT-01,206973.0,82321.0,71.54417305578407,64.01182384007237
82,2012,CONNECTICUT,CT,False,CT-02,204708.0,88103.0,69.91130797681781,56.76340163502025
83,2012,CONNECTICUT,CT,False,CT-03,217573.0,73726.0,74.69060999179537,63.29944938585346
84,2012,CONNECTICUT,CT,False,CT-04,175929.0,117503.0,59.95562856130211,55.57492422369944
85,2012,CONNECTICUT,CT,False,CT-05,146098.0,138637.0,51.31016559256853,54.15734551005369
86,2012,DELAWARE,DE,False,DE-AL,249933.0,129757.0,65.82554188943612,59.44695491927816
87,2012,FLORIDA,FL,False,FL-01,92961.0,238440.0,28.050911131831224,30.536956882207978
88,2012,FLORIDA,FL,False,FL-02,157634.0,175856.0,47.26798404749768,47.033013263966865
89,2012,FLORIDA,FL,False,FL-03,102468.0,204331.0,33.399065837893865,37.7899116445085
90,2012,FLORIDA,FL,False,FL-04,0.0,239988.0,0.0,35.78083093472217
91,2012,FLORIDA,FL,False,FL-05,190472.0,70700.0,72.92971681497251,71.74898365824643
92,2012,FLORIDA,FL,False,FL-06,146489.0,195962.0,42.77663081725561,41.75798164882137
93,2012,FLORIDA,FL,False,FL-07,130479.0,185518.0,41.29121479001383,47.61588678050325
94,2012,FLORIDA,FL,False,FL-08,130870.0,205432.0,38.91442810331191,42.631649276750224
95,2012,FLORIDA,FL,False,FL-09,164891.0,98856.0,62.51862580427455,62.473096163310885
96,2012,FLORIDA,FL,False,FL-10,153574.0,164649.0,48.259868079931366,46.14957286059948
97,2012,FLORIDA,FL,False,FL-11,120303.0,218360.0,35.52292396866502,40.60606060606061
98,2012,FLORIDA,FL,False,FL-12,108770.0,209604.0,34.164221952797654,45.30768617280523
99,2012,FLORIDA,FL,False,FL-13,139742.0,189605.0,42.43002061655336,50.74364822102737
100,2012,FLORIDA,FL,False,FL-14,197121.0,83480.0,70.24957145555433,65.70327288217693
101,2012,FLORIDA,FL,False,FL-15,0.0,1.0,0.0,46.08412533734534
102,2012,FLORIDA,FL,False,FL-16,161929.0,187147.0,46.38789260791346,45.29729699328466
103,2012,FLORIDA,FL,False,FL-17,116766.0,165488.0,41.36912142963431,41.57865782842861
104,2012,FLORIDA,FL,False,FL-18,166257.0,164353.0,50.28795257251747,47.9063536504038
105,2012,FLORIDA,FL,False,FL-19,109746.0,189833.0,36.63340888380026,39.01293777189095
106,2012,FLORIDA,FL,False,FL-20,214727.0,0.0,100.0,82.95113854353727
107,2012,FLORIDA,FL,False,FL-21,221263.0,0.0,100.0,60.93079003505678
108,2012,FLORIDA,FL,False,FL-22,171021.0,142050.0,54.6269057178723,54.756967166526884
109,2012,FLORIDA,FL,False,FL-23,174205.0,98096.0,63.97515984149893,61.85596676048034
110,2012,FLORIDA,FL,False,FL-24,1.0,0.0,100.0,87.78834674779527
111,2012,FLORIDA,FL,False,FL-25,0.0,151466.0,0.0,48.949760471686524
112,2012,FLORIDA,FL,False,FL-26,135694.0,108820.0,55.49539085696525,53.38302449333887
113,2012,FLORIDA,FL,False,FL-27,85020.0,138488.0,38.03890688476475,53.320197369234634
114,2012,GEORGIA,GA,False,GA-01,92399.0,157181.0,37.02179661831877,43.49070933805733
115,2012,GEORGIA,GA,False,GA-02,162751.0,92410.0,63.78365032273741,58.94885928647986
116,2012,GEORGIA,GA,False,GA-03,0.0,232380.0,0.0,33.38125860178883
117,2012,GEORGIA,GA,False,GA-04,208861.0,75041.0,73.56799177180858,74.20580743759551
118,2012,GEORGIA,GA,False,GA-05,234330.0,43335.0,84.39306358381504,84.01728990191708
119,2012,GEORGIA,GA,False,GA-06,104365.0,189669.0,35.49419454892971,38.10730756997455
120,2012,GEORGIA,GA,False,GA-07,95377.0,156689.0,37.83810589290106,38.88326747948399
121,2012,GEORGIA,GA,False,GA-08,0.0,197789.0,0.0,37.81588481893886
122,2012,GEORGIA,GA,False,GA-09,60052.0,192101.0,23.815699198502497,20.767815003474794
123,2012,GEORGIA,GA,False,GA-10,0.0,211065.0,0.0,36.75802458112837
124,2012,GEORGIA,GA,False,GA-11,90353.0,196968.0,31.44670942952308,31.965978589390815
125,2012,GEORGIA,GA,False,GA-12,139148.0,119973.0,53.700008876162094,44.05451268563774
126,2012,GEORGIA,GA,False,GA-13,201988.0,79550.0,71.74448919861617,69.78962691729271
127,2012,GEORGIA,GA,False,GA-14,59245.0,159947.0,27.028814920252564,25.692851223448336
128,2012,HAWAII,HI,False,HI-01,116505.0,96824.0,54.61282807307023,70.60514824823046
129,2012,HAWAII,HI,False,HI-02,168503.0,40707.0,80.5425170880933,72.80318091451292
130,2012,IDAHO,ID,False,ID-01,97450.0,199402.0,32.827806449004896,33.14612910816535
131,2012,IDAHO,ID,False,ID-02,110847.0,207412.0,34.829180007478186,34.01624901182006
