,year,state,state_po,special,district,dem,rep,totalvotes,dem_cand,rep_cand,dem_inc,rep_inc,dem_funds,rep_funds,2party_votes,dem_pct_2p,rep_pct_2p,dem_tot_funds,rep_tot_funds,tot_funds,dem_funds_2p_pct,rep_funds_2p_pct,dem_poll_avg,dem_effn,rep_poll_avg,rep_effn,seat_number,prev_lean,prev2_lean,dem_2p_prev,dem_2p_prev2,generic_ballot_avg,ics,cvap_white_pct,cvap_aapi_pct,cvap_hisp_pct,cvap_black_pct,cvap_natam_pct,college,urban,rural,urban_pct,rural_pct,dem_2p_12,demo_cluster,district_id
0,2014,Alabama,AL,False,AL-01,48278.0,103758.0,152234,Burton R Leflore,Bradley Byrne,False,True,33474.0,914507.3,152036.0,31.754321344944614,68.24567865505539,33474.0,914507.3,947981.3,3.53108231143378,96.46891768856622,0.0,0.0,0.0,0.0,1,-14.281876827705917,-14.995432148880894,37.681985424303846,38.69341536326269,2.6459423408960583,88.8,69.08663742344024,0.8216169654688066,1.6996897838187048,26.50456787991782,0.9585854607748227,6.9,456228.0,226592.0,66.8152661023403,33.184733897659704,,4,AL01
1,2014,Alabama,AL,False,AL-02,54692.0,113103.0,167952,Erick Wright,Martha Roby,False,True,6674.0,454019.64,167795.0,32.59453499806311,67.40546500193688,6674.0,454019.64,460693.64,1.4486850740982662,98.55131492590174,0.0,0.0,0.0,0.0,2,-15.28896238784015,-18.500155129467075,36.67489986416961,35.18869238267651,2.6459423408960583,88.8,66.8119284820952,0.7369585799277651,1.7213232916314387,29.271262316734393,0.44591546112996416,6.3,373585.0,309235.0,54.71207638909229,45.287923610907704,,4,AL02
2,2014,Alabama,AL,False,AL-03,52816.0,103558.0,156620,Jesse T Smith,Mike Rogers,False,True,2100.0,504511.67,156374.0,33.7754358141379,66.2245641858621,2100.0,504511.67,506611.67,0.4145186785768279,99.58548132142316,0.0,0.0,0.0,0.0,3,-14.821900687773612,-16.778726112561955,37.14196156423615,36.91012139958163,2.6459423408960583,88.8,71.98575401240988,0.5828945083092052,1.51163212370953,24.98258378392822,0.3095792051334416,6.7,343078.0,339741.0,50.24435465328293,49.75564534671707,,4,AL03
3,2014,Alabama,AL,False,AL-04,,132831.0,134752,[],Robert B Aderholt,[],True,[],419784.54,,,,0.0,419784.54,419784.54,0.0,100.0,0.0,0.0,0.0,0.0,4,-27.69835666841436,-27.856598167987315,24.2655055835954,25.832249344156267,2.6459423408960583,88.8,89.17736559319731,0.4215255642162007,1.648497687614315,6.889708357861619,0.7432316697413159,4.7,236405.0,446414.0,34.6219129813318,65.3780870186682,,2,AL04
4,2014,Alabama,AL,False,AL-05,,115338.0,154974,[],Mo Brooks,[],True,[],321615.19,,,,0.0,321615.19,321615.19,0.0,100.0,0.0,0.0,0.0,0.0,5,-16.661365812996344,-16.946410263233787,35.30249643901342,36.7424372489098,2.6459423408960583,88.8,77.74780124018316,1.0837671284206398,2.202891198619542,16.9102260346229,0.7142486553793472,7.9,447466.0,235353.0,65.53215420191881,34.46784579808119,,4,AL05
5,2014,Alabama,AL,False,AL-06,42291.0,135945.0,178449,Mark Lester,Gary Palmer,False,False,143501.09,1618984.26,178236.0,23.727529791961217,76.27247020803878,143501.09,1618984.26,1762485.35,8.141973492148459,91.85802650785152,0.0,0.0,0.0,0.0,6,-27.0454321224302,-28.44519626199496,24.91843012957957,25.24365125014862,2.6459423408960583,88.8,82.65965742877614,1.0632612748843118,1.4539682288347273,13.741642552618766,0.3224223039438839,11.3,472327.0,210492.0,69.17308979392783,30.826910206072178,,1,AL06
6,2014,Alabama,AL,False,AL-07,133687.0,,135899,Terri A Sewell,[],True,[],434075.98,[],,,,434075.98,0.0,434075.98,100.0,0.0,0.0,0.0,0.0,0.0,7,20.790182189035107,18.069965634829657,72.75404444104487,71.75881314697324,2.6459423408960583,88.8,35.83211867754635,0.359239719536141,1.120532126267118,61.888869212221934,0.17144647503322868,5.8,492715.0,190105.0,72.1588412758853,27.8411587241147,,3,AL07
7,2014,Alaska,AK,False,AK-00,114602.0,142572.0,279741,Forrest Dunbar,Don Young,False,True,233131.98,461857.82,257174.0,44.5620474853601,55.437952514639896,233131.98,461857.82,694989.8,33.54466209432138,66.45533790567862,0.0,0.0,0.0,0.0,0,-9.279152733570136,-14.75363242874068,42.684709518439625,38.9352150834029,2.6459423408960583,88.8,68.78786010450546,4.803705473434345,4.887710590810303,3.344598239745981,13.465866177535954,5.4,468893.0,241338.0,66.01978792815295,33.98021207184705,,4,AK00
8,2014,Arizona,AZ,False,AZ-01,97391.0,87723.0,185114,Ann Kirkpatrick,Andy Tobin,True,False,2279416.19,906905.29,185114.0,52.61136380824789,47.38863619175211,2279416.19,906905.29,3186321.48,71.53754585993627,28.462454140063738,0.0,0.0,0.0,0.0,1,-3.247768926759925,-5.287238306796866,48.71609332524984,48.40160920534672,2.6459423408960583,88.8,57.31616361729402,1.2904478887464554,15.900633181835838,2.367245464786544,22.269743231169638,3.6,440755.0,269469.0,62.058589965982556,37.94141003401744,,4,AZ01
9,2014,Arizona,AZ,False,AZ-02,109543.0,109704.0,219351,Ron Barber,Martha Mcsally,True,False,2216333.98,3504797.56,219247.0,49.9632834200696,50.0367165799304,2216333.98,3504797.56,5721131.54,38.739434052586034,61.26056594741396,48.0,0.6462196647285005,46.0,0.6462196647285005,2,-2.758962331095489,-4.1599200474658105,49.20489992091427,49.52892746467777,2.6459423408960583,88.8,70.83204186790046,2.4302092080076494,20.477288054085633,3.683916887859474,1.304051350544106,8.5,633371.0,76853.0,89.17904773705197,10.820952262948028,,1,AZ02
