cycle,state,seat_number,candidate_name,avg,std,lower_ci,upper_ci
2024,Illinois,17,Eric Sorensen,52.3,0,52.3,52.3
2024,Illinois,17,Joe McGraw,46.6,0,46.6,46.6
2024,New Hampshire,1,Chris Pappas,51.21435217808521,2.7867522930862703,45.752317683636115,56.6763866725343
2024,New Hampshire,1,Russell Prescott,40.39468492384434,2.3822780617468124,35.725419922820585,45.06394992486809
2024,New Hampshire,2,Maggie Goodlander,52.91006219795809,3.2752416187376197,46.490588625232355,59.329535770683826
2024,New Hampshire,2,Lily Tang Williams,40.09191924139339,2.5705396811945675,35.05366146625204,45.130177016534745
2024,Maine,1,Chellie Pingree,57.57695087617538,2.004850287905169,53.64744431188125,61.50645744046951
2024,Maine,1,Ronald C. Russell,27.5284270000434,2.3316292383634036,22.95843369285113,32.09842030723567
2024,Maine,2,Jared Forrest Golden,47.9812062793757,4.385934409838449,39.38477483609233,56.57763772265906
2024,Maine,2,Austin Theriault,42.639472194242806,1.8919271716436432,38.931294937821264,46.34764945066435
2024,Vermont,1,Becca Balint,61.997177529657556,0.05305189915179906,61.893195807320026,62.101159251995085
2024,Vermont,1,Mark Coester,22.005644940684896,0.10610379830359813,21.797681496009844,22.213608385359947
2024,U.S. Virgin Islands,1,Stacey E. Plaskett,NA,NA,NA,NA
2024,U.S. Virgin Islands,1,Ronald Pickard,NA,NA,NA,NA
2024,California,49,Mike Levin,50.92735829560206,1.4452190785365284,48.094728901670464,53.75998768953366
2024,California,49,Matt Gunderson,38.81874386591144,1.891349115074877,35.11169960036469,42.5257881314582
2024,Nebraska,1,Carol Blood,39,0,39,39
2024,Nebraska,1,Mike Flood,53,0,53,53
2024,Nebraska,2,Tony Vargas,49.80314224372235,0.6031699472756313,48.620929147062114,50.98535534038258
2024,Nebraska,2,Don Bacon,45.642964146483315,1.0762152364967028,43.53358228294978,47.75234601001685
2024,Nebraska,3,Daniel Ebers,22,0,22,22
2024,Nebraska,3,Adrian Smith,68,0,68,68
2024,California,51,Sara Jacobs,60.999771516157516,0.039991605034381913,60.92138797029013,61.078155062024905
2024,California,51,Bill Wells,25.000228486952125,0.03999218819321925,24.921843798093416,25.078613175810833
2024,Connecticut,5,Jahana Hayes,48.97293452096894,0.2176857909495,48.54627037070792,49.39959867122996
2024,Connecticut,5,George Logan,45.37623928741231,0.13061147458890976,45.120240797218045,45.632237777606576
2024,New York,17,Mondaire L. Jones,43.974674871771505,0.3263694583087952,43.334990733486265,44.614359010056745
2024,New York,17,Mike Lawler,47.96825702426701,1.3285750969529417,45.364249834239246,50.572264214294776
2024,New York,18,Pat Ryan,50.6639363042333,1.4186137666190515,47.883453321659964,53.44441928680664
2024,New York,18,Alison Esposito,41.78412370140615,0.4106513534949868,40.979247048555976,42.58900035425633
2024,Colorado,8,Yadira Caraveo,47.051155844166644,1.1833440532324329,44.73180149983108,49.37051018850221
2024,Colorado,8,Gabe Evans,45.552884668492254,0.609444275770353,44.35837388798236,46.74739544900215
2024,Michigan,7,Curtis Hertel,44.57817483586664,0.5210562036553963,43.55690467670206,45.59944499503122
2024,Michigan,7,Tom Barrett,47.27753159556142,0.1117686638466999,47.05846501442189,47.49659817670095
2024,California,22,Rudy Salas,46.589167660344344,0.4995459393720679,45.610057619175095,47.568277701513594
2024,California,22,David G. Valadao,44.98455006464144,0.13526217349843456,44.71943620458451,45.24966392469837
2024,Pennsylvania,8,Matt Cartwright,50,0,50,50
2024,Pennsylvania,8,Rob Bresnahan Jr.,43,0,43,43
2024,Ohio,13,Emilia Sykes,44.99793324196042,0.051792991443509843,44.89641897873114,45.099447505189694
2024,Ohio,13,Kevin Coughlin,45.990302135352714,0.2430286521580083,45.513965977123014,46.46663829358241
2024,Alabama,2,Shomari Figures,49.445943030975194,0.5882808862652382,48.29291249389533,50.59897356805506
2024,Alabama,2,Caroleene Dobson,41.04029130609538,3.682583054198897,33.82242851986554,48.25815409232521
2024,Virginia,7,Eugene S. Vindman,43.785038629996144,0.41596038089430853,42.9697562834433,44.600320976548986
2024,Virginia,7,Derrick M. Anderson,42.05149448758886,0.23046228411748884,41.59978841071858,42.50320056445914
2024,South Dakota,1,Sheryl Johnson,26.53734053895885,1.7899153715747702,23.029106410672302,30.0455746672454
2024,South Dakota,1,Dusty Johnson,62.80284722504972,1.2717819745399694,60.310154554951374,65.29553989514805
2024,Florida,13,Whitney Fox,45.76426641062848,0.46427614296030684,44.85428517042628,46.67424765083068
2024,Florida,13,Anna Paulina Luna,46.675984401095526,1.8556028448163007,43.03900282525558,50.31296597693547
2024,Virginia,2,Missy Cotter Smasal,45.44419297651031,1.331914046303137,42.83364144575616,48.05474450726446
2024,Virginia,2,Jen A. Kiggans,46.273659658681524,0.5205193962285564,45.253441642073554,47.293877675289494
2024,Florida,4,"LaShonda ""L.J."" Holloway",41,0,41,41
2024,Florida,4,Aaron Bean,48,0,48,48
2024,New York,4,Laura A. Gillen,51.344885551669634,3.2196664496036513,45.03433931044648,57.65543179289279
2024,New York,4,Anthony P. D'Esposito,42.07607498575062,2.0732311412626485,38.012541948875835,46.13960802262541
2024,California,47,Dave Min,40.23100463781898,1.1443619272057621,37.988055260495685,42.47395401514227
2024,California,47,Scott Baugh,43.219258639285805,1.0861740326020801,41.09035753538573,45.34815974318588
2024,Georgia,2,Sanford Bishop,49.20721524605399,2.7463851422724366,43.82430036720002,54.590130124907965
2024,Georgia,2,A. Wayne Johnson,40.597594917982,0.9154617140908121,38.80328995836401,42.39189987759999
2024,Michigan,10,Carl J. Marlinga,45.1326248054605,1.691816204219879,41.81666504518954,48.448584565731466
2024,Michigan,10,John James,47.21730696061618,0.21432973473138314,46.797220680542665,47.63739324068969
2024,New Mexico,2,Gabriel Vasquez,49.49167922808343,0.8596464131447188,47.80677225831978,51.17658619784707
2024,New Mexico,2,Yvette Herrell,44.24081018126415,1.327849497837418,41.63822516550281,46.843395197025494
2024,New Mexico,1,Melanie Ann Stansbury,52.974652374459254,0.22372471692000775,52.53615192929604,53.41315281962247
2024,New Mexico,1,Steve Jones,36.008871668939264,0.07830365092200303,35.855396513132135,36.16234682474639
2024,New Mexico,3,Teresa Leger Fernandez,51.997428337388136,0.022532622434677945,51.95326439741617,52.0415922773601
2024,New Mexico,3,Sharon E. Clahchischilliage,35.05657657746103,0.49571769356290757,34.08496989807773,36.02818325684433
2024,New York,22,John W. Mannion,46.011916701773266,0.21800183327654635,45.58463310855124,46.439200294995295
2024,New York,22,Brandon M. Williams,45.99106247367004,0.16350137495740974,45.67059977875352,46.31152516858656
2024,Montana,1,Monica Tranel,41.97832092596478,3.7148491319194648,34.69721662740263,49.25942522452693
2024,Montana,1,Ryan K. Zinke,45.85331355428923,2.12383642072906,41.69059416966027,50.01603293891819
2024,New York,1,John P. Avlon,43.081098653793774,1.6396279621439427,39.86742784799165,46.2947694595959
2024,New York,1,Nicholas J. LaLota,47.6721200001879,1.132308216989766,45.45279589488796,49.89144410548784
2024,Alaska,1,Mary S. Peltola,44.223555419234216,1.1758425446974443,41.91890403162723,46.528206806841204
2024,Alaska,1,Nick Begich,48.63060855294555,1.4311149689798512,45.82562321374505,51.43559389214606
2024,Alaska,1,Eric Hafner,2.4,0,2.4,2.4
2024,New York,19,Josh Riley,46.49604759438048,1.2689976188513044,44.00881226143192,48.983282927329036
2024,New York,19,Marcus Molinaro,42.853877538788595,1.5710363871571758,39.77464621996053,45.93310885761666
2024,Michigan,8,Kristen McDonald Rivet,40.01873593343732,0.27320740107648184,39.483249427327415,40.554222439547225
2024,Michigan,8,Paul Junge,41.01875576761951,0.27320604017066735,40.483271928885,41.55423960635402
2024,California,45,Derek Tran,44.99203141780615,3.3794462705010737,38.36831672762405,51.61574610798826
2024,California,45,Michelle Steel,45.0394610667057,0.21167879080075166,44.62457063673622,45.45435149667517
2024,New Jersey,7,Sue Altman,44.99171530580272,1.5659664442978973,41.92242107497884,48.0610095366266
2024,New Jersey,7,Thomas H. Kean Jr.,46.99171530580272,1.5659664442978973,43.92242107497884,50.0610095366266
2024,North Carolina,1,Don Davis,47.163476304367975,3.8270514615267732,39.6624554397755,54.66449716896045
2024,North Carolina,1,Laurie Buckhout,37.22717269022999,2.391907163454233,32.539034649859694,41.91531073060029
2024,Minnesota,2,Angie Craig,49,0,49,49
2024,Minnesota,2,Joe Teirab,41,0,41,41
2024,Wisconsin,1,Peter Barca,43.58445125214999,1.9563535565332475,39.74999828134482,47.418904222955156
2024,Wisconsin,1,Bryan Steil,50.811661560887515,1.4672651673999355,47.93582183278364,53.68750128899139
2024,Arizona,2,Jonathan Nez,42,0,42,42
2024,Arizona,2,Eli Crane,42,0,42,42
2024,Pennsylvania,10,Janelle Stelson,47.99973747489176,0.0326340896689864,47.93577465914055,48.06370029064297
2024,Pennsylvania,10,Scott Perry,39.012504432762256,0.31601975708005653,38.393105708885344,39.63190315663917
2024,Wisconsin,3,Rebecca Cooke,47.68801907158652,2.1994873983713457,43.37702377077868,51.999014372394356
2024,Wisconsin,3,Derrick Van Orden,48.15643646803475,0.5870061590489002,47.0059043962989,49.306968539770594
2024,California,41,Will Rollins,44.577095682633384,1.586738888650005,41.46708746087938,47.68710390438739
2024,California,41,Ken Calvert,43.733363961308314,3.6615392493271512,36.5567470326271,50.90998088998953
2024,Pennsylvania,7,Susan Wild,50.21935331100011,1.5853004456421085,47.11216443754158,53.326542184458646
2024,Pennsylvania,7,Ryan E. Mackenzie,44.614174994623184,0.7891698650985157,43.067402059030094,46.160947930216274
2024,Washington,3,Marie Gluesenkamp Perez,45.99807698101023,0.08440333610489362,45.83264644224464,46.16350751977582
2024,Washington,3,Joe Kent,45.99826513261404,0.08328541156178053,45.835025725952946,46.16150453927513
2024,Iowa,1,Christina Bohannan,49.86242316330371,0.6275373614930543,48.63244993477733,51.09239639183009
2024,Iowa,1,Mariannette Miller-Meeks,46.0458589444116,0.20917912902465635,45.63586785152327,46.455850037299925
2024,Texas,34,Vicente Gonzalez,48.99999800474167,0.00141253472691871,48.99722943667691,49.00276657280643
2024,Texas,34,Mayra Flores,45.99999800474167,0.0014125347264091833,45.997229436677905,46.002766572805434
2024,North Dakota,1,Trygve Hammer,27.999066918479564,0.052899658979870985,27.895383586879017,28.10275025008011
2024,North Dakota,1,Julie Fedorchak,53.00342129890827,0.19396541625952693,52.623249083039596,53.38359351477695
2024,Texas,15,Michelle Vallejo,45,0,45,45
2024,Texas,15,Monica De La Cruz,48,0,48,48
2024,Pennsylvania,17,Chris Deluzio,46.11509270124942,0.46576718714174,45.202189014451605,47.02799638804723
2024,Pennsylvania,17,Rob Mercuri,41.8849072987506,0.4657671871417399,40.972003611952786,42.79781098554841
2024,Iowa,3,Lanon Baccam,46.561988451799735,3.959586540657679,38.801198832110686,54.322778071488784
2024,Iowa,3,Zach Nunn,42.99434855920257,3.463466793939788,36.20595364308058,49.78274347532456
2024,California,12,Lateefah Simon,41.4,0,41.4,41.4
2024,California,12,Jennifer Tran,27.1,0,27.1,27.1
2024,California,16,Sam Liccardo,45.095234800272905,3.203210873234319,38.81694148873364,51.37352811181217
2024,California,16,Evan Low,35.27646677008313,8.823269724866394,17.982858109345,52.57007543082126
2024,California,13,Adam Gray,46.3,0,46.3,46.3
2024,California,13,John Duarte,45.2,0,45.2,45.2
2024,California,27,George Whitesides,48.19996951324054,0.006048403252842408,48.18811464286497,48.21182438361611
2024,California,27,Mike Garcia,46.09994664817094,0.010584705692474196,46.07920062501369,46.12069267132819
2024,Rhode Island,1,Gabe Amo,NA,NA,NA,NA
2024,Rhode Island,1,Allen R. Waters,NA,NA,NA,NA
2024,Rhode Island,2,Seth Magaziner,NA,NA,NA,NA
2024,Rhode Island,2,Steven Corvi,NA,NA,NA,NA
2024,Delaware,1,Sarah McBride,52,0,52,52
2024,Delaware,1,John J. Whalen III,30.9,0,30.9,30.9
2024,Utah,3,Glenn J. Wright,32.9,0,32.9,32.9
2024,Utah,3,Mike Kennedy,61.4,0,61.4,61.4
2024,Utah,1,Bill Campbell,27.6,0,27.6,27.6
2024,Utah,1,Blake D. Moore,57.8,0,57.8,57.8
2024,Utah,2,Nathaniel Woodward,25.4,0,25.4,25.4
