year,state,state_po,special,dem,rep,totalvotes,dem_cand,rep_cand,dem_inc,rep_inc,dem_funds,rep_funds,2party_votes,dem_pct_2p,rep_pct_2p,dem_tot_funds,rep_tot_funds,tot_funds,dem_funds_2p_pct,rep_funds_2p_pct
22,2014,New Mexico,NM,False,286409.0,229097.0,515506.0,Tom Udall,Allen E. Weh,True,False,5272881.0,1527799.0,515506.0,55.558810178737005,44.441189821262995,5272881.0,1527799.0,6800680.0,77.53461418564027,22.46538581435974
23,2014,North Carolina,NC,False,1377651.0,1423259.0,2915281.0,Kay R. Hagan,Thom Tillis,True,False,16993199.0,7915603.0,2800910.0,49.18583603186107,50.81416396813893,16993199.0,7915603.0,24908802.0,68.22166316950931,31.778336830490684
24,2014,Oklahoma,OK,False,234307.0,558166.0,820733.0,Matt Silverstein,James M. Inhofe,False,True,451915.0,2070187.0,792473.0,29.566559365429484,70.43344063457052,451915.0,2070187.0,2522102.0,17.918188875786942,82.08181112421306
25,2014,Oklahoma,OK,True,237923.0,557002.0,820890.0,Connie Johnson,James Lankford,False,True,136539.0,3251455.0,794925.0,29.930244991665884,70.06975500833413,136539.0,3251455.0,3387994.0,4.030083878542879,95.96991612145712
26,2014,Oregon,OR,False,814537.0,538847.0,1461618.0,Jeff Merkley,Monica Wehby,True,False,7795239.0,2831611.0,1353384.0,60.18520981480496,39.81479018519504,7795239.0,2831611.0,10626850.0,73.35418303636543,26.645816963634566
27,2014,Rhode Island,RI,False,223675.0,92684.0,316898.0,Jack Reed,Mark S. Zaccaria,True,False,1590931.08,25433.0,316359.0,70.70290397933992,29.297096020660074,1590931.08,25433.0,1616364.08,98.42653024063736,1.5734697593626308
28,2014,South Carolina,SC,False,456726.0,672941.0,1240075.0,Brad Hutto,Lindsey Graham,False,True,379558.0,5565442.0,1129667.0,40.43014445849972,59.56985554150028,379558.0,5565442.0,5945000.0,6.384491169049622,93.61550883095038
29,2014,South Carolina,SC,True,459583.0,757215.0,1238982.0,Joyce Dickerson,Tim Scott,False,True,51819.0,3700486.0,1216798.0,37.769868129303305,62.230131870696695,51819.0,3700486.0,3752305.0,1.3809911507726584,98.61900884922734
30,2014,South Dakota,SD,False,82456.0,140741.0,279412.0,Rick Weiland,Mike Rounds,False,False,1940270.0,3371648.0,223197.0,36.943148877449076,63.056851122550924,1940270.0,3371648.0,5311918.0,36.52673102257979,63.473268977420204
31,2014,Tennessee,TN,False,437848.0,850087.0,1374065.0,Gordon Ball,Lamar Alexander,False,True,214729.0,4304014.0,1287935.0,33.996125580871706,66.0038744191283,214729.0,4304014.0,4518743.0,4.751963101242978,95.24803689875702
32,2014,Texas,TX,False,1597387.0,2861531.0,4648358.0,David M. Alameel,John Cornyn,False,True,41793.0,7053880.0,4458918.0,35.82454308421909,64.17545691578091,41793.0,7053880.0,7095673.0,0.588992756571505,99.4110072434285
