,year,state,state_po,special,district,dem,rep,totalvotes,dem_cand,rep_cand,dem_inc,rep_inc,dem_funds,rep_funds,2party_votes,dem_pct_2p,rep_pct_2p,dem_tot_funds,rep_tot_funds,tot_funds,dem_funds_2p_pct,rep_funds_2p_pct
23,2018,California,CA,False,3,134875.0,97376.0,232251,John Garamendi,Charlie Schaupp,True,False,402130.88,10491.0,232251.0,58.072946941025016,41.92705305897499,402130.88,10491.0,412621.88,97.4574785030789,2.5425214969211036
24,2018,California,CA,False,4,156253.0,184401.0,340654,Jessica Morse,Tom Mcclintock,False,True,3432526.88,1545489.13,340654.0,45.86853522929424,54.13146477070576,3432526.88,1545489.13,4978016.01,68.95371314806196,31.046286851938028
25,2018,California,CA,False,5,205860.0,,261018,Mike Thompson,[],True,[],824122.94,[],,,,824122.94,0.0,824122.94,100.0,0.0
26,2018,California,CA,False,6,201939.0,,201939,"['Doris Matsui', 'Jrmar Jefferson']",[],"[True, True]",[],"[248285.28, 248285.28]",[],,,,496570.56,0.0,496570.56,100.0,0.0
27,2018,California,CA,False,7,155016.0,126601.0,281617,Ami Bera,Andrew Grant,True,False,1763403.73,517784.13,281617.0,55.0449724270907,44.95502757290931,1763403.73,517784.13,2281187.86,77.30199519823853,22.698004801761485
28,2018,California,CA,False,8,,170785.0,170785,[],"['Paul Cook', 'Tim Donnelly']",[],"[True, False]",[],"[307735.41, 234387.38]",,,,0.0,542122.79,542122.79,0.0,100.0
29,2018,California,CA,False,9,113414.0,87349.0,200763,Jerry Mcnerney,Marla Livengood,True,False,788000.9,97503.62,200763.0,56.49148498478306,43.50851501521695,788000.9,97503.62,885504.52,88.98891899501541,11.011081004984593
30,2018,California,CA,False,10,115945.0,105955.0,221900,Josh Harder,Jeff Denham,False,True,7411079.72,1779273.65,221900.0,52.25101397025688,47.74898602974313,7411079.72,1779273.65,9190353.37,80.63976891456569,19.360231085434314
31,2018,California,CA,False,11,204369.0,71312.0,275681,Mark Desaulnier,John Fitzgerald,True,True,229849.79,229849.79,275681.0,74.1324211679441,25.867578832055894,229849.79,229849.79,459699.58,50.0,50.0
32,2018,California,CA,False,12,275292.0,41780.0,317072,Nancy Pelosi,Lisa Remmer,True,False,2983149.32,11442.61,317072.0,86.82318211636473,13.176817883635264,2983149.32,11442.61,2994591.9299999997,99.6178908423092,0.382109157690811
33,2018,California,CA,False,13,260580.0,,294837,Barbara Lee,[],True,[],1427184.47,[],,,,1427184.47,0.0,1427184.47,100.0,0.0
34,2018,California,CA,False,14,211384.0,55439.0,266823,Jackie Speier,Cristina Osmena,True,True,614928.56,614928.56,266823.0,79.22255577667593,20.777444223324075,614928.56,614928.56,1229857.12,50.0,50.0
35,2018,California,CA,False,15,177989.0,65940.0,243929,Eric Swalwell,Rudy L Peters Jr,True,False,2064355.03,39399.43,243929.0,72.96754383447642,27.032456165523573,2064355.03,39399.43,2103754.46,98.12718495674633,1.8728150432536697
36,2018,California,CA,False,16,82266.0,60693.0,142959,Jim Costa,Elizabeth Heng,True,False,778174.63,1058718.23,142959.0,57.545170293580675,42.454829706419325,778174.63,1058718.23,1836892.8599999999,42.36363736532789,57.636362634672125
37,2018,California,CA,False,17,159105.0,52057.0,211162,Ro Khanna,Ron Cohen,True,False,2730541.58,0.0,211162.0,75.34736363550259,24.6526363644974,2730541.58,0.0,2730541.58,100.0,0.0
38,2018,California,CA,False,18,225142.0,77096.0,302238,Anna G Eshoo,Christine Russell,True,True,876222.38,876222.38,302238.0,74.49162580482931,25.508374195170692,876222.38,876222.38,1752444.76,50.0,50.0
39,2018,California,CA,False,19,162496.0,57823.0,220319,Zoe Lofgren,Justin James Aguilera,True,False,981418.48,23993.62,220319.0,73.75487361507632,26.24512638492368,981418.48,23993.62,1005412.1,97.61355368609547,2.3864463139045173
40,2018,California,CA,False,20,183677.0,,225721,Jimmy Panetta,[],True,[],535316.85,[],,,,535316.85,0.0,535316.85,100.0,0.0
41,2018,California,CA,False,21,57239.0,56377.0,113616,Tj Cox,David G Valadao,False,True,2025096.86,1287443.99,113616.0,50.37934797915786,49.62065202084214,2025096.86,1287443.99,3312540.85,61.13424563503873,38.86575436496126
42,2018,California,CA,False,22,105136.0,117243.0,222379,Andrew Janz,Devin G Nunes,False,True,8957855.58,11141077.79,222379.0,47.27784548001385,52.722154519986155,8957855.58,11141077.79,20098933.369999997,44.568810767693,55.43118923230701
43,2018,California,CA,False,23,74661.0,131113.0,205774,Tatiana Matta,Kevin Mccarthy,False,True,94708.04,609124.4,205774.0,36.28300951529348,63.71699048470653,94708.04,609124.4,703832.4400000001,13.456049283548225,86.54395071645176
44,2018,California,CA,False,24,166550.0,117881.0,284431,Salud Carbajal,Justin Fareed,True,False,1969094.13,1270095.92,284431.0,58.555502037400984,41.444497962599016,1969094.13,1270095.92,3239190.05,60.78970667374086,39.21029332625914
45,2018,California,CA,False,25,133209.0,111813.0,245022,Katie Hill,Steve Knight,False,True,6991652.12,985484.88,245022.0,54.366138550824004,45.633861449175996,6991652.12,985484.88,7977137.0,87.64613319289866,12.353866807101346
46,2018,California,CA,False,26,158216.0,97210.0,255426,Julia Brownley,Antonio Sabato Jr,True,False,1596390.12,301677.44,255426.0,61.942010601896435,38.05798939810356,1596390.12,301677.44,1898067.56,84.10607470684552,15.893925293154476
47,2018,California,CA,False,27,202636.0,,202636,"['Bryan Witt', 'Judy Chu']",[],"[False, True]",[],"[4127.21, 806815.28]",[],,,,810942.49,0.0,810942.49,100.0,0.0
48,2018,California,CA,False,28,196662.0,54272.0,250934,Adam B Schiff,Johnny J Nalbandian,True,False,4951478.96,24370.0,250934.0,78.37200219978162,21.627997800218385,4951478.96,24370.0,4975848.96,99.51023432994236,0.48976567005763777
49,2018,California,CA,False,29,124697.0,29995.0,154692,Tony Cardenas,Benito Benny Bernal,True,False,613147.67,3750.0,154692.0,80.60985700618002,19.39014299381998,613147.67,3750.0,616897.67,99.39211960388828,0.6078803961117246
50,2018,California,CA,False,30,191573.0,69420.0,260993,Brad Sherman,Mark S Reed,True,True,765622.88,765622.88,260993.0,73.40158548313556,26.598414516864437,765622.88,765622.88,1531245.76,50.0,50.0
51,2018,California,CA,False,31,110143.0,77352.0,187495,Pete Aguilar,Sean Flynn,True,False,1679596.48,429890.9,187495.0,58.74449985332942,41.25550014667058,1679596.48,429890.9,2109487.38,79.62107267975217,20.378927320247826
52,2018,California,CA,False,32,121759.0,55272.0,177031,Grace Flores Napolitano,Joshua M Scott,True,False,86749.39,6174.0,177031.0,68.77834955459778,31.221650445402215,86749.39,6174.0,92923.39,93.35581708760301,6.644182912396976
53,2018,California,CA,False,33,219091.0,93769.0,312860,Ted W Lieu,Kenneth Weston Wright,True,False,1294042.54,116837.26,312860.0,70.02844722879243,29.97155277120757,1294042.54,116837.26,1410879.8,91.71883671450962,8.281163285490372
54,2018,California,CA,False,34,110195.0,,151906,Jimmy Gomez,[],True,[],767027.12,[],,,,767027.12,0.0,767027.12,100.0,0.0
55,2018,California,CA,False,35,103420.0,45604.0,149024,Norma J Torres,Christian Leonel Valiente,True,False,241931.84,1460.0,149024.0,69.39821773674039,30.601782263259608,241931.84,1460.0,243391.84,99.40014422833568,0.5998557716643254
56,2018,California,CA,False,36,122169.0,84839.0,207008,Raul Ruiz,Kimberlin Brown Pelzer,True,False,1925955.93,756247.18,207008.0,59.01655974648323,40.983440253516775,1925955.93,756247.18,2682203.11,71.80499951027198,28.195000489728017
57,2018,California,CA,False,37,210555.0,25823.0,236378,Karen Bass,Ron J Bassilian,True,False,505639.21,6127.55,236378.0,89.0755484858997,10.924451514100298,505639.21,6127.55,511766.76,98.8026674495233,1.1973325504767054
58,2018,California,CA,False,38,139188.0,62968.0,202156,Linda T Sanchez,Ryan Downing,True,True,381412.72,381412.72,202156.0,68.85177783493936,31.148222165060645,381412.72,381412.72,762825.44,50.0,50.0
59,2018,California,CA,False,39,126002.0,118391.0,244393,Gil Cisneros,Young Kim,False,False,2179631.66,2322247.02,244393.0,51.55712315819193,48.44287684180807,2179631.66,2322247.02,4501878.68,48.41604616497573,51.583953835024275
60,2018,California,CA,False,40,93938.0,,121449,Lucille Roybal-Allard,[],True,[],189240.47,[],,,,189240.47,0.0,189240.47,100.0,0.0
61,2018,California,CA,False,41,108227.0,58021.0,166248,Mark Takano,Aja Smith,True,False,724332.21,41964.88,166248.0,65.09973052307396,34.90026947692604,724332.21,41964.88,766297.09,94.52368010427914,5.476319895720862
62,2018,California,CA,False,42,100892.0,131040.0,231932,Julia C Peacock,Ken Calvert,False,True,153292.78,844367.63,231932.0,43.50068123415484,56.49931876584516,153292.78,844367.63,997660.41,15.365226329869097,84.6347736701309
63,2018,California,CA,False,43,152272.0,43780.0,196052,Maxine Waters,Omar Navarro,True,False,584631.42,1154323.67,196052.0,77.66918980678595,22.330810193214045,584631.42,1154323.67,1738955.0899999999,33.61969629704469,66.38030370295532
64,2018,California,CA,False,44,143322.0,,143322,"['Aja L Brown', 'Nanette Diaz Barragan']",[],"[False, True]",[],"[17679.89, 993090.76]",[],,,,1010770.65,0.0,1010770.65,100.0,0.0
65,2018,California,CA,False,45,158906.0,146383.0,305289,Katie Porter,Mimi Walters,False,True,5593038.89,1368255.77,305289.0,52.05100740609717,47.94899259390283,5593038.89,1368255.77,6961294.66,80.34480887783594,19.655191122164048
66,2018,California,CA,False,46,102278.0,45638.0,147916,Lou Correa,Russell Rene Lambert,True,False,401173.02,140.0,147916.0,69.14600178479677,30.85399821520322,401173.02,140.0,401313.02,99.9651145133542,0.03488548664581079
67,2018,California,CA,False,47,143354.0,77682.0,221036,Alan Lowenthal,John Briscoe,True,False,262268.68,8565.0,221036.0,64.85549865180332,35.14450134819667,262268.68,8565.0,270833.68,96.83754250948405,3.1624574905159504
68,2018,California,CA,False,48,157837.0,136899.0,294736,Harley Rouda,Dana Rohrabacher,False,True,5942200.51,2135135.15,294736.0,53.55199229140655,46.44800770859345,5942200.51,2135135.15,8077335.66,73.5663436574332,26.433656342566795
69,2018,California,CA,False,49,166453.0,128577.0,295030,Mike Levin,Diane L Harkey,False,False,4769047.65,1267485.32,295030.0,56.41900823645053,43.58099176354947,4769047.65,1267485.32,6036532.970000001,79.00309123963916,20.99690876036083
70,2018,California,CA,False,50,125448.0,134362.0,259810,Ammar Campa-Najjar,Duncan Hunter,False,True,3799707.95,654384.07,259810.0,48.28451560755937,51.71548439244062,3799707.95,654384.07,4454092.0200000005,85.30824987311331,14.691750126886689
71,2018,California,CA,False,51,109527.0,44301.0,153828,Juan Vargas,Juan M Hidalgo Jr,True,False,189678.45,62201.87,153828.0,71.20095171230206,28.79904828769795,189678.45,62201.87,251880.32,75.30499008417966,24.69500991582034
72,2018,California,CA,False,52,188992.0,107015.0,296007,Scott Peters,Omar Qudrat,True,False,1168327.75,295315.27,296007.0,63.84713875009712,36.15286124990288,1168327.75,295315.27,1463643.02,79.82327207080863,20.17672792919137
73,2018,California,CA,False,53,185667.0,83127.0,268794,Susan A Davis,Morgan Murtaugh,True,False,99926.6,94570.86,268794.0,69.07408647514454,30.925913524855464,99926.6,94570.86,194497.46000000002,51.376814895166234,48.62318510483375
74,2018,Colorado,CO,False,1,272886.0,85207.0,369693,Diana Degette,Charles Casper Stockham,True,False,573467.8,34367.0,358093.0,76.20534330467224,23.794656695327753,573467.8,34367.0,607834.8,94.3459966425088,5.654003357491213
75,2018,Colorado,CO,False,2,259608.0,144901.0,430614,Joe Neguse,Peter Yu,False,False,813690.2,60358.0,404509.0,64.17854732527583,35.82145267472417,813690.2,60358.0,874048.2,93.09443117667881,6.905568823321186
76,2018,Colorado,CO,False,3,146426.0,173205.0,336189,Diane Mitsch Bush,Scott R Tipton,False,True,1792836.79,855235.44,319631.0,45.81095075258658,54.18904924741342,1792836.79,855235.44,2648072.23,67.7034700824607,32.296529917539296
77,2018,Colorado,CO,False,4,145544.0,224038.0,369582,Karen Mccormick,Ken Buck,False,True,875438.22,307336.4,369582.0,39.38070577030267,60.61929422969733,875438.22,307336.4,1182774.62,74.01564128929313,25.98435871070686
78,2018,Colorado,CO,False,5,126848.0,184002.0,322645,Stephany Rose Spaulding,Doug Lamborn,False,True,319567.98,221106.17,310850.0,40.806820009650956,59.193179990349044,319567.98,221106.17,540674.15,59.1054667584903,40.8945332415097
79,2018,Colorado,CO,False,6,187639.0,148685.0,346817,Jason Crow,Mike Coffman,False,True,4192539.46,2267602.09,336324.0,55.79114187509663,44.208858124903365,4192539.46,2267602.09,6460141.55,64.89856959868008,35.101430401319924
