year,location,candidate_name,party,avg,std,lower_ci,upper_ci,effn
2014,CO,Mark Udall,DEM,44.062920120485344,2.242446090822696,39.66772578247286,48.45811445849783,9.133356561125167
2014,GA,Mary Michelle Nunn,DEM,45.05110350046615,1.8122357884722007,41.49912135506064,48.60308564587166,8.728368066393681
2014,LA,Mary L. Landrieu,DEM,40.36249081617407,4.021862604198369,32.47964011194527,48.245341520402874,5.480769767708859
2014,HI,Brian Schatz,DEM,68.32810816441001,5.208749999460623,58.11895816546719,78.53725816335283,1.1394156890984077
2014,MN,Al Franken,DEM,50.59611647464864,1.5198467378776201,47.617216868408505,53.57501608088877,1.9398257706398674
2014,TX,David M. Alameel,DEM,33.99668945931699,1.7339579353855186,30.598131905961374,37.395247012672606,0.6129076682617601
2014,AR,Mark L. Pryor,DEM,41.72396477176066,2.6606390640655637,36.50911220619216,46.93881733732917,3.1702585136880703
2014,IA,Bruce L. Braley,DEM,45.25112497823436,1.3253692869017673,42.65340117590689,47.84884878056182,9.227893562992664
2014,NH,Jeanne Shaheen,DEM,48.24113121079112,1.4861032580867037,45.32836882494118,51.153893596641055,6.046856402088483
2014,NJ,Cory A. Booker,DEM,54.07402676667255,2.024056564649963,50.106875899958624,58.04117763338648,2.367539031219022
2014,SC,Joyce Dickerson,DEM,29.279991773273085,1.483777739478686,26.37178740389486,32.18819614265131,0.9677362842481558
2014,KY,Alison Lundergan Grimes,DEM,42.08468339167951,1.3801886720136927,39.379513594532675,44.78985318882635,3.9055597624911655
2014,NC,Kay R. Hagan,DEM,44.9035032087777,1.8160427363302813,41.34405944557035,48.46294697198505,9.706601710992771
2014,SC,Charles Bradley Hutto,DEM,28.42666392442436,0.49459257982622873,27.457262467964952,29.39606538088377,0.9677362842481558
2014,AK,Mark Begich,DEM,44.93590530221527,3.3971484177854534,38.27749440335578,51.594316201074754,3.199893125823201
2014,KS,Pat Roberts,REP,43.77480130859251,2.844590154863309,38.19940460506042,49.350198012124594,4.765684933769358
2014,ME,Shenna Bellows,DEM,33.9602419713473,3.483066805970763,27.133431031644605,40.78705291105,2.508650419675204
2014,MI,Gary C. Peters,DEM,50.28074578981181,2.344682559543017,45.6851679731075,54.876323606516124,3.8248651249811148
2014,OR,Jeff Merkley,DEM,51.39874525713244,1.685148210086538,48.09585476536282,54.701635748902056,2.012422230482405
2016,FL,Patrick Murphy,DEM,44.08883940649736,2.552295893232022,39.08633945576259,49.09133935723212,11.268889111609152
2016,GA,Jim Barksdale,DEM,39.86798696979239,2.3084193036196403,35.34348513469789,44.39248880488689,6.503004137296261
2016,MO,Jason Kander,DEM,44.98511211853576,1.8730885659182848,41.313858529335924,48.656365707735596,5.82558379125245
2016,NC,Deborah K. Ross,DEM,45.58277360354734,2.3281489528103214,41.01960165603911,50.14594555105557,8.008059407191533
2016,NH,Maggie Hassan,DEM,45.957312043009146,2.1173082760890765,41.807387821874556,50.10723626414374,8.353257089665684
2016,OH,Ted Strickland,DEM,35.015616893914824,4.41803252667983,26.35627314162236,43.67496064620729,3.776639453654404
2016,PA,Kathleen Alana McGinty,DEM,45.9487331483156,2.1805068049819796,41.67493981055092,50.22252648608028,9.544058070152717
2016,LA,Foster L. Campbell,DEM,26.546199283451504,9.18951471556779,8.534750440938634,44.55764812596438,3.719730620054699
