year,location,candidate_name,party,avg,std,lower_ci,upper_ci,effn
2014,MI-6,Paul Clements,DEM,43,0,43,43,0.7695748925087966
2014,KS-1,James E. Sherow,DEM,45,0,45,45,0.3107313235000001
2014,NJ-2,William Hughes,DEM,38,0,38,38,1.1137280139999999
2014,NJ-3,Aimee Belgard,DEM,41,0,41,41,1.1137280139999999
2014,NY-11,Domenic M. Recchia,DEM,34,0,34,34,1.1817431674
2014,LA-5,Jamie Mayo,DEM,18.3,0,18.3,18.3,0.6657885750678787
2014,NY-1,Timothy H. Bishop,DEM,45,0,45,45,1.1817431674
2016,MN-2,Angie Craig,DEM,45,0,45,45,0.9280004852610165
2016,NY-1,Anna Throne-Holst,DEM,36,0,36,36,1.1817431674
2014,GA-1,Brian Corwin Reese,DEM,37,0,37,37,1.1231741635
2014,GA-10,I. Kenneth Dious,DEM,32.2,0,32.2,32.2,1.1231741635
2014,GA-12,John Barrow,DEM,45.12450512389098,0.6457158713505441,43.85890201604391,46.39010823173804,2.246348327
2014,GA-7,Thomas D. Wight,DEM,37,0,37,37,1.1231741635
2016,IA-1,Monica Vernon,DEM,41,0,41,41,1.558752361525241
2016,NY-3,Thomas Suozzi,DEM,47,0,47,47,1.1817431674
2014,LA-6,Edwin Edwards,DEM,40.20169433261364,5.946655199472962,28.546250141646635,51.857138523580645,1.5344421676548232
2016,IA-3,Jim Mowrer,DEM,39,0,39,39,0.730865706934587
2016,NY-22,Kim A. Myers,DEM,34,0,34,34,1.1817431674
2016,GA-11,Don E. Wilson,DEM,33,0,33,33,0.9641460778361803
2016,GA-12,Patricia Carpenter McCracken,DEM,41,0,41,41,0.9641460778361803
2016,GA-3,Angela Pendley,DEM,31,0,31,31,0.9641460778361803
2016,GA-8,James Neal Harris,DEM,34,0,34,34,0.9641460778361803
2014,FL-13,Alex Sink,DEM,46.26528666059656,2.0947245684483797,42.15962650643773,50.370946814755385,3.8504323866999997
2014,MA-6,Richard R. Tisei,REP,42.57595029430488,2.7438100651532418,37.198082566604526,47.95381802200524,5.280454912761392
2014,NJ-5,Scott Garrett,REP,52.05317951418359,1.9589878500696294,48.213563328047115,55.892795700320065,2.3221745675
2014,HI-1,Charles K. Djou,REP,44.45809024874991,2.3001706218748175,39.94975582987527,48.96642466762455,2.4295747825334075
2014,MI-11,David A. Trott,REP,47,0,47,47,0.6517300655347904
2014,ND-1,Kevin Cramer,REP,48.165194976156,1.9931659790024547,44.25858965731119,52.07180029500081,1.7135351209781495
2014,NY-19,Christopher P. Gibson,REP,55.5554528195649,4.388383193703723,46.9542217599056,64.1566838792242,3.2365359611240616
2014,AR-1,Rick Crawford,REP,52,0,52,52,0.7171727479837982
2014,AR-2,French Hill,REP,41.5,0,41.5,41.5,0.7171727479837982
2014,AR-3,Grant Brand,LIB,19,0,19,19,0.7171727479837982
2014,AR-4,Bruce Westerman,REP,45.6837913135878,1.0981557106790436,43.53140612065687,47.836176506518726,1.5474906048564607
2014,CA-24,Chris Mitchum,REP,41.5,0,41.5,41.5,0.8098509368717153
2014,ME-2,Bruce Poliquin,REP,40.82042962410935,3.005868122638601,34.9289281037377,46.71193114448101,3.5201900536037525
2014,NH-1,Frank C. Guinta,REP,49.33194545305456,3.5129739958412554,42.4465164212057,56.21737448490342,4.590924661803287
2014,NH-2,Marilinda Garcia,REP,41.60298953538122,4.307009946681057,33.16125003988635,50.04472903087609,4.590924661803287
2014,AK-1,Don Young,REP,46.302296350370895,2.620599214775391,41.16592188941113,51.43867081133066,2.884713501019262
2014,CA-17,Ro Khanna,DEM,35,0,35,35,1.1975676268
2014,CA-21,David G. Valadao,REP,47,0,47,47,1.1975676268
2014,HI-2,Kawika Crowley,REP,19,0,19,19,0.6030601120748644
2014,MA-9,John C. Chapman,REP,41.859380035565046,1.356320781071853,39.200991304664214,44.51776876646588,2.3673359006
2014,ME-1,Isaac J. Misiuk,REP,26.183986339154576,5.643784957853247,15.122167821762213,37.24580485654694,2.7287871118390035
2014,NY-4,Bruce Blakeman,REP,42,0,42,42,1.1817431674
2014,PA-3,Mike Kelly,REP,52,0,52,52,0.8313618705819179
2014,US,Generic Candidate,REP,46.614739914435184,3.083663114834497,40.57076020935957,52.6587196195108,13.29920542509745
2014,VA-10,Barbara J. Comstock,REP,51,0,51,51,0.8278866545906541
2016,IN-9,Trey Hollingsworth,REP,43.79370722929552,0.40464313099266813,43.000606692549894,44.58680776604115,2.2822865632999996
2016,MN-8,Stewart Mills,REP,45,0,45,45,1.1975676268
2014,CA-52,Carl DeMaio,REP,45.327222783011024,0.4691993534624113,44.4075920502247,46.24685351579735,2.3951352536
2014,KS-2,Lynn Jenkins,REP,49,0,49,49,1.0963267981
2014,UT-1,Rob Bishop,REP,55.60585667587777,3.034717612032997,49.657810156293095,61.55390319546244,1.44863965990169
2014,UT-2,Chris Stewart,REP,55.218850285692476,5.829446970444114,43.79313422362201,66.64456634776295,1.44863965990169
2014,UT-3,Jason Chaffetz,REP,68.1015796009866,4.156756473232131,59.95433691345162,76.24882228852158,1.44863965990169
2014,UT-4,Mia B. Love,REP,47.23753533500883,1.9983582322964297,43.32075319970782,51.154317470309834,1.44863965990169
2016,NH-1,Frank C. Guinta,REP,33.617464559871344,1.4451974802040988,30.78487749867131,36.45005162107138,3.4587617983445123
2016,NH-2,Jim Lawrence,REP,33.736563711881544,3.5564268281369387,26.765967128733145,40.707160295029944,3.4587617983445123
2016,NY-24,John Katko,REP,54,0,54,54,1.1817431674
2016,SD-1,Kristi Noem,REP,56.73813735378949,3.602621065191515,49.677000066014124,63.79927464156486,1.5302127976313145
2014,CA-31,Paul Chabot,REP,38,0,38,38,0.8448164219744214
2016,US,Generic Candidate,REP,42.33854129124994,4.2274208626925915,34.05279640037246,50.62428618212742,23.772661843539392
2016,UT-4,Mia B. Love,REP,49,0,49,49,0.8688432936467319
2014,IL-10,Robert Dold,REP,47,0,47,47,0.671762032
2014,IL-11,Darlene J. Senger,REP,40,0,40,40,0.671762032
2014,IL-12,Mike Bost,REP,44,0,44,44,0.671762032
2014,IL-13,Rodney Davis,REP,53,0,53,53,0.671762032
2014,IL-17,Robert Schilling,REP,39,0,39,39,0.671762032
2014,NY-21,Elise M. Stefanik,REP,48.48381701681241,1.4999127011446867,45.54398812256883,51.42364591105599,2.1650838155
2014,NY-24,John Katko,REP,48.904845314689965,5.249940351825316,38.61496222511234,59.194728404267586,2.0435346508240615
2016,NJ-2,Frank A. LoBiondo,REP,59,0,59,59,1.1137280139999999
2014,AZ-2,Martha McSally,REP,46,0,46,46,0.99672292
2014,NY-18,Nan Hayworth,REP,42.75964169079774,1.502149394402235,39.815428877769364,45.70385450382612,3.2365359611240616
2014,SD-1,Kristi Noem,REP,57.38747523937579,2.656150335693699,52.18142058141614,62.593529897335436,3.5625589671
2016,CA-31,Paul Chabot,REP,42,0,42,42,0.8329275034637917
2016,FL-7,John L. Mica,REP,47,0,47,47,0.870884515
2016,NJ-7,Leonard Lance,REP,45,0,45,45,1.0038639742
2014,IA-1,Rod Blum,REP,43.6,0,43.6,43.6,0.730865706934587
2014,IA-2,Mariannette Miller-Meeks,REP,37.9,0,37.9,37.9,0.730865706934587
2014,IA-3,David Young,REP,45.7,0,45.7,45.7,0.730865706934587
2014,IA-4,Steve King,REP,50.7,0,50.7,50.7,0.730865706934587
2014,NE-2,Lee Terry,REP,41,0,41,41,0.8821732503962315
2016,FL-13,David W. Jolly,REP,45.479225080692274,0.49956821629058584,44.500071376762726,46.45837878462182,2.3953916973
2016,ME-1,Mark Holbrook,REP,28,0,28,28,0.8304418965016436
2016,ME-2,Bruce Poliquin,REP,44,0,44,44,0.8304418965016436
2016,NE-2,Don Bacon,REP,47.35871335517953,0.4796228559976807,46.418652557424075,48.29877415293499,1.8764645234
2014,MT-1,Ryan K. Zinke,REP,53,0,53,53,0.8857670779727077
2016,NY-19,John J. Faso,REP,44.50282585437949,3.199649710855924,38.231512421101876,50.7741392876571,3.3831747684
2014,MI-6,Fred Upton,REP,47,0,47,47,0.7695748925087966
2014,KS-1,Tim Huelskamp,REP,38,0,38,38,0.3107313235000001
2014,NJ-2,Frank A. LoBiondo,REP,56,0,56,56,1.1137280139999999
2014,NJ-3,Tom MacArthur,REP,46,0,46,46,1.1137280139999999
2014,NY-11,Michael G. Grimm,REP,53,0,53,53,1.1817431674
2014,LA-5,Ralph Lee Abraham,REP,24.5,0,24.5,24.5,0.6657885750678787
2014,NY-1,Lee M. Zeldin,REP,50,0,50,50,1.1817431674
2016,MN-2,Jason Lewis,REP,40,0,40,40,0.9280004852610165
2016,NY-1,Lee M. Zeldin,REP,57,0,57,57,1.1817431674
2014,GA-1,Carter,REP,60,0,60,60,1.1231741635
2014,GA-10,Jody B. Hice,REP,60.6,0,60.6,60.6,1.1231741635
2014,GA-12,Rick W. Allen,REP,47.654150692990164,0.3973636131387972,46.87531801123812,48.43298337474221,2.246348327
2014,GA-7,Rob Woodall,REP,61,0,61,61,1.1231741635
2016,IA-1,Rod Blum,REP,49.440305535047514,2.4992872125576198,44.54170259843458,54.338908471660446,1.558752361525241
2016,NY-3,Jack M. Martins,REP,40,0,40,40,1.1817431674
2014,LA-6,Garret Graves,REP,57.53220377825757,3.964436799648642,49.76190765094623,65.30249990556891,1.5344421676548232
2016,IA-3,David Young,REP,44,0,44,44,0.730865706934587
2016,NY-22,Claudia Tenney,REP,38,0,38,38,1.1817431674
2016,GA-11,Barry Loudermilk,REP,63,0,63,63,0.9641460778361803
2016,GA-12,Rick W. Allen,REP,55,0,55,55,0.9641460778361803
2016,GA-3,Drew Ferguson,REP,63,0,63,63,0.9641460778361803
2016,GA-8,Austin Scott,REP,60,0,60,60,0.9641460778361803
2014,FL-13,David W. Jolly,REP,45.27223234578444,0.637535776516159,44.022662223812766,46.52180246775611,3.8504323866999997
