"GEO_ID","NAME","B05003F_001E","B05003F_001M","B05003F_002E","B05003F_002M","B05003F_003E","B05003F_003M","B05003F_004E","B05003F_004M","B05003F_005E","B05003F_005M","B05003F_006E","B05003F_006M","B05003F_007E","B05003F_007M","B05003F_008E","B05003F_008M","B05003F_009E","B05003F_009M","B05003F_010E","B05003F_010M","B05003F_011E","B05003F_011M","B05003F_012E","B05003F_012M","B05003F_013E","B05003F_013M","B05003F_014E","B05003F_014M","B05003F_015E","B05003F_015M","B05003F_016E","B05003F_016M","B05003F_017E","B05003F_017M","B05003F_018E","B05003F_018M","B05003F_019E","B05003F_019M","B05003F_020E","B05003F_020M","B05003F_021E","B05003F_021M","B05003F_022E","B05003F_022M","B05003F_023E","B05003F_023M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"0400000US34","New Jersey","557107","9170","289191","5373","83087","2171","73829","2045","9258","872","1563","305","7695","870","206104","4294","71970","2071","134134","4002","37713","1556","96421","3526","267916","4854","77637","2329","68904","2190","8733","783","1564","264","7169","768","190279","3592","73499","2236","116780","3208","44691","1469","72089","2700",
"0400000US35","New Mexico","230398","4925","117676","2989","33398","1527","31726","1510","1672","442","223","158","1449","360","84278","2093","64199","2002","20079","1264","5312","584","14767","1094","112722","2789","31412","1256","29815","1276","1597","411","120","70","1477","398","81310","1977","63384","1989","17926","1083","5285","528","12641","877",
"0400000US36","New York","1649123","18998","816815","10172","233452","3920","210838","3913","22614","1265","4039","531","18575","1176","583363","7588","233733","4419","349630","6533","112251","2948","237379","5496","832308","9864","221563","3067","200732","3165","20831","1191","4016","525","16815","1059","610745","7859","257485","4439","353260","6547","149828","2982","203432","5371",
"0400000US37","North Carolina","293865","7571","158583","4318","56337","2355","49105","2178","7232","786","553","220","6679","778","102246","2675","20253","1183","81993","2743","10922","890","71071","2637","135282","4049","55137","2343","49274","2155","5863","684","527","183","5336","653","80145","2442","19167","1094","60978","2116","9491","635","51487","2037",
"0400000US38","North Dakota","5113","599","2962","409","917","222","844","216","73","63","51","55","22","28","2045","316","1474","290","571","189","230","120","341","155","2151","349","654","181","565","161","89","74","48","54","41","56","1497","253","945","214","552","172","270","127","282","126",
"0400000US39","Ohio","96823","3390","51870","2039","16087","942","14377","940","1710","307","481","146","1229","284","35783","1559","19483","1030","16300","1257","3178","439","13122","1059","44953","1726","15916","975","14577","972","1339","272","388","141","951","248","29037","1119","18767","930","10270","859","3023","378","7247","682",
"0400000US40","Oklahoma","96727","3141","52653","1861","16648","1019","14624","933","2024","308","293","107","1731","299","36005","1123","13868","900","22137","973","4860","425","17277","887","44074","1687","16566","930","14717","863","1849","292","128","92","1721","279","27508","1079","11985","681","15523","849","3611","350","11912","791",
"0400000US41","Oregon","144234","5208","77464","3053","26855","1557","23477","1336","3378","713","208","146","3170","718","50609","2089","15087","1269","35522","1813","7359","758","28163","1877","66770","2668","25021","1512","22037","1409","2984","596","190","99","2794","607","41749","1649","14108","963","27641","1580","5219","575","22422","1421",
"0400000US42","Pennsylvania","249147","6013","128689","3311","43183","1786","39827","1683","3356","516","1074","325","2282","434","85506","2355","57003","1844","28503","1729","8293","781","20210","1580","120458","3429","39752","1696","37062","1558","2690","423","611","172","2079","395","80706","2195","55651","1728","25055","1597","9756","782","15299","1224",
"0400000US44","Rhode Island","61994","2748","31130","1476","9470","723","8516","703","954","296","217","106","737","257","21660","1162","7267","650","14393","1069","5136","513","9257","917","30864","1654","8991","769","7895","756","1096","235","243","102","853","245","21873","1083","7933","615","13940","922","6211","649","7729","574",
"0400000US45","South Carolina","73984","3444","42320","1997","12047","1039","10274","901","1773","441","243","118","1530","399","30273","1569","6821","636","23452","1333","2940","518","20512","1230","31664","1926","12062","950","10616","936","1446","331","73","71","1373","318","19602","1256","6259","714","13343","996","2315","440","11028","866",
"0400000US46","South Dakota","7199","590","4151","374","1161","230","1062","219","99","59","26","41","73","46","2990","316","1405","242","1585","287","327","130","1258","266","3048","381","1112","211","1071","208","41","32","9","17","32","27","1936","248","885","222","1051","247","173","84","878","225",
"0400000US47","Tennessee","98240","4156","53717","2560","17809","1203","15172","1102","2637","390","367","158","2270","359","35908","1818","8071","793","27837","1641","3646","512","24191","1515","44523","2209","17636","1138","15268","1025","2368","489","257","144","2111","466","26887","1285","7689","705","19198","1255","3125","595","16073","1116",
"0400000US48","Texas","1662288","17772","860399","10436","265548","4759","240681","4481","24867","1772","1997","333","22870","1699","594851","7671","274848","5376","320003","4896","69776","2268","250227","4634","801889","9037","254059","4538","232567","4633","21492","1412","2002","382","19490","1373","547830","6104","268293","4241","279537","3984","75107","1955","204430","3656",
"0400000US49","Utah","122012","3912","64106","2314","23395","1369","21113","1294","2282","419","134","98","2148","422","40711","1492","12933","911","27778","1290","6183","564","21595","1319","57906","2143","21688","1203","19725","1120","1963","417","278","120","1685","392","36218","1341","12000","819","24218","1288","6058","493","18160","1161",
"0400000US50","Vermont","1924","336","949","224","217","83","119","60","98","61","32","37","66","53","732","195","281","96","451","201","103","68","348","183","975","192","289","81","201","65","88","60","41","37","47","50","686","167","377","90","309","127","167","77","142","73",
"0400000US51","Virginia","179166","5948","93291","3583","26812","1334","23043","1117","3769","607","671","206","3098","570","66479","2647","17186","1141","49293","2387","11508","982","37785","2057","85875","3032","28014","1535","24905","1479","3109","547","556","190","2553","507","57861","2006","16418","1079","41443","2075","10429","897","31014","1742",
"0400000US53","Washington","261577","6534","139666","3859","46791","2280","41627","2048","5164","757","534","191","4630","703","92875","2435","33059","1451","59816","2181","11301","1009","48515","2129","121911","3357","46273","2011","41379","2002","4894","603","278","118","4616","604","75638","1945","29558","1406","46080","1707","10332","794","35748","1524",
"0400000US54","West Virginia","5151","765","2868","451","824","258","768","251","56","46","25","33","31","30","2044","347","967","208","1077","251","281","116","796","201","2283","424","953","277","826","249","127","90","56","62","71","68","1330","271","766","222","564","167","262","113","302","130",
"0400000US55","Wisconsin","92690","3657","49115","2112","16949","975","15128","887","1821","376","183","63","1638","381","32166","1518","13036","836","19130","1284","3969","582","15161","1133","43575","1950","16314","1010","14633","941","1681","308","410","139","1271","278","27261","1224","13244","837","14017","758","3388","350","10629","582",
"0400000US56","Wyoming","12387","1214","6239","652","1721","354","1648","335","73","96","0","27","73","96","4518","462","3077","375","1441","302","552","191","889","219","6148","739","1914","381","1865","373","49","48","4","7","45","47","4234","472","3098","420","1136","234","455","148","681","207",
"0400000US72","Puerto Rico","395458","7171","196807","3569","50151","1697","49944","1708","207","102","18","20","189","102","146656","3023","141035","2981","5621","541","1642","275","3979","450","198651","4341","47210","1742","47023","1744","187","81","37","34","150","77","151441","3357","145687","3222","5754","583","1808","283","3946","449",
