"GEO_ID","NAME","B05003I_001E","B05003I_001M","B05003I_002E","B05003I_002M","B05003I_003E","B05003I_003M","B05003I_004E","B05003I_004M","B05003I_005E","B05003I_005M","B05003I_006E","B05003I_006M","B05003I_007E","B05003I_007M","B05003I_008E","B05003I_008M","B05003I_009E","B05003I_009M","B05003I_010E","B05003I_010M","B05003I_011E","B05003I_011M","B05003I_012E","B05003I_012M","B05003I_013E","B05003I_013M","B05003I_014E","B05003I_014M","B05003I_015E","B05003I_015M","B05003I_016E","B05003I_016M","B05003I_017E","B05003I_017M","B05003I_018E","B05003I_018M","B05003I_019E","B05003I_019M","B05003I_020E","B05003I_020M","B05003I_021E","B05003I_021M","B05003I_022E","B05003I_022M","B05003I_023E","B05003I_023M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"5001400US3503","Congressional District 3 (114th Congress), New Mexico","274087","1344","137362","883","42496","582","40979","675","1517","332","258","151","1259","292","94866","581","78653","1192","16213","1020","3968","496","12245","928","136725","820","40098","484","38790","557","1308","288","85","55","1223","275","96627","631","82628","1051","13999","909","3903","507","10096","845",
"5001400US3601","Congressional District 1 (114th Congress), New York","93667","3005","49038","2107","16133","1080","15042","1108","1091","272","159","77","932","263","32905","1434","16275","1152","16630","1302","4949","602","11681","1252","44629","1433","14737","754","13872","782","865","265","152","76","713","267","29892","1099","15106","1056","14786","984","5735","579","9051","895",
"5001400US3602","Congressional District 2 (114th Congress), New York","158622","3528","79998","2271","23672","1133","22066","1131","1606","355","199","93","1407","350","56326","1514","23162","1153","33164","1400","10748","859","22416","1432","78624","1805","23640","1075","21835","1007","1805","340","337","154","1468","309","54984","1209","24144","946","30840","1132","11294","808","19546","1064",
"5001400US3603","Congressional District 3 (114th Congress), New York","74673","3233","37677","1885","12026","922","10730","800","1296","330","235","140","1061","323","25651","1493","10853","879","14798","1249","5465","586","9333","1044","36996","1876","10617","905","9784","892","833","202","195","97","638","181","26379","1244","11123","740","15256","1151","7456","659","7800","848",
"5001400US3604","Congressional District 4 (114th Congress), New York","136685","2599","69340","1524","20236","770","18362","781","1874","347","430","166","1444","295","49104","1102","16849","889","32255","1105","10595","808","21660","1063","67345","1410","19632","686","18191","695","1441","320","302","153","1139","267","47713","1060","16627","957","31086","1082","12797","757","18289","950",
"5001400US3605","Congressional District 5 (114th Congress), New York","149235","4864","73634","2670","21618","1243","19786","1181","1832","385","404","154","1428","335","52016","1883","22075","1155","29941","1516","12917","814","17024","1233","75601","2632","20296","1294","18386","1212","1910","371","430","197","1480","329","55305","1900","23342","1142","31963","1346","15929","791","16034","1078",
"5001400US3606","Congressional District 6 (114th Congress), New York","136254","4213","65210","2392","15305","1061","14181","1002","1124","222","281","129","843","176","49905","1789","21307","1194","28598","1383","14227","921","14371","1020","71044","2286","15825","1081","14865","1015","960","208","268","131","692","171","55219","1592","22094","1086","33125","1292","19215","1016","13910","1000",
"5001400US3607","Congressional District 7 (114th Congress), New York","321292","4113","160048","2533","44358","1306","40907","1322","3451","400","716","200","2735","391","115690","1845","57024","1696","58666","1747","17344","925","41322","1725","161244","2468","41042","1256","38246","1253","2796","421","535","180","2261","366","120202","2006","62917","1591","57285","1682","23096","976","34189","1503",
"5001400US3608","Congressional District 8 (114th Congress), New York","129850","3145","61304","1929","19284","1147","18318","1126","966","260","70","48","896","247","42020","1292","25112","1219","16908","1023","7890","544","9018","833","68546","1972","18571","1047","17438","1011","1133","283","206","108","927","258","49975","1367","29072","1056","20903","1016","10609","643","10294","846",
"5001400US3609","Congressional District 9 (114th Congress), New York","80330","3111","37740","1685","11178","805","10161","820","1017","265","245","161","772","213","26562","1223","13461","874","13101","948","5317","478","7784","783","42590","1916","10906","825","9942","793","964","268","294","145","670","216","31684","1474","15951","1140","15733","1026","8032","713","7701","724",
"5001400US3610","Congressional District 10 (114th Congress), New York","90548","3514","45529","2178","9572","1020","8482","852","1090","408","5","13","1085","406","35957","1693","18704","1232","17253","1219","5356","665","11897","1043","45019","2165","9974","996","9351","901","623","226","72","63","551","218","35045","1609","18401","1413","16644","1088","7805","839","8839","742",
