"GEO_ID","NAME","B05003E_001E","B05003E_001M","B05003E_002E","B05003E_002M","B05003E_003E","B05003E_003M","B05003E_004E","B05003E_004M","B05003E_005E","B05003E_005M","B05003E_006E","B05003E_006M","B05003E_007E","B05003E_007M","B05003E_008E","B05003E_008M","B05003E_009E","B05003E_009M","B05003E_010E","B05003E_010M","B05003E_011E","B05003E_011M","B05003E_012E","B05003E_012M","B05003E_013E","B05003E_013M","B05003E_014E","B05003E_014M","B05003E_015E","B05003E_015M","B05003E_016E","B05003E_016M","B05003E_017E","B05003E_017M","B05003E_018E","B05003E_018M","B05003E_019E","B05003E_019M","B05003E_020E","B05003E_020M","B05003E_021E","B05003E_021M","B05003E_022E","B05003E_022M","B05003E_023E","B05003E_023M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"5001400US3621","Congressional District 21 (114th Congress), New York","531","127","240","63","93","39","73","40","20","21","0","27","20","21","147","50","84","49","63","41","23","28","40","43","291","97","125","70","125","70","0","27","0","27","0","27","166","50","102","50","64","47","14","18","50","45",
"5001400US3622","Congressional District 22 (114th Congress), New York","195","116","135","99","48","58","28","31","20","28","0","27","20","28","87","60","45","43","42","33","17","20","25","27","60","44","7","11","7","11","0","27","0","27","0","27","53","40","23","23","30","33","18","28","12","19",
"5001400US3623","Congressional District 23 (114th Congress), New York","147","110","91","79","31","40","31","40","0","27","0","27","0","27","60","62","16","15","44","59","40","59","4","8","56","49","3","5","3","5","0","27","0","27","0","27","53","49","48","49","5","8","5","8","0","27",
"5001400US3624","Congressional District 24 (114th Congress), New York","78","57","25","22","0","27","0","27","0","27","0","27","0","27","25","22","22","21","3","6","0","27","3","6","53","50","33","41","33","41","0","27","0","27","0","27","20","24","18","22","2","10","2","10","0","27",
"5001400US3625","Congressional District 25 (114th Congress), New York","167","95","83","56","0","27","0","27","0","27","0","27","0","27","83","56","63","46","20","32","0","27","20","32","84","73","41","63","41","63","0","27","0","27","0","27","43","40","26","32","17","21","0","27","17","21",
"5001400US3626","Congressional District 26 (114th Congress), New York","211","104","154","76","0","27","0","27","0","27","0","27","0","27","154","76","99","71","55","54","17","27","38","46","57","43","22","26","9","15","13","20","13","20","0","27","35","33","30","31","5","8","5","8","0","27",
"5001400US3627","Congressional District 27 (114th Congress), New York","477","329","218","159","57","56","57","56","0","27","0","27","0","27","161","136","130","128","31","37","24","35","7","14","259","186","67","61","67","61","0","27","0","27","0","27","192","134","156","130","36","36","36","36","0","27",
"5001400US3701","Congressional District 1 (114th Congress), North Carolina","240","144","36","29","5","9","0","29","5","9","5","9","0","29","31","29","26","28","5","7","0","29","5","7","204","132","93","101","34","49","59","87","59","87","0","29","111","70","62","47","49","58","7","13","42","57",
"5001400US3702","Congressional District 2 (114th Congress), North Carolina","798","290","405","158","99","79","99","79","0","29","0","29","0","29","306","148","303","148","3","6","1","4","2","4","393","185","167","118","167","118","0","29","0","29","0","29","226","110","170","84","56","61","49","61","7","10",
"5001400US3703","Congressional District 3 (114th Congress), North Carolina","929","256","455","178","81","58","81","58","0","29","0","29","0","29","374","170","325","166","49","49","24","39","25","29","474","138","89","56","81","57","8","9","0","29","8","9","385","118","292","99","93","83","0","29","93","83",
"5001400US3704","Congressional District 4 (114th Congress), North Carolina","917","405","449","261","69","97","69","97","0","29","0","29","0","29","380","190","332","182","48","60","14","25","34","56","468","176","46","68","46","68","0","29","0","29","0","29","422","152","297","137","125","94","67","71","58","70",
"5001400US3705","Congressional District 5 (114th Congress), North Carolina","107","76","73","64","33","40","20","32","13","22","13","22","0","29","40","42","28","26","12","24","6","11","6","14","34","31","0","29","0","29","0","29","0","29","0","29","34","31","15","20","19","26","0","29","19","26",
"5001400US3706","Congressional District 6 (114th Congress), North Carolina","262","120","117","79","42","50","26","41","16","27","16","27","0","29","75","55","69","54","6","12","0","29","6","12","145","91","41","43","41","43","0","29","0","29","0","29","104","70","104","70","0","29","0","29","0","29",
"5001400US3707","Congressional District 7 (114th Congress), North Carolina","639","450","346","307","105","93","105","93","0","29","0","29","0","29","241","223","66","49","175","226","24","35","151","192","293","173","144","113","144","113","0","29","0","29","0","29","149","92","92","65","57","64","37","56","20","31",
"5001400US3708","Congressional District 8 (114th Congress), North Carolina","198","73","129","69","40","18","40","18","0","29","0","29","0","29","89","72","77","67","12","16","12","16","0","29","69","32","8","10","8","10","0","29","0","29","0","29","61","37","48","47","13","16","13","16","0","29",
"5001400US3709","Congressional District 9 (114th Congress), North Carolina","218","153","91","78","10","16","10","16","0","29","0","29","0","29","81","80","64","62","17","27","6","11","11","29","127","102","20","29","20","29","0","29","0","29","0","29","107","87","95","81","12","32","12","32","0","29",
"5001400US3710","Congressional District 10 (114th Congress), North Carolina","99","81","60","49","16","21","16","21","0","29","0","29","0","29","44","36","44","36","0","29","0","29","0","29","39","44","11","16","11","16","0","29","0","29","0","29","28","35","28","35","0","29","0","29","0","29",
"5001400US3711","Congressional District 11 (114th Congress), North Carolina","520","219","212","97","38","41","38","41","0","29","0","29","0","29","174","85","174","85","0","29","0","29","0","29","308","158","40","43","40","43","0","29","0","29","0","29","268","135","268","135","0","29","0","29","0","29",
"5001400US3712","Congressional District 12 (114th Congress), North Carolina","855","222","329","177","102","111","102","111","0","29","0","29","0","29","227","88","92","79","135","61","0","29","135","61","526","161","288","156","198","99","90","84","0","29","90","84","238","106","167","117","71","55","3","7","68","54",
"5001400US3713","Congressional District 13 (114th Congress), North Carolina","301","159","108","53","26","18","0","29","26","18","0","29","26","18","82","45","36","39","46","46","12","22","34","41","193","120","133","74","17","27","116","73","0","29","116","73","60","50","11","16","49","48","0","29","49","48",
"5001400US3800","Congressional District (at Large) (114th Congress), North Dakota","312","107","187","74","30","23","24","22","6","11","6","11","0","20","157","77","143","74","14","19","0","20","14","19","125","75","76","61","71","62","5","5","0","20","5","5","49","34","42","31","7","9","0","20","7","9",
"5001400US3901","Congressional District 1 (114th Congress), Ohio","320","185","144","101","58","57","58","57","0","27","0","27","0","27","86","67","57","51","29","45","0","27","29","45","176","111","23","37","23","37","0","27","0","27","0","27","153","98","133","97","20","31","0","27","20","31",
"5001400US3902","Congressional District 2 (114th Congress), Ohio","193","101","152","106","67","59","35","40","32","44","0","27","32","44","85","63","31","38","54","45","35","40","19","26","41","31","0","27","0","27","0","27","0","27","0","27","41","31","33","32","8","10","8","10","0","27",
"5001400US3903","Congressional District 3 (114th Congress), Ohio","213","174","117","109","69","88","54","81","15","31","15","31","0","27","48","58","41","57","7","14","7","14","0","27","96","80","28","41","28","41","0","27","0","27","0","27","68","53","0","27","68","53","50","48","18","28",
"5001400US3904","Congressional District 4 (114th Congress), Ohio","130","54","50","33","8","9","8","9","0","27","0","27","0","27","42","32","31","32","11","7","4","6","7","8","80","37","32","28","20","19","12","21","12","21","0","27","48","28","40","26","8","12","8","12","0","27",
"5001400US3905","Congressional District 5 (114th Congress), Ohio","286","161","147","82","66","46","62","47","4","7","4","7","0","27","81","52","65","45","16","24","0","27","16","24","139","95","41","43","41","43","0","27","0","27","0","27","98","61","79","57","19","24","0","27","19","24",
"5001400US3906","Congressional District 6 (114th Congress), Ohio","37","31","24","26","0","27","0","27","0","27","0","27","0","27","24","26","21","24","3","7","3","7","0","27","13","17","10","16","10","16","0","27","0","27","0","27","3","7","3","7","0","27","0","27","0","27",
"5001400US3907","Congressional District 7 (114th Congress), Ohio","82","57","21","22","12","18","12","18","0","27","0","27","0","27","9","12","9","12","0","27","0","27","0","27","61","48","11","18","11","18","0","27","0","27","0","27","50","45","34","42","16","19","0","27","16","19",
"5001400US3908","Congressional District 8 (114th Congress), Ohio","322","192","200","125","96","73","81","62","15","19","0","27","15","19","104","60","77","54","27","28","9","14","18","24","122","80","44","43","44","43","0","27","0","27","0","27","78","53","60","46","18","24","0","27","18","24",
"5001400US3909","Congressional District 9 (114th Congress), Ohio","298","136","146","87","26","19","26","19","0","27","0","27","0","27","120","83","67","56","53","62","0","27","53","62","152","103","32","21","32","21","0","27","0","27","0","27","120","103","120","103","0","27","0","27","0","27",
