"GEO_ID","NAME","B05003F_001E","B05003F_001M","B05003F_002E","B05003F_002M","B05003F_003E","B05003F_003M","B05003F_004E","B05003F_004M","B05003F_005E","B05003F_005M","B05003F_006E","B05003F_006M","B05003F_007E","B05003F_007M","B05003F_008E","B05003F_008M","B05003F_009E","B05003F_009M","B05003F_010E","B05003F_010M","B05003F_011E","B05003F_011M","B05003F_012E","B05003F_012M","B05003F_013E","B05003F_013M","B05003F_014E","B05003F_014M","B05003F_015E","B05003F_015M","B05003F_016E","B05003F_016M","B05003F_017E","B05003F_017M","B05003F_018E","B05003F_018M","B05003F_019E","B05003F_019M","B05003F_020E","B05003F_020M","B05003F_021E","B05003F_021M","B05003F_022E","B05003F_022M","B05003F_023E","B05003F_023M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"5001400US1224","Congressional District 24 (114th Congress), Florida","20693","2017","10280","1119","2167","438","2018","416","149","119","0","31","149","119","8113","969","2930","552","5183","771","1596","280","3587","752","10413","1212","2398","496","2213","476","185","109","10","16","175","107","8015","935","2670","493","5345","731","2770","453","2575","446",
"5001400US1225","Congressional District 25 (114th Congress), Florida","23177","2397","11677","1226","2804","500","2375","448","429","197","72","52","357","202","8873","942","1716","333","7157","885","2247","413","4910","853","11500","1387","3415","708","3014","651","401","182","63","70","338","176","8085","1024","1827","449","6258","914","3086","540","3172","595",
"5001400US1226","Congressional District 26 (114th Congress), Florida","12288","1558","6312","890","1086","314","952","304","134","73","57","53","77","55","5226","779","2008","493","3218","643","1799","366","1419","464","5976","888","1284","293","1142","273","142","93","35","34","107","86","4692","712","1160","320","3532","588","2379","469","1153","263",
"5001400US1227","Congressional District 27 (114th Congress), Florida","15273","1660","7674","900","1814","468","1586","449","228","123","46","56","182","114","5860","694","1289","244","4571","657","1504","308","3067","575","7599","943","1450","326","1239","305","211","134","80","70","131","116","6149","816","1439","284","4710","713","2044","415","2666","472",
"5001400US1301","Congressional District 1 (114th Congress), Georgia","15237","1605","7969","827","2681","419","2456","420","225","111","0","30","225","111","5288","611","2085","392","3203","448","491","175","2712","421","7268","956","2705","548","2369","463","336","202","0","30","336","202","4563","579","1812","345","2751","489","604","229","2147","432",
"5001400US1302","Congressional District 2 (114th Congress), Georgia","13661","1232","8055","725","1920","349","1776","341","144","83","0","30","144","83","6135","563","1903","389","4232","507","483","168","3749","498","5606","661","2071","344","1934","349","137","79","0","30","137","79","3535","431","1731","333","1804","309","455","154","1349","266",
"5001400US1303","Congressional District 3 (114th Congress), Georgia","8800","1093","4655","661","1404","327","1310","315","94","70","21","24","73","69","3251","496","1178","287","2073","350","418","153","1655","329","4145","697","1598","407","1438","391","160","96","42","45","118","85","2547","443","1219","298","1328","322","359","184","969","265",
"5001400US1304","Congressional District 4 (114th Congress), Georgia","27687","2493","15239","1449","5688","903","4966","772","722","328","87","80","635","300","9551","1196","1575","340","7976","1101","1119","310","6857","1047","12448","1447","4382","720","3918","671","464","215","97","147","367","166","8066","951","2214","396","5852","894","852","234","5000","839",
"5001400US1305","Congressional District 5 (114th Congress), Georgia","16916","2174","8591","1148","2861","639","2416","580","445","198","48","46","397","192","5730","801","1246","265","4484","753","862","290","3622","667","8325","1232","3411","718","3107","708","304","140","72","65","232","138","4914","658","1726","384","3188","526","555","147","2633","505",
"5001400US1306","Congressional District 6 (114th Congress), Georgia","19839","2410","10968","1514","3414","584","3116","535","298","147","6","9","292","144","7554","1178","1246","349","6308","1085","824","382","5484","966","8871","1090","2944","539","2546","494","398","176","89","98","309","121","5927","755","1879","477","4048","600","538","186","3510","541",
"5001400US1307","Congressional District 7 (114th Congress), Georgia","55042","3181","31099","2092","10676","1053","9184","970","1492","370","90","84","1402","351","20423","1560","4057","716","16366","1454","3022","581","13344","1379","23943","1538","8900","899","7720","792","1180","352","190","209","990","306","15043","1041","3224","544","11819","895","2433","457","9386","825",
"5001400US1308","Congressional District 8 (114th Congress), Georgia","15240","1389","8591","832","2612","410","2298","378","314","160","47","50","267","152","5979","633","1436","378","4543","660","592","248","3951","653","6649","788","2742","497","2565","478","177","103","55","73","122","70","3907","485","1626","403","2281","346","467","194","1814","340",
"5001400US1309","Congressional District 9 (114th Congress), Georgia","22007","1940","12041","1164","4715","738","4233","702","482","192","27","36","455","199","7326","706","1282","285","6044","638","795","198","5249","645","9966","987","4175","586","3576","542","599","221","145","132","454","161","5791","602","1364","299","4427","596","815","249","3612","517",
"5001400US1310","Congressional District 10 (114th Congress), Georgia","8315","1535","4459","883","1146","290","1044","263","102","70","5","11","97","71","3313","753","814","205","2499","713","330","165","2169","728","3856","916","1701","546","1593","565","108","72","0","30","108","72","2155","491","755","235","1400","436","329","149","1071","389",
"5001400US1311","Congressional District 11 (114th Congress), Georgia","28456","2369","15562","1360","5213","627","4851","615","362","149","25","41","337","141","10349","950","2408","442","7941","848","1611","374","6330","836","12894","1307","5245","770","4888","755","357","182","46","55","311","174","7649","791","2102","401","5547","707","909","206","4638","663",
"5001400US1312","Congressional District 12 (114th Congress), Georgia","14199","1439","7829","845","2452","492","2265","491","187","117","11","15","176","115","5377","554","1715","340","3662","480","577","229","3085","462","6370","835","2263","450","2147","443","116","75","0","30","116","75","4107","522","2026","410","2081","343","360","138","1721","320",
"5001400US1313","Congressional District 13 (114th Congress), Georgia","24365","2342","12271","1366","5016","809","4277","628","739","368","30","41","709","366","7255","883","1631","385","5624","779","971","289","4653","714","12094","1384","4673","841","4308","818","365","148","14","21","351","147","7421","864","2739","660","4682","653","1260","366","3422","569",
"5001400US1314","Congressional District 14 (114th Congress), Georgia","17512","1817","9136","948","3609","475","3334","459","275","142","80","90","195","119","5527","615","991","224","4536","595","993","291","3543","565","8376","1077","3542","567","3370","537","172","160","16","25","156","157","4834","651","1051","262","3783","528","1103","290","2680","508",
"5001400US1501","Congressional District 1 (114th Congress), Hawaii","5737","698","3167","493","349","161","341","161","8","13","8","13","0","26","2818","440","2044","362","774","227","438","187","336","117","2570","363","320","111","320","111","0","26","0","26","0","26","2250","329","1673","299","577","193","306","148","271","126",
