"GEO_ID","NAME","B05003H_001E","B05003H_001M","B05003H_002E","B05003H_002M","B05003H_003E","B05003H_003M","B05003H_004E","B05003H_004M","B05003H_005E","B05003H_005M","B05003H_006E","B05003H_006M","B05003H_007E","B05003H_007M","B05003H_008E","B05003H_008M","B05003H_009E","B05003H_009M","B05003H_010E","B05003H_010M","B05003H_011E","B05003H_011M","B05003H_012E","B05003H_012M","B05003H_013E","B05003H_013M","B05003H_014E","B05003H_014M","B05003H_015E","B05003H_015M","B05003H_016E","B05003H_016M","B05003H_017E","B05003H_017M","B05003H_018E","B05003H_018M","B05003H_019E","B05003H_019M","B05003H_020E","B05003H_020M","B05003H_021E","B05003H_021M","B05003H_022E","B05003H_022M","B05003H_023E","B05003H_023M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"5001400US4812","Congressional District 12 (114th Congress), Texas","470605","3783","229027","2399","49885","1311","49635","1295","250","116","63","56","187","97","179142","1786","174736","1721","4406","543","2749","427","1657","313","241578","2555","46505","1226","45950","1252","555","221","188","87","367","209","195073","2008","190214","2031","4859","508","2769","368","2090","335",
"5001400US4813","Congressional District 13 (114th Congress), Texas","459701","1027","228129","635","48409","350","48150","394","259","133","26","33","233","131","179720","415","177786","553","1934","326","679","158","1255","259","231572","633","45326","352","45082","382","244","132","31","38","213","128","186246","445","183682","593","2564","356","1341","254","1223","260",
"5001400US4814","Congressional District 14 (114th Congress), Texas","371307","1772","185759","1033","36914","605","36709","613","205","89","98","65","107","60","148845","770","144954","810","3891","493","1859","317","2032","303","185548","1074","35255","498","34888","534","367","136","68","46","299","129","150293","835","145940","913","4353","470","2181","323","2172","384",
"5001400US4815","Congressional District 15 (114th Congress), Texas","115329","1559","58608","969","11773","550","11635","569","138","138","17","25","121","136","46835","695","45533","718","1302","263","621","164","681","180","56721","875","10834","485","10712","498","122","116","56","85","66","74","45887","662","44181","639","1706","279","792","210","914","158",
"5001400US4816","Congressional District 16 (114th Congress), Texas","107519","665","57905","425","10827","169","10559","237","268","184","22","34","246","177","47078","328","44536","520","2542","406","1461","291","1081","248","49614","335","10401","156","10215","203","186","116","19","30","167","111","39213","230","35989","471","3224","454","2021","334","1203","255",
"5001400US4817","Congressional District 17 (114th Congress), Texas","408354","2275","201587","1297","37110","604","36640","588","470","146","251","104","219","106","164477","1136","160308","1213","4169","501","1964","274","2205","383","206767","1483","34842","715","34639","710","203","114","103","83","100","72","171925","1136","168109","1218","3816","491","1891","345","1925","307",
"5001400US4818","Congressional District 18 (114th Congress), Texas","118236","2636","60776","1774","7426","717","7212","703","214","147","20","34","194","146","53350","1666","49669","1611","3681","613","1358","336","2323","489","57460","1666","6823","700","6571","637","252","195","49","45","203","188","50637","1357","47721","1356","2916","463","1137","268","1779","370",
"5001400US4819","Congressional District 19 (114th Congress), Texas","396925","970","196256","898","38672","214","38345","231","327","121","46","37","281","123","157584","830","154358","901","3226","392","1606","281","1620","272","200669","407","36977","244","36579","347","398","224","104","112","294","211","163692","303","160060","544","3632","508","1678","307","1954","433",
"5001400US4820","Congressional District 20 (114th Congress), Texas","166634","2732","83212","1720","14478","938","14197","886","281","173","71","57","210","160","68734","1297","65326","1333","3408","435","1751","332","1657","335","83422","1919","13645","905","13334","862","311","190","205","180","106","80","69777","1439","65487","1461","4290","544","2535","349","1755","387",
"5001400US4821","Congressional District 21 (114th Congress), Texas","467975","3712","229396","2203","39346","1057","38982","1048","364","152","175","89","189","123","190050","1990","184460","1938","5590","581","2863","325","2727","420","238579","2398","37448","1050","37078","1054","370","166","132","73","238","150","201131","2026","194144","1901","6987","611","4121","422","2866","439",
"5001400US4822","Congressional District 22 (114th Congress), Texas","327086","3029","162267","1775","40988","867","39540","961","1448","383","252","139","1196","353","121279","1325","112914","1547","8365","814","4710","660","3655","536","164819","1792","38603","825","37308","952","1295","440","251","210","1044","364","126216","1457","117998","1504","8218","886","4447","669","3771","556",
"5001400US4823","Congressional District 23 (114th Congress), Texas","181400","2799","92671","1694","19253","952","19064","943","189","128","76","90","113","87","73418","1209","71466","1177","1952","336","1321","293","631","150","88729","1630","18447","820","18242","852","205","152","18","27","187","148","70282","1147","68062","1199","2220","351","1339","249","881","226",
