"GEO_ID","NAME","B05003G_001E","B05003G_001M","B05003G_002E","B05003G_002M","B05003G_003E","B05003G_003M","B05003G_004E","B05003G_004M","B05003G_005E","B05003G_005M","B05003G_006E","B05003G_006M","B05003G_007E","B05003G_007M","B05003G_008E","B05003G_008M","B05003G_009E","B05003G_009M","B05003G_010E","B05003G_010M","B05003G_011E","B05003G_011M","B05003G_012E","B05003G_012M","B05003G_013E","B05003G_013M","B05003G_014E","B05003G_014M","B05003G_015E","B05003G_015M","B05003G_016E","B05003G_016M","B05003G_017E","B05003G_017M","B05003G_018E","B05003G_018M","B05003G_019E","B05003G_019M","B05003G_020E","B05003G_020M","B05003G_021E","B05003G_021M","B05003G_022E","B05003G_022M","B05003G_023E","B05003G_023M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"5001400US2201","Congressional District 1 (114th Congress), Louisiana","14304","1229","6976","803","3251","447","3210","446","41","53","9","15","32","49","3725","602","3074","455","651","266","224","105","427","215","7328","739","2973","419","2933","421","40","41","30","38","10","16","4355","530","3732","458","623","195","468","158","155","90",
"5001400US2202","Congressional District 2 (114th Congress), Louisiana","11489","999","5644","604","2107","341","2092","337","15","21","15","21","0","28","3537","457","2707","349","830","299","162","75","668","293","5845","608","2122","383","2108","385","14","22","14","22","0","28","3723","417","3303","389","420","130","229","79","191","87",
"5001400US2203","Congressional District 3 (114th Congress), Louisiana","15369","1283","7094","766","4035","564","4009","566","26","32","19","24","7","13","3059","477","2593","385","466","206","128","100","338","173","8275","816","4487","548","4453","549","34","44","28","42","6","10","3788","500","3411","472","377","139","189","106","188","101",
"5001400US2204","Congressional District 4 (114th Congress), Louisiana","15776","942","8297","686","4315","488","4270","488","45","38","28","42","17","19","3982","395","3240","342","742","233","140","93","602","207","7479","580","3684","423","3634","422","50","40","6","9","44","39","3795","369","3608","354","187","87","47","33","140","80",
"5001400US2205","Congressional District 5 (114th Congress), Louisiana","8840","860","4207","494","1914","307","1876","309","38","42","12","18","26","38","2293","339","2047","323","246","99","63","44","183","87","4633","611","2344","456","2301","453","43","45","17","27","26","38","2289","327","2182","324","107","67","42","32","65","58",
"5001400US2206","Congressional District 6 (114th Congress), Louisiana","12031","956","5839","639","2500","505","2493","506","7","12","0","28","7","12","3339","535","3143","516","196","113","65","50","131","97","6192","651","2912","440","2906","441","6","9","0","28","6","9","3280","462","3096","461","184","79","77","51","107","68",
"5001400US2301","Congressional District 1 (114th Congress), Maine","11333","797","5536","476","2613","305","2582","307","31","37","10","16","21","31","2923","328","2581","288","342","146","167","101","175","116","5797","517","2635","325","2498","334","137","98","68","52","69","88","3162","312","2867","284","295","109","147","87","148","96",
"5001400US2302","Congressional District 2 (114th Congress), Maine","13909","552","7091","400","3348","274","3322","272","26","29","7","8","19","27","3743","291","3592","285","151","66","25","18","126","64","6818","357","2870","248","2858","247","12","15","6","8","6","7","3948","243","3786","247","162","70","35","27","127","63",
"5001400US2401","Congressional District 1 (114th Congress), Maryland","13867","1004","7212","636","3851","550","3812","552","39","35","27","32","12","14","3361","418","2963","354","398","182","123","70","275","159","6655","660","3443","511","3387","508","56","50","45","46","11","20","3212","398","2750","354","462","161","295","135","167","93",
"5001400US2402","Congressional District 2 (114th Congress), Maryland","23409","1603","11322","974","6476","719","6242","653","234","193","38","40","196","184","4846","502","3838","463","1008","199","451","132","557","169","12087","939","6516","705","6368","678","148","119","58","55","90","105","5571","524","4672","480","899","249","430","156","469","207",
"5001400US2403","Congressional District 3 (114th Congress), Maryland","22563","1538","10738","896","4812","572","4737","566","75","61","25","39","50","48","5926","599","4186","464","1740","418","836","235","904","353","11825","1036","5465","678","5365","674","100","68","61","58","39","28","6360","595","5146","527","1214","258","704","188","510","207",
"5001400US2404","Congressional District 4 (114th Congress), Maryland","17732","1252","8589","777","3850","538","3792","533","58","53","7","11","51","51","4739","444","3474","381","1265","272","407","128","858","244","9143","744","3488","426","3460","417","28","25","4","6","24","24","5655","532","4467","499","1188","222","722","188","466","122",
"5001400US2405","Congressional District 5 (114th Congress), Maryland","24004","1807","12214","1041","6139","624","5999","633","140","137","0","28","140","137","6075","607","5050","598","1025","218","684","163","341","162","11790","1040","5493","625","5428","633","65","57","18","19","47","54","6297","626","5457","593","840","177","513","151","327","130",
