State,Total Population by Race,,,,,,Voting Age Population by Race,,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi
Hawaii,22.4,1.7,10.0,46.5,0.1,19.2,24.8,1.7,8.0,49.4,0.2,15.9,23.6,1.8,10.4,43.4,0.1,20.6,26.4,1.9,8.2,46.0,0.2,17.3,"1,413,670","317,245","24,015","141,825","657,300","1,940","271,345","1,105,455","274,660","19,300","88,080","545,595","1,715","176,095","1,303,955","308,050","23,500","135,890","565,380","1,935","269,195","1,006,725","266,010","18,855","82,450","463,365","1,705",174340
Idaho,83.0,0.6,12.0,1.4,1.1,2.0,85.6,0.5,9.9,1.5,1.1,1.4,85.5,0.5,9.8,1.0,1.1,2.0,88.9,0.5,7.0,1.0,1.1,1.5,"1,635,480","1,357,195","9,855","195,590","22,725","17,670","32,450","1,204,165","1,030,510","6,485","118,685","17,840","13,185","17,460","1,574,200","1,346,630","8,165","154,600","15,360","17,640","31,810","1,148,895","1,021,015","5,355","80,915","11,575","13,155",16885
Illinois,62.3,14.1,16.6,5.1,0.1,1.6,65.5,13.7,14.3,5.3,0.1,1.1,65.8,15.0,13.5,3.9,0.1,1.7,70.0,14.7,10.2,3.8,0.1,1.1,"12,851,690","8,011,025","1,817,880","2,136,475","661,720","14,705","209,880","9,861,060","6,454,840","1,353,675","1,412,670","523,160","12,130","104,565","11,928,165","7,844,445","1,786,095","1,614,070","465,130","14,430","204,010","9,003,475","6,300,795","1,326,485","919,010","345,795","11,905",99475
Indiana,80.3,9.1,6.5,2.0,0.2,1.8,82.8,8.6,5.3,2.0,0.2,1.1,82.5,9.2,5.1,1.1,0.2,1.8,85.4,8.7,3.5,1.0,0.2,1.1,"6,589,580","5,292,400","602,810","429,520","133,170","12,825","118,855","5,007,585","4,145,605","430,505","264,140","101,975","10,380","54,995","6,385,820","5,265,865","590,140","326,585","73,300","12,790","117,140","4,824,555","4,122,015","419,590","169,905","49,045","10,345",53650
Iowa,87.0,3.3,5.6,2.2,0.3,1.7,89.4,2.9,4.3,2.2,0.3,0.9,89.3,3.1,4.4,1.3,0.3,1.7,92.2,2.6,2.9,1.1,0.3,0.9,"3,106,585","2,704,165","101,215","172,705","68,835","8,320","51,340","2,379,070","2,127,230","68,030","102,795","52,155","6,510","22,345","3,012,095","2,691,140","92,015","131,995","38,275","8,305","50,375","2,295,045","2,115,460","60,540","65,600","25,540","6,495",21410
Kansas,76.9,5.6,11.3,2.7,0.7,2.7,80.1,5.5,9.1,2.8,0.7,1.8,80.0,5.7,9.0,1.8,0.7,2.8,84.0,5.6,6.1,1.7,0.7,1.9,"2,898,290","2,228,905","163,750","327,740","79,335","20,030","78,545","2,176,945","1,743,020","119,790","198,605","61,090","15,265","39,185","2,771,385","2,216,720","157,700","249,015","50,460","20,015","77,485","2,061,775","1,732,205","114,695","126,150","35,205","15,250",38265
Kentucky,85.5,7.9,3.3,1.3,0.2,1.8,87.2,7.6,2.7,1.3,0.2,1.1,87.0,7.8,2.4,0.8,0.2,1.8,88.9,7.6,1.5,0.7,0.2,1.1,"4,411,990","3,770,710","347,460","146,945","59,500","7,770","79,615","3,397,800","2,962,410","257,685","90,265","44,180","6,275","36,975","4,314,920","3,752,100","337,905","103,650","35,445","7,555","78,265","3,313,805","2,945,830","251,275","50,915","23,785","6,160",35825
Louisiana,59.4,32.0,4.8,1.7,0.5,1.5,61.8,30.5,4.4,1.8,0.5,1.0,60.5,32.7,3.5,1.2,0.5,1.5,63.2,31.2,2.9,1.2,0.5,1.0,"4,645,670","2,759,695","1,487,390","223,410","80,380","24,220","70,580","3,531,640","2,182,485","1,075,550","156,725","62,715","18,695","35,475","4,535,710","2,744,255","1,482,000","159,290","56,215","24,110","69,835","3,432,040","2,168,070","1,070,620","99,145","40,825","18,585",34785
Maine,93.8,1.2,1.5,1.1,0.6,1.9,94.9,0.9,1.2,1.1,0.5,1.3,94.6,0.9,1.4,0.8,0.6,1.8,95.7,0.7,1.1,0.7,0.5,1.3,"1,329,920","1,247,640","15,545","19,775","14,785","7,525","24,660","1,070,420","1,016,310","9,810","13,145","11,445","5,840","13,865","1,308,385","1,237,285","11,235","18,065","10,300","7,370","24,130","1,051,870","1,006,845","6,945","11,600","7,390","5,680",13405
Maryland,52.6,29.3,9.2,6.1,0.2,2.5,55.1,28.8,8.0,6.3,0.2,1.6,55.9,30.0,6.4,4.8,0.2,2.6,59.3,29.6,4.5,4.7,0.2,1.7,"5,959,905","3,136,835","1,746,090","550,145","366,440","11,925","148,455","4,612,095","2,542,080","1,326,060","369,460","289,360","9,715","75,425","5,517,145","3,085,320","1,655,545","354,825","265,085","11,755","144,615","4,212,265","2,496,235","1,245,260","190,840","198,135","9,560",72240
