District,Code,Total Population by Race,,,,,,Voting Age Population by Race,,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi
Nationwide,USA,61.2,12.4,17.8,5.6,0.7,2.3,64.2,12.0,15.7,5.8,0.6,1.6,64.7,12.8,15.0,4.4,0.7,2.4,68.7,12.5,12.1,4.4,0.7,1.7,"322,903,000","197,717,975","39,974,985","57,517,945","18,117,335","2,149,095","7,425,585","249,349,815","160,106,735","29,979,885","39,170,135","14,480,945","1,583,655","4,028,480","300,613,520","194,635,995","38,402,360","45,064,085","13,139,685","2,137,370","7,233,985","228,918,230","157,300,945","28,603,010","27,593,060","9,977,945","1,573,065","3,870,135"
Alabama's 1st,AL-01,65.2,27.6,3.2,1.5,1.0,1.4,67.6,26.0,2.7,1.5,1.1,1.1,65.9,27.9,2.6,1.1,1.0,1.5,68.3,26.4,2.1,1.1,1.1,1.1,"706,505","460,835","194,675","22,650","10,860","7,285","10,190","543,485","367,235","141,425","14,770","8,250","5,870","5,935","695,990","458,390","194,055","18,370","7,770","7,255","10,150","534,355","365,070","140,815","11,025","5,710","5,840","5,895"
Alabama's 2nd,AL-02,61.9,31.2,3.6,1.2,0.4,1.9,64.3,30.1,2.8,1.2,0.4,1.3,62.7,31.6,2.8,0.7,0.4,1.9,65.3,30.5,1.9,0.6,0.4,1.3,"680,575","421,195","212,025","24,165","7,895","2,545","12,745","526,245","338,595","158,165","14,675","6,160","2,050","6,585","669,095","419,285","211,235","18,815","4,610","2,540","12,605","516,040","336,825","157,445","9,980","3,250","2,045","6,495"
Alabama's 3rd,AL-03,67.8,25.4,3.1,1.8,0.3,1.6,69.5,24.9,2.5,1.8,0.3,1.0,68.8,25.7,2.5,1.0,0.3,1.7,70.7,25.3,1.8,0.8,0.3,1.0,"706,705","478,860","179,360","21,890","12,975","1,975","11,645","550,515","382,745","136,810","13,890","9,775","1,610","5,685","693,050","476,675","178,450","17,410","6,935","1,975","11,610","538,125","380,720","135,955","9,705","4,490","1,610","5,640"
Alabama's 4th,AL-04,83.7,6.9,6.5,0.6,0.7,1.6,85.9,6.9,4.7,0.6,0.7,1.2,85.8,7.0,4.4,0.4,0.7,1.7,88.5,7.0,2.2,0.4,0.7,1.2,"683,390","571,665","47,305","44,355","4,070","4,775","11,215","527,385","453,225","36,190","24,705","3,180","3,815","6,265","665,230","570,500","46,645","29,310","2,795","4,775","11,210","511,065","452,155","35,585","11,105","2,135","3,815","6,260"
Alabama's 5th,AL-05,72.8,17.4,5.1,1.7,0.6,2.4,74.8,17.0,4.0,1.8,0.6,1.8,74.3,17.6,3.8,1.3,0.6,2.4,76.6,17.3,2.4,1.2,0.7,1.8,"714,145","519,710","124,365","36,380","12,345","4,345","17,000","556,545","416,155","94,800","22,070","9,880","3,520","10,120","696,775","517,560","122,865","26,480","8,890","4,345","16,635","540,510","414,195","93,455","12,955","6,615","3,520","9,770"
Alabama's 6th,AL-06,76.2,15.4,4.8,1.8,0.2,1.6,78.4,14.8,3.7,1.7,0.2,1.0,78.1,15.7,3.3,1.2,0.2,1.6,80.7,15.1,1.8,1.0,0.2,1.0,"703,715","536,090","108,595","33,990","12,565","1,410","11,065","538,135","421,920","79,830","20,175","9,400","1,175","5,630","683,330","533,600","107,165","22,235","8,085","1,410","10,840","519,890","419,620","78,730","9,515","5,430","1,175","5,420"
Alabama's 7th,AL-07,31.8,63.2,2.9,0.9,0.1,1.0,34.7,61.0,2.5,0.9,0.1,0.8,32.3,64.2,1.9,0.5,0.1,1.0,35.3,62.2,1.2,0.4,0.1,0.7,"669,645","213,180","422,950","19,720","6,045",940,"6,810","523,575","181,755","319,515","12,860","4,695",760,"3,990","656,180","211,665","421,390","12,140","3,395",940,"6,645","511,120","180,260","318,085","5,955","2,235",760,"3,825"
Alaska's At-Large,AK-AL,61.2,3.1,6.9,7.4,14.0,7.3,65.1,3.2,6.0,7.4,12.8,5.4,62.7,3.0,6.6,5.7,14.5,7.5,67.0,3.1,5.6,5.4,13.3,5.5,"738,515","452,105","22,995","51,185","54,490","103,610","54,130","552,380","359,875","17,625","33,375","40,935","70,850","29,720","713,900","447,265","21,300","47,320","40,705","103,540","53,770","530,385","355,115","16,430","29,915","28,725","70,780","29,425"
Arizona's 1st,AZ-01,48.8,2.2,22.6,1.8,22.4,2.2,53.6,2.2,20.1,2.0,20.5,1.6,49.8,2.2,21.2,1.3,23.2,2.3,55.1,2.2,18.3,1.4,21.3,1.7,"753,580","367,690","16,615","170,455","13,290","168,855","16,670","572,690","306,930","12,640","115,345","11,175","117,210","9,385","728,585","363,085","16,075","154,685","9,395","168,825","16,520","549,355","302,450","12,330","100,490","7,660","117,180","9,240"
