District,Code,Total Population by Race,,,,,,Voting Age Population by Race,,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi
Arizona's 3rd,AZ-03,27.6,4.3,61.9,1.8,3.1,1.3,32.3,4.3,57.3,2.1,3.0,1.1,30.8,4.8,58.0,1.4,3.5,1.5,37.5,5.0,51.1,1.7,3.5,1.3,"739,670","204,025","31,970","458,085","13,120","22,875","9,600","533,440","172,160","22,980","305,705","10,960","15,805","5,840","648,715","199,845","31,305","376,100","9,220","22,825","9,425","448,730","168,195","22,385","229,320","7,405","15,750","5,665"
Arizona's 4th,AZ-04,75.2,1.7,18.4,1.3,1.6,1.8,78.7,1.7,15.6,1.3,1.4,1.3,77.6,1.7,16.0,1.1,1.7,1.8,81.8,1.7,12.6,1.1,1.5,1.4,"738,650","555,580","12,750","135,920","9,430","12,010","12,955","590,860","464,865","9,995","91,975","7,725","8,485","7,815","702,085","545,025","12,065","112,630","7,635","11,900","12,825","555,930","454,475","9,330","70,015","6,055","8,375","7,685"
Arizona's 5th,AZ-05,71.8,2.8,17.7,4.8,0.8,2.1,75.1,2.8,15.3,4.8,0.8,1.3,73.9,2.8,16.3,3.9,0.9,2.2,78.0,2.9,13.3,3.7,0.8,1.4,"765,405","549,210","21,665","135,500","36,360","6,320","16,340","562,510","422,185","15,965","85,850","26,775","4,360","7,375","728,335","538,440","20,705","118,765","28,070","6,300","16,050","528,135","412,020","15,165","70,145","19,330","4,340","7,140"
Arizona's 6th,AZ-06,72.9,2.5,16.3,4.8,1.4,2.0,76.7,2.5,13.6,4.6,1.3,1.3,76.7,2.6,13.8,3.3,1.4,2.1,81.4,2.5,10.3,3.0,1.4,1.4,"752,460","548,860","19,175","122,885","35,980","10,290","15,275","596,860","457,970","14,625","81,340","27,225","7,755","7,940","696,790","534,295","18,200","96,205","23,195","10,035","14,865","545,870","444,335","13,815","56,240","16,330","7,545","7,605"
Arizona's 7th,AZ-07,20.7,9.3,64.0,2.5,2.1,1.4,25.6,9.6,58.7,2.9,2.1,1.1,25.2,10.8,57.6,2.1,2.6,1.7,33.9,12.1,47.1,2.5,2.9,1.4,"767,495","158,720","71,220","491,500","18,985","16,310","10,760","527,665","135,270","50,640","309,595","15,140","11,310","5,710","615,185","154,740","66,280","354,640","12,720","16,265","10,550","388,040","131,680","46,965","182,770","9,840","11,265","5,520"
Arizona's 8th,AZ-08,69.9,4.3,19.3,3.6,0.6,2.3,74.1,4.1,16.2,3.5,0.7,1.5,71.6,4.3,18.2,2.9,0.7,2.4,76.2,4.2,14.6,2.7,0.7,1.5,"753,310","526,635","32,135","145,140","27,045","4,760","17,590","578,770","428,675","23,690","93,485","20,415","3,765","8,735","723,400","517,825","31,110","131,515","20,860","4,760","17,325","551,615","420,540","23,150","80,665","14,960","3,765","8,535"
Arizona's 9th,AZ-09,57.0,5.2,27.5,5.0,2.6,2.6,62.0,5.0,23.4,5.4,2.4,1.8,61.3,5.4,24.1,3.5,2.9,2.8,67.9,5.3,18.7,3.6,2.7,1.9,"754,810","430,455","39,140","207,615","38,070","19,855","19,670","592,375","367,320","29,630","138,350","32,265","14,125","10,690","687,315","421,540","37,075","165,635","24,070","19,760","19,240","529,465","359,280","28,025","98,815","19,055","14,035","10,255"
Arkansas' 1st,AR-01,76.4,18.0,3.2,0.5,0.3,1.6,78.7,16.7,2.6,0.6,0.3,1.1,77.1,18.1,2.5,0.3,0.3,1.6,79.6,16.9,1.8,0.3,0.4,1.1,"724,990","553,880","130,145","23,210","3,890","2,335","11,530","554,785","436,655","92,680","14,555","3,115","1,930","5,845","716,435","552,625","129,650","17,855","2,470","2,335","11,495","547,025","435,525","92,245","9,695","1,820","1,930","5,810"
Arkansas' 2nd,AR-02,69.1,22.1,5.0,1.6,0.3,2.0,72.0,20.6,4.0,1.6,0.3,1.4,70.4,22.6,3.7,1.1,0.3,2.0,73.7,21.2,2.4,1.0,0.3,1.4,"754,820","521,345","166,645","37,680","12,120","2,005","15,035","576,545","415,235","118,910","23,020","9,450","1,710","8,230","735,830","517,835","166,100","27,185","7,950","2,005","14,765","559,250","412,040","118,405","13,485","5,635","1,710","7,975"
Arkansas' 3rd,AR-03,76.3,2.8,13.7,3.6,1.0,2.5,79.9,2.7,11.1,3.4,1.0,1.9,81.3,2.9,9.7,2.3,1.1,2.6,86.2,2.9,5.9,1.9,1.1,2.0,"772,675","589,720","21,770","105,990","28,000","7,655","19,550","578,825","462,400","15,690","64,125","19,735","5,895","10,980","721,855","586,720","21,265","70,275","16,845","7,655","19,095","532,875","459,565","15,280","31,175","10,325","5,895","10,635"
Arkansas' 4th,AR-04,72.0,19.6,5.6,0.7,0.6,1.5,74.6,18.7,4.3,0.7,0.6,1.1,73.5,20.0,3.9,0.5,0.6,1.5,76.5,19.1,2.2,0.4,0.6,1.2,"715,985","515,445","140,315","40,175","4,865","4,330","10,865","551,085","411,175","102,900","23,795","3,635","3,280","6,310","699,895","514,345","139,835","27,215","3,405","4,300","10,795","536,190","410,100","102,430","11,850","2,315","3,255","6,245"
California's 1st,CA-01,77.7,1.4,13.1,2.9,1.5,3.4,80.5,1.5,11.1,2.7,1.4,2.6,79.5,1.4,11.7,2.4,1.5,3.5,82.7,1.5,9.4,2.2,1.5,2.7,"703,985","547,155","9,850","92,225","20,190","10,380","24,190","562,555","453,110","8,480","62,610","15,455","8,155","14,740","682,190","542,190","9,555","79,700","16,540","10,365","23,840","542,180","448,445","8,210","50,805","12,120","8,140","14,460"
California's 2nd,CA-02,72.0,1.4,17.3,3.9,1.8,3.6,75.4,1.5,14.7,4.0,1.7,2.7,76.2,1.5,13.2,3.4,1.9,3.9,80.6,1.6,9.7,3.4,1.8,2.9,"713,615","514,125","10,090","123,385","27,520","12,610","25,875","569,660","429,535","8,545","83,945","22,730","9,495","15,405","660,390","503,445","9,625","86,990","22,150","12,570","25,605","520,500","419,660","8,120","50,380","17,695","9,455","15,190"
California's 3rd,CA-03,48.9,5.8,29.1,11.5,0.7,4.1,52.7,6.1,25.1,12.3,0.7,3.1,53.3,6.3,25.2,10.0,0.7,4.4,58.8,6.8,19.6,10.5,0.8,3.5,"722,895","353,395","41,990","210,155","83,275","4,700","29,380","548,810","288,955","33,745","137,645","67,620","3,730","17,120","652,310","347,675","41,180","164,650","65,385","4,585","28,840","482,835","283,960","33,005","94,630","50,935","3,645","16,670"
California's 4th,CA-04,76.9,1.2,12.9,4.9,0.8,3.2,79.6,1.3,11.1,4.9,0.8,2.3,79.0,1.3,11.4,4.2,0.9,3.3,82.3,1.3,9.1,4.0,0.9,2.4,"718,700","552,725","8,880","92,680","35,470","5,875","23,070","565,875","450,660","7,300","62,575","27,625","4,635","13,080","690,565","545,840","8,655","78,415","28,950","5,875","22,825","539,630","444,205","7,090","49,225","21,620","4,635","12,850"
California's 5th,CA-05,50.8,6.1,27.5,11.3,0.4,3.8,55.5,6.0,23.3,11.8,0.5,3.0,55.6,6.6,22.6,10.4,0.5,4.2,61.8,6.6,16.8,11.0,0.5,3.3,"724,965","368,400","44,175","199,565","81,790","3,190","27,845","571,720","317,140","34,285","133,055","67,740","2,605","16,885","649,765","361,375","43,050","146,910","67,830","3,190","27,410","502,210","310,435","33,250","84,410","55,010","2,605","16,500"
California's 6th,CA-06,38.0,12.1,27.9,17.0,0.4,4.7,42.3,12.1,24.3,17.5,0.4,3.4,40.7,13.3,25.0,15.6,0.4,5.1,46.3,13.6,20.2,15.8,0.5,3.7,"734,450","279,335","88,705","204,585","124,630","2,680","34,520","552,345","233,395","66,870","134,490","96,440","2,345","18,795","654,205","266,010","86,940","163,585","101,850","2,660","33,165","479,665","222,045","65,145","96,790","75,600","2,330","17,750"
California's 7th,CA-07,54.6,7.3,16.9,15.9,0.5,4.8,58.3,7.2,14.6,15.9,0.5,3.4,57.1,7.7,15.8,14.0,0.5,5.0,61.6,7.6,13.0,13.7,0.5,3.5,"732,955","400,515","53,655","123,830","116,645","3,335","34,980","557,450","325,125","40,295","81,645","88,660","2,650","19,070","681,615","389,405","52,185","107,490","95,425","3,330","33,775","512,085","315,640","39,005","66,710","69,940","2,645","18,140"
California's 8th,CA-08,46.6,7.8,39.0,3.4,0.9,2.4,52.0,7.4,34.2,3.8,0.9,1.8,49.3,8.2,36.1,2.8,0.9,2.6,56.2,8.0,29.8,3.1,0.9,1.9,"716,170","333,420","55,665","279,650","24,000","6,240","17,195","517,705","269,165","38,445","176,870","19,575","4,500","9,150","667,670","329,310","55,000","241,220","18,815","6,210","17,115","472,380","265,345","37,850","140,800","14,830","4,480","9,080"
California's 9th,CA-09,34.9,8.5,38.1,14.7,0.3,3.5,39.4,8.5,34.0,15.1,0.3,2.7,39.1,9.4,33.8,13.6,0.3,3.8,45.7,9.7,27.3,13.9,0.4,3.0,"739,025","258,175","62,820","281,910","108,445","2,130","25,550","535,320","211,115","45,290","182,090","81,000","1,620","14,205","650,890","254,235","61,265","219,885","88,510","2,110","24,885","454,070","207,505","44,075","124,030","63,200","1,600","13,665"
California's 10th,CA-10,44.1,3.0,42.4,7.1,0.4,3.0,49.0,3.1,37.5,7.5,0.4,2.5,48.5,3.3,38.1,6.4,0.4,3.3,55.6,3.5,30.8,6.8,0.5,2.8,"729,020","321,650","21,745","309,265","51,480","2,825","22,055","528,935","259,255","16,415","198,230","39,550","2,280","13,195","649,130","314,730","21,345","247,030","41,720","2,825","21,475","455,035","253,045","16,030","140,165","30,760","2,280","12,745"
