District,Code,Total Population by Race,,,,,,Voting Age Population by Race,,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi
California's 31st,CA-31,27.3,10.1,52.2,7.9,0.2,2.2,31.1,10.5,47.7,8.6,0.3,1.9,29.8,11.2,49.5,6.8,0.3,2.4,35.2,12.0,43.3,7.2,0.3,2.1,"733,580","200,535","74,420","382,935","58,005","1,735","15,945","534,175","166,190","55,955","255,015","45,750","1,340","9,925","650,185","194,055","72,950","321,855","44,100","1,715","15,510","456,310","160,570","54,605","197,430","32,865","1,320","9,515"
California's 32nd,CA-32,16.3,2.7,62.0,17.6,0.2,1.3,18.6,2.8,57.9,19.3,0.3,1.1,19.0,3.1,60.0,16.2,0.3,1.5,22.6,3.5,54.3,18.1,0.3,1.3,"719,110","117,545","19,095","445,510","126,245","1,710","9,010","550,620","102,270","15,665","318,970","106,360","1,550","5,800","603,855","114,820","18,575","362,025","97,940","1,705","8,800","441,890","99,820","15,255","239,750","79,930","1,545","5,595"
California's 33rd,CA-33,66.1,2.8,12.6,14.2,0.2,4.0,68.1,2.7,11.8,14.4,0.2,2.8,68.7,3.0,12.0,11.9,0.2,4.3,71.1,2.9,11.0,11.9,0.2,2.9,"713,625","471,860","20,050","90,155","101,625","1,205","28,735","581,615","395,835","15,880","68,910","83,845",970,"16,180","650,100","446,545","19,220","78,300","77,205","1,170","27,665","523,965","372,800","15,055","57,570","62,230",935,"15,370"
California's 34th,CA-34,10.6,4.2,64.3,19.6,0.1,1.1,12.3,4.7,59.6,22.1,0.2,1.1,14.1,5.7,59.9,18.6,0.2,1.5,17.9,7.1,51.0,22.2,0.3,1.5,"720,385","76,160","30,155","463,530","141,235","1,080","8,210","564,310","69,250","26,765","336,610","124,605","1,010","6,060","506,520","71,420","28,745","303,290","94,320","1,010","7,730","360,785","64,690","25,535","183,850","80,180",940,"5,585"
California's 35th,CA-35,14.6,6.6,70.0,6.9,0.2,1.7,17.3,7.0,66.1,7.8,0.2,1.6,17.3,7.8,66.3,6.3,0.3,2.0,21.8,8.8,59.8,7.3,0.3,2.0,"730,260","106,625","48,190","511,250","50,410","1,545","12,235","530,685","91,740","37,170","350,775","41,370","1,275","8,355","601,835","104,045","46,900","399,285","38,145","1,515","11,950","410,065","89,475","36,065","245,130","30,040","1,245","8,105"
California's 36th,CA-36,41.6,4.0,48.7,3.3,0.6,1.7,48.4,3.9,42.3,3.5,0.6,1.3,46.4,4.5,43.6,2.8,0.7,2.0,55.8,4.6,34.4,3.1,0.6,1.5,"736,045","306,440","29,625","358,730","24,030","4,430","12,790","558,645","270,585","21,955","236,140","19,450","3,100","7,415","637,385","295,895","28,980","277,765","17,965","4,330","12,445","466,145","260,290","21,355","160,190","14,220","3,010","7,075"
California's 37th,CA-37,25.3,23.4,38.2,10.4,0.1,2.5,27.4,24.1,34.6,11.6,0.1,2.1,28.8,27.5,31.7,8.9,0.1,2.9,32.3,29.5,25.7,10.0,0.2,2.4,"722,140","182,785","169,025","275,640","75,385",960,"18,345","579,090","158,825","139,730","200,385","67,345",835,"11,975","592,380","170,405","163,045","188,030","52,570",885,"17,450","455,340","147,055","134,150","116,855","45,395",760,"11,125"
California's 38th,CA-38,17.1,3.8,62.0,15.6,0.3,1.2,19.6,3.8,58.4,16.9,0.3,1.0,19.3,4.3,60.3,14.5,0.4,1.3,22.8,4.4,55.4,15.9,0.4,1.1,"717,230","122,910","27,095","444,335","112,065","2,270","8,560","548,705","107,345","20,885","320,435","92,925","1,805","5,305","625,175","120,490","26,715","376,965","90,395","2,265","8,350","461,625","105,040","20,520","255,740","73,385","1,805","5,145"
California's 39th,CA-39,31.6,2.1,33.5,30.2,0.2,2.3,34.3,2.2,30.1,31.5,0.2,1.7,35.6,2.3,31.8,27.5,0.2,2.6,39.6,2.5,27.2,28.5,0.2,2.0,"722,855","228,670","15,095","242,180","218,540","1,445","16,925","563,530","193,305","12,300","169,665","177,300","1,155","9,805","627,415","223,390","14,555","199,310","172,420","1,435","16,300","475,345","188,355","11,765","129,250","135,490","1,155","9,330"
California's 40th,CA-40,4.8,4.7,87.6,2.5,0.1,0.3,5.7,5.0,85.8,3.0,0.1,0.3,6.3,6.4,84.0,2.8,0.1,0.5,8.7,7.9,79.0,3.7,0.2,0.5,"709,435","33,815","33,280","621,400","17,910",665,"2,365","499,960","28,580","25,235","428,800","15,190",635,"1,520","513,225","32,335","32,680","430,960","14,250",650,"2,345","313,880","27,435","24,660","247,910","11,755",625,"1,495"
California's 41st,CA-41,24.4,9.1,58.6,5.6,0.3,2.0,28.2,9.4,53.8,6.5,0.3,1.7,27.8,10.3,54.1,5.2,0.3,2.3,33.6,11.2,46.6,6.1,0.4,2.0,"739,305","180,510","67,055","433,125","41,545","2,175","14,895","535,375","151,155","50,315","287,940","34,950","1,845","9,160","636,580","176,770","65,820","344,490","32,950","2,135","14,420","439,095","147,540","49,340","204,720","26,910","1,805","8,770"
California's 42nd,CA-42,43.9,5.1,38.0,9.4,0.3,3.2,47.3,5.4,34.5,10.1,0.3,2.3,47.3,5.4,35.0,8.4,0.4,3.5,52.2,5.9,30.0,9.0,0.4,2.5,"761,340","334,360","38,965","289,225","71,460","2,630","24,695","554,075","261,860","30,150","191,215","55,995","1,915","12,935","693,480","328,360","37,770","242,550","58,150","2,630","24,025","490,860","256,445","29,130","147,110","43,960","1,915","12,305"
California's 43rd,CA-43,14.8,22.7,46.8,13.0,0.1,2.6,17.0,23.3,42.9,14.3,0.2,2.3,17.0,26.6,40.9,12.3,0.2,3.1,20.6,28.7,33.9,13.8,0.2,2.8,"719,530","106,435","163,225","336,405","93,540",990,"18,940","544,695","92,580","127,000","233,800","77,850",935,"12,535","595,560","101,350","158,325","243,365","73,290",980,"18,245","427,460","87,995","122,695","145,015","58,945",925,"11,890"
California's 44th,CA-44,6.7,15.6,70.0,6.2,0.2,1.3,8.2,16.7,66.5,7.1,0.2,1.2,8.1,19.4,64.2,6.5,0.2,1.6,10.9,22.5,56.8,7.8,0.3,1.7,"721,110","48,175","112,515","504,910","44,890","1,475","9,145","515,815","42,490","86,190","342,895","36,725","1,140","6,370","574,950","46,800","111,335","369,205","37,100","1,435","9,075","378,020","41,160","85,105","214,815","29,530","1,105","6,305"
California's 45th,CA-45,52.4,1.8,18.4,23.7,0.2,3.4,55.1,1.8,16.7,23.9,0.2,2.3,57.0,1.9,16.7,20.6,0.2,3.6,60.9,1.9,14.2,20.4,0.2,2.5,"749,685","393,070","13,360","138,270","177,845","1,295","25,845","584,935","322,325","10,280","97,720","139,975","1,040","13,595","660,030","376,105","12,350","110,295","135,990","1,295","24,005","505,170","307,520","9,390","71,510","103,255","1,040","12,455"
California's 46th,CA-46,18.3,1.5,66.4,12.6,0.2,1.0,22.0,1.7,61.1,14.1,0.2,0.9,23.8,1.8,58.9,14.0,0.2,1.3,31.6,2.2,47.8,16.8,0.2,1.3,"726,305","132,920","10,725","482,150","91,740","1,170","7,610","532,850","117,330","8,860","325,510","75,335",860,"4,955","541,120","128,910","9,815","318,520","75,615","1,165","7,095","358,965","113,515","8,050","171,550","60,410",860,"4,580"
California's 47th,CA-47,31.8,7.2,35.3,22.4,0.3,3.0,35.9,7.2,31.0,23.3,0.3,2.3,35.7,8.1,31.0,21.5,0.4,3.3,41.5,8.3,24.7,22.5,0.4,2.6,"716,960","227,955","51,300","253,440","160,605","2,405","21,250","551,955","198,115","39,525","171,360","128,445","1,790","12,715","622,865","222,360","50,425","193,105","134,130","2,375","20,465","464,280","192,725","38,685","114,770","104,320","1,760","12,030"
California's 48th,CA-48,56.3,1.1,21.3,18.3,0.2,2.8,59.2,1.2,18.6,18.9,0.2,2.0,60.3,1.2,17.9,17.4,0.2,3.0,64.1,1.3,14.3,18.0,0.3,2.1,"723,985","407,880","8,165","154,090","132,180","1,630","20,035","578,335","342,215","6,790","107,315","109,315","1,360","11,340","656,895","395,840","7,880","117,705","114,330","1,575","19,570","516,420","331,180","6,540","73,600","92,885","1,305","10,920"
California's 49th,CA-49,61.5,2.6,26.0,6.9,0.3,2.7,65.0,2.6,22.9,7.1,0.3,2.1,65.4,2.7,22.4,6.2,0.3,2.9,70.3,2.8,18.1,6.3,0.3,2.2,"729,770","448,965","18,625","189,490","50,525","2,100","20,055","560,770","364,685","14,535","128,395","39,960","1,675","11,520","669,725","438,280","18,100","150,135","41,435","2,100","19,670","504,795","354,765","14,030","91,295","31,845","1,675","11,190"
California's 50th,CA-50,57.2,2.6,30.6,5.7,0.7,3.2,61.3,2.6,26.9,6.1,0.7,2.3,61.4,2.8,26.3,5.3,0.8,3.4,67.3,2.9,20.8,5.7,0.8,2.5,"736,000","421,225","18,940","224,935","42,135","5,465","23,295","555,310","340,510","14,540","149,395","34,125","3,895","12,845","657,385","403,500","18,340","172,840","34,740","5,465","22,505","483,140","325,225","14,045","100,300","27,385","3,895","12,285"
California's 51st,CA-51,13.4,6.3,70.1,8.4,0.4,1.4,16.1,6.7,66.2,9.4,0.4,1.2,16.1,7.4,66.1,8.1,0.5,1.7,20.7,8.5,59.3,9.4,0.5,1.5,"730,710","97,815","45,950","512,165","61,565","2,765","10,445","535,920","86,130","36,125","354,860","50,240","2,095","6,475","591,345","95,435","43,820","391,130","48,115","2,765","10,075","406,185","84,045","34,640","240,970","38,280","2,095","6,150"
California's 52nd,CA-52,58.9,2.9,14.2,19.9,0.3,3.8,61.5,2.9,12.7,20.0,0.3,2.5,62.5,3.1,13.7,16.3,0.3,4.1,66.0,3.2,11.9,15.9,0.3,2.7,"742,155","437,395","21,335","105,670","147,925","1,965","27,860","596,645","366,960","17,410","76,050","119,470","1,585","15,175","667,510","417,345","20,735","91,340","109,080","1,940","27,075","528,915","348,835","16,820","63,165","84,005","1,555","14,530"
California's 53rd,CA-53,40.8,7.9,33.5,13.9,0.2,3.8,45.1,7.7,29.7,14.6,0.2,2.7,43.3,8.4,31.5,12.4,0.2,4.1,48.9,8.3,26.6,12.9,0.3,3.0,"753,025","306,925","59,135","252,385","104,695","1,645","28,240","596,470","269,065","45,890","176,900","86,870","1,415","16,330","675,895","292,910","56,650","213,015","84,015","1,645","27,655","525,270","256,890","43,765","139,595","67,845","1,415","15,755"
Colorado's 1st,CO-01,57.7,8.3,27.9,3.4,0.5,2.3,62.7,7.9,23.8,3.5,0.5,1.7,62.5,8.6,23.5,2.4,0.5,2.4,68.9,8.2,18.0,2.5,0.6,1.9,"786,255","453,540","65,175","219,695","26,395","3,695","17,750","622,830","390,250","48,960","148,150","21,555","3,085","10,830","712,165","445,285","60,955","167,575","17,425","3,685","17,245","555,290","382,695","45,560","99,695","13,875","3,075","10,400"
Colorado's 2nd,CO-02,83.2,0.8,10.4,3.2,0.3,2.0,85.4,0.8,8.8,3.2,0.3,1.5,85.5,0.8,9.1,2.3,0.3,2.0,88.1,0.8,7.2,2.1,0.3,1.5,"771,980","642,500","6,325","80,545","24,790","2,350","15,465","617,980","527,825","5,250","54,175","19,685","1,900","9,145","740,025","632,850","5,815","67,335","16,785","2,325","14,910","589,025","518,960","4,760","42,515","12,315","1,880","8,590"
Colorado's 3rd,CO-03,71.2,0.8,24.4,0.7,1.3,1.5,74.6,0.8,21.3,0.8,1.3,1.2,73.6,0.8,22.0,0.6,1.4,1.5,77.6,0.8,18.3,0.7,1.4,1.2,"727,400","518,250","5,925","177,350","5,415","9,810","10,650","565,790","421,940","4,630","120,490","4,575","7,345","6,810","697,295","513,490","5,710","153,495","4,360","9,790","10,445","537,705","417,385","4,430","98,370","3,585","7,325","6,605"
Colorado's 4th,CO-04,72.9,1.3,21.7,1.8,0.5,1.8,76.0,1.4,19.0,1.8,0.5,1.3,76.0,1.2,19.1,1.3,0.5,1.9,80.1,1.3,15.5,1.3,0.6,1.3,"764,155","556,705","9,970","166,120","14,000","3,605","13,760","566,660","430,510","7,840","107,610","10,440","3,025","7,235","725,970","551,680","8,770","138,780","9,605","3,605","13,530","532,295","426,200","6,825","82,405","6,795","3,025","7,050"
Colorado's 5th,CO-05,72.4,5.4,15.4,2.7,0.4,3.7,75.5,5.4,13.2,2.8,0.4,2.7,74.0,5.4,14.2,2.2,0.4,3.8,77.6,5.4,11.6,2.2,0.4,2.8,"761,750","551,610","41,350","117,205","20,555","2,975","28,050","578,860","436,955","31,455","76,240","16,320","2,305","15,580","737,480","546,085","39,710","104,735","16,165","2,970","27,815","556,315","431,735","30,065","64,510","12,345","2,300","15,360"
Colorado's 6th,CO-06,62.3,9.0,19.8,6.0,0.3,2.6,66.1,8.7,16.9,6.1,0.3,1.9,67.1,8.8,16.4,4.6,0.4,2.8,72.3,8.5,12.3,4.4,0.4,2.1,"779,950","486,095","69,935","154,115","46,585","2,565","20,660","575,070","380,100","50,085","97,065","34,950","1,945","10,925","712,650","477,855","62,655","116,995","32,430","2,545","20,170","515,295","372,690","43,965","63,290","22,840","1,945","10,575"
Colorado's 7th,CO-07,64.7,1.4,28.3,3.2,0.5,1.8,69.3,1.4,24.2,3.3,0.5,1.3,68.5,1.4,24.9,2.7,0.5,1.9,74.3,1.4,19.7,2.7,0.5,1.4,"767,810","496,855","10,885","217,265","24,930","3,930","13,950","585,925","405,865","8,070","141,555","19,620","2,935","7,870","715,950","490,600","10,125","178,295","19,195","3,930","13,800","538,515","400,145","7,470","105,880","14,355","2,935","7,725"
Connecticut's 1st,CT-01,62.6,14.4,16.0,5.0,0.1,1.9,66.2,13.7,13.8,4.8,0.1,1.3,65.5,13.7,15.6,3.2,0.1,2.0,69.9,12.8,13.1,2.7,0.1,1.4,"715,145","447,640","103,185","114,365","35,750",825,"13,375","561,505","371,880","76,765","77,650","27,040",645,"7,530","664,790","435,575","91,125","103,395","20,950",780,"12,965","516,180","360,560","66,055","67,690","14,160",595,"7,125"
Connecticut's 2nd,CT-02,82.4,3.6,7.9,3.3,0.2,2.6,84.4,3.7,6.7,3.2,0.2,1.7,84.1,3.4,7.3,2.4,0.2,2.6,86.4,3.5,5.9,2.2,0.2,1.8,"709,760","585,135","25,470","56,080","23,370","1,500","18,205","567,575","479,240","20,890","38,075","18,360","1,095","9,920","687,725","578,520","23,370","50,165","16,275","1,480","17,915","547,310","473,060","19,010","32,535","11,905","1,075","9,725"
Connecticut's 3rd,CT-03,66.1,13.1,14.5,4.3,0.2,1.8,69.7,12.2,12.3,4.4,0.2,1.3,68.7,13.2,13.1,2.9,0.2,1.9,73.0,12.3,10.5,2.7,0.2,1.3,"715,345","472,490","93,580","103,785","30,965","1,340","13,180","571,770","398,310","69,555","70,520","24,920","1,095","7,370","670,070","460,205","88,445","88,010","19,300","1,290","12,825","530,185","386,785","65,105","55,860","14,340","1,070","7,035"
Connecticut's 4th,CT-04,62.5,11.8,18.9,5.3,0.1,1.5,64.6,11.6,17.5,5.3,0.1,0.8,67.7,11.7,15.1,3.8,0.1,1.6,71.4,11.5,12.5,3.6,0.1,0.8,"733,755","458,405","86,660","138,315","38,745",775,"10,845","556,110","359,255","64,555","97,430","29,660",685,"4,525","646,375","437,525","75,770","97,785","24,415",750,"10,125","476,095","340,065","54,600","59,700","17,040",660,"4,025"
Connecticut's 5th,CT-05,71.3,5.9,17.5,3.7,0.1,1.5,74.8,5.9,14.7,3.5,0.1,1.0,74.1,5.8,15.8,2.6,0.1,1.5,78.3,5.8,12.5,2.3,0.1,1.0,"714,565","509,590","42,465","125,180","26,225",595,"10,510","557,960","417,305","32,905","82,270","19,720",410,"5,350","664,980","493,035","38,745","105,360","17,190",580,"10,070","513,110","401,645","29,975","64,315","11,755",400,"5,025"
Delaware's At-Large,DE-AL,63.7,21.2,8.8,3.7,0.3,2.2,67.2,20.2,7.2,3.7,0.3,1.3,66.2,21.6,7.2,2.4,0.3,2.3,70.5,20.6,5.1,2.2,0.3,1.3,"934,695","595,050","198,445","82,660","34,740","2,945","20,850","730,505","491,130","147,915","52,610","27,255","2,340","9,255","890,715","589,905","191,990","63,760","21,635","2,930","20,495","689,655","486,215","142,015","34,980","15,190","2,340","8,915"
Florida's 1st,FL-01,73.9,13.1,6.1,2.6,0.5,3.9,76.2,12.6,5.4,2.8,0.5,2.4,74.9,13.3,5.3,2.0,0.5,3.9,77.5,12.8,4.5,2.1,0.5,2.5,"741,950","548,300","97,385","45,155","18,935","3,550","28,630","581,905","443,655","73,575","31,535","16,085","2,905","14,145","725,045","543,365","96,375","38,725","14,665","3,545","28,375","566,265","439,095","72,645","25,670","12,055","2,900","13,895"
Florida's 2nd,FL-02,77.0,12.8,6.1,1.8,0.4,2.0,78.4,12.7,5.4,1.7,0.4,1.3,78.3,12.9,5.2,1.3,0.4,2.0,79.9,12.8,4.3,1.2,0.4,1.3,"709,130","545,780","90,665","43,235","12,425","2,970","14,055","566,110","444,005","71,675","30,775","9,700","2,485","7,460","691,555","541,195","88,900","35,945","8,700","2,935","13,880","549,900","439,605","70,190","23,840","6,490","2,450","7,325"
Florida's 3rd,FL-03,69.2,15.9,8.9,3.5,0.2,2.3,71.6,14.9,8.2,3.6,0.3,1.5,70.7,16.0,8.1,2.5,0.2,2.3,73.5,15.0,7.2,2.5,0.3,1.5,"713,475","493,555","113,290","63,465","25,085","1,690","16,380","564,515","404,195","83,985","46,060","20,430","1,475","8,370","689,685","487,805","110,530","56,015","17,585","1,690","16,055","542,395","398,850","81,295","39,105","13,620","1,475","8,050"
Florida's 4th,FL-04,76.2,9.0,7.7,4.4,0.2,2.5,78.0,8.7,7.1,4.4,0.2,1.6,77.9,9.1,6.9,3.3,0.2,2.6,80.2,8.8,6.0,3.2,0.2,1.6,"747,075","569,300","66,880","57,815","32,605","1,475","18,995","588,935","459,660","51,215","41,785","25,860","1,210","9,210","717,255","559,025","65,250","49,390","23,555","1,460","18,575","562,015","450,785","49,650","33,755","17,760","1,195","8,875"
Florida's 5th,FL-05,40.8,46.7,7.5,2.6,0.2,2.2,44.4,44.3,6.8,2.8,0.3,1.5,41.7,47.7,6.4,1.8,0.3,2.2,45.6,45.3,5.4,1.9,0.3,1.5,"718,315","293,155","335,655","53,650","18,560","1,750","15,545","552,485","245,290","244,565","37,580","15,195","1,515","8,340","692,450","288,595","330,510","43,985","12,560","1,735","15,070","529,155","241,220","239,950","28,630","9,900","1,500","7,950"
Florida's 6th,FL-06,74.8,10.1,11.5,1.8,0.3,1.5,77.7,9.3,10.0,1.8,0.3,0.9,76.0,10.1,10.7,1.3,0.3,1.5,79.2,9.3,9.0,1.3,0.3,0.9,"728,595","544,635","73,645","84,130","13,000","2,155","11,030","596,140","463,015","55,450","59,740","10,775","1,785","5,380","706,230","536,855","71,515","75,620","9,240","2,145","10,855","575,030","455,455","53,470","51,770","7,340","1,775","5,225"
Florida's 7th,FL-07,60.4,10.0,23.3,4.4,0.1,1.8,63.0,9.5,21.6,4.5,0.1,1.4,62.6,10.1,21.9,3.4,0.1,1.9,65.7,9.6,19.9,3.3,0.1,1.4,"737,985","445,465","73,685","171,815","32,570",815,"13,630","589,720","371,305","55,760","127,620","26,300",660,"8,075","696,785","436,290","70,375","152,665","23,450",785,"13,210","552,445","362,920","52,920","110,130","18,140",645,"7,685"
Florida's 8th,FL-08,75.9,9.7,10.0,2.1,0.2,2.1,78.9,8.7,8.6,2.1,0.2,1.4,77.6,9.6,8.9,1.6,0.2,2.1,80.9,8.5,7.4,1.5,0.2,1.4,"720,695","547,080","69,845","71,720","15,430","1,700","14,925","586,550","462,890","51,180","50,685","12,260","1,325","8,215","695,070","539,340","66,415","61,910","11,150","1,695","14,560","562,860","455,500","48,095","41,635","8,410","1,320","7,900"
Florida's 9th,FL-09,44.1,12.2,38.9,3.0,0.2,1.7,47.7,11.4,36.3,3.2,0.2,1.2,46.7,12.1,36.7,2.5,0.2,1.8,51.4,11.3,33.2,2.6,0.2,1.2,"780,260","344,110","94,895","303,365","23,455","1,315","13,115","590,780","281,845","67,385","214,420","18,890","1,230","7,005","714,440","333,835","86,785","261,975","17,930","1,275","12,630","530,730","272,590","60,170","176,340","13,870","1,190","6,570"
Florida's 10th,FL-10,39.1,27.5,25.8,5.4,0.1,2.1,42.1,26.0,24.5,5.7,0.1,1.7,42.0,27.3,23.9,4.5,0.1,2.2,46.1,25.5,21.9,4.7,0.1,1.7,"762,105","297,960","209,425","196,780","41,340",875,"15,730","577,765","242,980","149,980","141,595","32,950",545,"9,715","674,450","283,315","184,280","160,885","30,605",835,"14,535","498,575","229,790","127,380","109,030","23,195",510,"8,665"
Florida's 11th,FL-11,80.4,6.9,9.7,1.2,0.2,1.5,83.1,6.3,8.2,1.2,0.3,0.9,81.5,6.9,8.9,0.9,0.2,1.5,84.4,6.2,7.3,0.9,0.3,0.9,"727,835","585,070","50,415","70,530","8,910","1,780","11,130","613,605","509,735","38,485","50,600","7,480","1,615","5,685","710,335","578,940","48,840","63,285","6,665","1,770","10,840","596,990","503,885","37,125","43,650","5,295","1,600","5,435"
Florida's 12th,FL-12,79.7,4.4,11.6,2.5,0.3,1.6,82.3,4.0,10.1,2.4,0.3,0.9,81.1,4.3,10.7,2.0,0.3,1.6,84.0,3.9,9.0,1.9,0.3,0.9,"729,430","580,995","31,780","84,840","18,025","2,110","11,680","588,095","483,945","23,450","59,460","13,955","1,770","5,520","701,195","568,335","30,220","74,905","14,310","2,085","11,345","562,145","472,105","22,005","50,450","10,570","1,750","5,265"
Florida's 13th,FL-13,72.5,12.3,9.3,3.6,0.3,2.1,76.2,10.9,7.9,3.5,0.3,1.2,74.0,12.6,8.1,2.9,0.3,2.2,78.1,11.2,6.4,2.8,0.3,1.2,"711,120","515,670","87,275","65,940","25,300","1,950","14,990","588,610","448,645","64,245","46,520","20,565","1,635","7,005","675,410","499,855","84,770","54,440","19,745","1,930","14,680","555,010","433,335","62,190","35,700","15,440","1,620","6,730"
Florida's 14th,FL-14,47.3,17.4,28.9,4.4,0.2,1.9,50.5,16.1,27.4,4.5,0.2,1.4,50.9,18.4,25.2,3.4,0.2,1.9,55.1,17.0,22.8,3.3,0.2,1.5,"739,945","349,940","128,725","213,645","32,385","1,380","13,865","577,555","291,405","92,765","158,290","25,820","1,075","8,205","668,930","340,260","122,800","168,735","22,745","1,360","13,030","512,900","282,680","87,335","117,175","17,165","1,055","7,490"
Florida's 15th,FL-15,59.9,13.8,20.9,3.1,0.3,2.0,63.9,13.0,18.4,3.2,0.2,1.4,62.5,14.0,18.6,2.4,0.3,2.1,67.3,13.2,15.4,2.5,0.2,1.4,"745,465","446,680","102,785","156,120","22,930","1,865","15,080","570,530","364,455","73,935","104,950","17,975","1,320","7,890","703,740","440,175","98,595","131,210","17,190","1,805","14,765","532,485","358,475","70,130","81,905","13,095","1,260","7,620"
Florida's 16th,FL-16,71.5,8.4,16.7,2.0,0.2,1.3,76.3,7.3,13.4,1.9,0.2,0.9,74.6,8.7,13.4,1.7,0.2,1.4,80.3,7.6,9.4,1.6,0.2,0.9,"760,540","543,715","63,545","126,655","15,015","1,675","9,935","609,420","464,755","44,765","81,525","11,760","1,390","5,225","707,850","528,340","61,475","94,880","11,835","1,670","9,650","560,555","449,985","42,760","52,500","8,985","1,385","4,940"
Florida's 17th,FL-17,75.1,7.5,14.4,1.3,0.2,1.4,78.8,6.9,12.0,1.3,0.2,0.8,78.0,7.4,11.8,1.1,0.2,1.4,82.4,6.8,8.8,1.1,0.2,0.8,"729,130","547,680","54,770","105,355","9,630","1,755","9,940","603,195","475,515","41,415","72,580","7,750","1,345","4,590","687,455","536,330","51,170","81,075","7,625","1,700","9,555","564,130","464,785","38,145","49,660","5,965","1,285","4,285"
Florida's 18th,FL-18,68.5,12.4,15.4,2.2,0.2,1.3,72.5,11.2,13.1,2.1,0.1,0.8,72.0,12.0,12.8,1.7,0.2,1.4,76.8,10.7,10.0,1.6,0.2,0.8,"730,785","500,840","90,570","112,350","15,965","1,205","9,855","592,020","429,445","66,325","77,650","12,725",850,"5,015","682,745","491,510","81,755","87,395","11,520","1,205","9,355","547,435","420,480","58,415","54,535","8,575",850,"4,570"
Florida's 19th,FL-19,70.9,7.6,18.9,1.4,0.2,0.9,75.7,6.3,15.8,1.4,0.2,0.6,75.7,7.1,14.7,1.2,0.2,1.0,81.6,5.7,10.7,1.2,0.2,0.7,"757,390","537,180","57,220","143,420","10,965","1,440","7,155","624,870","473,025","39,425","98,485","9,020","1,130","3,785","688,235","520,990","48,920","101,390","8,470","1,425","7,035","560,780","457,505","31,765","60,030","6,670","1,115","3,700"
Florida's 20th,FL-20,19.1,52.6,23.8,2.9,0.1,1.5,22.1,50.2,23.4,3.0,0.1,1.2,21.3,53.7,20.7,2.5,0.1,1.6,25.6,51.2,19.4,2.5,0.1,1.3,"752,660","143,540","395,580","179,340","21,765",815,"11,630","569,700","125,965","285,710","133,345","17,045",535,"7,105","631,450","134,740","338,975","130,745","15,810",770,"10,405","459,945","117,605","235,265","89,190","11,450",505,"5,935"
Florida's 21st,FL-21,58.6,15.2,22.2,2.6,0.1,1.3,63.0,13.5,20.0,2.5,0.1,0.9,64.6,13.7,17.9,2.2,0.1,1.4,70.5,11.6,14.7,2.1,0.1,0.9,"738,760","432,790","112,355","164,315","18,965",610,"9,725","597,560","376,500","80,655","119,790","14,930",540,"5,140","645,385","416,970","88,530","115,675","14,400",595,"9,225","512,725","361,675","59,485","75,565","10,740",525,"4,735"
Florida's 22nd,FL-22,59.8,14.7,20.7,3.1,0.2,1.6,63.5,13.0,19.1,3.1,0.2,1.2,63.9,13.6,18.0,2.6,0.2,1.7,68.7,11.6,15.8,2.5,0.2,1.2,"733,500","438,335","107,795","151,895","22,590","1,200","11,685","593,940","377,085","77,045","113,710","18,350",900,"6,845","645,025","412,255","87,980","116,135","16,570","1,185","10,900","512,670","352,405","59,490","80,870","12,825",885,"6,180"
Florida's 23rd,FL-23,45.4,13.2,35.5,4.2,0.2,1.5,47.3,12.4,34.8,4.2,0.2,1.1,49.0,13.4,32.1,3.5,0.3,1.6,51.8,12.5,30.8,3.4,0.3,1.1,"741,075","336,110","97,810","263,340","30,890","1,740","11,195","584,935","276,780","72,810","203,325","24,520","1,320","6,180","639,660","313,590","85,745","205,635","22,490","1,675","10,530","494,965","256,505","62,055","152,670","16,920","1,255","5,570"
Florida's 24th,FL-24,12.6,48.1,37.0,1.4,0.1,0.7,13.4,46.4,38.0,1.5,0.1,0.6,14.4,51.6,31.8,1.2,0.2,0.8,15.7,50.5,31.6,1.4,0.1,0.7,"734,085","92,635","353,380","271,855","10,120",925,"5,175","571,040","76,355","264,865","216,995","8,680",640,"3,500","594,600","85,405","307,100","189,145","7,360",895,"4,690","443,490","69,435","223,910","140,360","6,085",615,"3,085"
