District,Biden,Trump,Clinton,Trump,Bachelor's,Rank,White Bachelor's,Rank,Median Income,Rank,White Income,Rank
CA-42,71.7,25.9,72.3,21.6,24.9,340,46.5,115,"$73,006",218,"$98,590",93
CA-43,80.8,17.0,84.1,11.4,21.1,406,43.5,141,"$66,509",289,"$90,721",151
CA-44,72.9,24.7,75.6,19.1,22.5,387,36.9,223,"$78,725",176,"$91,675",145
CA-45,52.1,46.0,53.8,40.6,37.2,142,40.6,174,"$100,891",53,"$106,308",63
CA-46,64.1,33.7,66.8,27.3,22.2,391,35.7,235,"$80,779",158,"$79,312",225
CA-47,54.5,43.4,50.7,43.3,58.2,17,58.7,38,"$117,944",26,"$120,166",34
CA-48,42.7,55.0,37.2,57.1,32.9,203,36.9,222,"$105,095",43,"$108,046",60
CA-49,54.6,43.2,49.7,44.1,47.1,56,55.8,47,"$109,380",33,"$119,626",35
CA-50,65.4,32.2,60.5,33.2,58.6,15,64.1,24,"$108,881",35,"$115,147",44
CA-51,62.5,35.2,58.4,35.4,44.3,78,49.3,88,"$100,357",57,"$102,207",77
CA-52,67.4,30.5,70.7,24.1,23.4,371,35.7,236,"$79,870",164,"$87,499",177
CO-01,79.5,18.2,73.6,18.9,54.3,23,69.7,13,"$87,684",111,"$101,838",80
CO-02,68.7,28.8,60.9,30.4,57.9,19,61.8,28,"$94,059",79,"$95,523",116
CO-03,44.7,52.9,39.0,53.1,31.6,223,36.4,228,"$67,311",280,"$72,213",294
CO-04,39.5,58.0,32.1,59.6,46.3,68,48.7,97,"$108,087",36,"$109,804",54
CO-05,43.1,53.2,34.1,55.9,40.3,110,44.7,132,"$82,432",143,"$87,743",175
CO-06,60.6,36.8,52.3,39.1,43.9,82,52.8,67,"$91,725",87,"$100,020",87
CO-07,55.7,41.5,47.0,44.1,46.7,62,50.0,83,"$97,203",67,"$101,031",82
CO-08,50.8,46.3,44.6,46.4,27.9,287,35.6,238,"$92,047",85,"$96,941",104
CT-01,63.3,35.2,59.4,36.2,38.4,135,44.0,137,"$80,371",161,"$92,491",137
CT-02,54.7,43.3,48.8,45.4,38.5,133,39.7,184,"$88,894",102,"$93,124",131
CT-03,59.2,39.5,55.0,41.1,39.3,123,43.9,138,"$86,205",121,"$95,842",115
CT-04,64.8,33.8,60.2,35.7,53.0,28,64.6,23,"$106,972",38,"$130,080",21
CT-05,54.6,43.9,49.9,45.7,38.0,138,43.6,140,"$87,715",110,"$94,882",119
DE-AL,58.8,39.8,53.4,41.9,34.5,178,37.0,221,"$82,174",147,"$89,282",164
FL-01,33.0,65.3,28.3,66.2,30.5,248,32.7,281,"$71,302",234,"$77,601",242
FL-02,44.0,55.0,41.9,53.8,29.6,262,32.0,293,"$57,516",384,"$65,266",374
FL-03,42.4,56.5,40.6,55.3,27.6,294,28.3,347,"$56,286",394,"$60,099",415
FL-04,46.0,52.7,42.9,53.3,25.0,339,28.0,350,"$70,226",244,"$82,262",207
