State,Total Population by Race,,,,,,Voting Age Population by Race,,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi
Nationwide,60.9,12.4,18.0,5.7,0.7,2.4,63.8,12.1,15.9,5.9,0.6,1.7,64.3,12.8,15.3,4.5,0.7,2.5,68.2,12.5,12.4,4.5,0.7,1.7,"324,697,665","197,659,350","40,247,560","58,479,385","18,483,755","2,174,570","7,653,045","251,268,545","160,300,110","30,317,060","40,022,700","14,838,040","1,608,785","4,181,850","302,533,855","194,593,695","38,658,380","46,200,830","13,465,905","2,162,610","7,452,435","230,960,104","157,518,020","28,930,185","28,606,475","10,289,630","1,598,020","4,017,774"
Alabama,65.6,26.5,4.3,1.4,0.5,1.7,67.8,25.8,3.3,1.4,0.5,1.2,66.8,27.0,3.1,0.9,0.5,1.7,69.2,26.3,2.0,0.9,0.5,1.2,"4,876,225","3,200,670","1,294,615","208,620","68,220","22,780","81,320","3,779,885","2,563,970","974,120","125,580","52,480","18,340","45,395","4,770,935","3,186,580","1,287,250","149,345","44,715","22,745","80,300","3,685,105","2,551,110","967,610","72,020","31,630","18,310","44,425"
Alaska,60.9,3.1,7.0,7.4,14.4,7.2,64.7,3.2,6.1,7.4,13.2,5.3,62.4,3.0,6.7,5.7,14.9,7.4,66.6,3.1,5.7,5.4,13.7,5.5,"737,065","448,605","23,055","51,870","54,235","106,380","52,920","552,675","357,720","17,870","33,945","40,875","72,745","29,520","712,455","444,250","21,320","47,730","40,340","106,330","52,485","531,000","353,435","16,695","30,340","28,700","72,700","29,130"
Arizona,54.9,4.2,31.3,3.4,3.9,2.2,59.6,4.1,27.4,3.6,3.6,1.6,58.2,4.4,28.3,2.6,4.2,2.4,64.2,4.3,23.2,2.6,4.0,1.7,"7,050,310","3,867,175","299,550","2,208,670","241,745","276,885","156,285","5,414,960","3,224,805","224,540","1,486,105","195,985","196,500","87,025","6,519,390","3,795,360","284,430","1,843,415","166,560","276,195","153,430","4,920,445","3,158,115","212,950","1,140,195","128,620","195,915","84,650"
Arkansas,72.5,15.3,7.5,1.8,0.6,2.3,75.4,14.6,6.0,1.8,0.6,1.6,74.7,15.7,5.5,1.2,0.6,2.3,78.0,15.1,3.6,1.0,0.6,1.7,"2,999,365","2,175,875","458,065","224,130","55,055","17,710","68,530","2,295,085","1,729,905","335,100","137,745","40,940","13,780","37,615","2,903,065","2,168,030","455,355","160,425","33,905","17,710","67,640","2,207,315","1,722,690","332,655","78,515","22,695","13,780","36,980"
California,37.4,5.6,39.0,14.8,0.4,2.9,40.7,5.7,35.2,15.7,0.4,2.2,41.4,6.2,35.4,13.3,0.4,3.2,46.6,6.6,29.8,14.1,0.4,2.5,"39,283,420","14,677,200","2,194,470","15,327,695","5,800,060","143,355","1,140,640","30,261,380","12,331,415","1,739,075","10,643,825","4,759,080","113,645","674,340","34,187,330","14,164,990","2,128,880","12,115,100","4,536,030","141,895","1,100,435","25,494,425","11,871,185","1,680,990","7,592,775","3,594,790","112,460","642,225"
Colorado,68.2,4.0,21.5,3.3,0.5,2.4,71.7,3.9,18.7,3.4,0.6,1.8,71.4,3.9,19.1,2.5,0.6,2.5,75.7,3.8,15.6,2.5,0.6,1.9,"5,610,350","3,827,685","224,265","1,208,175","184,695","30,535","134,995","4,349,355","3,116,835","169,635","813,825","146,475","24,560","78,025","5,298,850","3,781,815","207,300","1,013,955","133,080","30,450","132,250","4,063,885","3,074,970","155,410","632,660","100,650","24,475","75,720"
Connecticut,67.2,10.0,16.1,4.6,0.2,2.0,70.2,9.7,14.0,4.6,0.2,1.3,70.3,9.8,14.4,3.3,0.2,2.1,74.1,9.5,11.9,3.0,0.2,1.4,"3,575,085","2,401,725","357,995","574,245","164,060","5,680","71,380","2,831,245","1,988,715","275,315","395,895","129,610","4,305","37,405","3,326,745","2,338,380","325,625","480,050","108,185","5,485","69,020","2,605,420","1,930,310","246,480","309,830","79,230","4,110","35,460"
Delaware,62.5,21.8,9.2,4.0,0.3,2.3,66.0,20.8,7.5,4.0,0.3,1.4,65.2,22.1,7.4,2.6,0.3,2.3,69.4,21.2,5.3,2.4,0.4,1.4,"957,250","598,050","208,330","88,365","37,820","2,850","21,835","753,550","497,375","156,915","56,345","29,820","2,575","10,520","909,580","593,155","201,320","67,540","23,510","2,825","21,230","710,275","492,780","150,730","37,405","16,805","2,565","9,990"
Florida,54.2,15.5,25.6,2.8,0.2,1.8,57.2,14.4,24.2,2.9,0.2,1.2,58.0,15.6,22.0,2.3,0.2,1.9,61.9,14.5,19.9,2.2,0.2,1.3,"20,901,640","11,318,550","3,232,305","5,346,685","584,380","42,980","376,740","16,719,185","9,555,685","2,403,395","4,043,610","476,750","35,410","204,335","18,993,610","11,012,275","2,969,440","4,177,170","429,410","42,145","363,170","14,988,430","9,274,170","2,168,560","2,982,325","336,035","34,590","192,750"
Georgia,52.9,31.3,9.5,4.1,0.2,2.0,55.7,30.7,8.0,4.2,0.2,1.3,55.4,32.5,7.0,2.8,0.2,2.0,58.9,32.1,4.7,2.8,0.2,1.4,"10,403,880","5,505,815","3,260,095","992,390","422,780","19,535","203,265","7,898,630","4,398,490","2,422,325","628,735","329,130","16,265","103,685","9,809,255","5,433,955","3,190,735","687,860","279,530","19,040","198,135","7,356,550","4,333,160","2,361,010","344,175","202,410","15,860","99,935"
