District,Clinton,Trump,Obama,Romney,Bachelor's,Rank,White Bachelor's,Rank,Median Income,Rank,White Income,Rank
NY-07,86.9,10.4,88.3,10.3,33.8,147,61.7,21,"$55,497",252,"$95,062",44
NY-08,84.6,13.5,89.3,10.1,32.5,163,53.5,45,"$52,077",313,"$72,957",162
NY-09,83.5,14.4,85.3,13.8,38.0,102,62.6,19,"$56,823",239,"$84,225",84
NY-10,78.3,18.8,73.6,25.0,60.8,6,70.6,8,"$90,440",34,"$105,598",24
NY-11,43.8,53.6,51.6,47.3,35.1,134,38.3,161,"$72,388",102,"$79,381",111
NY-12,83.3,13.5,76.9,21.5,72.7,1,79.9,1,"$104,574",14,"$117,779",10
NY-13,92.3,5.4,94.6,4.6,31.0,190,72.1,5,"$42,151",411,"$83,318",88
NY-14,77.7,19.8,80.7,18.3,26.3,271,40.3,138,"$56,913",235,"$68,146",195
NY-15,93.8,4.9,96.7,3.0,13.4,428,28.0,299,"$28,460",435,"$29,202",435
NY-16,75.1,22.5,73.7,25.5,39.8,86,56.7,34,"$70,004",117,"$99,289",37
NY-17,58.6,38.4,57.1,41.8,46.2,39,53.5,46,"$98,316",22,"$109,082",18
NY-18,47.1,49.0,51.4,47.1,36.0,121,39.1,156,"$84,705",48,"$91,256",57
NY-19,44.0,50.8,52.1,45.9,28.9,228,29.9,280,"$62,281",183,"$63,549",242
NY-20,54.0,40.5,59.2,38.8,38.2,100,40.0,143,"$66,444",144,"$72,374",169
NY-21,40.0,53.9,52.2,46.1,23.8,318,24.4,368,"$55,200",254,"$55,694",337
NY-22,39.3,54.8,48.8,49.2,24.7,300,24.9,358,"$53,732",278,"$55,478",343
NY-23,39.7,54.5,48.4,49.6,26.1,276,25.8,344,"$51,223",323,"$52,745",379
NY-24,48.9,45.3,57.0,41.1,30.8,195,32.1,240,"$57,560",227,"$61,511",259
NY-25,55.5,39.1,58.8,39.4,37.6,108,43.1,108,"$56,974",234,"$66,013",213
NY-26,57.6,38.0,63.9,34.3,31.5,176,34.7,202,"$49,151",352,"$57,061",317
NY-27,35.2,59.7,42.9,55.3,30.0,205,30.5,263,"$65,142",154,"$66,252",212
OH-01,44.6,51.2,46.3,52.4,34.6,139,38.0,164,"$58,727",212,"$70,127",179
OH-02,39.7,55.8,43.7,54.7,31.5,175,32.0,241,"$57,316",228,"$59,760",284
OH-03,67.0,28.6,69.7,28.9,28.3,239,33.5,217,"$47,009",372,"$56,231",332
OH-04,30.7,64.3,42.0,56.0,17.9,406,17.9,426,"$53,746",277,"$55,208",349
OH-05,34.6,59.7,44.1,53.9,26.5,263,26.6,323,"$58,998",207,"$60,104",279
OH-06,26.7,69.3,42.7,55.2,16.2,418,16.2,433,"$47,533",370,"$48,136",418
OH-07,32.8,62.5,44.2,53.7,20.3,383,20.5,415,"$55,108",255,"$56,555",327
OH-08,30.6,65.1,36.4,61.9,24.4,306,24.2,370,"$58,060",219,"$59,788",283
OH-09,58.7,36.5,67.6,30.9,22.2,347,25.5,348,"$43,718",398,"$50,058",407
OH-10,44.0,51.3,48.2,50.1,29.7,212,30.8,258,"$52,467",304,"$58,204",305
OH-11,80.5,17.0,82.7,16.5,27.0,257,41.9,122,"$36,851",429,"$57,190",314
OH-12,41.9,53.2,43.9,54.4,41.2,76,40.3,136,"$73,376",95,"$73,445",156
OH-13,51.1,44.6,62.9,35.4,22.8,338,23.8,377,"$45,087",393,"$49,056",415
OH-14,42.1,53.6,47.6,50.9,34.9,136,34.8,201,"$67,937",135,"$68,698",191
OH-15,39.9,55.3,46.3,51.9,31.7,173,31.0,255,"$63,542",172,"$63,856",235
OH-16,39.5,56.1,45.2,53.4,33.9,144,33.4,220,"$66,805",142,"$66,942",207
OK-01,32.7,61.4,34.2,65.8,30.0,206,33.7,215,"$54,859",261,"$60,617",271
OK-02,22.8,72.9,32.2,67.8,17.0,413,17.8,429,"$42,319",409,"$44,145",428
OK-03,20.9,73.6,26.1,73.9,22.6,343,24.1,373,"$51,611",319,"$54,015",362
OK-04,28.3,65.7,32.9,67.1,25.2,295,25.9,341,"$56,380",245,"$58,970",294
OK-05,39.8,53.2,40.8,59.2,30.7,196,36.5,181,"$51,669",317,"$60,163",277
OR-01,57.3,34.5,57.3,40.0,41.3,74,42.6,114,"$73,956",91,"$75,455",138
OR-02,36.4,56.5,40.5,56.8,24.7,302,26.5,327,"$51,574",320,"$52,593",381
OR-03,70.7,22.5,72.0,24.7,40.5,79,44.8,96,"$64,361",162,"$70,089",180
OR-04,46.1,46.0,51.7,45.0,26.6,262,26.8,319,"$49,031",354,"$49,937",410
OR-05,48.3,44.1,50.5,47.1,30.7,197,33.3,222,"$62,502",181,"$64,909",222
PA-01,49.1,47.1,50.2,48.6,40.8,78,40.9,133,"$85,251",47,"$88,269",66
PA-02,72.9,24.9,77.4,21.8,20.3,384,26.2,334,"$42,666",407,"$53,600",369
PA-03,90.9,7.0,91.7,7.6,38.1,101,68.6,9,"$45,084",394,"$77,838",119
PA-04,57.8,38.5,56.1,42.8,47.4,35,48.2,75,"$87,310",43,"$91,038",58
PA-05,62.6,34.4,63.4,35.7,36.9,114,41.9,121,"$66,393",146,"$81,406",98
PA-06,52.6,43.3,51.0,47.8,44.1,54,48.4,73,"$81,257",61,"$89,816",63
PA-07,48.7,47.6,52.9,45.9,29.0,226,31.7,247,"$64,239",164,"$69,576",183
PA-08,43.7,53.3,55.3,43.4,24.8,298,25.9,342,"$53,515",280,"$54,269",358
PA-09,31.0,65.0,41.2,57.2,20.8,371,21.2,405,"$57,267",229,"$58,050",306
PA-10,43.4,52.3,46.0,52.6,31.1,185,33.2,223,"$62,720",178,"$67,538",199
PA-11,34.7,60.5,38.0,60.5,25.8,283,26.5,325,"$65,019",155,"$67,668",197
PA-12,29.7,66.1,36.8,61.5,22.7,340,22.2,398,"$53,067",291,"$53,789",365
PA-13,25.5,71.2,32.1,66.6,19.7,396,19.8,422,"$53,076",290,"$53,846",364
PA-14,33.9,62.9,40.6,58.3,26.4,270,26.6,322,"$57,045",233,"$58,001",307
PA-15,26.5,69.8,35.7,62.6,19.9,390,20.0,420,"$49,714",346,"$49,955",409
PA-16,37.9,57.9,46.9,51.7,27.0,258,27.4,309,"$52,340",305,"$54,260",359
PA-17,46.8,49.4,47.2,51.7,40.3,82,40.2,141,"$66,495",143,"$68,222",194
PA-18,62.1,34.6,63.5,35.2,37.3,109,39.8,147,"$51,380",322,"$58,874",297
RI-01,60.5,34.9,66.2,32.2,33.2,156,37.4,168,"$58,290",218,"$66,642",209
RI-02,51.1,44.0,59.8,38.3,33.3,152,35.8,189,"$68,294",131,"$72,925",163
SC-01,40.4,53.5,40.2,58.3,39.5,88,45.3,92,"$67,068",140,"$75,612",137
SC-02,38.6,56.3,39.4,59.1,33.3,154,36.5,182,"$58,931",209,"$65,101",220
SC-03,29.0,67.0,33.9,64.5,21.6,356,24.2,371,"$46,444",379,"$51,130",399
SC-04,34.5,60.2,36.2,62.2,31.2,184,35.9,188,"$53,725",279,"$61,190",263
SC-05,38.8,57.3,43.6,55.1,23.6,324,27.3,311,"$50,428",334,"$58,239",303
SC-06,66.8,30.3,70.9,28.1,19.7,395,27.6,306,"$36,835",430,"$49,458",413
SC-07,39.1,58.0,44.4,54.5,21.0,366,24.8,361,"$44,253",397,"$51,744",391
SD-AL,31.7,61.5,39.9,57.9,28.5,234,30.3,269,"$56,499",244,"$59,813",282
TN-01,19.7,76.7,25.7,72.7,19.8,393,19.9,421,"$42,052",413,"$42,927",431
TN-02,29.7,65.1,30.9,67.3,30.5,199,30.9,257,"$52,741",298,"$55,265",348
TN-03,30.2,65.4,35.1,63.3,23.4,328,24.1,372,"$48,198",363,"$51,158",398
TN-04,27.4,68.6,33.1,65.3,23.1,334,23.4,383,"$53,160",288,"$54,631",354
TN-05,56.5,38.2,55.9,42.5,37.8,105,43.5,106,"$56,053",246,"$64,514",229
TN-06,23.7,72.6,29.5,69.1,22.0,350,22.0,400,"$52,980",292,"$53,310",372
TN-07,28.2,67.5,32.9,65.7,29.4,216,30.2,272,"$56,857",238,"$59,075",290
TN-08,30.7,66.3,32.9,66.1,29.3,219,30.7,260,"$57,726",223,"$62,207",251
TN-09,77.5,19.8,78.4,20.9,24.0,316,40.0,142,"$39,903",423,"$57,061",317
TX-01,25.3,72.2,27.5,71.6,20.8,372,25.1,354,"$49,465",348,"$56,248",331
TX-02,43.1,52.4,35.6,62.9,41.3,72,50.7,57,"$78,481",69,"$94,871",46
TX-03,40.6,54.8,34.2,64.3,53.9,19,55.0,39,"$94,366",28,"$101,456",31
TX-04,21.8,75.4,24.8,74.0,21.8,353,23.9,375,"$54,404",265,"$59,594",287
TX-05,34.3,62.7,34.4,64.5,20.4,380,25.1,355,"$51,869",316,"$58,881",296
TX-06,41.9,54.2,40.8,57.9,29.7,210,34.1,210,"$68,263",132,"$76,573",128
TX-07,48.5,47.1,38.6,59.9,49.2,28,61.8,20,"$75,170",81,"$99,458",35
TX-08,23.9,72.7,21.7,77.0,31.1,189,34.1,209,"$70,669",109,"$76,743",126
TX-09,79.3,18.0,78.0,21.1,24.7,301,43.9,101,"$48,091",364,"$62,365",249
TX-10,43.2,52.3,38.8,59.1,39.8,84,46.7,84,"$75,663",77,"$85,938",80
TX-11,19.1,77.8,19.6,79.2,21.2,363,27.2,313,"$56,714",241,"$59,702",285
TX-12,32.7,62.9,31.7,66.8,31.1,186,35.4,194,"$67,078",139,"$73,397",158
TX-13,16.9,79.9,18.5,80.2,20.5,379,24.9,359,"$52,057",314,"$57,044",319
TX-14,38.4,58.2,39.5,59.3,24.0,317,30.1,275,"$60,706",192,"$75,251",141
TX-15,56.7,40.0,57.4,41.5,19.9,392,31.9,243,"$44,590",395,"$67,057",204
TX-16,67.9,27.2,64.2,34.5,24.6,304,41.3,128,"$46,212",384,"$61,792",255
TX-17,38.8,56.3,37.7,60.4,30.5,198,36.3,183,"$53,336",285,"$60,946",266
TX-18,76.5,20.0,76.1,22.8,22.6,342,50.3,62,"$46,379",380,"$81,561",97
TX-19,23.5,72.5,25.0,73.6,22.3,346,30.0,278,"$49,812",345,"$56,522",329
TX-20,61.0,34.3,58.9,39.7,24.4,308,41.0,132,"$52,104",312,"$65,810",214
TX-21,42.5,52.5,37.9,59.8,45.8,41,50.7,56,"$69,797",122,"$76,515",129
TX-22,44.2,52.1,36.7,62.1,45.6,43,48.2,76,"$95,463",25,"$105,069",26
TX-23,49.8,46.4,48.1,50.7,21.8,352,40.2,139,"$54,015",272,"$79,499",109
TX-24,44.5,50.7,38.0,60.4,45.9,40,51.1,55,"$73,454",93,"$87,283",72
TX-25,40.2,55.1,37.8,59.9,37.9,103,41.2,129,"$70,199",115,"$76,209",132
TX-26,34.4,60.9,30.7,67.6,43.8,57,46.1,90,"$89,458",35,"$96,215",41
TX-27,36.5,60.1,38.2,60.5,19.7,394,28.4,292,"$54,353",266,"$64,333",233
TX-28,58.3,38.5,60.3,38.7,18.5,405,27.2,312,"$47,834",366,"$65,578",216
TX-29,71.1,25.4,65.9,33.0,10.1,432,20.4,416,"$43,626",400,"$50,458",403
TX-30,79.1,18.3,79.6,19.6,20.3,382,41.4,126,"$46,787",374,"$69,681",182
TX-31,40.8,53.5,38.3,59.6,35.4,128,39.5,152,"$71,039",106,"$77,564",120
TX-32,48.5,46.6,41.5,57.0,43.9,56,56.6,35,"$72,815",97,"$90,656",60
TX-33,72.9,23.7,72.0,27.1,10.0,434,22.9,393,"$41,063",418,"$50,068",406
TX-34,59.2,37.7,60.8,38.3,15.8,423,27.6,307,"$38,824",425,"$53,572",370
TX-35,64.1,30.5,63.0,34.6,20.7,373,36.0,187,"$48,318",360,"$61,075",265
TX-36,25.2,72.0,25.7,73.2,18.8,404,20.9,408,"$60,468",193,"$63,675",240
UT-01,22.4,49.7,20.4,77.4,29.9,207,32.5,234,"$68,431",130,"$71,757",172
UT-02,32.0,46.0,29.2,68.0,32.3,165,35.4,195,"$61,310",189,"$64,712",227
UT-03,23.3,47.2,19.5,78.3,41.5,70,43.6,105,"$71,756",104,"$75,298",140
UT-04,32.4,39.1,30.2,67.2,30.2,203,32.9,227,"$72,648",98,"$76,176",133
VA-01,41.2,53.6,43.4,55.3,36.5,115,39.3,153,"$86,340",45,"$90,327",62
VA-02,45.4,48.8,48.2,50.5,34.6,140,38.3,160,"$69,721",123,"$76,148",134
VA-03,63.6,31.9,67.6,31.3,26.5,265,32.6,233,"$54,226",270,"$67,360",201
VA-04,58.7,37.1,60.3,38.5,29.2,222,37.4,169,"$57,062",232,"$71,426",173
VA-05,42.3,53.4,45.9,52.5,27.9,243,31.7,246,"$54,239",269,"$60,206",276
VA-06,34.9,59.7,39.5,58.8,27.4,253,29.2,285,"$53,804",274,"$56,773",324
VA-07,44.0,50.5,44.1,54.6,39.2,92,42.4,115,"$77,047",72,"$82,624",93
VA-08,73.5,20.9,67.8,31.0,61.8,4,77.1,3,"$106,421",11,"$129,128",3
VA-09,27.3,68.8,34.9,63.1,20.6,375,20.4,417,"$43,426",402,"$44,361",427
VA-10,52.2,42.2,48.8,49.9,55.5,13,58.1,31,"$124,627",3,"$128,053",4
VA-11,66.9,27.5,62.5,36.3,55.5,12,66.7,12,"$110,462",7,"$127,109",5
VT-AL,56.7,30.3,67.0,31.2,37.3,110,37.3,172,"$60,076",197,"$60,787",268
WA-01,54.1,37.8,54.1,43.3,43.3,60,41.3,127,"$95,296",26,"$93,632",52
WA-02,56.9,34.8,59.2,38.0,31.6,174,32.8,229,"$68,114",134,"$69,848",181
WA-03,42.5,49.9,47.9,49.6,25.6,285,26.1,337,"$63,926",166,"$65,399",218
WA-04,35.1,57.9,37.9,59.7,20.5,378,26.7,321,"$56,028",247,"$63,114",244
WA-05,39.1,52.2,43.7,53.5,29.6,213,30.2,271,"$52,942",295,"$54,299",356
WA-06,51.8,39.5,56.1,41.2,29.8,208,31.8,244,"$62,502",181,"$64,705",228
WA-07,82.1,12.2,79.2,18.1,60.4,7,64.0,16,"$86,312",46,"$93,659",51
WA-08,47.7,44.7,49.7,48.1,34.4,141,34.7,203,"$83,593",49,"$84,578",83
WA-09,70.5,23.3,68.3,29.6,42.6,61,48.7,71,"$78,578",68,"$87,407",70
WA-10,51.3,39.9,56.3,41.1,28.3,238,30.5,265,"$64,796",159,"$68,094",196
WI-01,42.3,52.6,47.4,51.6,28.4,237,30.1,276,"$65,354",153,"$69,563",184
WI-02,65.8,29.0,68.3,30.5,41.8,67,42.7,111,"$66,415",145,"$69,281",188
WI-03,44.8,49.3,54.8,43.8,25.5,288,25.9,343,"$54,960",259,"$55,496",342
WI-04,74.0,21.8,75.3,23.8,27.9,245,41.1,131,"$43,061",404,"$58,296",302
WI-05,37.3,57.4,37.7,61.3,37.2,111,37.3,171,"$70,304",112,"$71,858",171
WI-06,38.8,55.7,45.8,53.1,25.8,282,26.4,329,"$59,455",201,"$60,116",278
WI-07,37.3,57.7,47.8,50.9,23.1,335,23.4,382,"$55,016",257,"$55,913",335
WI-08,38.6,56.2,47.6,51.3,26.0,281,26.7,320,"$60,166",195,"$61,777",256
WV-01,26.4,68.0,35.5,62.2,23.2,332,22.8,395,"$47,158",371,"$47,669",420
WV-02,29.4,65.8,38.0,60.0,21.4,360,21.2,406,"$50,183",340,"$50,750",401
WV-03,23.3,72.5,32.8,65.0,16.1,420,15.9,434,"$38,191",427,"$38,680",433
WY-AL,22.5,70.1,28.0,69.2,26.9,259,28.5,291,"$62,268",184,"$63,842",237
