State,Total Population by Race (2020 Census),,,,,,Voting Age Population by Race (2020 Census),,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Adult Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Citizen Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Adult Citizen Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander
Hawaii,21.4,2.3,11.0,41.4,0.7,9.7,23.5,2.3,8.7,44.0,0.7,9.2,22.4,2.4,11.4,39.6,0.7,9.1,24.8,2.5,9.1,42.1,0.8,8.3,"1,450,590","310,140","33,625","159,025","601,140","9,745","141,340","1,145,270","269,370","26,665","99,610","504,415","8,440","104,810","1,346,395","301,165","32,740","154,155","533,175","9,610","121,910","1,050,735","260,855","25,850","95,200","442,550","8,320","87,700"
Idaho,81.3,1.1,13.1,2.1,1.9,0.1,83.6,0.9,11.1,2.0,1.9,0.1,83.4,1.0,11.3,1.8,2.0,0.1,86.3,0.8,8.8,1.6,2.0,0.1,"1,854,110","1,508,200","20,525","242,235","39,275","35,350","2,365","1,399,330","1,170,425","12,815","156,005","28,190","26,670","1,775","1,795,410","1,497,960","18,795","202,615","32,400","35,340","2,180","1,344,940","1,161,335","11,380","118,745","21,810","26,655","1,605"
Illinois,60.2,14.8,17.8,6.5,0.5,0.0,63.0,14.1,15.9,6.4,0.5,0.0,63.2,15.5,15.4,5.2,0.5,0.0,66.9,15.0,12.6,4.9,0.5,0.0,"12,757,635","7,679,365","1,887,120","2,275,705","827,090","62,490","3,305","9,937,155","6,256,640","1,403,260","1,577,135","636,425","48,800","2,780","11,912,210","7,524,945","1,847,720","1,830,060","622,865","62,220","2,825","9,143,765","6,113,400","1,370,020","1,148,585","449,670","48,550","2,310"
Indiana,77.9,10.8,7.5,3.0,0.6,0.0,80.4,9.7,6.3,2.8,0.7,0.0,80.1,10.7,6.2,2.1,0.6,0.0,83.1,9.6,4.6,1.7,0.7,0.0,"6,784,405","5,283,850","731,655","510,985","200,270","42,700","2,290","5,206,940","4,187,720","504,405","325,590","146,115","34,665","1,930","6,566,030","5,258,335","705,795","410,280","135,475","42,530","1,970","5,009,620","4,164,400","483,100","232,800","87,375","34,490","1,645"
Iowa,84.5,4.9,6.5,3.0,0.7,0.1,87.0,3.9,5.3,2.9,0.7,0.1,86.8,4.5,5.5,2.1,0.7,0.1,89.8,3.5,3.9,1.8,0.7,0.1,"3,188,835","2,694,960","155,915","208,635","96,390","22,165","4,385","2,458,520","2,138,745","96,055","129,880","70,425","16,625","2,915","3,088,855","2,682,280","139,630","169,685","66,295","22,135","2,685","2,368,945","2,127,290","82,995","93,550","43,440","16,600","1,430"
Kansas,74.9,6.9,12.6,3.6,1.7,0.1,77.8,6.2,10.5,3.5,1.7,0.1,77.7,6.9,10.5,2.8,1.8,0.1,81.3,6.2,7.9,2.6,1.8,0.0,"2,935,920","2,199,130","202,300","369,970","104,600","50,155","2,520","2,234,510","1,738,875","138,825","235,505","77,385","37,720","1,885","2,816,925","2,187,730","194,690","296,495","79,405","50,140","1,515","2,126,125","1,728,645","132,550","167,360","54,860","37,705",980
Kentucky,83.8,9.3,4.0,1.9,0.7,0.1,85.7,8.4,3.2,1.7,0.7,0.1,85.5,9.2,3.0,1.4,0.7,0.1,87.6,8.3,2.0,1.1,0.8,0.0,"4,502,935","3,773,820","420,245","180,480","86,205","31,940","3,170","3,491,455","2,991,610","294,515","112,515","60,975","25,780","2,100","4,396,065","3,757,470","404,775","133,175","59,805","31,835","2,415","3,398,225","2,976,895","282,430","69,320","38,800","25,700","1,480"
Louisiana,58.2,32.9,5.5,2.1,1.2,0.0,60.5,31.2,4.9,2.0,1.2,0.0,59.3,33.5,4.1,1.7,1.3,0.0,61.8,31.9,3.4,1.5,1.3,0.0,"4,640,545","2,699,430","1,526,115","255,585","96,640","57,005","2,205","3,557,970","2,152,800","1,111,100","174,115","72,790","43,440","1,775","4,527,375","2,683,520","1,518,785","187,845","74,740","56,925","2,110","3,458,800","2,137,895","1,104,755","116,355","52,925","43,360","1,685"
Maine,92.7,2.2,1.9,1.7,1.3,0.0,93.9,1.6,1.6,1.5,1.3,0.0,93.6,1.7,1.8,1.4,1.4,0.0,94.7,1.2,1.5,1.2,1.3,0.0,"1,366,950","1,267,255","29,630","25,900","23,225","18,340",240,"1,116,135","1,047,545","18,025","18,035","17,175","14,015",200,"1,343,630","1,257,130","22,650","23,965","19,120","18,200",225,"1,095,865","1,037,975","13,055","16,395","13,255","13,880",190
Maryland,49.3,31.3,10.9,7.4,0.6,0.0,51.8,30.7,9.3,7.3,0.7,0.0,52.2,32.1,8.3,6.3,0.7,0.0,55.4,31.6,6.2,5.9,0.7,0.0,"6,161,705","3,034,710","1,929,320","672,905","458,350","39,910","2,230","4,801,415","2,484,895","1,474,945","446,185","349,685","31,880","1,910","5,721,640","2,986,855","1,835,930","475,700","358,175","39,735","2,185","4,411,240","2,443,145","1,392,850","271,360","259,490","31,710","1,860"
Massachusetts,70.6,8.2,12.6,7.9,0.5,0.0,73.3,7.5,10.9,7.6,0.5,0.0,74.2,7.7,11.2,6.1,0.5,0.0,77.6,7.0,9.2,5.5,0.5,0.0,"6,984,205","4,931,520","570,690","879,295","554,095","33,550","2,675","5,617,190","4,118,020","420,945","614,375","427,905","26,425","2,170","6,427,885","4,770,500","497,505","717,940","395,100","32,675","2,360","5,117,160","3,973,190","356,455","472,165","281,055","25,665","1,895"
Michigan,74.4,14.9,5.5,3.9,1.2,0.0,76.6,13.8,4.6,3.7,1.1,0.0,75.7,15.2,4.9,2.9,1.2,0.0,78.3,14.1,3.8,2.5,1.2,0.0,"10,057,920","7,478,850","1,497,715","550,425","392,605","117,495","2,605","7,908,455","6,059,650","1,090,150","362,550","294,110","89,750","2,125","9,751,050","7,383,060","1,477,345","475,155","279,090","117,040","2,290","7,633,285","5,974,590","1,072,820","292,440","193,050","89,295","1,855"
Minnesota,78.5,8.0,5.7,5.8,1.6,0.0,81.9,6.5,4.7,5.2,1.5,0.0,81.0,7.3,4.7,5.0,1.7,0.0,84.9,5.7,3.4,4.2,1.5,0.0,"5,695,290","4,470,695","455,280","327,050","332,520","92,505","2,130","4,388,210","3,593,785","284,810","206,235","229,390","64,200","1,695","5,487,455","4,444,550","400,920","259,625","273,980","92,050","1,640","4,206,890","3,569,930","241,825","144,415","177,965","63,815","1,235"
Mississippi,56.2,38.2,3.3,1.2,0.9,0.0,58.4,36.6,2.8,1.2,0.9,0.0,56.8,38.6,2.6,1.0,0.9,0.0,59.1,37.1,1.9,0.9,0.9,0.0,"2,958,845","1,663,995","1,130,410","97,125","36,735","26,055",905,"2,267,770","1,324,910","830,620","62,575","27,490","19,795",810,"2,920,300","1,658,905","1,126,855","75,530","28,685","25,990",855,"2,232,895","1,320,245","827,450","43,260","20,020","19,745",760
Missouri,78.8,12.6,4.6,2.6,1.2,0.1,80.8,11.5,3.8,2.5,1.2,0.1,80.0,12.6,3.9,2.0,1.2,0.1,82.3,11.5,3.0,1.7,1.2,0.1,"6,154,420","4,849,475","772,910","280,080","160,425","72,080","8,200","4,779,945","3,863,875","549,020","180,495","118,970","56,530","5,480","6,028,010","4,825,370","757,575","236,930","119,380","71,935","5,890","4,666,685","3,842,180","536,530","141,055","81,560","56,410","3,655"
Montana,85.7,0.9,4.2,1.4,7.6,0.1,87.8,0.7,3.5,1.3,6.4,0.1,86.1,0.8,4.0,1.1,7.6,0.1,88.3,0.7,3.3,1.0,6.5,0.1,"1,091,840","935,305","9,425","45,880","14,880","82,590",750,"860,495","755,595","5,860","30,395","10,830","55,480",515,"1,080,730","930,360","9,100","43,250","12,025","82,445",680,"849,900","750,865","5,570","27,895","8,120","55,345",450
Nebraska,77.7,5.8,11.8,3.1,1.3,0.1,81.1,5.0,9.6,2.9,1.2,0.1,80.8,5.6,9.7,2.2,1.3,0.1,84.9,4.7,6.9,2.0,1.2,0.1,"1,958,940","1,522,085","114,050","230,770","60,935","25,165","1,045","1,478,505","1,199,575","73,285","141,215","43,500","17,275",795,"1,874,555","1,514,770","105,440","181,315","42,175","25,120",995,"1,405,395","1,193,225","66,275","97,380","27,790","17,235",745
Nevada,47.3,10.4,29.6,9.7,1.4,0.7,51.3,9.6,26.2,10.0,1.4,0.6,51.0,11.1,25.8,8.9,1.5,0.7,56.4,10.4,21.0,9.1,1.6,0.7,"3,104,815","1,469,060","321,355","918,510","301,035","43,505","20,185","2,415,125","1,239,330","232,305","633,805","241,905","34,135","15,395","2,824,315","1,440,695","312,575","728,260","250,075","43,220","18,915","2,150,275","1,212,295","224,585","452,430","195,130","33,880","14,290"
New Hampshire,89.4,2.0,4.3,3.5,0.7,0.0,90.7,1.7,3.6,3.2,0.7,0.0,90.7,1.9,3.8,2.7,0.7,0.0,92.2,1.5,3.1,2.4,0.7,0.0,"1,379,610","1,233,085","27,835","58,655","47,820","9,275",325,"1,123,420","1,018,555","19,150","40,500","35,655","7,700",270,"1,346,440","1,221,520","25,065","50,915","36,875","9,175",320,"1,093,455","1,007,930","16,775","33,565","25,760","7,605",270
New Jersey,53.9,13.6,21.2,10.6,0.3,0.0,56.4,13.3,19.4,10.4,0.3,0.0,58.1,14.0,18.5,8.7,0.4,0.0,61.6,13.8,16.0,8.1,0.4,0.0,"9,249,065","4,987,725","1,257,620","1,963,425","984,305","32,015","2,335","7,233,500","4,078,830","960,180","1,404,250","751,635","25,015","1,935","8,341,990","4,848,205","1,171,835","1,544,320","723,860","31,185","2,120","6,420,960","3,953,090","885,550","1,027,810","517,890","24,250","1,745"
New Mexico,36.3,2.4,49.8,2.0,9.4,0.1,40.2,2.3,46.3,2.0,9.0,0.1,37.9,2.4,48.1,1.6,9.9,0.0,42.4,2.3,44.0,1.5,9.6,0.1,"2,112,465","767,075","50,230","1,051,625","41,465","197,935","1,190","1,638,985","658,915","37,440","759,460","32,040","147,845","1,085","2,004,620","759,975","47,170","964,695","31,120","197,890","1,000","1,538,095","652,100","35,160","676,965","23,025","147,795",950
