District,Code,Total Population by Race,,,,,,Voting Age Population by Race,,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi
Nationwide,USA,60.9,12.4,18.0,5.7,0.7,2.4,63.8,12.1,15.9,5.9,0.6,1.7,64.3,12.8,15.3,4.5,0.7,2.5,68.2,12.5,12.4,4.5,0.7,1.7,"324,697,665","197,659,350","40,247,560","58,479,385","18,483,755","2,174,570","7,653,045","251,268,545","160,300,110","30,317,060","40,022,700","14,838,040","1,608,785","4,181,850","302,533,855","194,593,695","38,658,380","46,200,830","13,465,905","2,162,610","7,452,435","230,960,104","157,518,020","28,930,185","28,606,475","10,289,630","1,598,020","4,017,774"
Alabama's 1st,AL-01,65.2,27.5,3.2,1.5,1.1,1.5,67.5,26.0,2.7,1.5,1.1,1.2,65.8,27.8,2.6,1.2,1.1,1.5,68.3,26.3,2.0,1.1,1.1,1.2,"710,130","463,195","195,190","22,915","10,620","7,600","10,610","547,330","369,585","142,505","15,005","8,080","5,820","6,335","699,980","460,860","194,485","18,325","8,140","7,600","10,570","538,420","367,555","141,810","10,985","5,950","5,820","6,300"
Alabama's 2nd,AL-02,61.5,31.2,3.7,1.2,0.4,1.9,64.0,30.2,2.9,1.3,0.4,1.2,62.3,31.7,3.0,0.7,0.4,1.9,64.9,30.7,2.0,0.7,0.4,1.3,"679,690","418,085","212,365","25,465","8,315","2,430","13,030","525,975","336,430","159,020","15,370","6,585","2,020","6,550","668,240","416,260","211,880","19,940","4,830","2,425","12,905","516,005","334,800","158,600","10,565","3,560","2,015","6,465"
Alabama's 3rd,AL-03,67.6,25.5,3.1,1.9,0.3,1.6,69.3,25.0,2.5,1.8,0.3,1.1,68.7,25.9,2.5,1.0,0.3,1.7,70.6,25.4,1.8,0.8,0.3,1.1,"708,885","479,110","180,820","22,160","13,215","1,930","11,650","553,255","383,495","138,250","13,900","9,840","1,545","6,225","695,135","477,250","179,775","17,535","7,085","1,930","11,560","540,935","381,805","137,270","9,705","4,475","1,545","6,135"
Alabama's 4th,AL-04,83.4,7.0,6.6,0.6,0.6,1.7,85.8,6.9,4.7,0.6,0.7,1.3,85.6,7.1,4.5,0.4,0.7,1.8,88.4,7.0,2.2,0.4,0.7,1.3,"684,745","571,390","47,905","45,280","4,075","4,360","11,735","528,730","453,760","36,505","25,100","3,110","3,600","6,655","665,990","569,765","47,170","30,155","2,820","4,360","11,720","511,775","452,235","35,895","11,320","2,085","3,600","6,640"
Alabama's 5th,AL-05,72.5,17.6,5.2,1.8,0.6,2.3,74.5,17.3,4.0,1.8,0.6,1.8,73.9,17.8,3.9,1.4,0.6,2.3,76.3,17.5,2.5,1.3,0.6,1.8,"720,360","522,225","126,790","37,585","13,005","4,215","16,540","562,515","419,050","97,060","22,725","10,250","3,455","9,975","703,210","519,995","125,365","27,645","9,810","4,185","16,210","546,480","417,040","95,765","13,420","7,185","3,430","9,640"
Alabama's 6th,AL-06,75.9,15.7,4.8,1.8,0.2,1.6,78.0,15.2,3.7,1.7,0.2,1.1,77.7,15.9,3.3,1.2,0.2,1.6,80.2,15.5,1.9,1.1,0.2,1.0,"704,765","535,210","110,520","34,105","12,365","1,220","11,345","540,315","421,590","82,315","20,150","9,435","1,125","5,700","685,085","532,645","109,125","22,875","8,140","1,220","11,080","522,720","419,230","81,190","10,125","5,605","1,125","5,445"
Alabama's 7th,AL-07,31.7,63.1,3.2,1.0,0.2,1.0,34.5,61.0,2.6,1.0,0.1,0.8,32.1,64.2,2.0,0.6,0.2,1.0,35.1,62.3,1.2,0.5,0.2,0.7,"667,650","211,455","421,025","21,110","6,625","1,025","6,410","521,765","180,060","318,465","13,330","5,180",775,"3,955","653,295","209,805","419,450","12,870","3,890","1,025","6,255","508,770","178,445","317,080","5,900","2,770",775,"3,800"
Alaska's At-Large,AK-AL,60.9,3.1,7.0,7.4,14.4,7.2,64.7,3.2,6.1,7.4,13.2,5.3,62.4,3.0,6.7,5.7,14.9,7.4,66.6,3.1,5.7,5.4,13.7,5.5,"737,065","448,605","23,055","51,870","54,235","106,380","52,920","552,675","357,720","17,870","33,945","40,875","72,745","29,520","712,455","444,250","21,320","47,730","40,340","106,330","52,485","531,000","353,435","16,695","30,340","28,700","72,700","29,130"
Arizona's 1st,AZ-01,48.4,2.3,23.1,1.8,22.2,2.3,53.2,2.4,20.6,1.9,20.3,1.7,49.4,2.3,21.7,1.3,22.9,2.3,54.6,2.4,18.7,1.4,21.1,1.7,"762,580","368,865","17,660","176,100","13,360","169,295","17,300","583,460","310,135","13,740","120,235","11,270","118,430","9,650","737,835","364,765","17,280","159,895","9,650","169,245","17,000","560,380","306,145","13,500","104,905","7,940","118,380","9,510"
