District,Code,Total Population by Race,,,,,,Voting Age Population by Race,,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi
Arizona's 2nd,AZ-02,60.6,3.8,28.8,3.3,1.0,2.6,64.7,3.7,25.3,3.5,0.9,1.9,63.0,3.7,27.2,2.5,1.0,2.7,67.7,3.6,23.0,2.6,1.0,2.0,"724,085","438,480","27,555","208,670","23,760","6,910","18,710","578,940","374,365","21,415","146,335","20,230","5,435","11,160","685,970","432,110","25,070","186,340","17,200","6,905","18,345","544,215","368,680","19,480","125,440","14,345","5,425","10,845"
Arizona's 3rd,AZ-03,26.4,4.4,62.7,2.0,3.2,1.3,30.7,4.5,58.4,2.3,3.0,1.1,29.3,4.8,59.2,1.7,3.6,1.4,35.3,5.1,52.8,1.9,3.5,1.3,"776,580","205,130","34,090","487,105","15,680","24,700","9,875","568,355","174,215","25,665","331,995","13,065","17,230","6,185","686,935","201,460","33,070","406,340","11,640","24,605","9,820","483,400","170,670","24,755","255,475","9,245","17,130","6,125"
Arizona's 4th,AZ-04,73.9,1.7,19.4,1.3,1.6,2.1,77.2,1.7,16.6,1.4,1.5,1.6,75.5,1.7,17.9,1.1,1.7,2.2,79.2,1.7,14.7,1.1,1.6,1.6,"786,250","581,245","13,130","152,215","10,380","12,595","16,685","635,355","490,305","10,940","105,600","8,780","9,565","10,165","756,625","571,260","12,745","135,290","8,310","12,535","16,485","606,825","480,485","10,550","89,365","6,935","9,505","9,985"
Arizona's 5th,AZ-05,69.7,3.5,18.5,5.0,0.9,2.4,72.9,3.4,16.2,5.1,0.9,1.5,71.9,3.5,17.1,4.0,1.0,2.5,75.8,3.4,14.3,3.8,1.0,1.6,"820,920","572,130","28,445","151,460","41,140","7,640","20,105","609,440","444,255","20,650","98,575","31,025","5,710","9,225","782,050","562,235","27,225","134,100","31,010","7,610","19,870","573,405","434,870","19,655","82,230","21,920","5,690","9,040"
Arizona's 6th,AZ-06,70.7,2.8,17.3,5.2,1.6,2.4,74.5,2.7,14.7,5.1,1.4,1.6,74.5,2.9,15.0,3.3,1.7,2.6,79.3,2.8,11.6,3.1,1.5,1.7,"792,370","560,285","22,185","137,355","40,910","12,410","19,225","633,750","472,405","16,870","92,885","32,450","9,090","10,050","733,850","546,950","21,310","110,035","24,565","12,115","18,875","580,220","460,175","16,130","67,065","18,270","8,845","9,735"
Arizona's 7th,AZ-07,20.2,9.4,64.0,2.5,2.1,1.8,24.8,9.5,59.4,2.8,2.0,1.4,24.0,10.6,58.5,2.1,2.5,2.1,31.7,11.6,49.6,2.6,2.6,1.8,"811,870","164,325","76,340","519,400","20,215","17,045","14,545","568,030","140,800","54,075","337,390","16,090","11,490","8,185","665,105","159,620","70,770","389,385","14,260","16,910","14,160","431,440","136,935","50,165","214,005","11,055","11,405","7,875"
Arizona's 8th,AZ-08,68.2,4.4,20.4,4.0,0.7,2.4,72.2,4.1,17.2,4.1,0.7,1.7,69.7,4.4,19.5,3.2,0.7,2.4,74.2,4.2,15.9,3.2,0.8,1.7,"790,490","538,865","34,430","161,440","31,545","5,620","18,590","614,585","443,585","25,450","105,785","25,000","4,435","10,330","759,100","529,335","33,435","147,955","24,560","5,620","18,195","585,835","434,920","24,755","92,915","18,840","4,430","9,975"
Arizona's 9th,AZ-09,55.8,5.8,27.4,5.7,2.6,2.7,60.1,5.7,23.6,6.1,2.4,1.9,60.1,6.1,24.5,3.6,2.9,2.9,65.8,6.1,19.6,3.6,2.7,2.1,"785,165","437,850","45,715","214,925","44,755","20,670","21,250","623,045","374,740","35,735","147,305","38,075","15,115","12,075","711,920","427,625","43,525","174,075","25,365","20,650","20,680","554,725","365,235","33,960","108,795","20,070","15,105","11,560"
Arkansas' 1st,AR-01,75.8,17.2,3.5,0.6,0.3,2.5,78.1,16.3,2.8,0.6,0.4,1.8,76.6,17.3,2.8,0.4,0.3,2.5,79.1,16.4,1.9,0.4,0.4,1.9,"721,415","546,980","124,235","25,165","4,505","2,460","18,070","553,975","432,740","90,080","15,485","3,480","1,965","10,225","712,785","545,980","123,590","19,720","3,130","2,460","17,905","546,200","431,825","89,470","10,585","2,230","1,965","10,125"
Arkansas' 2nd,AR-02,68.0,22.6,5.2,1.7,0.3,2.1,70.9,21.4,4.2,1.7,0.3,1.4,69.4,23.1,3.9,1.2,0.3,2.1,72.7,22.0,2.5,1.1,0.3,1.4,"762,615","518,400","172,680","39,980","13,180","2,400","15,975","585,315","415,155","125,540","24,390","10,215","1,835","8,180","743,145","515,450","171,610","29,015","8,775","2,400","15,895","566,985","412,340","124,490","14,115","6,085","1,835","8,120"
Arkansas' 3rd,AR-03,74.9,3.0,14.4,4.0,1.0,2.7,78.3,2.9,12.0,3.8,1.1,2.0,79.8,3.1,10.8,2.4,1.1,2.8,84.5,3.0,7.1,2.1,1.1,2.1,"807,400","604,530","24,210","116,585","32,145","7,975","21,955","607,005","475,400","17,320","72,610","23,205","6,415","12,055","754,460","601,750","23,535","81,515","18,280","7,975","21,405","559,605","472,985","16,810","39,970","11,750","6,415","11,675"
Arkansas' 4th,AR-04,71.5,19.3,6.0,0.7,0.7,1.8,74.1,18.6,4.6,0.7,0.6,1.3,72.9,19.7,4.4,0.5,0.7,1.8,75.9,19.1,2.6,0.5,0.7,1.3,"707,935","505,965","136,940","42,400","5,225","4,875","12,530","548,790","406,610","102,160","25,260","4,040","3,565","7,155","692,675","504,850","136,620","30,175","3,720","4,875","12,435","534,525","405,540","101,885","13,845","2,630","3,565","7,060"
California's 1st,CA-01,76.5,1.5,13.9,3.0,1.5,3.6,79.2,1.6,12.0,2.9,1.4,2.8,78.2,1.5,12.5,2.6,1.5,3.7,81.3,1.6,10.3,2.4,1.5,2.9,"706,830","540,910","10,325","98,300","21,410","10,290","25,595","566,770","448,910","8,895","68,240","16,610","8,170","15,945","685,870","536,440","10,125","85,820","17,860","10,290","25,335","546,800","444,695","8,700","56,210","13,340","8,170","15,685"
California's 2nd,CA-02,71.2,1.4,17.6,4.1,1.9,3.8,74.6,1.5,15.0,4.2,1.8,2.9,74.9,1.5,14.0,3.5,2.0,4.1,79.2,1.6,10.6,3.6,1.9,3.1,"716,095","509,525","10,380","126,385","29,020","13,360","27,425","573,870","428,020","8,845","86,155","24,345","10,145","16,360","665,860","498,915","9,845","93,365","23,315","13,255","27,165","528,115","418,365","8,315","56,175","19,010","10,095","16,155"
California's 3rd,CA-03,46.9,6.0,30.1,11.9,0.7,4.4,50.4,6.4,26.4,12.8,0.7,3.4,51.0,6.5,26.8,10.3,0.7,4.7,56.0,7.1,21.6,10.9,0.8,3.7,"742,330","348,345","44,640","223,710","88,220","4,875","32,540","568,170","286,565","36,175","149,830","72,610","3,925","19,065","672,605","342,740","43,740","180,510","68,980","4,775","31,860","502,385","281,380","35,440","108,590","54,610","3,865","18,500"
California's 4th,CA-04,75.4,1.4,13.6,5.6,0.7,3.4,78.0,1.4,11.9,5.6,0.7,2.5,77.1,1.4,12.7,4.7,0.7,3.5,80.1,1.4,10.6,4.6,0.7,2.6,"741,885","559,360","10,140","100,870","41,225","4,990","25,300","587,625","458,405","8,235","69,645","32,665","3,825","14,850","716,155","551,815","9,935","90,725","33,690","4,930","25,060","563,580","451,365","8,025","59,970","25,810","3,765","14,645"
California's 5th,CA-05,50.0,6.2,28.3,11.6,0.4,3.6,54.3,6.2,24.1,12.2,0.4,2.8,54.4,6.6,24.0,10.7,0.4,3.9,60.1,6.7,18.3,11.3,0.4,3.1,"727,125","363,630","45,015","205,635","84,275","2,685","25,885","578,480","314,175","35,960","139,145","70,755","2,240","16,205","657,005","357,290","43,355","157,600","70,555","2,685","25,520","512,420","308,035","34,415","93,740","58,130","2,240","15,860"
California's 6th,CA-06,36.9,12.2,28.3,17.0,0.4,5.2,40.4,12.2,25.3,17.8,0.4,3.9,39.1,13.4,26.0,15.8,0.4,5.2,43.8,13.6,21.6,16.4,0.5,4.0,"760,830","280,460","92,795","215,675","129,510","2,950","39,440","573,600","231,700","69,835","145,135","102,195","2,535","22,200","677,585","265,100","90,970","176,010","107,110","2,930","35,465","500,150","219,315","68,230","108,240","81,860","2,515","19,990"
California's 7th,CA-07,52.3,7.1,17.7,16.9,0.4,5.5,56.0,7.3,15.3,17.1,0.4,4.0,54.7,7.5,16.9,15.1,0.4,5.4,59.0,7.7,14.1,14.9,0.4,3.9,"751,395","393,355","53,575","133,290","127,200","2,715","41,260","577,625","323,300","42,015","88,415","98,565","2,195","23,135","697,700","381,320","52,225","118,115","105,370","2,715","37,955","530,370","313,095","40,765","74,535","78,915","2,195","20,865"
California's 8th,CA-08,43.5,7.6,41.9,3.5,0.9,2.7,48.5,7.3,37.4,3.9,0.9,2.0,46.0,8.1,39.2,2.9,0.9,2.9,52.5,7.9,33.3,3.2,1.0,2.1,"724,110","314,940","55,380","303,085","24,985","6,295","19,425","523,150","253,925","38,305","195,510","20,470","4,670","10,270","674,905","310,545","54,585","264,725","19,530","6,235","19,285","476,875","250,200","37,645","158,980","15,270","4,635","10,145"
California's 9th,CA-09,33.3,8.8,38.8,15.1,0.3,3.8,37.4,8.8,35.0,15.7,0.3,2.8,36.7,9.7,35.3,13.8,0.3,4.1,42.7,10.1,29.6,14.2,0.3,3.2,"768,195","255,575","67,860","297,905","115,755","2,260","28,840","561,055","209,605","49,610","196,340","88,045","1,640","15,815","684,645","251,600","66,620","241,765","94,290","2,220","28,150","483,310","206,155","48,595","143,190","68,495","1,595","15,280"
California's 10th,CA-10,41.5,3.2,44.0,7.9,0.4,3.0,46.0,3.3,39.3,8.5,0.4,2.5,45.3,3.5,40.3,7.3,0.5,3.1,51.8,3.7,33.5,7.8,0.5,2.6,"751,615","312,200","24,270","330,545","59,290","3,055","22,255","548,905","252,560","18,165","215,585","46,690","2,405","13,500","672,480","304,885","23,825","271,145","48,950","3,045","20,630","475,550","246,410","17,735","159,465","37,115","2,395","12,430"
California's 11th,CA-11,45.6,7.8,27.1,14.9,0.2,4.4,48.5,8.2,23.9,15.9,0.2,3.3,50.3,8.6,22.6,13.4,0.2,4.9,54.9,9.2,17.7,14.2,0.2,3.7,"761,070","346,855","59,580","206,405","113,320","1,310","33,600","593,325","287,765","48,435","142,035","94,180","1,195","19,715","661,580","332,835","56,885","149,800","88,400","1,300","32,360","502,065","275,825","46,120","88,935","71,290","1,190","18,705"
California's 12th,CA-12,43.1,5.2,14.7,32.6,0.2,4.2,44.7,5.1,13.5,33.6,0.2,3.0,45.7,5.8,13.1,30.7,0.2,4.6,47.9,5.7,11.4,31.6,0.2,3.2,"762,625","328,395","39,580","112,445","248,650","1,540","32,015","662,045","295,875","33,495","89,050","222,315","1,310","20,000","667,300","304,915","38,375","87,415","204,590","1,530","30,475","570,885","273,170","32,295","65,190","180,390","1,295","18,545"
California's 13th,CA-13,34.6,16.6,22.2,21.4,0.3,4.9,37.0,16.7,19.3,23.0,0.4,3.6,38.0,18.3,18.6,19.3,0.3,5.4,41.4,18.7,14.7,20.9,0.4,4.0,"759,825","263,050","126,345","168,355","162,510","2,495","37,070","617,945","228,705","102,930","119,380","142,425","2,180","22,325","659,635","250,760","120,720","122,690","127,575","2,295","35,595","524,305","217,180","97,795","76,890","109,345","2,050","21,045"
California's 14th,CA-14,34.0,2.7,23.5,35.9,0.1,3.8,35.8,2.9,21.3,37.3,0.1,2.5,37.5,3.0,21.1,34.0,0.2,4.2,40.4,3.3,18.0,35.3,0.2,2.8,"753,405","256,500","20,555","176,890","270,195","1,005","28,260","606,385","217,085","17,665","129,445","226,465",790,"14,935","642,620","240,830","19,390","135,675","218,430",985,"27,310","502,135","203,040","16,800","90,240","177,170",770,"14,115"
California's 15th,CA-15,32.3,5.4,22.1,35.8,0.3,4.1,35.0,5.6,20.2,36.0,0.3,2.9,36.5,6.1,21.1,31.5,0.3,4.5,40.8,6.6,18.2,30.9,0.3,3.3,"779,710","251,870","42,100","172,705","279,045","2,155","31,835","597,720","208,945","33,545","120,885","215,045","1,725","17,575","662,785","241,690","40,595","139,560","208,965","2,115","29,860","490,695","200,165","32,190","89,160","151,395","1,700","16,085"
California's 16th,CA-16,22.1,5.3,61.5,8.9,0.5,1.7,26.1,5.7,56.9,9.3,0.6,1.4,25.5,6.2,57.1,8.7,0.6,2.0,32.0,7.1,49.3,9.1,0.7,1.8,"731,655","161,505","38,475","450,080","65,480","3,500","12,615","511,375","133,355","29,210","290,775","47,730","2,915","7,390","620,720","158,065","38,225","354,640","53,955","3,490","12,345","406,925","130,095","29,005","200,605","37,195","2,900","7,125"
California's 17th,CA-17,22.6,2.5,15.9,55.8,0.2,3.1,24.7,2.4,14.5,56.1,0.2,2.2,27.1,3.0,17.0,48.8,0.3,3.8,31.2,3.1,15.0,47.7,0.3,2.8,"779,960","175,945","19,140","124,180","434,940","1,705","24,050","616,420","152,095","15,055","89,115","345,565","1,250","13,340","590,285","160,050","17,745","100,230","287,990","1,685","22,585","442,735","138,220","13,735","66,270","210,970","1,250","12,290"
California's 18th,CA-18,53.5,2.0,16.3,24.1,0.2,4.0,56.3,2.0,14.6,24.3,0.2,2.6,58.6,2.1,14.4,20.3,0.2,4.4,63.1,2.1,11.9,19.8,0.2,3.0,"741,965","397,020","14,730","120,860","178,505","1,505","29,345","578,300","325,700","11,405","84,315","140,490","1,115","15,275","635,750","372,530","13,355","91,585","128,740","1,455","28,085","482,885","304,555","10,185","57,270","95,520","1,065","14,290"
California's 19th,CA-19,25.3,2.6,39.8,29.1,0.2,3.1,28.0,2.8,35.8,30.8,0.2,2.3,28.6,2.8,36.9,28.0,0.2,3.5,32.8,3.2,31.2,29.9,0.2,2.7,"758,830","191,775","19,700","302,050","220,580","1,280","23,445","583,015","163,380","16,555","208,990","179,415","1,095","13,580","644,665","184,090","18,340","238,095","180,280","1,250","22,610","475,550","156,090","15,255","148,330","141,970","1,065","12,840"
California's 20th,CA-20,36.6,1.8,53.3,5.4,0.2,2.7,41.9,2.1,47.2,6.2,0.2,2.3,43.4,2.2,45.8,5.2,0.3,3.2,52.4,2.6,35.6,6.1,0.3,2.9,"737,430","270,150","13,600","392,990","39,485","1,525","19,680","557,575","233,860","11,520","263,325","34,480","1,370","13,020","606,785","263,310","13,355","278,025","31,255","1,525","19,315","433,850","227,320","11,275","154,475","26,650","1,370","12,760"
California's 21st,CA-21,16.6,3.6,74.8,3.3,0.5,1.2,19.5,4.1,70.9,3.8,0.5,1.2,20.4,4.5,69.7,3.3,0.6,1.6,26.7,5.6,61.5,4.0,0.6,1.7,"713,135","118,095","25,630","533,670","23,500","3,335","8,905","494,765","96,640","20,260","350,865","18,630","2,330","6,040","563,555","115,195","25,195","392,545","18,465","3,300","8,855","354,405","94,460","19,855","217,815","14,000","2,295","5,980"
California's 22nd,CA-22,37.8,2.9,48.4,8.3,0.4,2.1,42.7,2.9,43.5,8.7,0.5,1.7,41.3,3.2,45.2,7.6,0.5,2.3,48.1,3.3,38.3,8.1,0.5,1.8,"763,695","288,805","22,150","370,005","63,230","3,370","16,135","546,145","233,075","15,885","237,700","47,735","2,525","9,225","689,120","284,610","21,745","311,205","52,620","3,365","15,575","477,485","229,435","15,585","182,780","38,465","2,520","8,700"
California's 23rd,CA-23,45.3,6.2,39.9,5.4,0.6,2.5,49.8,6.2,35.5,5.8,0.6,2.1,48.4,6.6,37.1,4.5,0.7,2.7,54.4,6.7,31.2,4.7,0.7,2.3,"743,055","336,865","45,890","296,745","40,160","4,650","18,745","539,925","268,945","33,275","191,585","31,175","3,340","11,605","688,210","333,280","45,160","255,540","31,030","4,635","18,565","488,850","265,715","32,680","152,545","23,140","3,330","11,440"
California's 24th,CA-24,54.2,1.8,36.4,4.8,0.4,2.3,59.0,2.0,31.3,5.3,0.5,2.0,59.8,2.0,31.1,4.1,0.5,2.6,66.5,2.2,24.0,4.6,0.6,2.2,"735,980","399,255","13,490","267,825","35,040","3,280","17,090","585,160","345,175","11,615","183,140","30,955","2,840","11,435","654,340","391,080","13,115","203,285","26,830","3,280","16,750","507,815","337,570","11,270","121,820","23,215","2,840","11,100"
California's 25th,CA-25,40.9,7.7,39.7,8.6,0.4,2.7,45.0,7.5,35.8,9.2,0.3,2.1,43.2,8.2,37.3,7.9,0.4,2.9,48.5,8.2,32.2,8.4,0.4,2.3,"714,475","291,895","54,900","283,915","61,585","2,615","19,565","528,575","237,755","39,840","189,230","48,860","1,795","11,095","661,285","285,670","54,180","246,985","52,430","2,615","19,405","478,665","232,170","39,200","154,155","40,380","1,795","10,965"
California's 26th,CA-26,43.3,1.8,45.4,6.9,0.2,2.4,47.6,1.9,40.9,7.5,0.3,1.8,48.1,2.0,40.7,6.2,0.3,2.6,54.5,2.2,34.2,6.8,0.3,2.0,"725,555","314,245","13,090","329,070","50,185","1,680","17,285","554,485","263,795","10,670","226,850","41,725","1,430","10,015","640,180","308,200","12,730","260,835","39,845","1,670","16,900","474,105","258,275","10,315","162,025","32,430","1,420","9,640"
California's 27th,CA-27,25.9,4.2,27.9,39.2,0.2,2.5,27.7,4.4,25.5,40.5,0.2,1.7,29.2,4.8,27.7,35.1,0.3,2.8,31.9,5.1,24.6,36.1,0.3,2.0,"714,775","185,290","30,290","199,710","280,100","1,585","17,800","576,860","159,595","25,340","147,010","233,465","1,420","10,030","611,070","178,545","29,570","169,505","214,565","1,565","17,320","481,445","153,550","24,720","118,200","174,020","1,395","9,560"
California's 28th,CA-28,55.6,2.9,24.5,13.7,0.2,3.1,57.5,3.0,23.1,13.8,0.2,2.4,58.4,3.2,22.3,12.5,0.2,3.4,61.2,3.4,20.1,12.5,0.2,2.7,"712,365","396,100","20,350","174,810","97,760","1,585","21,760","603,140","346,890","18,175","139,035","83,345","1,220","14,475","606,620","354,085","19,320","135,340","75,845","1,425","20,605","504,320","308,505","17,200","101,235","62,845","1,120","13,415"
California's 29th,CA-29,19.2,3.7,68.1,7.8,0.1,1.1,21.9,4.0,64.2,8.7,0.1,1.0,22.7,4.4,63.3,8.0,0.1,1.4,27.6,5.1,56.4,9.3,0.2,1.4,"720,200","138,040","26,420","490,340","56,345",810,"8,245","550,945","120,795","21,980","353,710","47,985",790,"5,685","564,905","128,290","24,995","357,730","45,030",790,"8,070","404,535","111,795","20,675","228,275","37,500",770,"5,520"
California's 30th,CA-30,50.1,4.8,28.8,13.0,0.1,3.1,52.8,4.8,26.6,13.5,0.2,2.2,53.6,5.3,26.0,11.5,0.2,3.4,57.6,5.4,22.7,11.9,0.2,2.3,"767,590","384,645","36,720","221,145","99,970","1,100","24,010","618,490","326,570","29,600","164,415","83,515",975,"13,415","671,095","359,930","35,315","174,590","77,450","1,095","22,715","528,145","303,980","28,325","119,810","62,800",975,"12,255"
California's 31st,CA-31,25.9,10.1,53.4,7.9,0.2,2.4,29.2,10.7,49.4,8.5,0.2,2.1,28.2,11.2,51.0,6.8,0.2,2.6,32.8,12.1,45.4,7.2,0.2,2.3,"748,360","194,000","75,740","399,895","59,175","1,585","17,965","552,785","161,170","59,020","272,965","46,975","1,185","11,470","669,645","189,090","74,750","341,255","45,405","1,575","17,570","478,850","156,925","58,050","217,320","34,255","1,175","11,125"
California's 32nd,CA-32,15.2,2.4,62.0,18.9,0.2,1.3,17.3,2.6,58.3,20.5,0.2,1.1,17.5,2.8,60.6,17.4,0.2,1.4,20.8,3.1,55.4,19.1,0.3,1.3,"712,870","108,585","17,010","442,005","134,870","1,405","8,995","555,590","96,105","14,445","323,645","114,150","1,290","5,955","603,445","105,895","16,645","365,645","105,155","1,375","8,730","450,815","93,615","14,115","249,920","86,175","1,260","5,730"
California's 33rd,CA-33,64.1,3.2,13.0,15.1,0.2,4.4,66.2,3.2,12.3,15.2,0.2,3.0,66.5,3.4,12.6,12.6,0.2,4.7,69.2,3.3,11.7,12.5,0.2,3.2,"711,555","456,010","22,915","92,465","107,530","1,230","31,405","577,875","382,615","18,280","71,065","87,575","1,000","17,340","650,150","432,650","22,005","81,745","82,200","1,180","30,370","522,505","361,570","17,495","60,940","65,085",950,"16,465"
California's 34th,CA-34,11.6,4.7,62.5,19.4,0.2,1.5,13.4,5.4,57.9,21.6,0.3,1.5,14.9,6.2,57.9,18.7,0.3,1.9,18.4,7.7,49.8,21.8,0.4,1.9,"733,630","85,455","34,620","458,165","142,290","1,830","11,270","584,735","78,230","31,450","338,440","126,560","1,570","8,485","535,825","79,990","33,390","310,280","100,170","1,750","10,245","396,220","72,935","30,355","197,395","86,475","1,490","7,570"
California's 35th,CA-35,13.8,5.9,70.6,7.7,0.3,1.7,16.1,6.3,67.2,8.6,0.3,1.6,16.0,6.9,67.8,7.1,0.3,2.0,19.7,7.7,62.3,8.0,0.4,1.9,"747,560","102,990","44,395","527,765","57,740","2,160","12,510","552,685","88,900","34,575","371,270","47,705","1,665","8,570","626,615","99,970","43,180","424,760","44,350","2,110","12,245","437,710","86,230","33,545","272,905","35,100","1,620","8,310"
California's 36th,CA-36,40.7,4.4,48.9,3.6,0.8,1.6,46.3,4.3,43.7,3.8,0.7,1.3,44.6,4.9,44.8,3.1,0.9,1.8,52.0,4.9,37.6,3.2,0.8,1.5,"748,445","304,925","33,000","365,815","26,970","5,675","12,060","583,975","270,105","25,030","255,045","21,965","4,155","7,675","661,430","294,965","32,440","296,180","20,505","5,665","11,675","500,925","260,465","24,495","188,330","16,195","4,140","7,300"
