District,Biden,Trump,Clinton,Trump,Obama,Romney,Bachelor's,Rank,White Bachelor's,Rank,Median Income,Rank,White Income,Rank
MT-AL,40.6,56.9,35.9,56.5,41.7,55.4,32.0,180,33.2,235,"$54,970",289,"$56,501",349
NC-01,53.9,45.3,54.7,43.6,57.1,42.4,19.0,404,25.2,356,,,,
NC-02,64.3,34.0,60.3,35.9,57.0,41.7,53.6,23,61.3,26,,,,
NC-03,37.7,60.9,36.5,61.0,40.5,58.6,23.2,335,26.7,334,,,,
NC-04,66.6,32.2,65.2,31.9,63.2,35.7,46.5,42,54.3,47,,,,
NC-05,31.6,67.4,30.3,67.2,35.6,63.1,19.9,395,20.9,414,,,,
NC-06,61.6,37.2,59.4,37.9,58.4,40.7,35.2,141,43.3,113,,,,
NC-07,40.7,58.1,38.7,58.6,41.9,57.2,27.5,258,31.5,258,,,,
NC-08,46.1,52.5,44.1,53.2,47.3,51.8,25.6,292,27.2,319,,,,
NC-09,45.5,53.4,43.3,53.7,44.2,54.9,36.7,123,44.0,109,,,,
NC-10,31.2,67.7,29.6,67.8,34.1,64.9,22.9,341,24.3,377,,,,
NC-11,43.3,55.4,39.9,57.2,43.5,55.2,30.6,208,32.2,248,,,,
NC-12,70.1,28.5,67.3,29.5,66.5,32.6,40.6,87,54.2,48,,,,
NC-13,31.8,67.1,30.6,67.0,34.3,64.7,19.6,400,21.4,406,,,,
ND-AL,31.9,65.5,27.7,64.1,38.9,58.7,30.0,220,31.2,264,"$64,894",179,"$68,524",211
NE-01,41.3,56.3,36.2,57.5,40.8,57.5,32.0,183,33.5,228,"$61,831",203,"$64,370",248
NE-02,52.2,45.7,46.0,48.2,45.7,52.8,40.5,88,45.1,104,"$68,876",148,"$76,961",148
NE-03,22.4,75.6,20.0,74.9,27.8,70.2,22.6,347,24.3,378,"$54,443",303,"$55,827",356
NH-01,52.2,46.2,46.6,48.2,50.2,48.6,37.6,113,37.7,175,"$77,691",86,"$78,991",135
NH-02,53.5,44.8,48.6,46.2,54.2,44.5,36.5,125,36.1,194,"$75,814",98,"$76,139",160
NJ-01,62.1,36.6,60.6,36.1,65.1,33.8,32.1,177,35.0,206,"$73,106",118,"$83,800",106
NJ-02,47.9,50.8,46.0,50.6,53.5,45.4,27.0,268,31.4,260,"$66,196",169,"$76,658",152
NJ-03,49.2,49.4,45.2,51.4,51.8,47.2,34.4,148,35.2,203,"$82,786",66,"$84,218",105
NJ-04,44.1,54.6,41.0,55.8,44.7,54.2,41.6,80,43.8,110,"$87,597",50,"$91,514",71
NJ-05,51.9,46.7,47.7,48.8,47.9,50.9,48.3,34,48.4,80,"$107,050",16,"$109,093",26
NJ-06,57.2,41.5,56.2,40.6,61.4,37.4,40.1,90,39.9,157,"$85,676",56,"$90,142",78
NJ-07,54.2,44.3,48.6,47.5,46.3,52.5,53.6,22,55.1,44,"$116,488",7,"$119,801",14
NJ-08,73.1,25.9,75.7,21.5,78.3,20.8,33.8,158,52.0,57,"$62,615",193,"$91,154",74
NJ-09,62.2,36.8,64.3,33.1,68.4,30.8,34.1,152,40.3,151,"$71,740",129,"$84,822",99
NJ-10,82.8,16.4,85.2,12.8,87.9,11.5,30.1,217,47.9,85,"$55,930",273,"$82,152",114
NJ-11,52.9,45.8,47.9,48.8,46.6,52.4,54.9,18,55.3,43,"$116,768",6,"$118,119",17
NJ-12,67.3,31.4,65.0,31.8,66.5,32.4,46.1,47,49.7,70,"$88,663",46,"$97,182",53
NM-01,60.2,37.4,51.6,35.1,55.3,39.6,33.5,162,48.1,82,"$52,434",326,"$62,332",273
NM-02,43.1,54.9,39.9,50.1,44.9,51.7,20.6,385,30.1,283,"$44,523",395,"$52,925",386
NM-03,57.7,40.1,51.8,36.7,57.5,38.7,27.4,259,42.7,125,"$52,097",334,"$63,740",255
NV-01,61.5,36.4,61.6,32.6,65.6,32.4,16.0,423,22.0,400,"$41,790",409,"$45,325",418
NV-02,43.6,53.6,39.7,52.0,44.8,52.9,26.9,272,30.6,277,"$64,378",184,"$68,119",214
NV-03,49.1,48.9,46.5,47.5,49.5,48.7,32.9,167,34.9,208,"$74,081",110,"$77,336",146
NV-04,50.9,47.0,49.5,44.6,54.4,43.7,21.3,368,26.3,342,"$60,844",216,"$67,773",218
NY-01,47.3,51.5,42.2,54.5,49.6,49.1,36.2,128,38.5,168,"$97,821",28,"$101,039",39
NY-02,47.4,51.4,43.9,53.0,51.6,47.2,31.8,186,36.0,196,"$103,141",21,"$107,698",27
NY-03,54.7,44.3,51.6,45.5,50.8,48.2,53.8,21,56.0,37,"$119,397",4,"$123,427",11
NY-04,55.6,43.4,53.4,43.8,56.3,42.8,42.8,66,50.4,68,"$109,180",14,"$119,484",15
NY-05,83.3,16.2,85.7,12.7,90.6,9.1,26.2,283,37.8,172,"$73,585",115,"$76,331",155
NY-06,61.8,37.4,65.1,32.1,67.8,31.0,36.7,121,43.4,112,"$66,981",164,"$75,127",168
NY-07,81.8,17.3,86.9,10.4,88.3,10.3,34.7,145,63.4,19,"$59,535",233,"$99,667",43
NY-08,82.9,16.5,84.6,13.5,89.3,10.1,33.7,160,55.6,41,"$54,878",292,"$79,406",133
NY-09,81.4,17.8,83.5,14.4,85.3,13.8,39.0,103,63.9,18,"$61,292",210,"$90,482",76
NY-10,76.1,22.9,78.3,18.8,73.6,25.0,61.6,6,71.4,8,"$96,313",31,"$109,574",24
NY-11,44.3,54.8,43.8,53.6,51.6,47.3,35.9,131,39.6,158,"$76,467",93,"$84,417",102
NY-12,84.1,14.8,83.3,13.5,76.9,21.5,72.8,1,79.8,1,"$109,752",12,"$124,832",9
NY-13,88.1,11.1,92.3,5.4,94.6,4.6,31.8,187,73.6,5,"$44,356",397,"$88,333",83
NY-14,73.3,25.9,77.7,19.8,80.7,18.3,26.8,275,41.4,136,"$59,940",227,"$71,191",191
NY-15,86.4,13.0,93.8,4.9,96.7,3.0,13.8,428,29.4,290,"$30,238",422,"$35,010",421
NY-16,75.3,23.8,75.1,22.5,73.7,25.5,40.1,91,57.7,34,"$72,901",120,"$103,713",35
NY-17,59.6,39.4,58.6,38.4,57.1,41.8,46.8,40,54.2,49,"$102,088",22,"$112,424",21
NY-18,51.8,46.8,47.1,49.0,51.4,47.1,36.1,129,39.4,160,"$87,977",49,"$93,974",62
NY-19,49.8,48.3,44.0,50.8,52.1,45.9,29.8,223,30.9,271,"$64,205",186,"$65,628",240
NY-20,59.3,38.7,54.0,40.5,59.2,38.8,38.7,106,40.8,147,"$68,970",146,"$74,791",170
NY-21,43.8,54.2,40.0,53.9,52.2,46.1,24.0,322,24.6,372,"$56,367",265,"$56,885",344
NY-22,43.2,54.7,39.3,54.8,48.8,49.2,25.2,297,25.6,348,"$55,593",281,"$57,495",336
NY-23,43.3,54.5,39.7,54.5,48.4,49.6,26.5,279,26.3,341,"$52,939",321,"$54,330",370
NY-24,53.4,44.4,48.9,45.3,57.0,41.1,31.1,200,32.6,243,"$59,948",226,"$64,070",252
NY-25,60.1,37.8,55.5,39.1,58.8,39.4,38.5,108,44.1,108,"$59,437",235,"$68,999",208
NY-26,62.6,35.6,57.6,38.0,63.9,34.3,32.0,185,35.2,205,"$51,118",344,"$59,170",313
NY-27,41.1,56.8,35.2,59.7,42.9,55.3,31.3,197,31.8,254,"$67,324",159,"$68,411",212
OH-01,47.7,50.9,44.6,51.2,46.3,52.4,35.4,138,38.9,163,"$60,936",214,"$72,456",181
OH-02,42.9,55.6,39.7,55.8,43.7,54.7,32.1,178,32.8,239,"$59,072",238,"$61,654",284
OH-03,70.0,28.4,67.0,28.6,69.7,28.9,28.7,239,33.9,223,"$49,259",363,"$58,011",330
OH-04,31.2,67.1,30.7,64.3,42.0,56.0,18.6,406,18.7,425,"$55,914",274,"$57,745",334
OH-05,36.7,61.6,34.6,59.7,44.1,53.9,26.9,273,26.9,330,"$61,491",207,"$62,542",267
OH-06,26.5,72.2,26.7,69.3,42.7,55.2,16.5,420,16.5,433,"$49,596",359,"$50,138",406
OH-07,33.2,65.3,32.8,62.5,44.2,53.7,20.8,379,21.1,411,"$57,080",256,"$58,928",319
OH-08,32.5,66.0,30.6,65.1,36.4,61.9,24.9,305,24.7,371,"$60,957",213,"$62,741",264
OH-09,58.8,39.7,58.7,36.5,67.6,30.9,22.7,345,26.1,343,"$44,841",393,"$51,838",398
OH-10,47.0,51.4,44.0,51.3,48.2,50.1,30.1,219,31.2,263,"$54,581",300,"$60,768",296
OH-11,79.8,19.2,80.5,17.0,82.7,16.5,27.4,260,42.7,123,"$38,997",416,"$59,113",315
OH-12,46.3,52.2,41.9,53.2,43.9,54.4,41.6,78,40.9,143,"$75,557",99,"$75,734",163
OH-13,51.0,47.6,51.1,44.6,62.9,35.4,23.1,336,24.4,373,"$46,479",384,"$50,228",405
OH-14,44.9,53.9,42.1,53.6,47.6,50.9,34.9,143,35.0,207,"$69,550",141,"$70,397",196
OH-15,42.2,56.3,39.9,55.3,46.3,51.9,32.3,173,31.6,256,"$66,311",168,"$66,772",228
OH-16,42.2,56.5,39.5,56.1,45.2,53.4,34.4,149,33.9,222,"$68,734",149,"$69,194",205
OK-01,37.3,60.1,32.7,61.4,34.2,65.8,30.5,211,34.5,213,"$56,654",262,"$62,472",270
OK-02,22.1,76.1,22.8,72.9,32.2,67.8,17.3,413,18.2,428,"$43,843",401,"$45,714",416
OK-03,23.1,74.6,20.9,73.6,26.1,73.9,22.8,343,24.7,369,"$52,968",320,"$55,141",363
OK-04,32.3,65.3,28.3,65.7,32.9,67.1,25.5,293,26.5,337,"$57,925",249,"$60,656",299
OK-05,45.9,51.5,39.8,53.2,40.8,59.2,30.9,203,36.7,190,"$53,381",315,"$62,217",278
OR-01,63.3,34.0,57.3,34.5,57.3,40.0,41.8,77,43.1,116,"$77,954",83,"$79,134",134
OR-02,42.1,55.6,36.4,56.5,40.5,56.8,25.4,295,27.2,320,"$54,215",305,"$55,337",361
OR-03,74.3,23.5,70.7,22.5,72.0,24.7,41.9,76,46.2,94,"$69,303",142,"$74,846",169
OR-04,50.7,46.7,46.1,46.0,51.7,45.0,27.1,265,27.4,315,"$51,593",338,"$52,468",392
OR-05,53.6,43.9,48.3,44.1,50.5,47.1,31.3,196,34.0,221,"$65,599",174,"$67,833",217
PA-01,52.4,46.6,49.1,47.1,50.2,48.6,41.6,79,41.9,133,"$88,592",47,"$91,302",73
PA-02,70.1,29.1,72.9,24.9,77.4,21.8,21.1,373,28.1,304,"$44,840",394,"$56,632",348
PA-03,91.3,8.1,90.9,7.0,91.7,7.6,39.6,98,69.7,9,"$47,425",378,"$79,923",128
PA-04,61.5,37.4,57.8,38.5,56.1,42.8,47.8,38,48.8,76,"$90,366",44,"$94,326",60
PA-05,65.1,34.0,62.6,34.4,63.4,35.7,37.6,114,42.7,124,"$69,294",143,"$84,862",98
PA-06,56.9,41.9,52.6,43.3,51.0,47.8,45.0,54,49.2,74,"$84,666",60,"$93,343",66
PA-07,51.8,47.0,48.7,47.6,52.9,45.9,29.8,224,32.8,240,"$66,511",167,"$72,409",182
PA-08,47.3,51.7,43.7,53.3,55.3,43.4,24.8,308,26.0,344,"$55,209",285,"$56,784",345
PA-09,34.1,64.5,31.0,65.0,41.2,57.2,21.2,372,21.6,404,"$59,656",231,"$60,471",300
PA-10,47.8,50.7,43.4,52.3,46.0,52.6,31.6,191,33.6,227,"$64,553",183,"$69,716",202
PA-11,38.3,60.2,34.7,60.5,38.0,60.5,26.4,282,27.1,322,"$67,309",160,"$70,081",200
PA-12,31.2,67.3,29.7,66.1,36.8,61.5,23.4,334,22.8,397,"$54,600",299,"$55,482",360
PA-13,27.2,71.6,25.5,71.2,32.1,66.6,20.0,392,20.2,422,"$54,869",293,"$55,622",357
PA-14,35.7,63.2,33.9,62.9,40.6,58.3,26.9,270,27.2,321,"$58,725",241,"$59,832",303
PA-15,27.5,71.2,26.5,69.8,35.7,62.6,20.3,390,20.3,420,"$51,555",340,"$51,734",399
PA-16,40.0,58.7,37.9,57.9,46.9,51.7,27.3,263,27.8,308,"$53,908",310,"$55,962",354
PA-17,50.7,48.0,46.8,49.4,47.2,51.7,41.3,82,41.2,140,"$68,938",147,"$70,602",194
PA-18,64.5,34.4,62.1,34.6,63.5,35.2,38.3,109,40.8,145,"$53,656",313,"$61,431",286
RI-01,63.9,34.6,60.5,34.9,66.2,32.2,33.9,157,38.5,169,"$61,499",206,"$70,087",199
RI-02,56.0,42.5,51.1,44.0,59.8,38.3,34.5,147,36.9,187,"$72,443",123,"$76,398",154
SC-01,46.1,52.1,40.4,53.5,40.2,58.3,40.1,92,46.1,95,"$70,496",136,"$80,219",124
SC-02,43.6,54.9,38.6,56.3,39.4,59.1,33.9,156,37.0,186,"$60,479",221,"$67,350",222
SC-03,30.5,68.1,29.0,67.0,33.9,64.5,22.5,350,25.2,357,"$48,872",367,"$53,847",376
SC-04,38.9,59.3,34.5,60.2,36.2,62.2,32.1,179,37.1,183,"$56,376",264,"$64,081",251
SC-05,41.0,57.6,38.8,57.3,43.6,55.1,24.4,315,27.9,307,"$52,860",324,"$61,126",290
SC-06,67.0,31.8,66.8,30.3,70.9,28.1,20.4,387,28.8,298,"$38,661",417,"$51,987",396
SC-07,40.2,58.8,39.1,58.0,44.4,54.5,21.3,367,25.2,358,"$46,265",387,"$53,731",377
SD-AL,35.6,61.8,31.7,61.5,39.9,57.9,28.8,238,30.7,276,"$58,275",243,"$61,746",283
TN-01,22.1,76.2,19.7,76.7,25.7,72.7,20.2,391,20.2,421,"$44,378",396,"$45,368",417
TN-02,34.5,63.6,29.7,65.1,30.9,67.3,31.2,199,31.6,255,"$55,006",288,"$57,817",333
TN-03,32.9,65.3,30.2,65.4,35.1,63.3,24.1,320,25.0,363,"$50,454",352,"$53,282",382
TN-04,30.7,67.5,27.4,68.6,33.1,65.3,23.6,328,23.9,385,"$56,177",268,"$58,055",329
TN-05,60.3,36.7,56.5,38.2,55.9,42.5,39.2,101,45.3,101,"$59,705",230,"$68,214",213
TN-06,25.6,72.7,23.7,72.6,29.5,69.1,23.0,337,22.9,396,"$55,785",277,"$56,455",350
TN-07,31.3,66.9,28.2,67.5,32.9,65.7,30.4,212,31.0,267,"$59,932",228,"$62,295",276
TN-08,33.2,65.4,30.7,66.3,32.9,66.1,29.4,230,31.0,270,"$59,200",236,"$64,120",250
TN-09,78.5,19.8,77.5,19.8,78.4,20.9,24.6,312,40.8,146,"$41,886",408,"$59,396",308
TX-01,27.2,71.6,25.3,72.2,27.5,71.6,21.3,369,25.5,351,"$51,435",341,"$58,632",323
TX-02,48.6,49.9,43.1,52.4,35.6,62.9,42.1,72,51.6,60,"$80,414",73,"$98,564",48
TX-03,48.7,49.8,40.6,54.8,34.2,64.3,54.4,19,55.3,42,"$96,905",30,"$103,363",36
TX-04,24.4,74.4,21.8,75.4,24.8,74.0,22.5,348,25.0,362,"$56,807",258,"$62,309",274
TX-05,37.9,60.9,34.3,62.7,34.4,64.5,20.3,389,24.7,366,"$54,138",308,"$61,297",288
TX-06,47.8,50.8,41.9,54.2,40.8,57.9,30.3,213,34.5,212,"$70,962",134,"$80,090",126
TX-07,53.6,45.1,48.5,47.1,38.6,59.9,49.4,30,62.6,20,"$75,925",97,"$100,316",40
TX-08,28.1,70.6,23.9,72.7,21.7,77.0,31.2,198,34.3,215,"$73,701",113,"$79,831",131
TX-09,75.7,23.3,79.3,18.0,78.0,21.1,24.9,303,45.8,97,"$49,160",364,"$62,199",280
TX-10,48.4,50.0,43.2,52.3,38.8,59.1,40.6,85,47.5,87,"$78,872",78,"$89,872",81
TX-11,19.7,79.1,19.1,77.8,19.6,79.2,21.4,364,27.4,317,"$59,444",234,"$62,209",279
TX-12,37.9,60.5,32.7,62.9,31.7,66.8,31.5,192,36.0,198,"$70,155",140,"$76,800",150
TX-13,19.4,79.2,16.9,79.9,18.5,80.2,20.9,377,25.3,355,"$53,065",319,"$57,920",331
TX-14,39.6,59.0,38.4,58.2,39.5,59.3,24.7,309,31.0,268,"$63,899",189,"$78,028",143
TX-15,50.4,48.5,56.7,40.0,57.4,41.5,20.3,388,32.5,244,"$46,341",386,"$70,601",195
TX-16,66.4,32.0,67.9,27.2,64.2,34.5,25.0,302,42.3,129,"$48,175",371,"$63,370",258
TX-17,43.6,54.6,38.8,56.3,37.7,60.4,31.4,195,37.6,179,"$55,054",287,"$63,458",257
TX-18,75.7,23.0,76.5,20.0,76.1,22.8,22.9,339,51.6,61,"$47,534",377,"$86,070",92
TX-19,26.3,72.2,23.5,72.5,25.0,73.6,23.0,338,30.8,273,"$51,646",337,"$59,245",311
TX-20,63.7,34.7,61.0,34.3,58.9,39.7,24.5,314,41.1,141,"$53,251",316,"$67,413",220
TX-21,47.9,50.6,42.5,52.5,37.9,59.8,46.4,44,51.4,63,"$72,376",125,"$79,877",129
TX-22,48.9,49.8,44.2,52.1,36.7,62.1,45.8,48,48.6,78,"$97,494",29,"$106,770",29
TX-23,48.5,50.3,49.8,46.4,48.1,50.7,22.7,346,40.5,149,"$55,961",272,"$81,091",117
TX-24,51.9,46.5,44.5,50.7,38.0,60.4,46.5,41,51.7,58,"$76,737",92,"$91,462",72
TX-25,44.4,54.0,40.2,55.1,37.8,59.9,38.9,105,42.2,131,"$73,970",111,"$80,257",123
TX-26,42.1,56.3,34.4,60.9,30.7,67.6,44.6,56,46.5,92,"$93,630",36,"$99,590",44
TX-27,37.5,61.2,36.5,60.1,38.2,60.5,20.0,394,28.7,299,"$55,480",282,"$65,231",245
TX-28,51.6,47.2,58.3,38.5,60.3,38.7,19.3,402,28.9,297,"$49,776",356,"$66,617",231
TX-29,65.9,32.9,71.1,25.4,65.9,33.0,10.5,433,21.4,407,"$45,648",388,"$52,521",391
TX-30,79.8,18.9,79.1,18.3,79.6,19.6,21.3,370,43.0,119,"$49,438",360,"$73,492",177
TX-31,47.6,50.4,40.8,53.5,38.3,59.6,35.8,133,40.0,155,"$73,594",114,"$80,825",119
TX-32,54.4,44.0,48.5,46.6,41.5,57.0,44.6,57,57.1,36,"$75,428",100,"$93,762",63
TX-33,73.0,25.6,72.9,23.7,72.0,27.1,10.9,432,24.2,379,"$43,456",402,"$51,178",402
TX-34,51.5,47.5,59.2,37.7,60.8,38.3,15.7,425,27.1,323,"$40,308",412,"$55,014",366
TX-35,67.7,30.5,64.1,30.5,63.0,34.6,22.0,356,37.7,174,"$50,978",346,"$63,109",260
TX-36,26.9,71.9,25.2,72.0,25.7,73.2,18.9,405,21.0,412,"$62,425",195,"$65,337",243
UT-01,31.6,64.2,22.4,49.7,20.4,77.4,30.6,210,33.2,234,"$71,181",132,"$74,387",172
UT-02,40.2,56.1,32.0,46.0,29.2,68.0,32.9,168,36.0,197,"$64,600",182,"$68,005",215
UT-03,35.2,60.3,23.3,47.2,19.5,78.3,42.0,75,44.3,107,"$75,334",101,"$78,856",138
UT-04,43.3,52.4,32.4,39.1,30.2,67.2,31.4,194,34.2,218,"$76,246",96,"$80,468",121
VA-01,47.0,51.4,41.2,53.6,43.4,55.3,37.0,116,40.0,154,"$88,716",45,"$92,736",68
VA-02,51.4,46.7,45.4,48.8,48.2,50.5,35.5,137,39.3,161,"$72,365",126,"$78,917",137
VA-03,67.2,31.2,63.6,31.9,67.6,31.3,27.0,266,33.0,236,"$55,857",276,"$69,010",206
VA-04,61.8,36.8,58.7,37.1,60.3,38.5,30.2,215,38.6,167,"$59,562",232,"$74,543",171
VA-05,45.1,53.6,42.3,53.4,45.9,52.5,28.6,245,32.4,247,"$56,316",266,"$62,505",269
VA-06,38.6,59.8,34.9,59.7,39.5,58.8,27.6,256,29.4,287,"$55,750",278,"$59,079",317
VA-07,49.8,48.7,44.0,50.5,44.1,54.6,40.0,94,43.2,114,"$80,108",74,"$85,905",93
VA-08,77.6,21.1,73.5,20.9,67.8,31.0,62.2,5,77.5,3,"$109,345",13,"$132,847",3
VA-09,28.4,70.4,27.3,68.8,34.9,63.1,21.0,376,20.7,418,"$45,131",389,"$46,084",415
VA-10,58.9,39.6,52.2,42.2,48.8,49.9,55.7,14,58.3,31,"$128,549",3,"$131,940",4
VA-11,70.3,28.3,66.9,27.5,62.5,36.3,56.5,12,67.5,13,"$114,483",9,"$131,075",5
VT-AL,66.4,30.8,56.7,30.3,67.0,31.2,38.0,111,38.0,170,"$61,973",201,"$62,770",263
WA-01,59.1,38.2,54.1,37.8,54.1,43.3,44.2,59,41.9,132,"$100,281",25,"$97,889",50
WA-02,62.1,35.1,56.9,34.8,59.2,38.0,32.5,172,33.4,232,"$71,932",127,"$73,171",179
WA-03,46.9,50.6,42.5,49.9,47.9,49.6,26.4,280,26.9,331,"$67,177",162,"$69,002",207
WA-04,39.6,57.8,35.1,57.9,37.9,59.7,21.2,371,27.6,311,"$57,974",247,"$65,608",241
WA-05,44.0,53.0,39.1,52.2,43.7,53.5,30.1,216,30.8,274,"$54,954",290,"$56,685",347
WA-06,57.4,39.6,51.8,39.5,56.1,41.2,30.8,204,32.6,242,"$66,050",171,"$68,859",209
WA-07,85.7,12.3,82.1,12.2,79.2,18.1,61.5,7,65.1,16,"$92,287",40,"$99,239",46
WA-08,52.0,45.5,47.7,44.7,49.7,48.1,35.2,140,35.4,202,"$88,043",48,"$89,883",80
WA-09,73.3,24.6,70.5,23.3,68.3,29.6,43.3,63,49.5,72,"$83,309",64,"$92,421",69
WA-10,56.2,40.7,51.3,39.9,56.3,41.1,28.6,243,30.9,272,"$68,184",154,"$71,388",190
WI-01,44.7,53.9,42.3,52.6,47.4,51.6,29.0,236,30.7,275,"$67,931",156,"$71,882",189
WI-02,69.4,29.2,65.8,29.0,68.3,30.5,42.5,68,43.2,115,"$69,278",144,"$72,316",186
WI-03,46.8,51.5,44.8,49.3,54.8,43.8,26.0,285,26.3,340,"$57,305",255,"$57,843",332
WI-04,76.2,22.6,74.0,21.8,75.3,23.8,28.2,248,41.8,134,"$45,083",391,"$60,675",298
WI-05,41.7,56.8,37.3,57.4,37.7,61.3,37.7,112,37.9,171,"$73,797",112,"$75,364",167
WI-06,41.6,56.8,38.8,55.7,45.8,53.1,26.5,278,27.0,327,"$61,752",205,"$62,426",272
WI-07,39.3,59.2,37.3,57.7,47.8,50.9,23.6,326,24.0,383,"$57,667",252,"$58,622",324
WI-08,41.3,57.2,38.6,56.2,47.6,51.3,26.7,277,27.4,313,"$62,561",194,"$64,180",249
WV-01,30.3,68.0,26.4,68.0,35.5,62.2,23.6,329,23.3,389,"$49,063",366,"$49,487",408
WV-02,32.8,65.4,29.4,65.8,38.0,60.0,21.7,360,21.6,403,"$51,739",336,"$52,071",395
WV-03,25.5,73.1,23.3,72.5,32.8,65.0,16.4,422,16.1,434,"$39,670",414,"$40,226",420
WY-AL,26.7,70.4,22.5,70.1,28.0,69.2,27.4,261,29.0,292,"$64,049",187,"$65,727",238
