State,Total Population by Race,,,,,,Voting Age Population by Race,,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi
Nationwide,61.2,12.4,17.8,5.6,0.7,2.3,64.2,12.0,15.7,5.8,0.6,1.6,64.7,12.8,15.0,4.4,0.7,2.4,68.7,12.5,12.1,4.4,0.7,1.7,"322,903,000","197,717,975","39,974,985","57,517,945","18,117,335","2,149,095","7,425,585","249,349,815","160,106,735","29,979,885","39,170,135","14,480,945","1,583,655","4,028,480","300,613,520","194,635,995","38,402,360","45,064,085","13,139,685","2,137,370","7,233,985","228,918,230","157,300,945","28,603,010","27,593,060","9,977,945","1,573,065","3,870,135"
Alabama,65.8,26.5,4.2,1.4,0.5,1.7,68.0,25.7,3.3,1.4,0.5,1.2,67.0,26.9,3.0,0.9,0.5,1.7,69.4,26.2,1.9,0.8,0.5,1.2,"4,864,680","3,201,535","1,289,275","203,150","66,755","23,275","80,670","3,765,885","2,561,630","966,735","123,145","51,340","18,800","44,210","4,759,650","3,187,675","1,281,805","144,760","42,480","23,240","79,695","3,671,105","2,548,845","960,070","70,240","29,865","18,765",43305
Alaska,61.2,3.1,6.9,7.4,14.0,7.3,65.1,3.2,6.0,7.4,12.8,5.4,62.7,3.0,6.6,5.7,14.5,7.5,67.0,3.1,5.6,5.4,13.3,5.5,"738,515","452,105","22,995","51,185","54,490","103,610","54,130","552,380","359,875","17,625","33,375","40,935","70,850","29,720","713,900","447,265","21,300","47,320","40,705","103,540","53,770","530,385","355,115","16,430","29,915","28,725","70,780",29425
Arizona,55.2,4.2,31.1,3.4,3.9,2.2,60.0,4.1,27.2,3.6,3.6,1.6,58.7,4.3,27.9,2.6,4.2,2.3,64.8,4.2,22.7,2.6,4.0,1.7,"6,946,685","3,834,835","288,555","2,163,305","237,485","272,475","150,020","5,312,900","3,188,280","215,405","1,443,570","190,780","192,165","82,680","6,408,360","3,761,305","273,800","1,790,350","163,700","271,705","147,495","4,812,765","3,119,860","204,230","1,092,105","124,550","191,560",80450
Arkansas,72.8,15.4,7.3,1.8,0.6,2.2,75.6,14.6,5.9,1.7,0.6,1.6,74.9,15.8,5.4,1.1,0.6,2.2,78.3,15.1,3.4,1.0,0.6,1.6,"2,990,670","2,176,835","459,940","219,055","52,785","17,365","64,700","2,284,725","1,728,370","333,360","133,830","39,345","13,445","36,385","2,893,855","2,168,105","457,480","155,000","32,160","17,365","63,750","2,195,865","1,720,325","331,070","74,000","21,410","13,445",35625
California,37.7,5.6,38.9,14.6,0.4,2.9,41.2,5.7,34.9,15.5,0.4,2.2,42.0,6.3,35.1,13.1,0.4,3.2,47.3,6.6,29.2,13.9,0.4,2.5,"39,148,750","14,768,660","2,187,355","15,221,585","5,712,110","140,785","1,118,215","30,075,110","12,402,810","1,724,500","10,509,560","4,668,255","111,145","658,840","33,964,450","14,256,210","2,124,855","11,911,545","4,452,755","139,380","1,079,705","25,232,630","11,940,360","1,668,855","7,374,130","3,511,600","109,940",627735
Colorado,68.5,4.0,21.4,3.2,0.5,2.3,72.0,3.9,18.5,3.3,0.6,1.7,71.8,3.9,18.9,2.4,0.6,2.4,76.2,3.8,15.2,2.4,0.6,1.8,"5,531,140","3,787,765","219,365","1,184,800","179,175","30,275","129,755","4,271,320","3,075,860","165,820","791,590","140,700","23,945","73,400","5,212,200","3,741,010","201,895","984,530","127,560","30,200","127,000","3,979,330","3,033,020","151,110","605,215","95,015","23,865",71080
Connecticut,67.8,9.9,15.7,4.5,0.2,1.9,70.8,9.6,13.6,4.5,0.1,1.3,70.9,9.7,14.1,3.1,0.2,2.0,74.7,9.3,11.6,2.9,0.2,1.3,"3,581,505","2,427,505","356,060","561,790","161,135","5,395","69,605","2,828,885","2,004,230","271,670","385,790","127,030","4,115","36,045","3,330,685","2,362,660","322,385","469,360","103,915","5,205","67,160","2,600,980","1,944,230","242,010","300,895","75,845","3,940",34085
Delaware,62.9,21.6,9.1,3.9,0.3,2.2,66.4,20.6,7.4,3.9,0.3,1.3,65.5,22.0,7.4,2.5,0.3,2.3,69.7,21.0,5.3,2.3,0.4,1.4,"949,495","596,865","205,330","86,315","37,125","2,850","21,005","746,070","495,290","154,035","55,035","29,115","2,555","10,045","903,590","592,180","198,595","66,955","22,455","2,820","20,580","704,110","490,825","148,020","37,160","15,865","2,555",9685
Florida,54.6,15.5,25.2,2.8,0.2,1.7,57.6,14.4,23.8,2.8,0.2,1.2,58.5,15.7,21.5,2.2,0.2,1.8,62.5,14.4,19.4,2.2,0.2,1.2,"20,598,145","11,245,955","3,195,410","5,184,720","572,330","42,830","356,860","16,449,590","9,482,910","2,364,110","3,911,475","464,740","34,905","191,405","18,700,200","10,941,510","2,930,235","4,023,200","418,535","42,100","344,630","14,724,110","9,202,120","2,127,090","2,854,690","325,320","34,195",180685
Georgia,53.4,31.2,9.4,4.0,0.2,1.9,56.2,30.4,7.8,4.1,0.2,1.3,55.9,32.3,6.8,2.8,0.2,2.0,59.5,31.8,4.5,2.7,0.2,1.3,"10,297,485","5,494,315","3,210,725","968,460","409,780","18,710","195,490","7,796,195","4,380,685","2,371,875","610,115","317,535","15,465","100,530","9,706,005","5,422,550","3,138,720","662,825","273,525","18,260","190,125","7,254,700","4,315,580","2,307,440","324,365","195,820","15,065",96435
Hawaii,22.2,1.7,10.4,46.2,0.1,19.3,24.4,1.8,8.2,49.2,0.2,16.1,23.4,1.8,10.8,43.1,0.1,20.8,26.0,2.0,8.4,45.9,0.2,17.6,"1,422,025","315,585","24,655","147,960","656,925","1,880","275,020","1,115,530","272,390","20,400","91,830","549,230","1,680","180,000","1,312,810","306,950","24,140","141,360","565,355","1,840","273,165","1,016,555","264,200","19,970","85,880","466,380","1,645",178485
Idaho,82.3,0.6,12.4,1.5,1.1,2.0,84.8,0.6,10.3,1.6,1.1,1.5,84.7,0.5,10.4,1.1,1.2,2.1,88.0,0.5,7.7,1.1,1.2,1.6,"1,687,810","1,389,125","10,750","209,075","25,530","18,820","34,510","1,248,635","1,059,445","7,155","129,075","20,000","13,845","19,110","1,626,535","1,378,155","8,905","168,795","17,900","18,800","33,980","1,192,740","1,049,645","6,035","91,365","13,285","13,825",18585
Illinois,61.7,14.1,17.0,5.4,0.1,1.7,64.7,13.7,14.7,5.6,0.1,1.1,65.0,14.9,14.1,4.1,0.1,1.8,69.0,14.7,10.9,4.1,0.1,1.2,"12,821,485","7,908,960","1,803,630","2,174,845","697,125","15,340","221,605","9,894,945","6,399,155","1,357,255","1,456,745","556,795","12,930","112,045","11,923,120","7,745,280","1,771,760","1,683,145","493,595","14,920","214,430","9,055,190","6,247,825","1,330,155","987,200","371,540","12,540",105915
Indiana,79.6,9.2,6.8,2.2,0.2,2.0,82.1,8.7,5.5,2.3,0.2,1.2,81.8,9.3,5.4,1.3,0.2,2.0,84.7,8.8,3.8,1.2,0.2,1.3,"6,637,430","5,283,750","613,250","450,265","147,890","12,180","130,090","5,063,135","4,155,140","440,930","279,360","114,220","10,300","63,190","6,430,180","5,257,730","598,740","349,860","83,655","12,085","128,105","4,876,225","4,132,160","428,605","186,220","57,325","10,200",61680
Iowa,86.1,3.4,5.9,2.5,0.3,1.8,88.5,3.1,4.6,2.5,0.3,1.0,88.6,3.1,4.7,1.5,0.3,1.8,91.5,2.7,3.2,1.3,0.3,1.0,"3,132,495","2,698,305","107,785","183,295","78,115","9,100","55,900","2,402,470","2,126,880","73,300","110,800","59,770","7,105","24,610","3,032,100","2,685,220","95,280","143,300","44,200","9,080","55,015","2,312,670","2,115,015","63,145","73,845","29,740","7,090",23820
Kansas,76.2,5.6,11.7,2.9,0.7,2.8,79.3,5.5,9.6,3.0,0.7,1.9,79.2,5.7,9.5,2.0,0.7,2.9,83.2,5.6,6.7,1.9,0.7,2.0,"2,908,770","2,216,860","164,040","340,620","85,350","19,525","82,380","2,193,230","1,738,510","121,555","209,560","66,770","14,965","41,870","2,782,070","2,204,715","157,430","264,210","54,810","19,500","81,400","2,077,565","1,727,615","116,015","138,715","39,220","14,940",41055
Kentucky,84.9,7.9,3.6,1.5,0.2,2.0,86.7,7.7,2.8,1.4,0.2,1.2,86.5,7.8,2.6,0.9,0.2,2.0,88.5,7.6,1.6,0.8,0.2,1.2,"4,440,200","3,769,175","351,200","158,740","65,365","8,580","87,150","3,428,185","2,970,935","262,680","97,560","48,910","6,975","41,145","4,337,530","3,751,065","340,175","112,290","39,655","8,515","85,815","3,338,200","2,954,450","254,510","55,000","27,360","6,905",39980
Louisiana,59.0,32.1,5.0,1.7,0.5,1.6,61.4,30.7,4.6,1.8,0.5,1.1,60.1,32.7,3.7,1.2,0.5,1.7,62.8,31.4,3.0,1.2,0.5,1.1,"4,663,620","2,750,535","1,495,920","234,920","81,185","24,190","76,855","3,555,140","2,181,405","1,090,125","162,390","63,875","18,840","38,530","4,549,090","2,735,260","1,489,525","167,490","56,795","24,020","75,980","3,452,770","2,167,535","1,084,225","102,495","42,070","18,680",37780
