District,Code,Total Population by Race,,,,,,Voting Age Population by Race,,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Adult Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Citizen Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Adult Citizen Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander
Arizona's 4th,AZ-04,56.8,6.8,26.5,6.5,2.7,0.3,60.7,6.3,23.2,6.7,2.5,0.3,60.3,7.1,24.2,4.8,2.9,0.3,65.4,6.7,20.0,4.7,2.7,0.2,"801,285","454,815","54,520","212,730","52,415","21,295","2,220","637,430","387,005","40,365","148,135","42,790","15,630","1,630","738,695","445,780","52,580","178,505","35,440","21,210","1,935","578,510","378,280","38,805","115,490","27,185","15,560","1,375"
Arizona's 5th,AZ-05,68.1,4.7,18.2,6.9,1.5,0.1,71.1,4.1,16.2,6.7,1.5,0.1,69.8,4.8,17.5,5.8,1.6,0.1,73.2,4.2,15.3,5.2,1.5,0.1,"787,760","536,725","36,830","143,325","54,600","12,065",870,"584,505","415,500","24,165","94,670","38,870","8,655",630,"757,435","528,440","36,095","132,925","43,760","12,025",845,"556,730","407,580","23,595","85,190","29,130","8,625",605
Arizona's 6th,AZ-06,62.9,4.4,26.4,3.9,1.7,0.2,66.6,4.0,23.4,3.8,1.7,0.2,64.5,4.4,25.4,3.3,1.8,0.2,68.5,4.1,22.0,3.2,1.7,0.2,"784,935","493,840","34,305","207,460","30,775","13,635","1,800","635,025","422,815","25,655","148,305","24,380","10,635","1,490","757,215","488,120","33,070","192,605","25,215","13,600","1,530","609,175","417,495","24,800","133,965","19,270","10,595","1,350"
Arizona's 7th,AZ-07,28.4,4.1,61.7,2.2,3.3,0.1,32.7,4.0,57.4,2.4,3.2,0.1,31.1,4.3,58.8,1.8,3.7,0.1,36.7,4.3,53.0,2.0,3.7,0.1,"806,470","229,060","33,015","497,540","17,450","26,705",930,"612,770","200,320","24,660","351,430","14,680","19,860",735,"725,710","225,335","31,055","426,900","13,140","26,630",915,"536,070","196,740","23,085","283,955","10,745","19,785",720
Arizona's 8th,AZ-08,65.1,5.1,21.9,5.6,1.8,0.1,69.4,4.4,18.9,5.2,1.7,0.1,67.8,5.2,20.2,4.3,1.9,0.1,72.8,4.5,16.6,3.8,1.8,0.1,"784,455","510,595","39,935","172,010","43,630","14,170",760,"622,595","432,055","27,340","117,695","32,215","10,705",670,"742,725","503,605","38,850","150,260","31,940","14,140",685,"584,000","425,415","26,470","96,790","22,255","10,675",595
Arizona's 9th,AZ-09,57.8,5.1,31.7,2.7,2.0,0.2,62.7,4.7,27.4,2.7,2.0,0.2,59.6,5.2,30.0,2.4,2.1,0.2,65.3,4.9,24.9,2.3,2.1,0.3,"811,270","468,760","41,310","257,245","21,995","16,460","1,790","624,655","391,545","29,450","170,905","16,645","12,315","1,535","773,435","461,300","40,320","231,730","18,385","16,440","1,740","588,780","384,465","28,670","146,470","13,330","12,295","1,485"
Arkansas' 1st,AR-01,75.5,18.0,3.8,0.8,1.8,0.1,77.8,16.5,3.1,0.7,1.8,0.1,76.3,18.1,3.0,0.6,1.8,0.1,78.8,16.7,2.1,0.5,1.8,0.1,"754,110","569,105","135,380","28,445","5,805","13,495",765,"580,210","451,340","95,585","17,880","4,240","10,240",525,"744,265","567,610","134,990","22,275","4,445","13,495",480,"571,280","450,000","95,225","12,225","2,985","10,240",305
Arkansas' 2nd,AR-02,69.7,22.0,4.9,2.1,1.1,0.0,72.5,20.2,4.0,2.0,1.1,0.0,71.0,22.4,3.8,1.6,1.1,0.0,74.1,20.6,2.6,1.4,1.2,0.0,"751,270","523,755","165,085","36,960","15,790","8,265",230,"582,140","421,850","117,760","23,440","11,760","6,525",170,"734,760","521,530","164,220","27,560","11,815","8,265",190,"566,745","419,745","116,895","14,635","8,150","6,525",160
Arkansas' 3rd,AR-03,71.9,3.9,16.1,3.9,2.7,1.2,75.4,3.3,13.7,3.7,2.7,1.0,76.8,4.0,12.6,2.9,2.9,0.5,81.5,3.4,9.1,2.6,2.9,0.2,"758,570","545,375","29,560","122,330","29,485","20,245","9,240","572,925","431,900","19,125","78,580","21,125","15,230","5,790","705,245","541,535","28,295","89,155","20,390","20,235","3,465","526,235","428,810","18,135","48,120","13,620","15,225","1,315"
Arkansas' 4th,AR-04,69.1,20.8,7.4,0.9,1.6,0.1,71.7,19.8,5.8,0.9,1.6,0.1,70.6,21.3,5.5,0.8,1.6,0.1,73.7,20.4,3.5,0.7,1.6,0.1,"754,720","521,165","157,090","55,590","7,055","11,750",860,"586,120","420,405","116,300","33,945","5,190","9,150",550,"736,490","520,035","156,815","40,495","5,580","11,750",620,"569,210","419,295","116,055","19,955","3,845","9,150",340
California's 1st,CA-01,64.6,2.7,22.3,6.6,3.1,0.3,68.2,2.5,19.4,6.1,3.0,0.3,67.5,2.8,19.8,5.9,3.2,0.3,72.1,2.6,16.1,5.3,3.2,0.3,"766,230","494,660","21,055","170,650","50,370","23,555","2,165","593,470","404,995","15,110","115,285","36,430","17,915","1,645","727,515","490,845","20,595","144,065","42,940","23,500","1,950","556,565","401,340","14,705","89,785","29,500","17,860","1,440"
California's 2nd,CA-02,69.0,2.4,19.4,5.6,2.8,0.2,72.5,2.2,16.5,5.3,2.7,0.2,72.4,2.4,16.1,5.2,3.0,0.2,76.9,2.3,12.4,4.8,2.9,0.2,"763,625","526,630","18,305","147,815","42,870","21,570","1,405","615,420","446,455","13,825","101,740","32,385","16,345","1,210","712,805","515,970","17,445","114,515","37,275","21,520","1,095","568,050","436,580","13,045","70,590","27,215","16,300",900
California's 3rd,CA-03,71.8,2.3,14.4,8.9,1.7,0.2,74.7,2.2,12.7,8.0,1.7,0.3,73.8,2.3,13.3,7.8,1.8,0.2,77.3,2.2,11.3,6.7,1.8,0.3,"764,865","549,150","17,565","109,985","68,285","13,305","1,745","607,120","453,800","13,140","77,025","48,545","10,545","1,605","730,710","539,175","17,150","97,535","57,245","13,290","1,540","575,825","444,825","12,795","65,240","38,570","10,535","1,445"
California's 4th,CA-04,53.6,3.7,30.7,9.5,1.4,0.4,57.6,3.6,26.9,9.6,1.3,0.4,57.9,3.9,27.2,8.3,1.5,0.3,63.4,3.8,22.1,8.3,1.5,0.3,"764,345","409,700","28,075","234,790","72,710","10,540","2,865","611,805","352,635","21,940","164,335","58,960","8,080","2,175","695,230","402,795","27,120","189,185","57,845","10,510","2,160","546,040","345,960","21,015","120,605","45,105","8,060","1,665"
California's 5th,CA-05,61.4,3.0,25.8,7.1,1.8,0.4,65.3,2.9,22.6,6.6,1.8,0.4,63.6,3.1,24.4,6.3,1.9,0.3,68.2,3.0,20.6,5.6,1.9,0.4,"761,350","467,765","22,935","196,675","53,900","13,705","2,750","595,445","389,105","17,130","134,790","39,245","10,720","2,340","725,185","461,185","22,385","176,665","45,425","13,620","2,325","561,785","383,075","16,600","115,710","31,685","10,640","2,000"
California's 6th,CA-06,49.1,11.1,23.0,13.9,1.3,0.7,52.7,10.5,20.3,13.8,1.4,0.7,51.2,12.0,21.7,12.1,1.5,0.6,55.4,11.5,18.2,12.1,1.5,0.6,"755,595","371,205","83,665","173,910","105,110","10,185","5,095","578,125","304,565","60,875","117,375","79,750","7,920","4,035","683,515","350,060","81,995","148,655","82,430","10,175","3,870","517,475","286,650","59,415","93,975","62,855","7,910","3,105"
California's 7th,CA-07,33.3,11.9,27.2,23.8,0.9,1.8,36.8,11.7,24.5,23.4,1.0,1.9,35.3,12.8,25.8,22.5,1.0,1.5,39.7,12.7,22.3,21.9,1.1,1.5,"753,515","250,725","89,735","205,005","179,525","7,145","13,605","579,680","213,380","67,990","142,150","135,435","5,810","10,875","691,125","244,075","88,340","178,000","155,420","7,140","10,505","523,775","207,715","66,750","116,765","114,820","5,805","8,005"
California's 8th,CA-08,26.1,16.2,35.2,19.7,1.0,0.8,29.0,16.2,31.5,20.6,1.0,0.8,29.0,18.1,30.8,19.1,1.1,0.8,33.1,18.6,25.4,20.0,1.1,0.8,"752,780","196,510","121,915","264,835","148,650","7,170","6,025","586,585","170,345","95,210","184,870","121,115","5,785","4,965","658,450","190,780","119,260","202,745","125,900","7,045","5,280","498,385","165,030","92,860","126,630","99,905","5,665","4,230"
