District,Code,Total Population by Race,,,,,,Voting Age Population by Race,,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Adult Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Citizen Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Adult Citizen Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander
California's 29th,CA-29,20.9,4.4,65.4,8.4,0.5,0.1,23.1,4.8,62.1,9.1,0.5,0.1,24.0,5.3,61.3,8.4,0.6,0.1,28.0,6.0,55.7,9.3,0.7,0.1,"742,345","154,930","32,615","485,705","62,725","3,430",935,"581,600","134,625","27,630","361,280","52,860","2,995",695,"596,240","143,360","31,375","365,235","50,370","3,410",730,"443,700","124,015","26,495","247,165","41,230","2,970",535
California's 30th,CA-30,55.8,4.5,24.0,14.6,0.6,0.1,57.2,4.6,22.7,14.4,0.6,0.1,58.1,5.1,22.0,13.6,0.6,0.1,60.3,5.3,20.1,13.2,0.6,0.1,"744,755","415,235","33,810","178,525","109,105","4,100",800,"634,640","363,145","29,480","143,970","91,190","3,545",780,"645,915","375,265","32,765","142,235","87,990","3,950",680,"542,205","326,870","28,485","109,015","71,325","3,430",660
California's 31st,CA-31,14.6,3.0,61.4,19.9,0.5,0.2,16.3,3.2,58.4,20.9,0.6,0.2,16.6,3.4,59.9,18.9,0.6,0.2,19.2,3.7,55.8,19.9,0.7,0.2,"749,680","109,375","22,490","460,185","149,210","3,940","1,635","591,460","96,595","19,015","345,375","123,480","3,395","1,415","642,895","106,830","21,715","385,320","121,355","3,860","1,245","489,355","94,125","18,315","273,205","97,450","3,315","1,030"
California's 32nd,CA-32,52.8,5.4,26.3,14.4,0.5,0.1,55.1,5.3,24.4,14.2,0.6,0.1,55.8,5.8,23.8,13.3,0.6,0.1,59.0,5.8,21.1,12.9,0.7,0.1,"764,600","403,345","41,295","200,780","110,315","3,955",645,"617,885","340,170","32,635","150,540","87,865","3,535",620,"680,175","379,550","39,675","161,860","90,375","3,935",600,"540,375","319,020","31,095","114,225","69,500","3,515",575
California's 33rd,CA-33,18.2,10.6,62.8,7.3,0.5,0.3,20.6,10.9,60.0,7.4,0.6,0.2,20.1,11.8,60.3,6.6,0.6,0.3,23.7,12.6,55.9,6.6,0.6,0.3,"757,645","137,675","80,510","475,825","54,980","4,070","2,045","555,825","114,665","60,710","333,270","41,055","3,060","1,365","671,335","134,745","79,155","404,765","44,295","4,060","1,880","472,810","111,955","59,510","264,125","31,360","3,050","1,200"
California's 34th,CA-34,11.0,4.8,65.5,17.9,0.5,0.1,12.4,5.4,61.9,19.6,0.5,0.1,13.8,6.2,61.6,17.4,0.6,0.1,16.4,7.4,55.4,19.7,0.7,0.1,"766,810","84,480","36,870","502,575","137,015","3,810",680,"616,015","76,095","33,025","381,395","120,490","3,355",610,"574,635","79,290","35,740","354,165","99,830","3,690",645,"432,125","71,035","31,985","239,225","85,110","3,240",590
California's 35th,CA-35,15.1,6.5,65.7,11.5,0.6,0.2,17.0,6.9,62.7,12.1,0.7,0.2,17.1,7.4,63.6,10.5,0.7,0.2,20.2,8.2,59.1,11.0,0.9,0.3,"767,455","115,775","50,115","504,130","88,400","4,975","1,530","576,050","98,115","39,960","361,040","69,980","4,170","1,330","657,985","112,740","48,815","418,400","69,310","4,900","1,435","472,990","95,570","38,845","279,675","52,260","4,095","1,235"
California's 36th,CA-36,55.5,4.7,16.6,21.6,0.7,0.1,58.0,4.5,15.7,20.4,0.7,0.2,58.1,5.0,15.9,19.4,0.8,0.1,61.2,4.9,14.7,17.8,0.8,0.2,"740,440","411,250","35,085","122,730","160,195","5,240","1,050","609,440","353,675","27,645","95,540","124,520","4,180",995,"670,115","389,125","33,690","106,550","129,965","5,155",950,"544,550","333,375","26,420","80,095","96,930","4,095",890
California's 37th,CA-37,12.6,23.6,56.0,7.0,0.5,0.1,14.0,25.0,52.2,8.0,0.5,0.2,15.0,29.1,48.4,6.4,0.6,0.1,17.6,32.7,41.0,7.6,0.7,0.2,"756,145","95,360","178,340","423,255","52,600","3,605",910,"590,475","82,470","147,465","307,945","47,350","3,095",900,"593,355","89,080","172,565","287,425","37,960","3,485",850,"435,770","76,625","142,400","178,640","33,060","3,000",840
California's 38th,CA-38,14.7,2.1,60.2,21.9,0.4,0.2,16.4,2.1,57.6,22.9,0.4,0.2,16.2,2.3,59.9,20.4,0.5,0.3,18.5,2.4,56.6,21.3,0.5,0.3,"754,110","110,605","16,060","453,650","165,460","3,250","1,740","594,480","97,660","12,390","342,165","136,010","2,635","1,315","667,415","107,900","15,655","399,785","135,825","3,240","1,720","512,580","94,980","12,055","290,345","109,025","2,625","1,295"
California's 39th,CA-39,19.5,9.5,63.0,6.8,0.5,0.4,22.2,9.7,59.6,7.3,0.6,0.4,21.8,10.5,60.0,6.4,0.6,0.4,25.8,11.1,54.8,7.0,0.7,0.4,"759,925","148,475","72,015","478,835","51,415","3,960","2,830","564,070","125,360","54,500","335,995","41,190","3,265","2,170","666,140","145,120","70,020","399,610","42,585","3,920","2,520","475,490","122,455","52,955","260,350","33,065","3,225","1,880"
California's 40th,CA-40,50.1,2.2,24.6,21.9,0.5,0.2,53.3,2.2,22.5,21.0,0.5,0.2,53.1,2.3,23.0,20.3,0.6,0.2,57.1,2.3,20.3,19.1,0.6,0.2,"754,430","378,345","16,705","185,345","165,065","3,895","1,205","594,890","316,890","13,035","133,710","124,785","2,985",995,"691,325","366,750","16,170","159,180","140,395","3,870","1,160","536,535","306,275","12,510","108,690","102,695","2,985",950
California's 41st,CA-41,44.2,5.8,39.4,8.8,1.0,0.3,48.4,5.8,35.3,8.8,1.0,0.3,46.4,6.1,37.5,8.1,1.1,0.3,51.6,6.3,32.5,7.9,1.1,0.3,"770,420","340,430","44,585","303,260","67,800","7,760","2,210","595,115","288,110","34,620","209,970","52,175","6,220","1,785","715,390","331,935","43,805","267,985","57,665","7,680","2,030","542,705","279,875","33,940","176,130","42,855","6,140","1,605"
California's 42nd,CA-42,18.8,6.5,65.4,8.2,0.4,0.3,21.4,6.8,62.0,8.7,0.5,0.4,22.0,7.7,60.6,8.4,0.5,0.3,26.3,8.4,54.7,9.3,0.7,0.4,"752,590","141,720","48,685","492,015","61,580","3,375","2,385","583,085","124,625","39,435","361,615","50,880","3,040","2,110","621,670","136,995","47,700","376,665","52,200","3,340","2,000","457,295","120,260","38,515","250,100","42,365","3,005","1,725"
California's 43rd,CA-43,7.3,24.3,58.0,9.3,0.4,0.3,8.3,25.6,54.8,10.2,0.5,0.3,8.3,28.9,52.5,8.9,0.5,0.3,10.1,32.1,46.2,10.2,0.6,0.3,"747,415","54,355","181,935","433,275","69,205","3,355","2,070","560,235","46,575","143,505","306,735","57,340","2,655","1,565","610,945","50,980","176,610","320,660","54,360","3,330","1,825","432,240","43,855","138,875","199,810","43,915","2,630","1,335"
California's 44th,CA-44,13.0,11.2,62.0,12.1,0.5,0.6,14.6,11.8,58.8,13.2,0.5,0.7,14.9,13.1,57.9,12.1,0.5,0.7,17.6,14.3,52.7,13.4,0.6,0.8,"756,440","97,975","85,060","468,730","91,785","3,420","4,875","580,035","84,875","68,295","341,140","76,275","2,885","4,060","637,535","94,855","83,375","369,350","77,360","3,415","4,635","465,785","81,925","66,740","245,330","62,595","2,880","3,835"
California's 45th,CA-45,27.1,2.5,30.1,38.8,0.4,0.4,29.4,2.4,27.4,39.4,0.5,0.4,29.8,2.8,28.3,37.6,0.5,0.4,33.2,2.7,24.5,38.1,0.5,0.4,"756,570","204,705","19,130","227,890","293,850","3,245","3,035","594,440","174,900","14,320","162,790","234,110","2,825","2,340","668,105","198,925","18,520","188,745","251,510","3,200","2,625","511,790","169,860","13,725","125,190","195,205","2,775","2,010"
California's 46th,CA-46,15.5,2.2,65.4,16.1,0.3,0.3,18.1,2.2,61.3,17.5,0.3,0.3,18.5,2.5,60.8,17.1,0.4,0.4,23.1,2.7,53.8,19.3,0.4,0.4,"759,330","117,380","16,695","496,555","122,000","2,435","2,225","580,840","105,145","12,965","356,240","101,375","1,860","1,745","609,335","112,925","15,305","370,550","103,990","2,410","2,145","437,595","101,055","11,720","235,225","84,605","1,830","1,665"
California's 47th,CA-47,52.2,2.0,17.1,26.9,0.6,0.3,55.2,2.0,15.8,25.5,0.7,0.3,56.3,2.2,16.5,23.0,0.7,0.4,60.1,2.1,14.7,21.2,0.8,0.4,"753,965","393,785","15,305","128,580","202,610","4,890","2,510","608,885","336,045","11,965","96,035","155,085","4,200","2,080","664,295","373,815","14,475","109,595","153,075","4,875","2,405","529,255","318,300","11,275","78,045","112,225","4,185","1,980"
California's 48th,CA-48,54.9,3.7,30.6,8.1,1.4,0.3,58.7,3.8,27.2,8.0,1.3,0.3,57.3,3.9,28.4,7.6,1.5,0.3,62.1,4.0,24.0,7.5,1.4,0.3,"764,090","419,530","28,390","234,140","61,615","10,920","2,570","581,785","341,295","21,830","158,270","46,780","7,790","1,840","716,920","411,135","28,015","203,255","54,330","10,920","2,445","538,665","334,510","21,505","129,120","40,155","7,790","1,710"
California's 49th,CA-49,58.4,3.4,27.4,9.1,0.8,0.4,61.8,3.3,24.5,8.7,0.9,0.4,61.2,3.5,25.0,8.5,0.9,0.4,65.6,3.4,21.2,8.0,0.9,0.4,"756,380","441,805","25,400","207,070","68,515","6,255","2,680","589,515","364,230","19,385","144,415","51,555","5,020","2,185","704,335","431,050","24,320","176,005","59,580","6,245","2,565","540,790","354,510","18,650","114,685","43,230","5,010","2,070"
California's 50th,CA-50,55.8,3.5,22.4,16.8,0.7,0.2,58.9,3.5,20.3,15.8,0.7,0.2,59.3,3.7,21.0,14.4,0.8,0.2,63.3,3.8,18.3,13.1,0.8,0.2,"735,990","410,650","25,845","164,910","123,295","5,215","1,450","601,880","354,325","21,230","122,025","95,385","4,415","1,215","667,630","395,770","24,920","140,385","95,880","5,185","1,385","538,335","340,605","20,350","98,645","70,405","4,385","1,155"
California's 51st,CA-51,47.6,7.2,25.3,17.8,0.7,0.4,50.4,6.8,22.8,18.3,0.7,0.5,49.8,7.7,24.5,15.9,0.7,0.4,53.5,7.2,21.3,16.0,0.8,0.5,"762,630","362,700","55,140","193,160","136,120","5,250","3,090","606,890","305,985","40,985","138,240","111,005","4,315","2,770","696,480","346,765","53,285","170,345","110,960","5,190","2,920","546,225","292,230","39,520","116,570","87,530","4,260","2,635"
California's 52nd,CA-52,14.7,8.2,59.8,15.7,0.3,0.5,17.0,8.4,56.7,16.5,0.4,0.6,16.4,9.0,57.1,15.7,0.3,0.6,19.7,9.5,52.4,16.7,0.4,0.7,"769,350","112,805","62,835","460,445","120,820","2,350","4,005","588,110","99,815","49,185","333,410","96,895","2,115","3,505","668,560","109,930","59,935","381,550","104,955","2,325","3,825","492,310","97,175","46,645","257,735","82,150","2,090","3,360"
Colorado's 1st,CO-01,54.9,9.9,29.1,4.6,1.1,0.1,59.4,9.2,25.4,4.5,1.1,0.1,58.4,10.0,26.0,4.0,1.2,0.1,63.8,9.4,21.4,3.8,1.2,0.1,"717,040","393,475","70,870","208,590","33,030","7,705",980,"583,210","346,625","53,740","148,100","26,240","6,480",715,"663,055","387,085","66,455","172,290","26,465","7,640",745,"533,820","340,830","50,205","114,280","20,160","6,415",615
Colorado's 2nd,CO-02,78.9,1.5,13.8,4.5,0.9,0.1,81.3,1.4,11.8,4.2,1.0,0.1,81.4,1.5,12.2,3.5,1.0,0.1,84.4,1.4,9.8,3.1,1.0,0.1,"718,205","566,315","10,835","99,320","32,255","6,700",795,"588,215","478,180","8,405","69,520","24,600","5,600",610,"685,220","557,810","10,125","83,740","24,110","6,685",790,"557,550","470,325","7,745","54,790","17,230","5,590",605
Colorado's 3rd,CO-03,68.6,1.2,26.4,1.3,2.4,0.0,71.8,1.1,23.4,1.2,2.3,0.0,70.3,1.2,24.7,1.1,2.5,0.0,73.9,1.2,21.3,1.0,2.4,0.0,"723,025","495,825","8,900","190,550","9,075","17,255",260,"571,695","410,325","6,570","133,815","6,655","13,340",250,"701,405","492,830","8,630","173,545","7,825","17,210",200,"551,260","407,530","6,350","117,630","5,515","13,295",185
Colorado's 4th,CO-04,78.1,2.4,13.8,4.4,0.9,0.1,80.3,2.1,12.3,4.1,1.0,0.1,80.1,2.4,12.7,3.6,0.9,0.1,82.7,2.0,10.9,3.1,1.0,0.1,"727,410","568,140","17,770","100,195","31,915","6,540",735,"552,115","443,125","11,635","67,885","22,525","5,315",505,"704,345","563,960","16,650","89,420","25,010","6,515",735,"531,665","439,625","10,730","58,100","16,355","5,290",505
Colorado's 5th,CO-05,67.7,7.5,18.3,4.2,1.2,0.3,71.1,6.9,15.9,4.0,1.2,0.3,69.1,7.5,17.3,3.8,1.2,0.3,72.9,6.9,14.5,3.5,1.3,0.3,"722,030","489,030","53,935","132,260","30,530","8,760","1,870","551,910","392,350","38,255","87,520","22,270","6,800","1,645","701,590","484,490","52,585","121,570","26,805","8,760","1,845","532,680","388,120","37,010","77,370","18,800","6,800","1,615"
Colorado's 6th,CO-06,58.5,11.6,21.4,7.0,0.9,0.2,62.6,10.9,18.5,6.6,0.9,0.2,63.1,11.6,18.2,5.6,1.0,0.2,68.2,10.8,14.3,5.1,1.0,0.2,"721,810","422,505","83,760","154,360","50,310","6,535","1,570","556,670","348,230","60,580","103,110","36,870","5,260","1,095","659,880","416,155","76,365","119,950","36,895","6,445","1,415","501,940","342,420","54,225","72,020","25,750","5,170",940
Colorado's 7th,CO-07,77.5,1.8,15.2,3.9,1.3,0.1,79.6,1.7,13.6,3.6,1.3,0.1,79.0,1.8,14.4,3.3,1.4,0.1,81.4,1.7,12.5,2.9,1.3,0.1,"719,605","557,660","13,215","109,715","27,720","9,570",485,"586,940","467,405","9,915","79,890","21,130","7,525",450,"699,775","552,475","12,745","100,480","22,930","9,525",390,"568,010","462,415","9,455","71,175","16,505","7,480",355
Colorado's 8th,CO-08,53.7,2.5,38.6,3.8,1.0,0.1,58.0,2.2,34.6,3.7,1.1,0.1,57.4,2.5,35.3,3.4,1.1,0.1,63.2,2.3,29.9,3.2,1.2,0.1,"721,665","387,230","18,295","278,770","27,495","7,360",890,"538,730","312,730","12,100","186,460","20,080","5,810",735,"669,440","384,130","16,955","235,990","22,710","7,330",745,"490,365","309,920","11,045","146,415","15,845","5,780",590
Connecticut's 1st,CT-01,57.9,16.3,18.9,6.2,0.5,0.0,61.3,15.5,16.7,5.8,0.6,0.0,60.4,16.0,18.5,4.4,0.6,0.0,64.4,15.1,16.0,3.8,0.6,0.0,"718,450","415,775","117,425","135,935","44,450","3,915",190,"571,645","350,530","88,705","95,240","33,280","3,410",100,"672,905","406,355","107,930","124,500","29,325","3,850",190,"530,605","341,835","80,105","84,650","20,185","3,355",100
Connecticut's 2nd,CT-02,80.3,4.7,9.4,4.3,1.0,0.0,82.9,4.2,7.7,4.1,0.9,0.0,82.1,4.5,8.7,3.4,1.0,0.0,85.1,4.0,6.8,3.0,0.9,0.0,"723,725","581,215","34,055","68,135","31,250","7,310",75,"585,910","485,965","24,675","44,920","23,965","5,340",75,"701,170","575,820","31,445","61,215","23,680","7,275",65,"565,280","481,175","22,445","38,570","16,755","5,305",65
Connecticut's 3rd,CT-03,64.2,13.5,17.0,4.6,0.5,0.0,67.9,12.5,14.5,4.5,0.5,0.0,66.6,13.5,15.5,3.6,0.5,0.0,70.9,12.5,12.5,3.3,0.5,0.0,"723,600","464,495","97,565","122,750","33,460","3,610",155,"585,130","397,210","73,090","84,720","26,275","2,675",155,"678,400","451,925","91,715","105,145","24,310","3,595",150,"544,175","385,845","68,255","68,145","18,130","2,660",150
Connecticut's 4th,CT-04,60.4,11.8,20.4,6.9,0.3,0.0,62.5,11.8,18.8,6.5,0.2,0.0,64.9,11.7,17.2,5.7,0.3,0.0,68.2,11.8,14.6,5.1,0.3,0.0,"722,030","436,275","85,275","147,590","49,585","1,885",155,"558,205","348,620","66,000","104,990","36,535","1,275",125,"640,745","415,850","75,200","110,120","36,385","1,875",155,"484,520","330,355","57,040","70,660","24,520","1,265",125
Connecticut's 5th,CT-05,62.8,10.3,21.1,5.1,0.5,0.0,66.6,9.7,18.4,4.7,0.5,0.1,65.4,10.1,19.5,4.2,0.6,0.0,70.0,9.4,16.3,3.6,0.6,0.1,"723,510","454,100","74,420","153,000","36,840","3,930",320,"567,555","378,230","54,795","104,435","26,410","3,035",290,"673,315","440,590","68,305","131,300","28,000","3,930",320,"522,145","365,490","49,270","85,105","18,625","3,035",290
Delaware's At-Large,DE-AL,60.9,23.4,9.9,4.7,0.8,0.0,64.6,21.9,8.1,4.5,0.8,0.0,63.4,23.8,8.3,3.4,0.8,0.0,67.6,22.3,6.1,3.1,0.8,0.0,"993,635","605,390","232,820","98,695","46,220","7,535",255,"786,935","508,390","172,655","63,415","35,160","6,165",230,"948,665","601,385","225,930","78,580","32,660","7,485",240,"746,110","504,615","166,355","45,450","22,760","6,115",220
Florida's 1st,FL-01,72.0,14.7,7.3,3.9,1.3,0.1,74.3,13.5,6.5,3.7,1.4,0.1,73.1,14.9,6.4,3.5,1.4,0.1,75.7,13.7,5.5,3.1,1.5,0.1,"772,290","555,845","113,895","56,095","30,225","10,330",840,"606,325","450,565","81,885","39,205","22,445","8,585",760,"752,090","549,985","112,150","48,015","26,025","10,320",605,"587,995","444,995","80,305","32,325","18,440","8,580",530
Florida's 2nd,FL-02,64.9,24.5,6.6,2.6,1.2,0.1,66.6,23.4,6.1,2.5,1.2,0.1,66.2,24.7,5.5,2.0,1.2,0.1,68.2,23.6,4.9,1.8,1.3,0.1,"775,770","503,160","190,410","51,050","19,915","8,950",605,"626,060","416,970","146,320","38,000","15,380","7,755",505,"754,480","499,680","186,675","41,690","15,315","8,945",585,"607,050","413,805","143,110","29,710","11,115","7,750",485
Florida's 3rd,FL-03,66.8,17.4,11.0,3.4,1.0,0.0,69.1,16.0,10.3,3.4,1.0,0.0,68.4,17.8,10.0,2.6,1.0,0.0,70.9,16.3,9.1,2.4,1.0,0.0,"769,690","514,535","134,070","85,020","26,355","7,630",225,"623,780","430,875","99,765","64,515","21,135","6,300",200,"742,560","507,770","131,880","74,205","19,130","7,595",200,"599,160","424,850","97,835","54,560","14,555","6,270",180
Florida's 4th,FL-04,54.3,32.5,8.6,3.4,0.7,0.0,57.5,30.4,7.8,3.3,0.8,0.0,55.3,32.8,7.8,2.9,0.7,0.0,58.6,30.7,6.8,2.7,0.8,0.1,"775,120","421,050","251,970","66,410","26,435","5,705",350,"594,100","341,325","180,555","46,225","19,805","4,525",295,"756,675","418,195","248,350","59,050","21,950","5,660",350,"577,510","338,595","177,570","39,435","15,845","4,490",295
Florida's 5th,FL-05,67.0,13.4,11.8,6.6,0.7,0.1,69.2,12.6,10.9,6.3,0.6,0.1,69.3,13.7,10.3,5.5,0.7,0.1,71.8,12.8,9.2,5.1,0.7,0.1,"770,575","515,950","102,915","91,165","51,000","5,025",575,"606,680","419,710","76,140","66,425","38,170","3,875",425,"725,760","502,590","99,210","74,410","40,085","5,025",575,"568,395","408,125","72,935","52,075","29,090","3,875",425
Florida's 6th,FL-06,72.7,12.4,11.8,2.0,0.8,0.1,75.9,11.0,10.3,1.9,0.8,0.1,74.0,12.5,10.7,1.7,0.8,0.1,77.5,11.1,8.9,1.5,0.8,0.1,"779,545","566,705","96,975","92,045","15,895","5,865",725,"640,530","485,985","70,415","65,670","12,090","4,960",565,"755,905","559,545","94,660","81,030","12,840","5,800",715,"618,805","479,380","68,585","55,345","9,215","4,895",555
Florida's 7th,FL-07,63.4,10.4,21.0,4.3,0.6,0.0,65.9,9.3,19.8,4.1,0.6,0.0,65.4,10.4,19.8,3.5,0.6,0.0,68.3,9.3,18.4,3.1,0.6,0.0,"771,915","489,485","80,150","161,970","33,545","4,415",230,"620,565","408,860","58,010","122,775","25,485","3,725",160,"736,710","482,075","76,315","145,935","25,725","4,360",230,"588,900","402,030","54,655","108,600","18,295","3,670",160
Florida's 8th,FL-08,73.5,10.6,11.7,3.0,0.7,0.1,76.2,9.4,10.5,2.8,0.8,0.1,74.9,10.4,11.0,2.5,0.7,0.1,77.8,9.2,9.6,2.3,0.8,0.1,"773,535","568,550","82,175","90,740","22,910","5,565",515,"638,175","486,490","60,295","66,925","17,650","4,805",355,"749,700","561,220","78,320","82,105","19,015","5,555",515,"616,520","479,790","56,805","58,885","14,280","4,795",355
Florida's 9th,FL-09,31.2,10.6,53.1,4.2,0.4,0.1,33.2,9.8,51.7,4.4,0.4,0.1,33.6,11.0,50.8,3.6,0.4,0.1,36.2,10.1,49.0,3.7,0.5,0.1,"754,300","235,110","79,610","400,730","31,760","3,010",875,"583,715","193,615","57,290","301,935","25,720","2,460",685,"664,385","222,910","73,290","337,445","24,215","2,920",665,"507,475","183,665","51,430","248,765","18,925","2,375",580
Florida's 10th,FL-10,37.5,27.0,29.3,5.3,0.5,0.1,40.4,25.1,28.1,5.5,0.5,0.1,39.8,27.0,27.6,4.6,0.5,0.1,43.4,24.8,26.1,4.7,0.6,0.1,"785,360","294,420","212,260","229,850","41,725","3,770",690,"626,500","253,120","157,105","176,290","34,450","3,265",580,"703,315","279,980","189,785","194,155","32,655","3,700",590,"554,065","240,455","137,680","144,715","26,030","3,235",485
Florida's 11th,FL-11,60.8,13.2,20.4,4.5,0.6,0.0,64.3,12.3,18.1,4.3,0.7,0.0,63.2,13.4,18.4,3.9,0.7,0.0,67.4,12.5,15.6,3.7,0.7,0.0,"776,905","472,345","102,810","158,785","34,700","5,005",260,"620,805","399,470","76,455","112,160","26,920","4,040",230,"723,065","457,220","97,110","132,890","28,230","4,775",260,"573,375","386,305","71,680","89,160","21,070","3,810",230
Florida's 12th,FL-12,76.8,5.5,14.3,2.2,0.7,0.1,79.2,4.8,12.8,2.1,0.8,0.1,78.2,5.5,13.2,1.9,0.7,0.1,80.9,4.8,11.5,1.8,0.8,0.1,"770,735","592,305","42,160","110,240","17,240","5,740",545,"628,205","497,745","30,135","80,330","13,295","4,735",410,"746,870","584,175","40,975","98,740","14,500","5,535",505,"606,230","490,270","28,995","69,825","10,690","4,580",370
Florida's 13th,FL-13,76.0,8.3,10.7,4.2,0.6,0.1,79.0,7.0,9.3,3.9,0.6,0.1,77.4,8.4,9.7,3.7,0.7,0.1,80.7,7.1,8.2,3.3,0.7,0.0,"768,555","584,150","63,540","81,940","32,040","4,840",635,"648,670","512,655","45,325","60,485","25,025","4,160",480,"734,210","567,965","61,760","71,110","26,800","4,830",405,"616,790","497,450","43,670","50,310","20,450","4,150",290
Florida's 14th,FL-14,48.0,19.2,27.8,4.2,0.5,0.1,50.6,17.6,26.9,4.0,0.6,0.1,51.0,20.3,24.1,3.5,0.6,0.1,54.3,18.8,22.7,3.2,0.6,0.1,"772,660","370,555","148,025","214,415","32,455","4,150",640,"622,245","314,660","109,670","167,520","24,810","3,495",475,"707,990","361,385","143,965","170,785","24,915","4,120",625,"564,235","306,505","105,880","128,250","18,250","3,470",455
Florida's 15th,FL-15,52.4,14.7,26.2,5.8,0.5,0.0,55.6,13.7,24.1,5.7,0.5,0.1,55.5,15.2,23.9,4.5,0.5,0.0,59.5,14.2,21.2,4.2,0.6,0.1,"785,390","411,485","115,460","205,855","45,700","3,765",330,"616,575","342,915","84,660","148,720","35,055","3,210",320,"725,000","402,515","110,190","173,190","32,605","3,745",305,"562,870","335,085","79,940","119,165","23,810","3,210",295
Florida's 16th,FL-16,61.8,13.4,20.7,3.2,0.6,0.1,66.2,11.8,18.1,3.1,0.6,0.1,64.5,13.7,18.4,2.5,0.6,0.1,69.7,12.0,15.1,2.3,0.6,0.1,"774,260","478,650","103,820","160,255","24,670","4,480",440,"613,665","406,360","72,455","110,950","18,970","3,530",360,"726,905","468,905","99,480","133,565","18,125","4,465",430,"569,985","397,205","68,490","86,050","13,340","3,515",345
Florida's 17th,FL-17,76.7,6.5,14.1,2.0,0.5,0.0,80.0,5.5,12.0,1.8,0.5,0.0,79.3,6.4,11.9,1.7,0.6,0.0,82.8,5.4,9.6,1.5,0.6,0.0,"785,835","602,985","50,995","110,635","15,470","4,185",245,"668,190","534,245","36,890","80,290","12,115","3,505",245,"744,070","589,875","47,395","88,470","12,695","4,155",245,"630,025","521,645","33,755","60,675","9,410","3,475",245
Florida's 18th,FL-18,55.3,14.0,27.8,1.9,0.8,0.0,59.5,13.0,24.6,1.8,0.8,0.1,58.5,14.1,24.7,1.5,0.8,0.0,63.7,13.1,20.7,1.5,0.9,0.1,"780,640","431,570","109,615","217,210","14,460","6,180",335,"614,480","365,540","79,950","151,415","11,225","5,110",335,"727,935","426,010","102,980","180,155","11,280","6,065",335,"565,935","360,305","74,300","117,000","8,250","4,995",335
Florida's 19th,FL-19,70.9,7.1,19.2,2.2,0.4,0.1,74.7,5.9,16.8,2.1,0.4,0.0,74.6,7.0,15.8,2.0,0.4,0.0,78.9,5.7,12.9,1.8,0.4,0.0,"772,970","547,940","54,605","148,265","17,300","3,135",400,"655,250","489,160","38,575","110,075","13,705","2,690",290,"713,495","532,230","49,600","112,860","14,150","3,125",275,"600,925","474,395","34,235","77,795","10,935","2,680",165
Florida's 20th,FL-20,20.8,51.7,23.5,3.1,0.4,0.0,23.5,49.0,23.4,3.3,0.5,0.1,22.9,52.8,20.8,2.7,0.5,0.0,26.5,49.8,20.0,2.9,0.5,0.0,"773,320","161,105","400,160","182,050","23,780","3,350",315,"598,015","140,515","293,085","139,955","19,685","2,775",305,"659,175","151,015","347,810","136,890","18,000","3,195",215,"493,830","131,020","245,760","98,900","14,135","2,625",210
Florida's 21st,FL-21,65.5,13.8,17.3,2.7,0.5,0.1,69.2,12.2,15.4,2.5,0.5,0.0,68.1,13.5,15.5,2.3,0.5,0.1,72.3,11.8,13.1,2.1,0.5,0.0,"776,145","508,610","107,175","134,320","20,655","3,890",465,"635,160","439,300","77,710","98,045","16,080","3,120",300,"732,555","498,840","98,730","113,220","16,580","3,875",385,"594,430","430,055","70,105","78,045","12,390","3,105",235
Florida's 22nd,FL-22,50.2,18.0,28.0,3.0,0.3,0.0,54.4,16.2,25.9,2.9,0.4,0.1,55.9,17.2,23.2,2.9,0.4,0.1,61.3,15.2,20.0,2.7,0.4,0.1,"768,505","385,990","138,290","215,325","23,270","2,635",370,"630,375","342,765","102,170","163,110","18,200","2,240",350,"666,840","372,580","114,975","154,575","19,385","2,590",335,"537,870","329,975","81,660","107,815","14,590","2,190",315
Florida's 23rd,FL-23,58.4,14.8,22.0,4.0,0.5,0.1,61.0,13.2,21.1,3.9,0.5,0.1,60.8,14.6,20.0,3.7,0.5,0.1,64.2,12.8,18.7,3.5,0.5,0.1,"762,505","444,970","112,635","167,415","30,590","3,775",395,"620,580","378,765","81,910","130,840","23,950","3,235",380,"679,385","413,155","98,885","135,745","25,110","3,535",365,"547,370","351,280","70,075","102,395","18,900","2,995",350
