ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,745670,353478,53419,317611,10252,17101,1126,587954,294407,34475,242428,7455,12759,775,362397,194352,158662,379596,205222,168510,0,0,0
2,2,745671,424954,79688,142141,90548,13730,1254,573899,344999,53463,104319,63761,9873,868,351713,204798,127336,392558,241651,141032,0,0,0
3,3,745670,480017,83460,149319,18431,20052,2820,585030,394297,54635,110504,12844,14433,1964,318955,112723,195866,347939,128183,212139,0,0,0
4,4,745670,391874,99043,204569,40511,17518,979,592756,329839,64683,157891,31762,12789,672,357085,232044,110674,386847,256688,122499,0,0,0
5,5,745670,541874,76259,99733,14598,16887,1093,595196,450465,48509,74482,10675,12667,714,356769,130869,211024,385824,149761,227052,0,0,0
6,6,745670,382880,72367,246160,35617,16932,1033,584671,319769,46512,185050,25361,12383,724,352746,188240,151410,376125,207800,160361,0,0,0
7,7,745671,458210,58252,152193,13387,69624,1821,594014,385519,37158,112934,9487,50982,1206,341015,142346,186310,381773,166070,207165,0,0,0
8,8,745671,519083,75294,114259,20443,18745,900,569673,414027,46621,82479,13481,13515,586,332906,100427,220817,370767,120529,241986,0,0,0
9,9,745672,414600,95725,192995,22561,31239,3565,570806,336655,61245,140246,15819,21872,2178,304808,134243,159372,336573,153650,175242,0,0,0
10,10,745670,564581,57487,85787,21145,18571,911,585700,459914,36793,61577,14150,13609,631,336008,94850,229524,374218,113001,252471,0,0,0
11,11,745671,612896,56762,34267,11004,29170,1948,609830,516278,37585,24465,7885,21471,1332,374716,150098,206789,412638,181127,221328,0,0,0
12,12,745671,302853,114645,274849,48463,16067,1159,564821,247084,75014,203130,34463,11544,795,305267,183972,108437,343213,215482,119085,0,0,0
13,13,745670,439262,100324,167817,26773,17491,1283,559753,345730,62775,123379,18413,12281,841,323351,150812,158364,369747,182831,178090,0,0,0
14,14,745671,425586,95871,162853,51716,15152,1065,580996,350650,64843,120168,36849,11181,725,323828,169542,138046,366219,201051,155765,0,0,0
