ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,776971,561390,115800,45929,47493,10979,810,624997,468355,80878,34173,35988,7943,577,376120,162092,199071,341904,172019,163831,344330,157172,184198
2,2,776971,438240,212259,94649,31989,15341,954,611855,367149,149958,69976,23737,10919,675,324813,144020,168577,289272,149421,134910,283325,127121,154010
3,3,776971,423148,116410,38098,194297,7883,1009,621713,355269,84660,29728,147447,5701,804,344063,180142,151638,307793,177727,125037,301626,156423,142863
4,4,776971,393800,171562,148651,63605,10312,1092,609622,322474,123665,115479,47653,7764,811,352242,191158,148717,315700,188242,122798,306423,163741,140383
5,5,776971,99311,159791,363560,136686,22110,3629,616662,81185,120717,291168,107725,17359,2961,239268,200133,34377,209428,179664,27649,183692,147480,35260
6,6,776972,181840,193052,44171,361581,13209,1564,632721,153492,150072,35453,296148,9986,1211,198512,135722,56383,171000,121523,46004,158889,100809,56584
7,7,776972,283418,279031,114242,113403,19088,2479,622470,229017,218073,89954,94578,15059,1986,214366,180356,26490,193845,165203,23351,177126,143755,31386
8,8,776971,212838,125497,382856,80630,11103,1631,617339,179732,92987,297616,63362,8609,1266,237262,189197,42518,211408,174959,33093,187091,145306,40443
9,9,776971,250805,88516,361627,83509,9730,1245,601315,183860,67283,294000,63166,7574,986,237301,186510,44411,214886,176520,34459,197182,150190,45413
10,10,776972,378250,148760,64363,187363,12559,2375,633635,314959,116754,51557,151224,9780,2076,263811,224497,29053,241708,208100,26679,226244,191307,32223
11,11,776971,399675,142031,69607,171567,12439,1224,612426,331023,100842,50170,132718,8915,944,247539,110014,129447,223047,115992,103209,214990,93479,119656
12,12,776971,506527,87200,53070,126732,6980,2127,682247,451233,74491,44697,107918,5862,1888,326197,271195,41591,297071,249223,40808,279806,232409,43926
13,13,776971,119776,406407,265285,49320,23198,2701,632159,106775,318682,212653,42186,18398,2134,265125,243798,13951,231955,213250,14017,192607,173143,17504
14,14,776970,142925,406921,157196,103327,25333,2429,611762,124593,308929,119221,81730,19229,1812,207289,168835,32688,179725,149129,27331,155587,120214,33986
15,15,776971,72234,407458,333282,33044,22018,3025,588371,60740,300901,249394,25523,16278,2280,208285,187336,16789,177566,160347,15096,145493,125667,18843
16,16,776972,308656,223639,195980,61243,14370,1320,606530,252636,163055,153275,44774,10669,994,306815,215230,80794,274123,200544,69119,257853,179091,76745
17,17,776971,500513,154546,71329,47291,10542,944,585311,385031,107811,54740,35071,7603,696,345213,179410,151619,311493,176452,128703,308365,163266,142209
18,18,776971,490342,140558,103260,31136,16548,1179,605234,402171,97092,74428,23485,12073,830,319816,154068,149466,298230,161043,129231,293011,153025,136661
19,19,776971,620742,52718,50801,33974,16775,1202,635737,519418,37391,35701,27490,12710,831,344146,157236,163835,321504,166503,143964,317139,158582,154148
20,20,776971,555447,55304,96916,53687,15806,1479,624146,466920,37411,66117,39619,11686,1039,343529,180371,139718,316115,180693,124507,312093,175570,131600
21,21,776971,680797,27119,29447,10755,22423,1304,621217,549509,19457,22232,7750,16848,837,313631,116528,174775,286420,123952,153212,289895,116445,169680
22,22,776971,588441,43315,91789,37739,17295,1105,616358,487243,28761,60381,26933,12261,757,330885,164220,145355,308119,169687,127528,296572,156962,135353
23,23,776971,685424,28159,26871,12668,19004,781,617356,554582,18313,17829,8866,13409,543,357094,123200,213225,325376,134344,182286,323026,124893,194281
24,24,776971,681306,32163,31199,9439,18166,960,619123,551907,21392,21211,6628,13461,653,338733,116712,198947,306281,122846,173494,305358,113344,187799
25,25,776971,521860,73263,137835,40480,12341,1119,618808,437969,48822,95809,30453,9020,767,357079,192574,141224,325441,189692,124908,313688,177975,130435
26,26,776971,501202,56553,161860,50761,14251,891,619021,424275,37489,113762,36663,10003,647,321436,181577,124893,286960,179071,100711,274529,166336,104974
