ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,797584,665052,44931,48473,22864,13767,1222,618402,530702,28937,29258,16682,9848,807,396628,177850,189883,382321,178512,191297
2,2,797589,685368,29975,49037,16298,13119,3145,617226,545476,18656,29445,11217,9006,1906,408684,180282,198955,394061,178432,202647
3,3,797551,628821,64482,51400,37396,13449,1955,600958,493314,39637,30959,25010,9498,1151,370226,165874,177109,372640,175108,185603
4,4,797645,658960,76598,24078,20303,15623,3751,613517,524277,46874,14474,15041,10365,2764,390493,129663,235036,371066,129698,229788
