ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,776327,535770,90968,108188,24737,19877,1021,603907,432097,64365,76646,18020,14279,708,355056,94156,244244,317679,89825,220702,304155,87605,210068
2,2,776316,260930,74305,412387,26015,13140,946,598204,217823,51406,305124,20319,9907,682,326406,215052,100617,286241,186685,93274,270740,177276,87940
3,3,776287,506088,43292,189998,17466,21275,914,588557,400099,29021,132825,12454,14686,620,341005,92366,237126,300712,79239,214845,284512,75676,203345
4,4,776302,530753,39630,169212,14693,22411,1664,593646,416483,27348,122168,10472,16438,1060,337511,79696,247373,299678,71312,223409,284905,66328,214032
5,5,776285,484005,38166,225122,15094,14265,814,597217,387349,26564,160995,11287,10573,552,332865,103611,218436,296242,92901,197719,281579,87299,189417
6,6,776240,279156,36188,438212,13831,12160,741,589017,228259,24958,318011,10395,9022,538,336189,195273,130842,295127,167519,121845,278188,157756,115316
