ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,765137,440636,59328,230783,23547,15972,2682,589266,355947,39938,166025,17615,11791,1718,274027,110607,155973,284485,116585,163321,289044,118898,165558
2,2,765137,305611,45499,393195,15236,12189,1946,587555,251047,30074,289612,11125,9075,1286,280721,150531,124987,280872,150513,127414,271674,144933,123816
3,3,765136,492494,48285,188947,21220,16477,1082,586319,391849,31274,136708,14933,12255,694,317474,97676,210579,329845,105815,218414,336218,109944,220603
4,4,765137,150803,147267,387919,80931,15332,1192,582946,126798,99121,294887,62023,11085,846,264373,201353,55295,277162,212089,60377,268299,206746,57132
5,5,765137,237353,75635,403564,47347,12196,1048,613735,206531,52720,313396,38832,9366,827,292351,245682,36974,306361,257005,43845,303337,258294,40118
6,6,765136,227858,94388,409519,32152,12827,1129,593690,194739,63188,307240,25562,9671,779,299005,208026,81373,317075,224991,86624,315813,229730,80845
7,7,765137,487523,78323,71376,112943,14371,1045,579339,386820,52419,51721,76658,10367,730,317129,103939,199602,340275,119111,213163,351381,127667,216094
8,8,765136,443123,54850,241628,16478,12877,1268,585857,354572,35732,175967,11877,9554,841,279771,93873,179794,287451,96999,187009,285588,96221,185805
9,9,765135,466010,123476,105451,58278,18450,1056,582752,375905,79950,73716,42974,13488,690,283542,79279,194713,302757,91335,205399,312252,95559,210695
10,10,765137,478059,58198,193877,22496,15079,1137,590322,385356,38081,139872,16437,11395,724,301949,105431,187360,319848,116456,197954,328007,121901,200602
11,11,765135,510228,92947,103505,39460,18779,1026,589100,408681,61477,75588,27956,13911,728,316537,101813,200830,331998,114355,209251,338804,120341,210435
12,12,765136,398843,43065,294961,20401,13325,2033,588119,321394,28628,215958,15023,9842,1312,287771,121481,159486,295121,124970,166138,292789,123722,165156
13,13,765136,188099,110825,407986,59021,14673,1321,572137,159219,72417,294376,44296,10588,896,290158,183801,98554,306928,204672,97297,301020,207533,88697
14,14,765136,535516,91371,105435,16134,21494,1055,579137,423475,57899,72920,11273,15497,657,287565,74471,203584,297336,83412,208010,303266,87636,209879
