ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,769364,311031,34901,376003,36230,13971,904,609403,269712,24298,276602,28909,10854,674,350919,262735,73222,343729,264910,70230
2,2,769364,647653,24634,32977,43626,15209,819,598975,515223,15934,21993,30458,10994,542,403950,158720,225231,412311,180003,221661
3,3,769364,650510,25268,47096,20924,20139,1269,601259,518582,16694,31568,14850,14859,823,368332,117882,231516,372177,134931,225831
4,4,769364,641000,37040,45589,13948,26597,2962,589494,502063,23774,29530,9692,19517,1844,336769,89546,229813,342480,102512,228736
5,5,769364,445232,86205,190606,25865,25187,4174,597387,369638,56750,134105,18878,18759,2607,320101,183997,118741,326442,198611,117202
6,6,769364,663432,29400,37873,12632,20970,2658,588295,516577,18642,24667,8558,15441,1582,347070,98150,231163,347236,109683,226733
7,7,769365,636951,47001,25660,16582,37210,4168,594947,505834,29527,15694,11381,27157,2661,330930,82189,232326,337712,94228,232969
8,8,769364,668098,18619,42819,9529,24152,916,595852,526013,11554,28048,6779,18170,593,343378,77849,252499,340782,87594,244127
