ID,Label,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,771925,556865,43036,130577,26324,15712,1346,607726,455671,27377,94079,18575,11674,912,376493,133884,220643,346105,127773,208145
2,2,771926,458101,46530,200303,56186,12369,998,606852,378642,30831,147706,41572,9439,678,369798,193450,152487,342648,180009,151113
3,3,771925,440188,69306,153103,99064,14220,1543,593206,359531,45052,109182,70477,10871,1065,371892,197828,147068,351909,188308,151374
4,4,771925,82172,193821,451323,46901,15843,1305,599171,73778,131605,358207,38436,14951,1069,302958,270118,22449,266897,233134,28160
5,5,771924,338267,55443,334313,35545,17866,1991,597544,272785,36063,256656,25284,13369,1310,346917,205347,122588,332811,202718,121301
6,6,771926,466291,103695,114854,77692,14787,1418,600128,381499,69774,83444,56660,11796,974,339332,160786,156713,310669,152052,149161
7,7,771926,229512,65598,433275,35011,13640,1046,610826,198323,43910,334297,29375,11233,842,310142,240979,54435,272604,209299,55738
8,8,771926,341867,152244,146611,126121,12307,1382,599749,281131,107650,109418,96180,10300,999,363914,275536,66786,342977,255209,78256
