ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,817904,643803,107794,17230,29180,18212,7598,584771,470465,68485,10562,20609,12494,4318,295960,84469,129303,321519,103669,203304
2,2,817904,578694,152715,19855,31199,23415,20419,594250,436443,99237,11999,22256,15999,12110,273738,83932,128156,304811,105155,185244
3,3,817904,636142,101123,12472,31563,27616,13160,592597,472396,65830,7430,21634,18634,7843,309301,81056,143316,334631,102312,218676
4,4,817904,606716,131280,17571,33146,17991,18070,552433,418696,83058,9888,21782,11647,10226,252376,61219,114456,293834,83910,196881
