ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,750973,629590,28616,67417,8302,15603,1223,581614,499121,17549,45739,5749,11794,738,325717,84440,228580,302432,97523,199946
2,2,750972,627377,31381,54016,19945,15854,2202,573283,491040,19187,35852,12979,11930,1393,312050,86587,210823,296312,102742,187431
3,3,750973,464663,57964,184725,31128,14618,1442,589875,387039,40407,129992,22118,11076,992,336720,185507,133555,321321,194916,120481
4,4,750973,650045,31879,36784,12875,16215,1374,569659,504457,19158,22964,8545,11761,897,327274,94420,214576,312474,109053,196522
5,5,750973,703679,11449,15860,4425,13621,542,585793,551365,7471,11524,3115,10688,324,302043,55923,237010,276846,74555,198104
6,6,750972,589410,46565,77257,22088,15295,1666,583676,472523,29303,53120,16101,11651,1407,319571,121970,178413,313406,144399,162342
